dataset,node_id,t,z,y,x,mean_intensity,snr,z_depth_ratio,estimated_radius_um,volume_um3,local_density_r15
6bba_3db54e20,0,0,63.0,255.0,11.0,0.2976131,2.237141,1.0,1.7994134,24.405151,0
6bba_3db54e20,1,0,18.0,0.0,75.0,0.3116383,2.8250966,0.2857143,2.1396742,41.032837,1
6bba_3db54e20,2,0,16.0,0.0,88.0,0.32283244,2.8863254,0.25396827,2.1396742,41.032837,1
6bba_3db54e20,3,0,33.0,172.0,167.0,0.25080737,3.3216822,0.52380955,2.5434792,68.92444,0
6bba_3db54e20,4,0,21.0,109.0,193.0,0.26233575,3.7422462,0.33333334,2.5434792,68.92444,0
6bba_3db54e20,5,0,12.0,149.0,228.0,0.23490074,4.1482606,0.1904762,2.5434792,68.92444,0
6bba_3db54e20,6,0,13.0,54.0,194.0,0.24604002,4.6201167,0.20634921,2.5434792,68.92444,0
6bba_3db54e20,7,0,51.0,68.0,70.0,0.2486624,2.672149,0.8095238,2.5434792,68.92444,0
6bba_3db54e20,8,0,0.0,34.0,223.0,0.25938714,4.1597056,0.0,2.1396742,41.032837,0
6bba_3db54e20,9,0,32.0,79.0,148.0,0.21765663,3.4289563,0.50793654,2.5434792,68.92444,0
6bba_3db54e20,10,0,0.0,95.0,237.0,0.24963419,2.799888,0.0,2.1396742,41.032837,1
6bba_3db54e20,11,0,14.0,217.0,235.0,0.21115221,4.4335794,0.22222222,2.5434792,68.92444,0
6bba_3db54e20,12,0,0.0,87.0,233.0,0.2504255,3.0942338,0.0,2.1396742,41.032837,1
6bba_3db54e20,13,0,10.0,28.0,197.0,0.22278568,4.1000247,0.15873016,2.5434792,68.92444,0
6bba_3db54e20,14,0,18.0,17.0,169.0,0.22931953,4.1404157,0.2857143,2.5434792,68.92444,0
6bba_3db54e20,15,0,43.0,61.0,19.0,0.2941406,1.3888437,0.6825397,2.5434792,68.92444,0
6bba_3db54e20,16,0,60.0,172.0,59.0,0.24433896,3.2088141,0.95238096,2.5401762,68.65625,0
6bba_3db54e20,17,0,46.0,16.0,65.0,0.21727178,3.3978987,0.73015875,2.5434792,68.92444,0
6bba_3db54e20,18,0,4.0,0.0,193.0,0.22994113,7.4862323,0.06349207,2.1396742,41.032837,0
6bba_3db54e20,19,0,49.0,116.0,89.0,0.18822384,3.7289243,0.7777778,2.5434792,68.92444,0
6bba_3db54e20,20,0,53.0,175.0,87.0,0.20910817,2.845538,0.84126985,2.5401762,68.65625,0
6bba_3db54e20,21,0,56.0,105.0,50.0,0.2120081,3.0454779,0.8888889,2.5401762,68.65625,0
6bba_3db54e20,22,0,41.0,71.0,41.0,0.35428265,1.6510354,0.6507937,2.5434792,68.92444,2
6bba_3db54e20,23,0,44.0,78.0,27.0,0.29881546,1.2621663,0.6984127,2.5434792,68.92444,1
6bba_3db54e20,24,0,44.0,80.0,32.0,0.26848054,1.0615762,0.6984127,2.5434792,68.92444,2
6bba_3db54e20,25,0,54.0,0.0,14.0,0.18801516,5.6872625,0.85714287,2.1396742,41.032837,0
6bba_3db54e20,26,0,20.0,181.0,209.0,0.22377828,3.6415834,0.31746033,2.5434792,68.92444,0
6bba_3db54e20,27,0,40.0,58.0,38.0,0.3251275,1.4482472,0.63492066,2.5434792,68.92444,1
6bba_3db54e20,28,0,33.0,188.0,119.0,0.27906674,1.6802568,0.52380955,2.5434792,68.92444,2
6bba_3db54e20,29,0,55.0,40.0,32.0,0.220279,3.4263527,0.8730159,2.5401762,68.65625,0
6bba_3db54e20,30,0,0.0,29.0,155.0,0.30505744,1.77179,0.0,2.1396742,41.032837,0
6bba_3db54e20,31,0,63.0,90.0,11.0,0.16920516,4.9309416,1.0,2.1350024,40.76465,0
6bba_3db54e20,32,0,32.0,18.0,118.0,0.19540958,3.0482392,0.50793654,2.5434792,68.92444,0
6bba_3db54e20,33,0,9.0,91.0,163.0,0.27240458,1.7151886,0.14285715,2.5434792,68.92444,1
6bba_3db54e20,34,0,31.0,177.0,128.0,0.2470999,1.4435304,0.4920635,2.5434792,68.92444,2
6bba_3db54e20,35,0,34.0,201.0,130.0,0.24613675,1.4503623,0.53968257,2.5434792,68.92444,0
6bba_3db54e20,36,0,9.0,255.0,250.0,0.19742899,4.0899415,0.14285715,2.1396742,41.032837,0
6bba_3db54e20,37,0,0.0,0.0,141.0,0.24217187,1.9555094,0.0,1.7927979,24.136963,0
6bba_3db54e20,38,0,38.0,65.0,119.0,0.16929945,4.4981546,0.6031746,2.5434792,68.92444,0
6bba_3db54e20,39,0,22.0,8.0,149.0,0.18864234,4.493112,0.34920636,2.5434792,68.92444,0
