dataset,node_id,t,z,y,x,mean_intensity,snr,z_depth_ratio,estimated_radius_um,volume_um3,local_density_r15
6bba_474be664,0,0,0.0,243.0,20.0,0.9645464,4.883507,0.0,2.1396742,41.032837,0
6bba_474be664,1,0,29.0,98.0,28.0,1.1782815,4.1965184,0.46031746,2.5434792,68.92444,0
6bba_474be664,2,0,21.0,160.0,41.0,0.7822984,5.179349,0.33333334,2.5434792,68.92444,0
6bba_474be664,3,0,25.0,136.0,56.0,0.83008885,5.0849285,0.3968254,2.5434792,68.92444,0
6bba_474be664,4,0,17.0,213.0,0.0,0.8232175,3.0282195,0.26984128,2.1396742,41.032837,0
6bba_474be664,5,0,22.0,115.0,38.0,1.1213932,4.188726,0.34920636,2.5434792,68.92444,1
6bba_474be664,6,0,13.0,185.0,39.0,0.7792313,3.9764252,0.20634921,2.5434792,68.92444,1
6bba_474be664,7,0,28.0,96.0,82.0,1.0557152,3.13485,0.44444445,2.5434792,68.92444,1
6bba_474be664,8,0,42.0,31.0,47.0,0.94500077,2.5326006,0.6666667,2.5434792,68.92444,1
6bba_474be664,9,0,3.0,189.0,74.0,0.87158304,2.8592644,0.04761905,2.5401762,68.65625,1
6bba_474be664,10,0,44.0,108.0,0.0,0.7013951,6.301072,0.6984127,2.1396742,41.032837,0
6bba_474be664,11,0,6.0,216.0,23.0,0.7396083,4.172183,0.0952381,2.5434792,68.92444,0
6bba_474be664,12,0,21.0,156.0,17.0,0.69755524,3.7826667,0.33333334,2.5434792,68.92444,0
6bba_474be664,13,0,29.0,57.0,68.0,0.99334705,2.1508179,0.46031746,2.5434792,68.92444,2
6bba_474be664,14,0,35.0,116.0,40.0,0.8621062,2.3573623,0.5555556,2.5434792,68.92444,1
6bba_474be664,15,0,16.0,95.0,109.0,1.0114806,1.6106868,0.25396827,2.5434792,68.92444,1
6bba_474be664,16,0,0.0,139.0,90.0,0.781154,4.2765064,0.0,2.1396742,41.032837,0
6bba_474be664,17,0,29.0,78.0,71.0,0.8511316,2.5632272,0.46031746,2.5434792,68.92444,0
6bba_474be664,18,0,43.0,86.0,25.0,0.6722594,4.579404,0.6825397,2.5434792,68.92444,0
6bba_474be664,19,0,15.0,63.0,146.0,0.85331684,5.1418223,0.23809524,2.5434792,68.92444,2
6bba_474be664,20,0,4.0,194.0,52.0,0.7313933,3.3321614,0.06349207,2.5434792,68.92444,0
6bba_474be664,21,0,21.0,176.0,11.0,0.57914335,3.8773763,0.33333334,2.5434792,68.92444,0
6bba_474be664,22,0,15.0,77.0,38.0,0.64642966,3.3000379,0.23809524,2.5434792,68.92444,1
6bba_474be664,23,0,20.0,108.0,127.0,1.1220069,2.5022092,0.31746033,2.5434792,68.92444,1
6bba_474be664,24,0,22.0,101.0,102.0,1.0506638,1.8683078,0.34920636,2.5434792,68.92444,3
6bba_474be664,25,0,42.0,30.0,133.0,0.9629021,1.865684,0.6666667,2.5434792,68.92444,2
6bba_474be664,26,0,38.0,45.0,61.0,0.943939,1.6809661,0.6031746,2.5434792,68.92444,1
6bba_474be664,27,0,17.0,71.0,90.0,0.732389,2.185415,0.26984128,2.5401762,68.65625,0
6bba_474be664,28,0,0.0,200.0,82.0,0.53782296,1.5131366,0.0,2.057296,36.473633,1
6bba_474be664,29,0,47.0,13.0,49.0,0.77795136,2.2025883,0.74603176,2.5434792,68.92444,1
6bba_474be664,30,0,8.0,103.0,203.0,0.95514446,1.999949,0.12698413,2.5434792,68.92444,0
6bba_474be664,31,0,31.0,77.0,121.0,1.0067145,3.0989206,0.4920635,2.5434792,68.92444,2
6bba_474be664,32,0,11.0,141.0,42.0,0.6034308,4.802001,0.17460318,2.5434792,68.92444,1
6bba_474be664,33,0,12.0,154.0,63.0,0.6384665,3.575601,0.1904762,2.5335438,68.11987,0
6bba_474be664,34,0,0.0,85.0,238.0,0.9015787,2.4298315,0.0,2.1396742,41.032837,0
