dataset,node_id,t,z,y,x,mean_intensity,snr,z_depth_ratio,estimated_radius_um,volume_um3,local_density_r15
6bba_5c039895,0,0,43.0,14.0,40.0,1.6154948,3.2183702,0.6825397,2.5434792,68.92444,0
6bba_5c039895,1,0,41.0,57.0,90.0,1.2611055,3.5353346,0.6507937,2.5434792,68.92444,0
6bba_5c039895,2,0,54.0,99.0,0.0,1.3430477,3.9059346,0.85714287,2.1396742,41.032837,1
6bba_5c039895,3,0,46.0,160.0,79.0,1.3008369,3.39877,0.73015875,2.5434792,68.92444,0
6bba_5c039895,4,0,37.0,39.0,137.0,1.2822771,3.2043297,0.5873016,2.5434792,68.92444,0
6bba_5c039895,5,0,41.0,11.0,102.0,1.3015032,7.1570206,0.6507937,2.5401762,68.65625,1
6bba_5c039895,6,0,36.0,2.0,123.0,1.2623492,3.369219,0.5714286,2.4687274,63.024292,0
6bba_5c039895,7,0,36.0,136.0,173.0,1.253867,3.3620174,0.5714286,2.5434792,68.92444,0
6bba_5c039895,8,0,32.0,247.0,183.0,1.1053408,4.6794643,0.50793654,2.5434792,68.92444,0
6bba_5c039895,9,0,31.0,209.0,190.0,1.2401204,2.3521936,0.4920635,2.5434792,68.92444,1
6bba_5c039895,10,0,47.0,255.0,64.0,1.0249709,5.449061,0.74603176,2.1396742,41.032837,0
6bba_5c039895,11,0,32.0,71.0,196.0,1.1462874,4.2336283,0.50793654,2.5401762,68.65625,0
6bba_5c039895,12,0,18.0,22.0,231.0,1.5678321,3.6536298,0.2857143,2.5434792,68.92444,0
6bba_5c039895,13,0,42.0,47.0,111.0,1.1191567,3.8518283,0.6666667,2.5434792,68.92444,1
6bba_5c039895,14,0,49.0,208.0,75.0,1.3773679,2.6632817,0.7777778,2.5434792,68.92444,1
6bba_5c039895,15,0,34.0,58.0,177.0,1.1969085,3.1104832,0.53968257,2.5434792,68.92444,0
6bba_5c039895,16,0,51.0,218.0,74.0,1.2357924,2.1195014,0.8095238,2.5434792,68.92444,1
6bba_5c039895,17,0,45.0,245.0,131.0,1.0745481,3.2693996,0.71428573,2.5401762,68.65625,0
6bba_5c039895,18,0,48.0,67.0,52.0,1.0573531,3.553527,0.7619048,2.5434792,68.92444,0
6bba_5c039895,19,0,39.0,161.0,148.0,1.2943393,3.0382924,0.61904764,2.5434792,68.92444,0
6bba_5c039895,20,0,27.0,126.0,219.0,1.2843611,3.107155,0.42857143,2.5434792,68.92444,0
6bba_5c039895,21,0,38.0,169.0,168.0,1.0883003,3.5431337,0.6031746,2.5434792,68.92444,0
6bba_5c039895,22,0,45.0,158.0,113.0,1.1935451,3.3177803,0.71428573,2.5434792,68.92444,0
6bba_5c039895,23,0,48.0,39.0,48.0,1.0579554,3.148013,0.7619048,2.5434792,68.92444,0
6bba_5c039895,24,0,41.0,128.0,123.0,1.1281168,3.656089,0.6507937,2.5434792,68.92444,0
6bba_5c039895,25,0,26.0,124.0,241.0,1.3494697,3.276097,0.41269842,2.5434792,68.92444,0
6bba_5c039895,26,0,24.0,20.0,202.0,1.1704761,3.4074576,0.3809524,2.5401762,68.65625,0
6bba_5c039895,27,0,42.0,199.0,43.0,1.1742924,1.9410084,0.6666667,2.5434792,68.92444,1
6bba_5c039895,28,0,55.0,223.0,23.0,1.0249454,4.9579782,0.8730159,2.5401762,68.65625,0
6bba_5c039895,29,0,42.0,223.0,157.0,1.0217419,3.8835614,0.6666667,2.5434792,68.92444,0
6bba_5c039895,30,0,32.0,39.0,80.0,1.218821,2.1085346,0.50793654,2.5434792,68.92444,0
6bba_5c039895,31,0,52.0,202.0,12.0,1.0913064,2.8808537,0.82539684,2.5434792,68.92444,0
6bba_5c039895,32,0,20.0,0.0,201.0,1.1094369,3.25068,0.31746033,2.1396742,41.032837,0
6bba_5c039895,33,0,50.0,126.0,73.0,1.0305314,3.0411162,0.7936508,2.5434792,68.92444,0
6bba_5c039895,34,0,45.0,146.0,4.0,1.2799319,2.4042962,0.71428573,2.5434792,68.92444,0
6bba_5c039895,35,0,53.0,73.0,32.0,1.0365013,3.2189026,0.84126985,2.5434792,68.92444,0
6bba_5c039895,36,0,37.0,221.0,188.0,1.1745962,2.1443,0.5873016,2.5434792,68.92444,1
6bba_5c039895,37,0,19.0,57.0,246.0,1.1764191,2.5835173,0.3015873,2.5434792,68.92444,0
6bba_5c039895,38,0,31.0,5.0,153.0,1.2850329,2.3284469,0.4920635,2.5434792,68.92444,0
6bba_5c039895,39,0,9.0,180.0,255.0,1.2284448,1.6948487,0.14285715,2.1396742,41.032837,0
6bba_5c039895,40,0,19.0,105.0,255.0,1.5286776,2.8529274,0.3015873,2.1396742,41.032837,1
6bba_5c039895,41,0,17.0,32.0,163.0,1.1659614,1.7352809,0.26984128,2.5434792,68.92444,0
6bba_5c039895,42,0,36.0,235.0,167.0,0.96144134,3.538151,0.5714286,2.5401762,68.65625,0
6bba_5c039895,43,0,40.0,97.0,153.0,1.181211,2.6383343,0.63492066,2.5434792,68.92444,0
6bba_5c039895,44,0,31.0,14.0,79.0,1.0472363,2.175282,0.4920635,2.5434792,68.92444,0
6bba_5c039895,45,0,31.0,149.0,127.0,1.2559032,1.6916988,0.4920635,2.5434792,68.92444,1
6bba_5c039895,46,0,10.0,161.0,255.0,1.4000627,1.8873845,0.15873016,2.1396742,41.032837,1
6bba_5c039895,47,0,27.0,71.0,231.0,1.242743,2.5623124,0.42857143,2.5434792,68.92444,0
6bba_5c039895,48,0,44.0,255.0,84.0,0.90635693,4.0249057,0.6984127,2.1396742,41.032837,0
6bba_5c039895,49,0,17.0,154.0,212.0,1.3810672,1.6889912,0.26984128,2.5434792,68.92444,0
6bba_5c039895,50,0,44.0,188.0,99.0,0.98446786,2.8156028,0.6984127,2.5434792,68.92444,1
6bba_5c039895,51,0,22.0,190.0,239.0,1.0444273,3.3020813,0.34920636,2.5434792,68.92444,0
6bba_5c039895,52,0,35.0,102.0,170.0,0.97653645,3.2031841,0.5555556,2.5434792,68.92444,0
6bba_5c039895,53,0,34.0,74.0,153.0,1.0013433,2.5028021,0.53968257,2.5434792,68.92444,0
6bba_5c039895,54,0,14.0,72.0,255.0,1.1948876,2.3518972,0.22222222,2.1396742,41.032837,1
6bba_5c039895,55,0,22.0,18.0,166.0,1.436368,3.535337,0.34920636,2.5401762,68.65625,0
6bba_5c039895,56,0,15.0,12.0,250.0,1.4076115,4.2858834,0.23809524,2.5434792,68.92444,0
6bba_5c039895,57,0,56.0,189.0,24.0,1.1565695,3.6253934,0.8888889,2.5401762,68.65625,0
6bba_5c039895,58,0,20.0,96.0,255.0,1.455099,2.3741302,0.31746033,2.1396742,41.032837,1
6bba_5c039895,59,0,43.0,189.0,36.0,1.1550503,1.9865334,0.6825397,2.5434792,68.92444,1
6bba_5c039895,60,0,32.0,108.0,197.0,0.97293854,3.5293946,0.50793654,2.5434792,68.92444,0
6bba_5c039895,61,0,29.0,89.0,125.0,1.1678429,1.3360949,0.46031746,2.5434792,68.92444,3
6bba_5c039895,62,0,44.0,187.0,93.0,0.9367411,2.4330492,0.6984127,2.5368643,68.38806,1
6bba_5c039895,63,0,16.0,33.0,179.0,1.1798679,1.678835,0.25396827,2.5401762,68.65625,1
6bba_5c039895,64,0,37.0,140.0,144.0,1.2527103,2.079357,0.5873016,2.5434792,68.92444,1
6bba_5c039895,65,0,26.0,215.0,231.0,0.92748785,3.2149334,0.41269842,2.5434792,68.92444,0
6bba_5c039895,66,0,32.0,148.0,138.0,1.2987847,1.5312982,0.50793654,2.5434792,68.92444,2
6bba_5c039895,67,0,28.0,114.0,135.0,0.96975106,2.216109,0.44444445,2.5434792,68.92444,0
6bba_5c039895,68,0,30.0,95.0,125.0,1.180662,1.3557663,0.47619048,2.5434792,68.92444,3
6bba_5c039895,69,0,30.0,249.0,229.0,0.99942434,3.372376,0.47619048,2.5434792,68.92444,0
6bba_5c039895,70,0,28.0,88.0,132.0,1.237514,1.2447895,0.44444445,2.5434792,68.92444,2
6bba_5c039895,71,0,44.0,204.0,132.0,0.85891473,3.4984026,0.6984127,2.5434792,68.92444,0
6bba_5c039895,72,0,45.0,83.0,63.0,0.86290175,3.0657635,0.71428573,2.5434792,68.92444,0
6bba_5c039895,73,0,24.0,218.0,255.0,0.9001343,3.3465176,0.3809524,2.1396742,41.032837,0
6bba_5c039895,74,0,44.0,84.0,118.0,0.95935184,2.623184,0.6984127,2.5434792,68.92444,1
6bba_5c039895,75,0,29.0,149.0,201.0,1.0615692,2.4041548,0.46031746,2.5434792,68.92444,0
6bba_5c039895,76,0,51.0,158.0,19.0,0.92194444,2.504505,0.8095238,2.5368643,68.38806,0
6bba_5c039895,77,0,49.0,166.0,52.0,0.9565215,2.2231195,0.7777778,2.5434792,68.92444,0
6bba_5c039895,78,0,23.0,155.0,237.0,1.4357924,2.194821,0.36507937,2.5434792,68.92444,0
6bba_5c039895,79,0,15.0,143.0,226.0,1.2378231,1.0995041,0.23809524,2.5434792,68.92444,0
6bba_5c039895,80,0,34.0,152.0,215.0,1.1763765,2.7058458,0.53968257,2.5434792,68.92444,0
6bba_5c039895,81,0,27.0,173.0,223.0,1.06933,2.564194,0.42857143,2.5434792,68.92444,1
6bba_5c039895,82,0,22.0,247.0,246.0,0.8989233,2.9147935,0.34920636,2.5434792,68.92444,0
6bba_5c039895,83,0,40.0,171.0,68.0,1.0185918,1.5967891,0.63492066,2.5401762,68.65625,0
6bba_5c039895,84,0,46.0,127.0,0.0,0.97057027,1.6478796,0.73015875,2.1396742,41.032837,0
6bba_5c039895,85,0,50.0,125.0,19.0,0.90727574,2.0553355,0.7936508,2.5401762,68.65625,1
6bba_5c039895,86,0,43.0,215.0,107.0,0.7879644,3.1027396,0.6825397,2.5434792,68.92444,0
6bba_5c039895,87,0,31.0,35.0,176.0,1.1419433,2.4657557,0.4920635,2.5434792,68.92444,0
6bba_5c039895,88,0,22.0,38.0,211.0,0.8685358,3.325494,0.34920636,2.5434792,68.92444,0
6bba_5c039895,89,0,50.0,129.0,18.0,0.94574386,1.9481453,0.7936508,2.5401762,68.65625,1
