dataset,node_id,t,z,y,x,mean_intensity,snr,z_depth_ratio,estimated_radius_um,volume_um3,local_density_r15
6bba_61dd1e0d,0,0,63.0,143.0,156.0,0.26116174,6.417983,1.0,2.1396742,41.032837,0
6bba_61dd1e0d,1,0,63.0,33.0,171.0,0.22782205,3.7886202,1.0,2.1396742,41.032837,0
6bba_61dd1e0d,2,0,52.0,171.0,183.0,0.26570547,4.5979977,0.82539684,2.5434792,68.92444,0
6bba_61dd1e0d,3,0,45.0,205.0,180.0,0.24882226,4.395363,0.71428573,2.5434792,68.92444,0
6bba_61dd1e0d,4,0,23.0,255.0,210.0,0.26532412,5.0991626,0.36507937,2.1396742,41.032837,0
6bba_61dd1e0d,5,0,35.0,244.0,177.0,0.31368423,3.4470587,0.5555556,2.5434792,68.92444,0
6bba_61dd1e0d,6,0,31.0,185.0,255.0,0.2795227,5.486725,0.4920635,2.1396742,41.032837,0
6bba_61dd1e0d,7,0,32.0,217.0,218.0,0.25807673,3.6428385,0.50793654,2.5434792,68.92444,1
6bba_61dd1e0d,8,0,32.0,214.0,221.0,0.2619557,3.8192556,0.50793654,2.5434792,68.92444,1
6bba_61dd1e0d,9,0,47.0,14.0,218.0,0.27970988,7.176266,0.74603176,2.5434792,68.92444,0
6bba_61dd1e0d,10,0,45.0,243.0,135.0,0.25531593,3.4693978,0.71428573,2.5434792,68.92444,0
6bba_61dd1e0d,11,0,43.0,172.0,220.0,0.23498268,2.6165376,0.6825397,2.5434792,68.92444,1
6bba_61dd1e0d,12,0,14.0,245.0,248.0,0.32549718,3.8395736,0.22222222,2.5434792,68.92444,1
6bba_61dd1e0d,13,0,45.0,164.0,222.0,0.24767974,3.0625784,0.71428573,2.5434792,68.92444,1
6bba_61dd1e0d,14,0,63.0,203.0,98.0,0.2150109,2.1162894,1.0,2.1396742,41.032837,0
6bba_61dd1e0d,15,0,58.0,179.0,145.0,0.21688202,3.9417157,0.9206349,2.5434792,68.92444,0
6bba_61dd1e0d,16,0,30.0,14.0,232.0,0.23213947,7.676394,0.47619048,2.5434792,68.92444,0
6bba_61dd1e0d,17,0,48.0,117.0,247.0,0.25502002,4.1284,0.7619048,2.5434792,68.92444,0
6bba_61dd1e0d,18,0,28.0,111.0,212.0,0.2973966,1.8029308,0.44444445,2.5434792,68.92444,1
6bba_61dd1e0d,19,0,14.0,239.0,255.0,0.34197688,2.6252337,0.22222222,2.1396742,41.032837,1
6bba_61dd1e0d,20,0,52.0,251.0,85.0,0.22889543,3.3916056,0.82539684,2.5434792,68.92444,0
6bba_61dd1e0d,21,0,26.0,255.0,118.0,0.27292207,2.08994,0.41269842,2.1396742,41.032837,0
6bba_61dd1e0d,22,0,51.0,218.0,47.0,0.2514351,2.0635543,0.8095238,2.5434792,68.92444,0
6bba_61dd1e0d,23,0,63.0,220.0,69.0,0.22404036,3.4739342,1.0,2.1396742,41.032837,0
6bba_61dd1e0d,24,0,58.0,10.0,190.0,0.21168257,5.004746,0.9206349,2.5434792,68.92444,0
6bba_61dd1e0d,25,0,28.0,89.0,222.0,0.24148759,1.5883503,0.44444445,2.5434792,68.92444,0
6bba_61dd1e0d,26,0,48.0,232.0,55.0,0.21121056,1.6958212,0.7619048,2.5434792,68.92444,0
6bba_61dd1e0d,27,0,59.0,255.0,43.0,0.1882781,5.072534,0.93650794,2.1396742,41.032837,0
6bba_61dd1e0d,28,0,5.0,141.0,255.0,0.27733925,2.8942368,0.07936508,2.1396742,41.032837,1
6bba_61dd1e0d,29,0,31.0,255.0,89.0,0.25648972,1.5835183,0.4920635,2.1396742,41.032837,0
6bba_61dd1e0d,30,0,26.0,105.0,223.0,0.31790596,1.669796,0.41269842,2.5434792,68.92444,1
6bba_61dd1e0d,31,0,56.0,119.0,207.0,0.20789535,2.1704426,0.8888889,2.5401762,68.65625,0
6bba_61dd1e0d,32,0,6.0,128.0,255.0,0.2397365,2.0539122,0.0952381,2.1396742,41.032837,1
6bba_61dd1e0d,33,0,49.0,216.0,65.0,0.22054748,1.6986961,0.7777778,2.5434792,68.92444,0
6bba_61dd1e0d,34,0,63.0,44.0,238.0,0.2938188,1.9938935,1.0,2.1396742,41.032837,0
6bba_61dd1e0d,35,0,63.0,125.0,65.0,0.11102128,2.711612,1.0,2.0471616,35.937256,0
6bba_61dd1e0d,36,0,63.0,13.0,236.0,0.21863842,2.756233,1.0,2.0369256,35.40088,0
6bba_61dd1e0d,37,0,57.0,28.0,255.0,0.30043828,2.9650629,0.9047619,2.1396742,41.032837,2
6bba_61dd1e0d,38,0,63.0,185.0,118.0,0.105915084,2.4380882,1.0,2.1396742,41.032837,0
6bba_61dd1e0d,39,0,63.0,19.0,255.0,0.24362141,1.371069,1.0,1.7994134,24.405151,1
6bba_61dd1e0d,40,0,22.0,4.0,255.0,0.16627392,2.5139308,0.34920636,2.1396742,41.032837,1
6bba_61dd1e0d,41,0,28.0,8.0,255.0,0.16776207,2.8134365,0.44444445,2.1350024,40.76465,2
6bba_61dd1e0d,42,0,55.0,39.0,255.0,0.21841191,0.8230584,0.8730159,2.0723133,37.2782,1
6bba_61dd1e0d,43,0,59.0,81.0,232.0,0.13815987,2.365723,0.93650794,2.5434792,68.92444,0
6bba_61dd1e0d,44,0,45.0,148.0,241.0,0.11387832,2.1658015,0.71428573,2.5434792,68.92444,0
6bba_61dd1e0d,45,0,63.0,123.0,156.0,0.062086094,2.6604493,1.0,1.9841315,32.718994,0
6bba_61dd1e0d,46,0,51.0,93.0,255.0,0.13356343,2.6219115,0.8095238,2.1396742,41.032837,0
6bba_61dd1e0d,47,0,59.0,0.0,255.0,0.17730998,1.5070741,0.93650794,1.7994134,24.405151,0
6bba_61dd1e0d,48,0,50.0,245.0,115.0,0.099107854,1.8242987,0.7936508,2.5401762,68.65625,0
6bba_61dd1e0d,49,0,58.0,153.0,178.0,0.09646693,1.4745257,0.9206349,2.5401762,68.65625,0
6bba_61dd1e0d,50,0,41.0,210.0,198.0,0.08133122,1.3426461,0.6507937,2.5401762,68.65625,0
6bba_61dd1e0d,51,0,63.0,65.0,199.0,0.056523703,2.4881306,1.0,1.9340899,30.305298,0
6bba_61dd1e0d,52,0,40.0,0.0,255.0,0.13160719,1.2018867,0.63492066,1.7994134,24.405151,1
6bba_61dd1e0d,53,0,35.0,139.0,255.0,0.065811135,1.1003504,0.5555556,2.0871162,38.082764,1
6bba_61dd1e0d,54,0,23.0,220.0,255.0,0.062998466,1.1328712,0.36507937,2.0822053,37.814575,0
6bba_61dd1e0d,55,0,43.0,141.0,255.0,0.08023622,0.9708124,0.6825397,2.016139,34.328125,1
6bba_61dd1e0d,56,0,48.0,58.0,255.0,0.102193184,1.3670355,0.7619048,2.1396742,41.032837,0
6bba_61dd1e0d,57,0,63.0,153.0,122.0,0.025087386,2.2983758,1.0,1.8932986,28.427979,0
6bba_61dd1e0d,58,0,63.0,218.0,27.0,0.038342107,0.9862925,1.0,2.021376,34.596313,0
6bba_61dd1e0d,59,0,63.0,238.0,33.0,0.0466039,0.82716995,1.0,1.9732294,32.182617,0
6bba_61dd1e0d,60,0,63.0,66.0,255.0,0.10236585,1.3971791,1.0,1.7861332,23.868774,0
6bba_61dd1e0d,61,0,38.0,35.0,255.0,0.09370488,1.0428661,0.6031746,2.0968692,38.61914,2
6bba_61dd1e0d,62,0,63.0,0.0,172.0,0.04240206,0.60378367,1.0,1.6642861,19.30957,0
6bba_61dd1e0d,63,0,27.0,34.0,255.0,0.083077185,0.8853266,0.42857143,2.0723133,37.2782,2
6bba_61dd1e0d,64,0,26.0,41.0,255.0,0.07709007,1.1070799,0.41269842,2.0871162,38.082764,2
6bba_61dd1e0d,65,1,63.0,144.0,153.0,0.27169505,4.2683854,1.0,2.1396742,41.032837,0
6bba_61dd1e0d,66,1,50.0,173.0,180.0,0.2655912,4.48975,0.7936508,2.5434792,68.92444,0
6bba_61dd1e0d,67,1,30.0,218.0,219.0,0.27950197,4.0249414,0.47619048,2.5434792,68.92444,0
6bba_61dd1e0d,68,1,43.0,211.0,173.0,0.24394311,4.3024044,0.6825397,2.5434792,68.92444,0
6bba_61dd1e0d,69,1,33.0,255.0,167.0,0.32816216,2.9587562,0.52380955,2.1396742,41.032837,1
6bba_61dd1e0d,70,1,32.0,252.0,173.0,0.33374277,4.8540196,0.50793654,2.5401762,68.65625,1
6bba_61dd1e0d,71,1,45.0,16.0,220.0,0.28630286,6.088285,0.71428573,2.5434792,68.92444,0
6bba_61dd1e0d,72,1,22.0,255.0,210.0,0.21116634,7.875339,0.34920636,2.1396742,41.032837,0
6bba_61dd1e0d,73,1,42.0,172.0,219.0,0.24458928,3.0399802,0.6666667,2.5434792,68.92444,0
6bba_61dd1e0d,74,1,55.0,13.0,192.0,0.24408357,6.075856,0.8730159,2.5434792,68.92444,0
6bba_61dd1e0d,75,1,29.0,187.0,255.0,0.28222838,3.6852283,0.46031746,2.1396742,41.032837,0
6bba_61dd1e0d,76,1,43.0,246.0,132.0,0.23124792,3.3448534,0.6825397,2.5434792,68.92444,0
6bba_61dd1e0d,77,1,50.0,255.0,84.0,0.2352029,4.29051,0.7936508,2.1396742,41.032837,0
6bba_61dd1e0d,78,1,27.0,121.0,203.0,0.29342586,1.7995911,0.42857143,2.5434792,68.92444,0
6bba_61dd1e0d,79,1,58.0,37.0,170.0,0.22717789,4.9397354,0.9206349,2.5434792,68.92444,0
6bba_61dd1e0d,80,1,26.0,255.0,107.0,0.27311713,2.096453,0.41269842,2.1396742,41.032837,0
6bba_61dd1e0d,81,1,55.0,119.0,204.0,0.24338683,2.6624086,0.8730159,2.5434792,68.92444,0
6bba_61dd1e0d,82,1,57.0,183.0,137.0,0.2120066,3.6927679,0.9047619,2.5434792,68.92444,0
6bba_61dd1e0d,83,1,31.0,255.0,82.0,0.28404057,2.1928833,0.4920635,2.1396742,41.032837,0
6bba_61dd1e0d,84,1,44.0,119.0,245.0,0.26416212,4.044796,0.6984127,2.5434792,68.92444,0
