dataset,node_id,t,z,y,x,mean_intensity,snr,z_depth_ratio,estimated_radius_um,volume_um3,local_density_r15
6bba_8b7818bf,0,0,25.0,49.0,203.0,1.4444429,5.449694,0.3968254,2.5434792,68.92444,0
6bba_8b7818bf,1,0,0.0,106.0,184.0,1.8486835,3.060667,0.0,2.1396742,41.032837,1
6bba_8b7818bf,2,0,24.0,61.0,45.0,1.3617262,4.1001387,0.3809524,2.5434792,68.92444,0
6bba_8b7818bf,3,0,54.0,0.0,125.0,1.3363558,5.4115763,0.85714287,2.1396742,41.032837,0
6bba_8b7818bf,4,0,0.0,109.0,107.0,1.2178113,2.8023765,0.0,2.1396742,41.032837,1
6bba_8b7818bf,5,0,37.0,28.0,224.0,1.3515327,5.2583404,0.5873016,2.5434792,68.92444,0
6bba_8b7818bf,6,0,27.0,45.0,169.0,1.6000392,3.1433747,0.42857143,2.5434792,68.92444,1
6bba_8b7818bf,7,0,15.0,73.0,114.0,1.1590353,3.8124723,0.23809524,2.5434792,68.92444,0
6bba_8b7818bf,8,0,0.0,109.0,194.0,1.8730477,3.1833653,0.0,2.1396742,41.032837,1
6bba_8b7818bf,9,0,35.0,28.0,146.0,1.420407,3.5663419,0.5555556,2.5434792,68.92444,0
6bba_8b7818bf,10,0,0.0,110.0,246.0,1.6233315,3.3901355,0.0,2.1396742,41.032837,0
6bba_8b7818bf,11,0,11.0,77.0,200.0,1.7199996,2.2697418,0.17460318,2.5434792,68.92444,1
6bba_8b7818bf,12,0,37.0,33.0,52.0,1.2225251,3.9019687,0.5873016,2.5434792,68.92444,1
6bba_8b7818bf,13,0,6.0,90.0,145.0,1.7330612,6.6146164,0.0952381,2.5434792,68.92444,0
6bba_8b7818bf,14,0,36.0,33.0,58.0,1.1602,3.3704498,0.5714286,2.5434792,68.92444,1
6bba_8b7818bf,15,0,0.0,107.0,118.0,1.2485424,2.8387127,0.0,2.1396742,41.032837,1
6bba_8b7818bf,16,0,26.0,46.0,157.0,1.7638928,3.6749375,0.41269842,2.5434792,68.92444,1
6bba_8b7818bf,17,0,53.0,8.0,254.0,1.3202921,5.4679136,0.84126985,2.3316977,53.10132,0
6bba_8b7818bf,18,0,17.0,65.0,144.0,1.577652,3.219243,0.26984128,2.5434792,68.92444,1
6bba_8b7818bf,19,0,12.0,76.0,209.0,2.4724476,4.5877047,0.1904762,2.5434792,68.92444,1
6bba_8b7818bf,20,0,20.0,66.0,79.0,0.97290426,3.8441646,0.31746033,2.5434792,68.92444,0
6bba_8b7818bf,21,0,53.0,12.0,0.0,0.9537651,5.724334,0.84126985,2.1396742,41.032837,0
6bba_8b7818bf,22,0,37.0,26.0,116.0,1.9131455,3.566432,0.5873016,2.5434792,68.92444,1
6bba_8b7818bf,23,0,36.0,28.0,106.0,1.5796067,2.3233633,0.5714286,2.5434792,68.92444,1
6bba_8b7818bf,24,0,47.0,15.0,42.0,1.0145001,3.268519,0.74603176,2.5434792,68.92444,0
6bba_8b7818bf,25,0,17.0,64.0,155.0,1.597879,3.1022327,0.26984128,2.5434792,68.92444,1
6bba_8b7818bf,26,0,47.0,8.0,176.0,1.0448979,3.3111417,0.74603176,2.5434792,68.92444,1
6bba_8b7818bf,27,0,9.0,91.0,77.0,1.0796478,2.4279432,0.14285715,2.5434792,68.92444,1
6bba_8b7818bf,28,0,9.0,93.0,67.0,1.1925796,2.6938794,0.14285715,2.5434792,68.92444,1
6bba_8b7818bf,29,0,25.0,49.0,237.0,0.89642596,3.2157874,0.3968254,2.5434792,68.92444,0
6bba_8b7818bf,30,0,54.0,110.0,150.0,1.0053662,2.8588123,0.85714287,2.5434792,68.92444,0
6bba_8b7818bf,31,0,37.0,39.0,6.0,1.1929724,2.5655868,0.5873016,2.5434792,68.92444,1
6bba_8b7818bf,32,0,40.0,22.0,205.0,1.8690424,2.9584072,0.63492066,2.5434792,68.92444,1
6bba_8b7818bf,33,0,42.0,18.0,196.0,1.8749565,2.789891,0.6666667,2.5434792,68.92444,1
6bba_8b7818bf,34,0,34.0,42.0,13.0,1.0449708,2.0907953,0.53968257,2.5434792,68.92444,1
6bba_8b7818bf,35,0,15.0,82.0,230.0,0.8063472,3.39366,0.23809524,2.5434792,68.92444,1
6bba_8b7818bf,36,0,55.0,0.0,225.0,1.5861487,2.4001083,0.8730159,2.1396742,41.032837,1
6bba_8b7818bf,37,0,0.0,136.0,13.0,0.68693423,2.857211,0.0,2.0317688,35.13269,1
6bba_8b7818bf,38,0,9.0,100.0,22.0,0.80958974,3.3853812,0.14285715,2.5434792,68.92444,0
6bba_8b7818bf,39,0,0.0,135.0,7.0,0.7212172,3.151268,0.0,2.0822053,37.814575,1
6bba_8b7818bf,40,0,51.0,4.0,84.0,0.85878503,3.463818,0.8095238,2.5434792,68.92444,1
6bba_8b7818bf,41,0,14.0,84.0,225.0,0.83764917,1.6776825,0.22222222,2.5401762,68.65625,1
6bba_8b7818bf,42,0,55.0,0.0,212.0,1.3662661,1.4800895,0.8730159,2.1396742,41.032837,3
