dataset,node_id,t,z,y,x,mean_intensity,snr,z_depth_ratio,estimated_radius_um,volume_um3,local_density_r15
6bba_91951b3a,0,0,63.0,22.0,92.0,1.3476719,5.0967426,1.0,2.1396742,41.032837,0
6bba_91951b3a,1,0,63.0,0.0,119.0,1.2115234,7.861443,1.0,1.7994134,24.405151,0
6bba_91951b3a,2,0,63.0,21.0,66.0,1.143086,4.7020364,1.0,2.1396742,41.032837,0
6bba_91951b3a,3,0,63.0,76.0,35.0,1.2924687,4.495833,1.0,2.1396742,41.032837,0
6bba_91951b3a,4,0,28.0,103.0,172.0,1.0475533,5.521006,0.44444445,2.5401762,68.65625,1
6bba_91951b3a,5,0,63.0,69.0,76.0,1.0837964,4.0307727,1.0,2.1396742,41.032837,0
6bba_91951b3a,6,0,63.0,39.0,44.0,1.2378033,3.1483598,1.0,2.1396742,41.032837,0
6bba_91951b3a,7,0,51.0,71.0,146.0,1.2790246,3.9026732,0.8095238,2.5434792,68.92444,0
6bba_91951b3a,8,0,54.0,61.0,120.0,1.2402563,6.9853263,0.85714287,2.5401762,68.65625,1
6bba_91951b3a,9,0,48.0,21.0,134.0,1.708598,3.6082618,0.7619048,2.5434792,68.92444,0
6bba_91951b3a,10,0,63.0,8.0,15.0,0.9292755,5.049073,1.0,2.1350024,40.76465,0
6bba_91951b3a,11,0,46.0,12.0,169.0,1.1913087,2.7383275,0.73015875,2.5434792,68.92444,0
6bba_91951b3a,12,0,49.0,34.0,184.0,1.2198052,4.0125256,0.7777778,2.5434792,68.92444,1
6bba_91951b3a,13,0,33.0,248.0,29.0,1.4706322,6.663454,0.52380955,2.5434792,68.92444,0
6bba_91951b3a,14,0,38.0,21.0,201.0,1.2343736,3.2619195,0.6031746,2.5434792,68.92444,0
6bba_91951b3a,15,0,36.0,75.0,202.0,1.3685687,4.1232805,0.5714286,2.5434792,68.92444,1
6bba_91951b3a,16,0,33.0,230.0,44.0,1.4112135,8.575022,0.52380955,2.5434792,68.92444,0
6bba_91951b3a,17,0,39.0,124.0,93.0,1.1253175,4.0210667,0.61904764,2.5434792,68.92444,1
