dataset,node_id,t,z,y,x,mean_intensity,snr,z_depth_ratio,estimated_radius_um,volume_um3,local_density_r15
6bba_9a41d029,0,0,27.0,237.0,122.0,0.6349663,5.382292,0.42857143,2.5434792,68.92444,0
6bba_9a41d029,1,0,44.0,186.0,214.0,0.47825605,4.0889664,0.6984127,2.5434792,68.92444,0
6bba_9a41d029,2,0,49.0,30.0,246.0,0.50600094,5.2256107,0.7777778,2.5434792,68.92444,1
6bba_9a41d029,3,0,47.0,18.0,234.0,0.4835513,3.7737267,0.74603176,2.5401762,68.65625,0
6bba_9a41d029,4,0,25.0,0.0,127.0,0.42804438,5.436473,0.3968254,2.1396742,41.032837,0
6bba_9a41d029,5,0,12.0,120.0,59.0,0.5355305,3.331884,0.1904762,2.5434792,68.92444,0
6bba_9a41d029,6,0,38.0,255.0,173.0,0.42521203,5.810258,0.6031746,2.1396742,41.032837,0
6bba_9a41d029,7,0,20.0,209.0,100.0,0.6021498,2.4275851,0.31746033,2.5434792,68.92444,0
6bba_9a41d029,8,0,19.0,246.0,87.0,0.5510317,3.0740585,0.3015873,2.5434792,68.92444,0
6bba_9a41d029,9,0,25.0,193.0,130.0,0.56124085,2.3354387,0.3968254,2.5434792,68.92444,0
6bba_9a41d029,10,0,46.0,52.0,233.0,0.45311442,3.6578338,0.73015875,2.5434792,68.92444,0
6bba_9a41d029,11,0,50.0,142.0,246.0,0.4650591,2.8490927,0.7936508,2.5434792,68.92444,0
6bba_9a41d029,12,0,26.0,152.0,138.0,0.46707723,3.3250563,0.41269842,2.5401762,68.65625,0
6bba_9a41d029,13,0,43.0,13.0,219.0,0.45138553,3.0297937,0.6825397,2.5434792,68.92444,0
6bba_9a41d029,14,0,13.0,157.0,65.0,0.58008796,2.942065,0.20634921,2.5235295,67.31531,0
6bba_9a41d029,15,0,37.0,173.0,187.0,0.43351454,4.460771,0.5873016,2.5434792,68.92444,0
6bba_9a41d029,16,0,55.0,235.0,246.0,0.4314471,3.8406487,0.8730159,2.5434792,68.92444,0
6bba_9a41d029,17,0,10.0,97.0,61.0,0.63621205,2.4427695,0.15873016,2.5434792,68.92444,1
6bba_9a41d029,18,0,51.0,70.0,252.0,0.47533298,3.9714954,0.8095238,2.5401762,68.65625,0
6bba_9a41d029,19,0,42.0,48.0,216.0,0.42428818,3.567047,0.6666667,2.5434792,68.92444,0
6bba_9a41d029,20,0,9.0,140.0,44.0,0.56038946,3.400224,0.14285715,2.5434792,68.92444,0
6bba_9a41d029,21,0,7.0,64.0,22.0,0.57625544,2.1995351,0.11111111,2.5434792,68.92444,0
6bba_9a41d029,22,0,48.0,105.0,242.0,0.39848918,4.457254,0.7619048,2.5434792,68.92444,0
6bba_9a41d029,23,0,41.0,230.0,190.0,0.45709157,3.1871176,0.6507937,2.5434792,68.92444,1
6bba_9a41d029,24,0,6.0,24.0,0.0,0.5633459,2.5818868,0.0952381,2.1350024,40.76465,0
6bba_9a41d029,25,0,21.0,187.0,115.0,0.5003605,2.2915998,0.33333334,2.5434792,68.92444,0
6bba_9a41d029,26,0,33.0,187.0,156.0,0.55110395,2.473714,0.52380955,2.5434792,68.92444,1
6bba_9a41d029,27,0,18.0,146.0,93.0,0.4845012,2.6941442,0.2857143,2.5401762,68.65625,0
6bba_9a41d029,28,0,14.0,185.0,68.0,0.51206523,2.1558936,0.22222222,2.5401762,68.65625,0
6bba_9a41d029,29,0,42.0,239.0,193.0,0.40528324,2.7195745,0.6666667,2.5434792,68.92444,1
6bba_9a41d029,30,0,16.0,223.0,72.0,0.56526405,1.8240921,0.25396827,2.5368643,68.38806,1
6bba_9a41d029,31,0,20.0,59.0,80.0,0.54173297,3.2120662,0.31746033,2.5434792,68.92444,1
6bba_9a41d029,32,0,8.0,34.0,31.0,0.43419164,2.7080877,0.12698413,2.5401762,68.65625,1
6bba_9a41d029,33,0,38.0,119.0,197.0,0.3979337,2.729834,0.6031746,2.5434792,68.92444,1
6bba_9a41d029,34,0,4.0,98.0,0.0,0.6247025,2.8941214,0.06349207,2.1396742,41.032837,0
6bba_9a41d029,35,0,15.0,226.0,75.0,0.55488056,2.1693945,0.23809524,2.5401762,68.65625,2
6bba_9a41d029,36,0,11.0,44.0,59.0,0.45808095,3.1040442,0.17460318,2.5434792,68.92444,1
6bba_9a41d029,37,0,36.0,43.0,189.0,0.38050646,3.8135853,0.5714286,2.5434792,68.92444,0
6bba_9a41d029,38,0,39.0,180.0,158.0,0.491006,1.6855189,0.61904764,2.5434792,68.92444,1
6bba_9a41d029,39,0,38.0,127.0,201.0,0.4265167,2.6363435,0.6031746,2.5434792,68.92444,1
6bba_9a41d029,40,0,27.0,111.0,151.0,0.38043088,3.3796875,0.42857143,2.5434792,68.92444,1
6bba_9a41d029,41,0,22.0,157.0,118.0,0.42785448,2.4962363,0.34920636,2.5401762,68.65625,0
6bba_9a41d029,42,0,33.0,9.0,170.0,0.36350983,4.0247173,0.52380955,2.5434792,68.92444,0
6bba_9a41d029,43,0,7.0,167.0,35.0,0.55337524,2.7341564,0.11111111,2.5401762,68.65625,1
6bba_9a41d029,44,0,21.0,81.0,74.0,0.4690395,2.449808,0.33333334,2.5434792,68.92444,2
6bba_9a41d029,45,0,29.0,47.0,156.0,0.4005172,4.2136397,0.46031746,2.5434792,68.92444,0
6bba_9a41d029,46,0,41.0,92.0,212.0,0.34233883,4.214215,0.6507937,2.5434792,68.92444,0
6bba_9a41d029,47,0,8.0,197.0,32.0,0.568919,2.7522235,0.12698413,2.5434792,68.92444,0
6bba_9a41d029,48,0,15.0,250.0,60.0,0.56251615,2.116409,0.23809524,2.5401762,68.65625,0
6bba_9a41d029,49,0,0.0,202.0,8.0,0.74930954,2.254427,0.0,2.1396742,41.032837,0
6bba_9a41d029,50,0,16.0,121.0,96.0,0.40669334,2.8618603,0.25396827,2.5401762,68.65625,0
