dataset,node_id,t,z,y,x,mean_intensity,snr,z_depth_ratio,estimated_radius_um,volume_um3,local_density_r15
6bba_a5e926bb,0,0,29.0,33.0,150.0,1.2421384,3.7780757,0.46031746,2.5434792,68.92444,0
6bba_a5e926bb,1,0,47.0,0.0,222.0,1.1075653,4.851479,0.74603176,2.1396742,41.032837,0
6bba_a5e926bb,2,0,51.0,46.0,233.0,1.1103985,3.826435,0.8095238,2.5434792,68.92444,0
6bba_a5e926bb,3,0,22.0,51.0,132.0,1.1785781,4.436775,0.34920636,2.5434792,68.92444,2
6bba_a5e926bb,4,0,39.0,216.0,176.0,1.0894678,3.400248,0.61904764,2.5434792,68.92444,0
6bba_a5e926bb,5,0,55.0,180.0,234.0,1.0486448,3.7570093,0.8730159,2.5434792,68.92444,1
6bba_a5e926bb,6,0,18.0,139.0,41.0,1.083459,4.0165615,0.2857143,2.5434792,68.92444,0
6bba_a5e926bb,7,0,0.0,35.0,26.0,1.3093126,3.3177085,0.0,2.1396742,41.032837,1
6bba_a5e926bb,8,0,26.0,72.0,135.0,1.1289208,3.309107,0.41269842,2.5434792,68.92444,0
6bba_a5e926bb,9,0,30.0,50.0,166.0,1.2437863,2.9740977,0.47619048,2.5434792,68.92444,0
6bba_a5e926bb,10,0,15.0,177.0,20.0,1.0552555,3.810425,0.23809524,2.5434792,68.92444,0
6bba_a5e926bb,11,0,37.0,67.0,186.0,1.1340362,2.7849398,0.5873016,2.5434792,68.92444,0
6bba_a5e926bb,12,0,29.0,88.0,157.0,1.1139324,6.141244,0.46031746,2.5434792,68.92444,1
6bba_a5e926bb,13,0,27.0,215.0,139.0,1.1533787,4.12117,0.42857143,2.5434792,68.92444,0
6bba_a5e926bb,14,0,17.0,69.0,114.0,1.350221,5.335105,0.26984128,2.5434792,68.92444,0
6bba_a5e926bb,15,0,63.0,168.0,255.0,0.98351645,3.2230296,1.0,1.7994134,24.405151,0
6bba_a5e926bb,16,0,10.0,12.0,55.0,1.2804931,2.7969084,0.15873016,2.5434792,68.92444,0
6bba_a5e926bb,17,0,24.0,200.0,120.0,1.0696088,3.4394045,0.3809524,2.5434792,68.92444,0
6bba_a5e926bb,18,0,40.0,120.0,195.0,1.127882,2.8731935,0.63492066,2.5434792,68.92444,1
6bba_a5e926bb,19,0,27.0,149.0,157.0,1.1719408,4.296009,0.42857143,2.5434792,68.92444,1
6bba_a5e926bb,20,0,16.0,202.0,103.0,1.184719,3.7640858,0.25396827,2.5434792,68.92444,0
6bba_a5e926bb,21,0,20.0,232.0,99.0,1.2318285,3.1018147,0.31746033,2.5434792,68.92444,0
6bba_a5e926bb,22,0,26.0,177.0,127.0,1.1457357,3.8146884,0.41269842,2.5434792,68.92444,0
6bba_a5e926bb,23,0,0.0,132.0,12.0,1.0175959,4.0293527,0.0,2.1350024,40.76465,1
6bba_a5e926bb,24,0,41.0,188.0,198.0,1.0480492,3.2081125,0.6507937,2.5434792,68.92444,0
6bba_a5e926bb,25,0,34.0,142.0,176.0,1.0882899,4.1168876,0.53968257,2.5434792,68.92444,1
6bba_a5e926bb,26,0,43.0,122.0,199.0,1.128226,2.5102973,0.6825397,2.5434792,68.92444,1
6bba_a5e926bb,27,0,15.0,48.0,93.0,1.1812646,4.649521,0.23809524,2.5434792,68.92444,0
6bba_a5e926bb,28,0,8.0,233.0,45.0,1.4120146,4.1303735,0.12698413,2.5434792,68.92444,0
6bba_a5e926bb,29,0,21.0,88.0,113.0,1.0323261,3.568796,0.33333334,2.5434792,68.92444,1
6bba_a5e926bb,30,0,0.0,59.0,8.0,1.1367991,3.4518554,0.0,2.1396742,41.032837,0
6bba_a5e926bb,31,0,23.0,149.0,130.0,1.1874586,2.7661562,0.36507937,2.5434792,68.92444,0
