dataset,node_id,t,z,y,x,mean_intensity,snr,z_depth_ratio,estimated_radius_um,volume_um3,local_density_r15
6bba_b1ae37b9,0,0,0.0,8.0,161.0,1.1234809,4.918122,0.0,2.1396742,41.032837,0
6bba_b1ae37b9,1,0,0.0,7.0,199.0,1.0758361,4.2612705,0.0,2.1396742,41.032837,0
6bba_b1ae37b9,2,0,0.0,10.0,184.0,0.9766306,3.9158432,0.0,2.1396742,41.032837,1
6bba_b1ae37b9,3,0,0.0,9.0,115.0,0.91892916,3.1667619,0.0,2.1396742,41.032837,0
6bba_b1ae37b9,4,0,0.0,18.0,248.0,1.0570457,2.4659407,0.0,2.1396742,41.032837,0
6bba_b1ae37b9,5,0,0.0,12.0,9.0,0.8534909,3.804975,0.0,2.1396742,41.032837,1
6bba_b1ae37b9,6,0,0.0,7.0,233.0,0.90897095,2.3871255,0.0,2.1396742,41.032837,0
6bba_b1ae37b9,7,0,0.0,7.0,31.0,0.8604467,2.7079663,0.0,2.1396742,41.032837,1
6bba_b1ae37b9,8,0,0.0,54.0,245.0,1.1621912,3.1341734,0.0,2.1396742,41.032837,1
6bba_b1ae37b9,9,0,0.0,105.0,16.0,1.060211,4.116168,0.0,2.1396742,41.032837,0
6bba_b1ae37b9,10,0,0.0,7.0,39.0,0.814936,2.2486327,0.0,2.1350024,40.76465,1
6bba_b1ae37b9,11,0,0.0,158.0,45.0,1.3205576,3.5071936,0.0,2.1350024,40.76465,0
6bba_b1ae37b9,12,0,0.0,88.0,255.0,1.0631008,3.9582183,0.0,1.7994134,24.405151,0
6bba_b1ae37b9,13,0,3.0,33.0,167.0,0.9862056,2.7051446,0.04761905,2.5401762,68.65625,0
6bba_b1ae37b9,14,0,0.0,47.0,184.0,0.9902314,2.9458737,0.0,2.1396742,41.032837,1
6bba_b1ae37b9,15,0,0.0,44.0,89.0,0.8943315,2.5338924,0.0,2.1396742,41.032837,0
6bba_b1ae37b9,16,0,0.0,176.0,97.0,1.3239881,3.4565475,0.0,2.1396742,41.032837,0
6bba_b1ae37b9,17,0,0.0,229.0,13.0,1.0668637,5.9414606,0.0,2.1396742,41.032837,1
6bba_b1ae37b9,18,0,0.0,137.0,226.0,1.0793463,5.1364326,0.0,2.1396742,41.032837,0
6bba_b1ae37b9,19,0,0.0,146.0,13.0,1.0733114,2.7935572,0.0,2.1396742,41.032837,2
6bba_b1ae37b9,20,0,0.0,104.0,92.0,1.0612307,3.461364,0.0,2.1396742,41.032837,0
6bba_b1ae37b9,21,0,0.0,94.0,120.0,1.0301926,2.830497,0.0,2.1396742,41.032837,1
6bba_b1ae37b9,22,0,0.0,171.0,82.0,1.1439089,2.2062674,0.0,2.1396742,41.032837,0
6bba_b1ae37b9,23,0,0.0,112.0,182.0,1.4145736,5.0574684,0.0,2.1396742,41.032837,1
6bba_b1ae37b9,24,0,0.0,135.0,115.0,1.1968341,5.2941675,0.0,2.1396742,41.032837,0
6bba_b1ae37b9,25,0,0.0,112.0,60.0,0.9879457,3.0879486,0.0,2.1396742,41.032837,2
6bba_b1ae37b9,26,0,0.0,60.0,218.0,1.0110233,2.5349052,0.0,2.1396742,41.032837,0
6bba_b1ae37b9,27,0,0.0,183.0,123.0,1.2090173,2.531371,0.0,2.1350024,40.76465,0
6bba_b1ae37b9,28,0,4.0,31.0,195.0,0.9084207,2.2910752,0.06349207,2.5434792,68.92444,0
6bba_b1ae37b9,29,0,0.0,163.0,67.0,1.0780157,2.8074956,0.0,2.1396742,41.032837,0
6bba_b1ae37b9,30,0,0.0,110.0,143.0,1.0768331,3.6156406,0.0,2.1396742,41.032837,1
6bba_b1ae37b9,31,0,0.0,0.0,98.0,0.69684553,3.0482707,0.0,1.7994134,24.405151,0
6bba_b1ae37b9,32,0,0.0,43.0,115.0,0.84512866,2.3816879,0.0,2.1396742,41.032837,0
6bba_b1ae37b9,33,0,19.0,218.0,51.0,0.9559355,2.0567214,0.3015873,2.5401762,68.65625,2
6bba_b1ae37b9,34,0,5.0,119.0,36.0,0.9335264,3.4939184,0.07936508,2.5434792,68.92444,2
6bba_b1ae37b9,35,0,28.0,231.0,187.0,1.0786841,2.1256807,0.44444445,2.5434792,68.92444,0
6bba_b1ae37b9,36,0,0.0,194.0,185.0,1.0788838,2.7478793,0.0,2.1396742,41.032837,0
6bba_b1ae37b9,37,0,0.0,52.0,44.0,0.79025495,2.3121593,0.0,2.120863,39.960083,1
6bba_b1ae37b9,38,0,0.0,92.0,214.0,1.0354123,3.128151,0.0,2.1396742,41.032837,1
6bba_b1ae37b9,39,0,0.0,23.0,80.0,0.7473371,2.2430751,0.0,2.1396742,41.032837,0
6bba_b1ae37b9,40,0,1.0,107.0,241.0,1.2776365,4.0563135,0.015873017,2.3316977,53.10132,1
6bba_b1ae37b9,41,0,18.0,206.0,141.0,1.1149651,2.2694418,0.2857143,2.5434792,68.92444,0
6bba_b1ae37b9,42,0,23.0,224.0,141.0,1.041144,1.5023665,0.36507937,2.5434792,68.92444,3
6bba_b1ae37b9,43,0,20.0,207.0,180.0,0.9617555,2.5796657,0.31746033,2.5434792,68.92444,0
6bba_b1ae37b9,44,0,0.0,48.0,203.0,0.9574271,2.2906992,0.0,2.1396742,41.032837,0
6bba_b1ae37b9,45,0,0.0,158.0,232.0,1.2134788,5.4777637,0.0,2.1396742,41.032837,0
6bba_b1ae37b9,46,0,25.0,255.0,87.0,0.9278788,3.9097788,0.3968254,2.1396742,41.032837,1
6bba_b1ae37b9,47,0,0.0,22.0,133.0,0.80128956,2.0270452,0.0,2.1396742,41.032837,0
6bba_b1ae37b9,48,0,0.0,71.0,150.0,0.8796806,2.0809126,0.0,2.1396742,41.032837,0
6bba_b1ae37b9,49,0,0.0,92.0,183.0,1.0068573,3.2386599,0.0,2.1396742,41.032837,0
6bba_b1ae37b9,50,0,25.0,179.0,199.0,0.76035637,2.5828485,0.3968254,2.5434792,68.92444,2
6bba_b1ae37b9,51,0,0.0,186.0,151.0,1.2316135,3.1448,0.0,2.1396742,41.032837,0
6bba_b1ae37b9,52,0,27.0,247.0,40.0,0.88025486,2.4264274,0.42857143,2.5134354,66.51074,2
6bba_b1ae37b9,53,0,0.0,89.0,137.0,0.9600464,2.4408262,0.0,2.1396742,41.032837,0
6bba_b1ae37b9,54,0,3.0,31.0,231.0,0.8947921,1.8343699,0.04761905,2.5401762,68.65625,0
6bba_b1ae37b9,55,0,0.0,117.0,104.0,1.0097573,1.956233,0.0,2.1396742,41.032837,1
6bba_b1ae37b9,56,0,0.0,113.0,205.0,1.2653769,3.5158722,0.0,2.1396742,41.032837,1
6bba_b1ae37b9,57,0,14.0,169.0,4.0,0.8190869,2.871777,0.22222222,2.5401762,68.65625,2
6bba_b1ae37b9,58,0,0.0,233.0,72.0,1.1342502,3.856227,0.0,2.1396742,41.032837,0
6bba_b1ae37b9,59,0,0.0,133.0,195.0,1.0898615,2.8042617,0.0,2.1396742,41.032837,0
6bba_b1ae37b9,60,0,14.0,172.0,0.0,0.85687596,2.8787029,0.22222222,2.1350024,40.76465,3
6bba_b1ae37b9,61,0,5.0,122.0,102.0,1.0064245,2.4603455,0.07936508,2.5434792,68.92444,2
6bba_b1ae37b9,62,0,21.0,255.0,27.0,0.9722561,5.8676767,0.33333334,2.1396742,41.032837,1
6bba_b1ae37b9,63,0,0.0,132.0,247.0,1.0625384,2.3860755,0.0,2.1396742,41.032837,2
6bba_b1ae37b9,64,0,10.0,196.0,12.0,1.1198711,2.9067104,0.15873016,2.5335438,68.11987,3
6bba_b1ae37b9,65,0,0.0,131.0,54.0,0.88309216,3.8359373,0.0,2.1350024,40.76465,0
6bba_b1ae37b9,66,0,0.0,255.0,34.0,0.97440964,4.4633656,0.0,1.7994134,24.405151,1
6bba_b1ae37b9,67,0,5.0,144.0,32.0,0.9579056,2.3748944,0.07936508,2.5434792,68.92444,1
6bba_b1ae37b9,68,0,0.0,142.0,181.0,1.120581,2.6895409,0.0,2.1396742,41.032837,1
6bba_b1ae37b9,69,0,6.0,137.0,10.0,0.89192873,1.623446,0.0952381,2.4791882,63.828857,6
6bba_b1ae37b9,70,0,16.0,152.0,213.0,0.78486866,1.6368139,0.25396827,2.5201738,67.04712,2
6bba_b1ae37b9,71,0,6.0,35.0,255.0,0.7666619,1.9220625,0.0952381,2.1396742,41.032837,0
6bba_b1ae37b9,72,0,9.0,151.0,64.0,0.87953943,1.5975579,0.14285715,2.5201738,67.04712,1
6bba_b1ae37b9,73,0,28.0,229.0,7.0,0.83525175,1.9869169,0.44444445,2.5434792,68.92444,1
6bba_b1ae37b9,74,0,0.0,90.0,26.0,0.8470998,2.349608,0.0,2.1396742,41.032837,0
6bba_b1ae37b9,75,0,26.0,232.0,0.0,0.8915491,2.0710747,0.41269842,2.1396742,41.032837,1
6bba_b1ae37b9,76,0,0.0,246.0,0.0,1.0379454,2.682051,0.0,1.7994134,24.405151,0
6bba_b1ae37b9,77,0,5.0,127.0,79.0,0.9418627,3.0145493,0.07936508,2.5434792,68.92444,1
