dataset,node_id,t,z,y,x,mean_intensity,snr,z_depth_ratio,estimated_radius_um,volume_um3,local_density_r15
6bba_df673a83,0,0,63.0,30.0,128.0,1.1961746,4.8892417,1.0,2.1396742,41.032837,0
6bba_df673a83,1,0,63.0,0.0,177.0,1.0963935,4.870028,1.0,1.7994134,24.405151,0
6bba_df673a83,2,0,32.0,107.0,240.0,1.0509336,4.2980847,0.50793654,2.5434792,68.92444,0
6bba_df673a83,3,0,42.0,85.0,146.0,1.5041319,4.9660716,0.6666667,2.5434792,68.92444,0
6bba_df673a83,4,0,31.0,105.0,133.0,1.2705667,4.965362,0.4920635,2.5434792,68.92444,0
6bba_df673a83,5,0,36.0,58.0,101.0,1.2775164,3.8887446,0.5714286,2.5434792,68.92444,0
6bba_df673a83,6,0,63.0,28.0,93.0,1.2326243,4.859935,1.0,2.1396742,41.032837,1
6bba_df673a83,7,0,49.0,39.0,233.0,1.5668268,4.260208,0.7777778,2.5434792,68.92444,1
6bba_df673a83,8,0,8.0,117.0,142.0,1.1335745,3.5934112,0.12698413,2.5434792,68.92444,0
6bba_df673a83,9,0,49.0,80.0,54.0,1.2086279,4.0602465,0.7777778,2.5434792,68.92444,1
6bba_df673a83,10,0,8.0,137.0,166.0,1.0789493,4.0871468,0.12698413,2.5434792,68.92444,0
6bba_df673a83,11,0,41.0,87.0,5.0,1.2915877,6.3306727,0.6507937,2.5434792,68.92444,0
6bba_df673a83,12,0,49.0,40.0,255.0,1.0762848,2.7326798,0.7777778,2.1350024,40.76465,0
6bba_df673a83,13,0,32.0,104.0,79.0,1.3241738,3.8865197,0.50793654,2.5434792,68.92444,0
6bba_df673a83,14,0,55.0,48.0,242.0,1.2847687,2.3943453,0.8730159,2.5434792,68.92444,1
6bba_df673a83,15,0,63.0,23.0,184.0,0.99466443,4.3684464,1.0,2.1396742,41.032837,0
6bba_df673a83,16,0,0.0,126.0,59.0,1.0610403,3.388504,0.0,2.1396742,41.032837,0
6bba_df673a83,17,0,25.0,102.0,223.0,1.057446,4.3295927,0.3968254,2.5434792,68.92444,0
6bba_df673a83,18,0,27.0,132.0,73.0,1.0761,3.59359,0.42857143,2.5434792,68.92444,1
6bba_df673a83,19,0,53.0,36.0,216.0,1.3211405,2.901366,0.84126985,2.5434792,68.92444,0
6bba_df673a83,20,0,49.0,65.0,121.0,1.2939546,3.4979026,0.7777778,2.5434792,68.92444,1
6bba_df673a83,21,0,37.0,56.0,69.0,1.0616158,4.3254848,0.5873016,2.5434792,68.92444,0
6bba_df673a83,22,0,8.0,134.0,228.0,1.0985354,3.6706219,0.12698413,2.5434792,68.92444,0
6bba_df673a83,23,0,51.0,69.0,158.0,1.2704154,2.8484125,0.8095238,2.5434792,68.92444,0
6bba_df673a83,24,0,22.0,122.0,231.0,1.0074035,3.8283474,0.34920636,2.5434792,68.92444,0
6bba_df673a83,25,0,51.0,52.0,142.0,1.2899442,4.424414,0.8095238,2.5434792,68.92444,2
6bba_df673a83,26,0,56.0,57.0,210.0,1.1504216,3.7653508,0.8888889,2.5434792,68.92444,0
6bba_df673a83,27,0,31.0,117.0,196.0,1.1189351,1.852979,0.4920635,2.5434792,68.92444,1
6bba_df673a83,28,0,61.0,40.0,182.0,1.2263126,3.027882,0.96825397,2.4687274,63.024292,0
6bba_df673a83,29,0,57.0,24.0,241.0,1.3244969,5.4624815,0.9047619,2.5434792,68.92444,0
6bba_df673a83,30,0,49.0,72.0,88.0,1.2392436,3.400567,0.7777778,2.5434792,68.92444,0
6bba_df673a83,31,0,44.0,92.0,101.0,1.313782,2.4338202,0.6984127,2.5434792,68.92444,1
6bba_df673a83,32,0,19.0,143.0,29.0,1.2190036,3.749556,0.3015873,2.5434792,68.92444,1
6bba_df673a83,33,0,56.0,58.0,13.0,1.1499147,3.3909633,0.8888889,2.5434792,68.92444,0
6bba_df673a83,34,0,63.0,17.0,158.0,0.894366,5.5641108,1.0,2.1350024,40.76465,0
6bba_df673a83,35,0,39.0,109.0,48.0,1.050717,2.9535544,0.61904764,2.5434792,68.92444,0
6bba_df673a83,36,0,39.0,88.0,249.0,1.0689867,2.8841217,0.61904764,2.5434792,68.92444,2
6bba_df673a83,37,0,26.0,120.0,101.0,1.435591,4.250425,0.41269842,2.5434792,68.92444,1
6bba_df673a83,38,0,31.0,104.0,160.0,1.118559,3.0815713,0.4920635,2.5434792,68.92444,0
6bba_df673a83,39,0,24.0,126.0,46.0,0.990859,3.7286298,0.3809524,2.5434792,68.92444,0
6bba_df673a83,40,0,0.0,157.0,65.0,0.998867,3.5704546,0.0,2.1396742,41.032837,1
6bba_df673a83,41,0,63.0,45.0,34.0,1.19259,2.729852,1.0,2.1396742,41.032837,0
6bba_df673a83,42,0,35.0,96.0,109.0,1.4819008,3.720326,0.5555556,2.5434792,68.92444,1
6bba_df673a83,43,0,49.0,68.0,249.0,1.0010384,3.5935924,0.7777778,2.5434792,68.92444,2
6bba_df673a83,44,0,43.0,81.0,186.0,1.2332464,2.2484741,0.6825397,2.5434792,68.92444,0
6bba_df673a83,45,0,55.0,62.0,45.0,1.380279,2.9050722,0.8730159,2.5434792,68.92444,0
6bba_df673a83,46,0,43.0,66.0,221.0,0.96933115,4.8001757,0.6825397,2.5434792,68.92444,0
6bba_df673a83,47,0,26.0,52.0,186.0,0.87315863,4.3369384,0.41269842,2.5434792,68.92444,0
6bba_df673a83,48,0,8.0,155.0,119.0,1.0016106,2.8216972,0.12698413,2.5434792,68.92444,0
6bba_df673a83,49,0,63.0,7.0,139.0,0.9211332,5.051142,1.0,2.1350024,40.76465,0
6bba_df673a83,50,0,40.0,119.0,145.0,0.79353887,2.944712,0.63492066,2.5401762,68.65625,1
6bba_df673a83,51,0,57.0,67.0,133.0,1.0804701,2.610482,0.9047619,2.5434792,68.92444,2
6bba_df673a83,52,0,41.0,103.0,26.0,0.99955446,3.572592,0.6507937,2.5434792,68.92444,0
6bba_df673a83,53,0,26.0,55.0,218.0,0.9179764,4.348549,0.41269842,2.5434792,68.92444,0
6bba_df673a83,54,0,55.0,82.0,76.0,1.0184863,3.2775688,0.8730159,2.5434792,68.92444,1
6bba_df673a83,55,0,37.0,74.0,200.0,1.159816,2.1061857,0.5873016,2.5434792,68.92444,0
6bba_df673a83,56,0,33.0,109.0,177.0,1.3111575,2.630979,0.52380955,2.5434792,68.92444,1
6bba_df673a83,57,0,36.0,132.0,65.0,0.92529005,2.2795558,0.5714286,2.5434792,68.92444,1
6bba_df673a83,58,0,0.0,142.0,28.0,1.0672891,2.9293942,0.0,2.1396742,41.032837,0
6bba_df673a83,59,0,40.0,99.0,209.0,0.9389892,2.959062,0.63492066,2.5434792,68.92444,1
6bba_df673a83,60,0,38.0,106.0,0.0,1.0174075,4.1677866,0.6031746,2.1396742,41.032837,0
6bba_df673a83,61,0,51.0,78.0,213.0,0.94132763,2.8834088,0.8095238,2.5434792,68.92444,0
6bba_df673a83,62,0,7.0,123.0,96.0,1.1766714,4.1546693,0.11111111,2.5434792,68.92444,0
