dataset,node_id,t,z,y,x,mean_intensity,snr,z_depth_ratio,estimated_radius_um,volume_um3,local_density_r15
44b6_0c582fdc,39465,0,23.0,199.0,249.0,0.9848571,4.3568463,0.36507937,2.5434792,68.92444,0
44b6_0c582fdc,39466,0,25.0,81.0,136.0,0.8794544,4.0552526,0.3968254,2.5434792,68.92444,0
44b6_0c582fdc,39467,0,11.0,56.0,118.0,0.86373067,3.313502,0.17460318,2.5434792,68.92444,0
44b6_0c582fdc,39468,0,13.0,188.0,239.0,0.8583355,2.6935773,0.20634921,2.5434792,68.92444,1
44b6_0c582fdc,39469,0,38.0,123.0,136.0,0.86245084,3.4300036,0.6031746,2.5434792,68.92444,0
44b6_0c582fdc,39470,0,12.0,84.0,224.0,0.843492,3.0042744,0.1904762,2.5434792,68.92444,1
44b6_0c582fdc,39471,0,23.0,55.0,78.0,0.8373425,3.2872264,0.36507937,2.5434792,68.92444,2
44b6_0c582fdc,39472,0,10.0,63.0,226.0,0.8244505,2.374511,0.15873016,2.5434792,68.92444,1
44b6_0c582fdc,39473,0,22.0,37.0,105.0,0.8188058,3.147151,0.34920636,2.5434792,68.92444,1
44b6_0c582fdc,39474,0,18.0,191.0,232.0,0.8107684,2.4052124,0.2857143,2.5434792,68.92444,2
44b6_0c582fdc,39475,0,32.0,58.0,68.0,0.7964578,2.770286,0.50793654,2.5434792,68.92444,1
44b6_0c582fdc,39476,0,16.0,22.0,35.0,0.7954388,2.9557478,0.25396827,2.5434792,68.92444,2
44b6_0c582fdc,39477,0,6.0,52.0,198.0,0.7886888,2.9663897,0.0952381,2.5434792,68.92444,0
44b6_0c582fdc,39478,0,34.0,41.0,22.0,0.7915187,2.868847,0.53968257,2.5434792,68.92444,2
44b6_0c582fdc,39479,0,11.0,11.0,102.0,0.79072493,3.436007,0.17460318,2.5401762,68.65625,1
44b6_0c582fdc,39480,0,29.0,168.0,231.0,0.792547,3.4916046,0.46031746,2.5434792,68.92444,0
44b6_0c582fdc,39481,0,9.0,43.0,152.0,0.78841674,2.4033105,0.14285715,2.5434792,68.92444,1
44b6_0c582fdc,39482,0,36.0,247.0,252.0,0.7763727,2.676144,0.5714286,2.5401762,68.65625,0
44b6_0c582fdc,39483,0,6.0,72.0,222.0,0.77774847,1.9562633,0.0952381,2.5401762,68.65625,2
44b6_0c582fdc,39484,0,11.0,17.0,73.0,0.76821744,2.4382293,0.17460318,2.5434792,68.92444,2
44b6_0c582fdc,39485,0,27.0,83.0,114.0,0.77450013,3.8431942,0.42857143,2.5434792,68.92444,3
44b6_0c582fdc,39486,0,12.0,156.0,230.0,0.7640102,2.731781,0.1904762,2.5434792,68.92444,0
44b6_0c582fdc,39487,0,57.0,172.0,54.0,0.7676976,3.7118704,0.9047619,2.5434792,68.92444,1
44b6_0c582fdc,39488,0,11.0,36.0,174.0,0.7509381,2.5777037,0.17460318,2.5434792,68.92444,0
44b6_0c582fdc,39489,0,19.0,101.0,191.0,0.7636255,2.929429,0.3015873,2.5434792,68.92444,2
44b6_0c582fdc,39490,0,30.0,168.0,204.0,0.7655264,2.922874,0.47619048,2.5401762,68.65625,2
44b6_0c582fdc,39491,0,37.0,218.0,229.0,0.7589172,2.7492607,0.5873016,2.5434792,68.92444,0
44b6_0c582fdc,39492,0,30.0,233.0,240.0,0.7596472,2.7241762,0.47619048,2.5434792,68.92444,2
44b6_0c582fdc,39493,0,14.0,55.0,150.0,0.7518989,2.2710998,0.22222222,2.5434792,68.92444,3
44b6_0c582fdc,39494,0,3.0,85.0,207.0,0.74302775,2.6340387,0.04761905,2.5401762,68.65625,0
44b6_0c582fdc,39495,0,11.0,86.0,103.0,0.75419384,5.152869,0.17460318,2.5434792,68.92444,0
44b6_0c582fdc,39496,0,29.0,33.0,67.0,0.7528465,3.6739209,0.46031746,2.5434792,68.92444,0
44b6_0c582fdc,39497,0,13.0,16.0,157.0,0.75299096,4.7565193,0.20634921,2.5434792,68.92444,0
44b6_0c582fdc,39498,0,16.0,169.0,202.0,0.74300957,2.7231898,0.25396827,2.5434792,68.92444,2
44b6_0c582fdc,39499,0,16.0,24.0,106.0,0.7385077,2.2910156,0.25396827,2.5368643,68.38806,3
44b6_0c582fdc,39500,0,39.0,205.0,192.0,0.7507148,4.4383736,0.61904764,2.5434792,68.92444,1
44b6_0c582fdc,39501,0,22.0,44.0,21.0,0.7359969,2.4512517,0.34920636,2.5434792,68.92444,2
44b6_0c582fdc,39502,0,50.0,224.0,141.0,0.7391608,2.3699315,0.7936508,2.5434792,68.92444,0
44b6_0c582fdc,39503,0,35.0,159.0,128.0,0.7360156,3.2092657,0.5555556,2.5434792,68.92444,1
44b6_0c582fdc,39504,0,7.0,26.0,42.0,0.7216018,1.9288007,0.11111111,2.5434792,68.92444,1
44b6_0c582fdc,39505,0,58.0,165.0,11.0,0.72854877,4.112071,0.9206349,2.5434792,68.92444,0
44b6_0c582fdc,39506,0,45.0,133.0,68.0,0.72452545,4.8412533,0.71428573,2.5401762,68.65625,0
44b6_0c582fdc,39507,0,5.0,22.0,2.0,0.7041892,2.9267962,0.07936508,2.4687274,63.024292,1
44b6_0c582fdc,39508,0,37.0,244.0,218.0,0.71584266,3.2770162,0.5873016,2.5434792,68.92444,1
44b6_0c582fdc,39509,0,22.0,69.0,165.0,0.70941913,3.0929577,0.34920636,2.5434792,68.92444,0
44b6_0c582fdc,39510,0,57.0,229.0,99.0,0.70365804,3.7427197,0.9047619,2.5434792,68.92444,1
44b6_0c582fdc,39511,0,55.0,197.0,94.0,0.71441454,4.7888246,0.8730159,2.5434792,68.92444,2
44b6_0c582fdc,39512,0,25.0,92.0,186.0,0.69988054,2.0663726,0.3968254,2.5434792,68.92444,2
44b6_0c582fdc,39513,0,6.0,25.0,204.0,0.69867766,2.1982956,0.0952381,2.5434792,68.92444,0
44b6_0c582fdc,39514,0,17.0,227.0,248.0,0.705925,2.2930284,0.26984128,2.5401762,68.65625,1
44b6_0c582fdc,39515,0,29.0,104.0,164.0,0.69573903,2.8229558,0.46031746,2.5434792,68.92444,1
44b6_0c582fdc,39516,0,57.0,191.0,55.0,0.6978483,4.207515,0.9047619,2.5434792,68.92444,2
44b6_0c582fdc,39517,0,17.0,25.0,6.0,0.687484,1.8945322,0.26984128,2.5434792,68.92444,2
44b6_0c582fdc,39518,0,19.0,26.0,130.0,0.6933032,4.065789,0.3015873,2.5434792,68.92444,0
44b6_0c582fdc,39519,0,42.0,150.0,142.0,0.6960411,3.0735002,0.6666667,2.5434792,68.92444,1
44b6_0c582fdc,39520,0,6.0,75.0,249.0,0.6838153,2.1903625,0.0952381,2.5434792,68.92444,0
44b6_0c582fdc,39521,0,23.0,51.0,140.0,0.6871011,2.7942486,0.36507937,2.5434792,68.92444,1
44b6_0c582fdc,39522,0,12.0,9.0,125.0,0.6875816,2.7040622,0.1904762,2.5434792,68.92444,0
44b6_0c582fdc,39523,0,23.0,159.0,177.0,0.6869604,2.7799075,0.36507937,2.5434792,68.92444,0
44b6_0c582fdc,39524,0,29.0,191.0,196.0,0.68718743,3.8088908,0.46031746,2.5434792,68.92444,1
44b6_0c582fdc,39525,0,42.0,102.0,60.0,0.6804356,3.0262518,0.6666667,2.5434792,68.92444,0
44b6_0c582fdc,39526,0,31.0,244.0,238.0,0.6741698,1.7735634,0.4920635,2.5434792,68.92444,1
44b6_0c582fdc,39527,0,19.0,33.0,4.0,0.6749561,2.0249748,0.3015873,2.5434792,68.92444,1
44b6_0c582fdc,39528,0,36.0,216.0,211.0,0.6741454,2.5122225,0.5714286,2.5434792,68.92444,1
44b6_0c582fdc,39529,0,41.0,98.0,13.0,0.6771423,3.690963,0.6507937,2.5434792,68.92444,0
44b6_0c582fdc,39530,0,42.0,156.0,68.0,0.6756485,3.1315992,0.6666667,2.5434792,68.92444,1
44b6_0c582fdc,39531,0,17.0,17.0,62.0,0.66752297,1.7603654,0.26984128,2.5434792,68.92444,1
44b6_0c582fdc,39532,0,22.0,9.0,34.0,0.6722895,2.8241765,0.34920636,2.5434792,68.92444,2
44b6_0c582fdc,39533,0,30.0,120.0,150.0,0.6746728,2.4778934,0.47619048,2.5401762,68.65625,1
44b6_0c582fdc,39534,0,21.0,43.0,51.0,0.66373235,2.4016569,0.33333334,2.5434792,68.92444,1
44b6_0c582fdc,39535,0,55.0,237.0,125.0,0.6567797,2.7521563,0.8730159,2.5401762,68.65625,0
44b6_0c582fdc,39536,0,35.0,194.0,226.0,0.6600336,3.5066483,0.5555556,2.5434792,68.92444,1
44b6_0c582fdc,39537,0,44.0,170.0,122.0,0.64922094,2.2978983,0.6984127,2.5434792,68.92444,1
44b6_0c582fdc,39538,0,41.0,234.0,185.0,0.6587613,3.8139803,0.6507937,2.5434792,68.92444,0
44b6_0c582fdc,39539,0,6.0,16.0,87.0,0.6422908,1.5542946,0.0952381,2.5066607,65.974365,1
44b6_0c582fdc,39540,0,11.0,94.0,149.0,0.6389937,2.5316768,0.17460318,2.5434792,68.92444,1
44b6_0c582fdc,39541,0,22.0,105.0,105.0,0.64812124,3.7479758,0.34920636,2.5434792,68.92444,0
44b6_0c582fdc,39542,0,16.0,98.0,161.0,0.6412718,1.773845,0.25396827,2.5434792,68.92444,3
44b6_0c582fdc,39543,0,20.0,93.0,173.0,0.6443869,2.0302823,0.31746033,2.5401762,68.65625,3
44b6_0c582fdc,39544,0,10.0,41.0,52.0,0.6401139,1.6449151,0.15873016,2.5434792,68.92444,1
44b6_0c582fdc,39545,0,30.0,35.0,39.0,0.63945526,2.25644,0.47619048,2.5401762,68.65625,0
44b6_0c582fdc,39546,0,7.0,77.0,161.0,0.63861275,3.3600252,0.11111111,2.5401762,68.65625,0
44b6_0c582fdc,39547,0,54.0,157.0,43.0,0.645481,4.0162854,0.85714287,2.5434792,68.92444,0
