dataset,node_id,t,z,y,x,mean_intensity,snr,z_depth_ratio,estimated_radius_um,volume_um3,local_density_r15
44b6_24264f12,228691,0,16.0,53.0,208.0,1.1360718,2.814492,0.25396827,2.5434792,68.92444,0
44b6_24264f12,228692,0,15.0,39.0,164.0,1.0645405,4.0797,0.23809524,2.5401762,68.65625,2
44b6_24264f12,228693,0,8.0,7.0,202.0,1.0443149,3.5755434,0.12698413,2.5434792,68.92444,0
44b6_24264f12,228694,0,23.0,94.0,169.0,1.0525458,4.2709045,0.36507937,2.5434792,68.92444,0
44b6_24264f12,228695,0,6.0,14.0,236.0,1.0390311,3.0048597,0.0952381,2.5434792,68.92444,2
44b6_24264f12,228696,0,17.0,62.0,149.0,1.0065567,3.8303063,0.26984128,2.5401762,68.65625,2
44b6_24264f12,228697,0,16.0,23.0,238.0,0.98436475,2.3177245,0.25396827,2.5434792,68.92444,2
44b6_24264f12,228698,0,25.0,90.0,213.0,0.9958428,5.326588,0.3968254,2.5434792,68.92444,0
44b6_24264f12,228699,0,24.0,78.0,148.0,0.98859704,3.6939971,0.3809524,2.5434792,68.92444,0
44b6_24264f12,228700,0,16.0,52.0,241.0,0.96778256,2.4314005,0.25396827,2.5401762,68.65625,1
44b6_24264f12,228701,0,7.0,22.0,177.0,0.9560276,3.012025,0.11111111,2.5401762,68.65625,2
44b6_24264f12,228702,0,12.0,40.0,229.0,0.9426988,3.2169628,0.1904762,2.5401762,68.65625,0
44b6_24264f12,228703,0,11.0,26.0,242.0,0.9316523,2.1134295,0.17460318,2.5434792,68.92444,2
44b6_24264f12,228704,0,51.0,186.0,181.0,0.94693524,4.0270376,0.8095238,2.5434792,68.92444,0
44b6_24264f12,228705,0,22.0,50.0,253.0,0.92489827,2.2746959,0.34920636,2.4687274,63.024292,1
44b6_24264f12,228706,0,16.0,77.0,117.0,0.90909666,4.438884,0.25396827,2.5434792,68.92444,0
44b6_24264f12,228707,0,9.0,28.0,126.0,0.8956377,2.5579078,0.14285715,2.5401762,68.65625,1
44b6_24264f12,228708,0,10.0,68.0,83.0,0.8972199,4.6646943,0.15873016,2.5401762,68.65625,1
44b6_24264f12,228709,0,15.0,117.0,56.0,0.8974037,4.616875,0.23809524,2.5434792,68.92444,0
44b6_24264f12,228710,0,11.0,23.0,217.0,0.88189983,3.3388667,0.17460318,2.5401762,68.65625,0
44b6_24264f12,228711,0,29.0,87.0,242.0,0.8653363,2.8950372,0.46031746,2.5401762,68.65625,1
44b6_24264f12,228712,0,10.0,27.0,187.0,0.86543757,2.476521,0.15873016,2.5434792,68.92444,1
44b6_24264f12,228713,0,51.0,187.0,215.0,0.85604143,4.0914736,0.8095238,2.5434792,68.92444,0
44b6_24264f12,228714,0,27.0,108.0,123.0,0.85918313,3.235667,0.42857143,2.5434792,68.92444,3
44b6_24264f12,228715,0,56.0,212.0,204.0,0.84349746,2.9765332,0.8888889,2.5434792,68.92444,0
44b6_24264f12,228716,0,35.0,99.0,220.0,0.8530361,3.986495,0.5555556,2.5434792,68.92444,0
44b6_24264f12,228717,0,42.0,218.0,39.0,0.8502373,6.847413,0.6666667,2.5368643,68.38806,1
44b6_24264f12,228718,0,38.0,228.0,5.0,0.8455072,4.422759,0.6031746,2.5434792,68.92444,1
44b6_24264f12,228719,0,45.0,173.0,129.0,0.83764577,3.9440346,0.71428573,2.5401762,68.65625,0
44b6_24264f12,228720,0,32.0,93.0,252.0,0.8215815,2.3201203,0.50793654,2.5401762,68.65625,1
44b6_24264f12,228721,0,24.0,100.0,94.0,0.8262152,4.7298326,0.3809524,2.5434792,68.92444,0
44b6_24264f12,228722,0,24.0,90.0,127.0,0.8290676,4.6474566,0.3809524,2.5434792,68.92444,0
44b6_24264f12,228723,0,57.0,207.0,246.0,0.80925715,3.0233853,0.9047619,2.5401762,68.65625,0
44b6_24264f12,228724,0,43.0,145.0,240.0,0.8241806,8.113432,0.6825397,2.5434792,68.92444,0
44b6_24264f12,228725,0,31.0,111.0,137.0,0.80035055,3.7134283,0.4920635,2.5434792,68.92444,1
44b6_24264f12,228726,0,29.0,164.0,32.0,0.8039549,4.994137,0.46031746,2.5401762,68.65625,1
44b6_24264f12,228727,0,30.0,119.0,117.0,0.7904628,3.2660818,0.47619048,2.5401762,68.65625,1
44b6_24264f12,228728,0,41.0,202.0,68.0,0.7918839,5.298305,0.6507937,2.5168092,66.77893,0
44b6_24264f12,228729,0,33.0,137.0,149.0,0.77410173,2.9341233,0.52380955,2.5434792,68.92444,0
44b6_24264f12,228730,0,42.0,163.0,149.0,0.7861872,5.721535,0.6666667,2.5434792,68.92444,0
44b6_24264f12,228731,0,7.0,35.0,154.0,0.77285004,2.1020296,0.11111111,2.5401762,68.65625,1
44b6_24264f12,228732,0,58.0,247.0,133.0,0.7738601,4.7659893,0.9206349,2.5434792,68.92444,0
44b6_24264f12,228733,0,23.0,70.0,240.0,0.7709187,4.160061,0.36507937,2.5434792,68.92444,0
44b6_24264f12,228734,0,51.0,197.0,192.0,0.7722758,2.7836554,0.8095238,2.5401762,68.65625,0
44b6_24264f12,228735,0,15.0,88.0,50.0,0.76610196,3.2750382,0.23809524,2.5335438,68.11987,2
44b6_24264f12,228736,0,21.0,71.0,204.0,0.7699542,3.307076,0.33333334,2.5434792,68.92444,0
44b6_24264f12,228737,0,50.0,173.0,243.0,0.75933313,3.953215,0.7936508,2.5401762,68.65625,0
44b6_24264f12,228738,0,25.0,110.0,74.0,0.75772417,4.5938115,0.3968254,2.5401762,68.65625,0
