dataset,node_id,t,z,y,x,mean_intensity,snr,z_depth_ratio,estimated_radius_um,volume_um3,local_density_r15
44b6_341df25f,316783,0,23.0,54.0,155.0,1.5252601,4.2436748,0.36507937,2.5434792,68.92444,2
44b6_341df25f,316784,0,43.0,73.0,131.0,1.3818303,3.7803543,0.6825397,2.5434792,68.92444,0
44b6_341df25f,316785,0,49.0,38.0,120.0,1.3636206,2.5718381,0.7777778,2.5434792,68.92444,2
44b6_341df25f,316786,0,55.0,32.0,115.0,1.3537503,2.2026389,0.8730159,2.5434792,68.92444,1
44b6_341df25f,316787,0,15.0,10.0,153.0,1.3059661,3.729164,0.23809524,2.5434792,68.92444,0
44b6_341df25f,316788,0,32.0,77.0,147.0,1.3155556,6.8223696,0.50793654,2.5434792,68.92444,0
44b6_341df25f,316789,0,53.0,12.0,103.0,1.2945966,2.765375,0.84126985,2.5434792,68.92444,1
44b6_341df25f,316790,0,24.0,103.0,162.0,1.2971421,3.8983557,0.3809524,2.5434792,68.92444,0
44b6_341df25f,316791,0,57.0,24.0,99.0,1.2769939,2.317927,0.9047619,2.5434792,68.92444,1
44b6_341df25f,316792,0,41.0,43.0,134.0,1.2379295,3.1638198,0.6507937,2.5434792,68.92444,1
44b6_341df25f,316793,0,23.0,30.0,151.0,1.2380155,5.177988,0.36507937,2.5434792,68.92444,0
44b6_341df25f,316794,0,46.0,168.0,140.0,1.2294316,4.488554,0.73015875,2.5434792,68.92444,1
44b6_341df25f,316795,0,32.0,11.0,141.0,1.2091112,3.0926468,0.50793654,2.5434792,68.92444,1
44b6_341df25f,316796,0,40.0,28.0,125.0,1.1914724,2.1709716,0.63492066,2.5434792,68.92444,2
44b6_341df25f,316797,0,36.0,124.0,149.0,1.1939774,4.3984547,0.5714286,2.5434792,68.92444,1
44b6_341df25f,316798,0,29.0,55.0,145.0,1.1458261,2.0797791,0.46031746,2.5434792,68.92444,1
44b6_341df25f,316799,0,37.0,8.0,134.0,1.1382116,2.002669,0.5873016,2.5434792,68.92444,1
44b6_341df25f,316800,0,14.0,80.0,167.0,1.1387552,3.7066576,0.22222222,2.5434792,68.92444,0
44b6_341df25f,316801,0,52.0,82.0,122.0,1.1278294,2.8099513,0.82539684,2.5434792,68.92444,0
44b6_341df25f,316802,0,61.0,209.0,115.0,1.1186584,6.8487277,0.96825397,2.4687274,63.024292,0
44b6_341df25f,316803,0,58.0,76.0,109.0,1.1148608,2.4784472,0.9206349,2.5434792,68.92444,0
44b6_341df25f,316804,0,56.0,98.0,117.0,1.1094749,3.9870217,0.8888889,2.5434792,68.92444,0
44b6_341df25f,316805,0,13.0,53.0,164.0,1.0922437,1.8162802,0.20634921,2.5434792,68.92444,3
44b6_341df25f,316806,0,7.0,47.0,171.0,1.0919267,1.8461237,0.11111111,2.5434792,68.92444,1
44b6_341df25f,316807,0,47.0,115.0,133.0,1.0386161,3.5426571,0.74603176,2.5434792,68.92444,0
44b6_341df25f,316808,0,40.0,97.0,143.0,1.0468374,4.849165,0.63492066,2.5434792,68.92444,0
44b6_341df25f,316809,0,34.0,33.0,136.0,1.031142,1.797123,0.53968257,2.5434792,68.92444,2
44b6_341df25f,316810,0,47.0,55.0,126.0,1.0119857,2.3717756,0.74603176,2.5401762,68.65625,1
44b6_341df25f,316811,0,42.0,193.0,144.0,0.9986047,3.6663125,0.6666667,2.5434792,68.92444,0
44b6_341df25f,316812,0,54.0,148.0,123.0,0.9937807,3.8475718,0.85714287,2.5434792,68.92444,0
44b6_341df25f,316813,0,13.0,25.0,164.0,0.968781,2.6270804,0.20634921,2.5434792,68.92444,0
44b6_341df25f,316814,0,28.0,133.0,150.0,0.9622672,2.5180538,0.44444445,2.5434792,68.92444,1
44b6_341df25f,316815,0,23.0,140.0,164.0,0.9523471,3.388813,0.36507937,2.5434792,68.92444,0
44b6_341df25f,316816,0,19.0,237.0,168.0,0.94840616,5.312975,0.3015873,2.5434792,68.92444,0
