dataset,node_id,t,z,y,x,mean_intensity,snr,z_depth_ratio,estimated_radius_um,volume_um3,local_density_r15
44b6_74d0c52e,645765,0,40.0,200.0,213.0,0.6528609,1.5302585,0.63492066,2.5434792,68.92444,0
44b6_74d0c52e,645766,0,32.0,203.0,240.0,0.64134926,1.6287487,0.50793654,2.5434792,68.92444,0
44b6_74d0c52e,645767,0,40.0,178.0,241.0,0.6415533,1.9253569,0.63492066,2.5401762,68.65625,0
44b6_74d0c52e,645768,0,24.0,227.0,229.0,0.60005486,1.1595898,0.3809524,2.5401762,68.65625,2
44b6_74d0c52e,645769,0,22.0,241.0,225.0,0.59091294,1.3277823,0.34920636,2.5335438,68.11987,1
44b6_74d0c52e,645770,0,28.0,224.0,220.0,0.5862133,0.8586257,0.44444445,2.5201738,67.04712,1
44b6_74d0c52e,645771,0,46.0,230.0,168.0,0.5835514,1.5622594,0.73015875,2.5434792,68.92444,1
44b6_74d0c52e,645772,0,44.0,226.0,184.0,0.58235264,1.4525197,0.6984127,2.5201738,67.04712,0
44b6_74d0c52e,645773,0,30.0,232.0,205.0,0.5770773,1.2241552,0.47619048,2.5335438,68.11987,0
44b6_74d0c52e,645774,0,53.0,198.0,199.0,0.57443154,1.1737686,0.84126985,2.5335438,68.11987,0
44b6_74d0c52e,645775,0,49.0,238.0,158.0,0.56772786,1.2285883,0.7777778,2.5032594,65.70618,2
44b6_74d0c52e,645776,0,42.0,245.0,165.0,0.5603622,0.8517162,0.6666667,2.4617038,62.487915,2
44b6_74d0c52e,645777,0,35.0,246.0,175.0,0.5575404,1.0139227,0.5555556,2.5368643,68.38806,1
44b6_74d0c52e,645778,0,53.0,189.0,233.0,0.54107684,1.1915764,0.84126985,2.5100527,66.24255,0
44b6_74d0c52e,645779,0,22.0,251.0,197.0,0.53944886,1.0962694,0.34920636,2.5401762,68.65625,0
44b6_74d0c52e,645780,0,57.0,155.0,190.0,0.5348126,2.9233503,0.9047619,2.5434792,68.92444,0
44b6_74d0c52e,645781,0,40.0,152.0,182.0,0.48441693,2.2353873,0.63492066,2.5434792,68.92444,2
44b6_74d0c52e,645782,0,60.0,247.0,209.0,0.4707952,1.2289462,0.95238096,2.499849,65.43799,0
44b6_74d0c52e,645783,0,34.0,155.0,209.0,0.45915765,2.3326435,0.53968257,2.5434792,68.92444,1
44b6_74d0c52e,645784,0,4.0,186.0,238.0,0.45531225,1.5280015,0.06349207,2.5401762,68.65625,1
44b6_74d0c52e,645785,0,57.0,238.0,250.0,0.45328966,1.5206492,0.9047619,2.5434792,68.92444,0
44b6_74d0c52e,645786,0,40.0,149.0,212.0,0.45601836,1.919733,0.63492066,2.5434792,68.92444,2
44b6_74d0c52e,645787,0,35.0,159.0,187.0,0.44361183,1.8291721,0.5555556,2.5434792,68.92444,2
44b6_74d0c52e,645788,0,49.0,146.0,232.0,0.4321171,2.1527374,0.7777778,2.5434792,68.92444,0
44b6_74d0c52e,645789,0,29.0,160.0,243.0,0.42989808,1.3200289,0.46031746,2.5434792,68.92444,0
44b6_74d0c52e,645790,0,46.0,156.0,221.0,0.42235965,1.5273709,0.73015875,2.4617038,62.487915,1
44b6_74d0c52e,645791,0,39.0,158.0,153.0,0.39724776,2.9605432,0.61904764,2.5434792,68.92444,2
44b6_74d0c52e,645792,0,52.0,145.0,138.0,0.39601928,3.126702,0.82539684,2.5434792,68.92444,0
44b6_74d0c52e,645793,0,54.0,161.0,160.0,0.37254053,1.2992418,0.85714287,2.5401762,68.65625,0
44b6_74d0c52e,645794,0,48.0,150.0,122.0,0.37442765,2.4548802,0.7619048,2.5401762,68.65625,1
44b6_74d0c52e,645795,0,48.0,203.0,106.0,0.36643207,1.9666905,0.7619048,2.5434792,68.92444,0
44b6_74d0c52e,645796,0,28.0,162.0,222.0,0.36195764,1.6280153,0.44444445,2.5434792,68.92444,0
44b6_74d0c52e,645797,0,44.0,173.0,157.0,0.3479628,1.251346,0.6984127,2.5335438,68.11987,0
44b6_74d0c52e,645798,0,57.0,159.0,47.0,0.329806,3.1512415,0.9047619,2.5401762,68.65625,0
44b6_74d0c52e,645799,0,47.0,224.0,110.0,0.32083,0.8961598,0.74603176,2.5368643,68.38806,0
44b6_74d0c52e,645800,0,17.0,160.0,194.0,0.32053873,2.3084185,0.26984128,2.5434792,68.92444,0
44b6_74d0c52e,645801,0,43.0,160.0,133.0,0.30905253,1.266546,0.6825397,2.5268764,67.583496,2
44b6_74d0c52e,645802,0,8.0,191.0,210.0,0.3041141,1.7554473,0.12698413,2.5401762,68.65625,0
44b6_74d0c52e,645803,0,6.0,169.0,206.0,0.30558047,2.6706202,0.0952381,2.5434792,68.92444,0
44b6_74d0c52e,645804,0,39.0,151.0,123.0,0.30302194,0.9412723,0.61904764,2.5434792,68.92444,3
44b6_74d0c52e,645805,0,26.0,153.0,178.0,0.29946187,0.7958771,0.41269842,2.5368643,68.38806,3
44b6_74d0c52e,645806,0,8.0,171.0,122.0,0.29803193,1.8634198,0.12698413,2.5401762,68.65625,3
