dataset,node_id,t,z,y,x,mean_intensity,snr,z_depth_ratio,estimated_radius_um,volume_um3,local_density_r15
44b6_95029e92,888631,0,12.0,38.0,100.0,2.4190028,12.972686,0.1904762,2.5434792,68.92444,0
44b6_95029e92,888632,0,12.0,75.0,100.0,2.3214653,13.618618,0.1904762,2.5401762,68.65625,0
44b6_95029e92,888633,0,46.0,240.0,152.0,1.9915085,5.0083838,0.73015875,2.5434792,68.92444,0
44b6_95029e92,888634,0,30.0,220.0,124.0,1.8764775,4.3220124,0.47619048,2.5434792,68.92444,0
44b6_95029e92,888635,0,16.0,89.0,116.0,1.8401018,5.5124846,0.25396827,2.5434792,68.92444,0
44b6_95029e92,888636,0,36.0,99.0,160.0,1.8172876,4.8883667,0.5714286,2.5434792,68.92444,0
44b6_95029e92,888637,0,53.0,83.0,191.0,1.8001271,4.7751904,0.84126985,2.5434792,68.92444,0
44b6_95029e92,888638,0,32.0,174.0,140.0,1.7176224,4.963817,0.50793654,2.5434792,68.92444,0
44b6_95029e92,888639,0,43.0,48.0,175.0,1.6959661,4.03598,0.6825397,2.5434792,68.92444,0
44b6_95029e92,888640,0,4.0,156.0,74.0,1.6771158,3.0204804,0.06349207,2.5434792,68.92444,0
44b6_95029e92,888641,0,26.0,38.0,142.0,1.6765213,4.1949983,0.41269842,2.5434792,68.92444,0
44b6_95029e92,888642,0,57.0,149.0,188.0,1.6615933,4.6024427,0.9047619,2.5434792,68.92444,0
44b6_95029e92,888643,0,56.0,208.0,176.0,1.6164132,5.0411234,0.8888889,2.5434792,68.92444,0
44b6_95029e92,888644,0,7.0,242.0,58.0,1.6016524,3.949103,0.11111111,2.5434792,68.92444,0
44b6_95029e92,888645,0,46.0,160.0,170.0,1.5977197,4.4500732,0.73015875,2.5434792,68.92444,0
44b6_95029e92,888646,0,28.0,108.0,141.0,1.5928584,4.3747344,0.44444445,2.5434792,68.92444,0
44b6_95029e92,888647,0,39.0,205.0,148.0,1.5589969,5.7730403,0.61904764,2.5434792,68.92444,0
44b6_95029e92,888648,0,43.0,106.0,173.0,1.5203784,3.3699386,0.6825397,2.5434792,68.92444,0
44b6_95029e92,888649,0,54.0,5.0,193.0,1.5304661,7.101789,0.85714287,2.5434792,68.92444,0
44b6_95029e92,888650,0,16.0,209.0,93.0,1.4859222,3.5506208,0.25396827,2.5434792,68.92444,0
44b6_95029e92,888651,0,15.0,159.0,104.0,1.3477951,3.9045086,0.23809524,2.5434792,68.92444,0
44b6_95029e92,888652,0,48.0,18.0,180.0,1.3177518,6.544723,0.7619048,2.5434792,68.92444,0
44b6_95029e92,888653,0,6.0,21.0,93.0,1.2427057,4.2946553,0.0952381,2.5434792,68.92444,0
44b6_95029e92,888654,0,37.0,158.0,156.0,0.90706336,2.1212504,0.5873016,2.5434792,68.92444,0
44b6_95029e92,888655,0,15.0,133.0,111.0,0.7762281,3.1035185,0.23809524,2.5434792,68.92444,0
44b6_95029e92,888656,0,8.0,17.0,26.0,0.57317364,1.7578564,0.12698413,2.5434792,68.92444,0
44b6_95029e92,888657,0,18.0,253.0,49.0,0.50536764,0.61539704,0.2857143,2.4475355,61.41516,0
44b6_95029e92,888658,0,8.0,245.0,20.0,0.48626655,1.9049538,0.12698413,2.5434792,68.92444,0
44b6_95029e92,888659,1,13.0,79.0,101.0,2.2447815,12.550489,0.20634921,2.5401762,68.65625,0
44b6_95029e92,888660,1,12.0,43.0,99.0,2.2111807,11.379801,0.1904762,2.5434792,68.92444,0
44b6_95029e92,888661,1,61.0,38.0,203.0,2.0366664,3.9421508,0.96825397,2.4687274,63.024292,0
44b6_95029e92,888662,1,47.0,245.0,151.0,1.955425,4.7418737,0.74603176,2.5434792,68.92444,0
44b6_95029e92,888663,1,17.0,94.0,118.0,1.9284902,5.6765885,0.26984128,2.5434792,68.92444,0
44b6_95029e92,888664,1,30.0,223.0,123.0,1.9218764,4.68071,0.47619048,2.5434792,68.92444,0
44b6_95029e92,888665,1,53.0,85.0,190.0,1.897174,4.972333,0.84126985,2.5434792,68.92444,0
44b6_95029e92,888666,1,37.0,102.0,160.0,1.8729514,4.7204022,0.5873016,2.5434792,68.92444,0
44b6_95029e92,888667,1,4.0,160.0,72.0,1.7048538,3.1069274,0.06349207,2.5434792,68.92444,0
44b6_95029e92,888668,1,42.0,50.0,173.0,1.7103723,3.972787,0.6666667,2.5434792,68.92444,0
44b6_95029e92,888669,1,32.0,178.0,139.0,1.6526116,4.721284,0.50793654,2.5434792,68.92444,0
44b6_95029e92,888670,1,57.0,151.0,187.0,1.632906,4.2880497,0.9047619,2.5434792,68.92444,0
44b6_95029e92,888671,1,46.0,163.0,169.0,1.5973544,4.390974,0.73015875,2.5434792,68.92444,0
44b6_95029e92,888672,1,16.0,215.0,93.0,1.5986167,3.7426085,0.25396827,2.5434792,68.92444,0
44b6_95029e92,888673,1,43.0,109.0,172.0,1.5748218,3.3173957,0.6825397,2.5434792,68.92444,0
44b6_95029e92,888674,1,56.0,212.0,175.0,1.5565037,4.8364854,0.8888889,2.5434792,68.92444,0
44b6_95029e92,888675,1,29.0,112.0,140.0,1.5575365,4.232815,0.46031746,2.5434792,68.92444,0
44b6_95029e92,888676,1,39.0,205.0,147.0,1.5676448,5.5368943,0.61904764,2.5434792,68.92444,0
44b6_95029e92,888677,1,7.0,248.0,56.0,1.5455295,3.8329675,0.11111111,2.5434792,68.92444,0
44b6_95029e92,888678,1,26.0,42.0,142.0,1.5325106,3.919249,0.41269842,2.5434792,68.92444,0
44b6_95029e92,888679,1,47.0,22.0,177.0,1.4500163,7.7694807,0.74603176,2.5434792,68.92444,0
44b6_95029e92,888680,1,16.0,162.0,103.0,1.4129833,4.2683783,0.25396827,2.5434792,68.92444,0
44b6_95029e92,888681,1,55.0,13.0,191.0,1.3040444,6.0488176,0.8730159,2.5434792,68.92444,0
44b6_95029e92,888682,1,6.0,23.0,93.0,1.2045774,4.2571754,0.0952381,2.5434792,68.92444,0
44b6_95029e92,888683,1,37.0,160.0,156.0,0.93324715,1.8957272,0.5873016,2.5401762,68.65625,0
44b6_95029e92,888684,1,15.0,136.0,111.0,0.78030694,3.1159747,0.23809524,2.5434792,68.92444,0
44b6_95029e92,888685,1,7.0,23.0,20.0,0.54999423,1.4691644,0.11111111,2.5268764,67.583496,2
44b6_95029e92,888686,1,8.0,30.0,25.0,0.5374866,1.4296272,0.12698413,2.5434792,68.92444,2
44b6_95029e92,888687,1,9.0,33.0,28.0,0.5394686,1.6749728,0.14285715,2.5434792,68.92444,2
44b6_95029e92,888688,1,8.0,250.0,17.0,0.5125442,2.1336255,0.12698413,2.5434792,68.92444,0
44b6_95029e92,888689,2,47.0,252.0,150.0,2.0122843,4.737764,0.74603176,2.5401762,68.65625,0
44b6_95029e92,888690,2,12.0,47.0,99.0,1.9642189,7.9251027,0.1904762,2.5434792,68.92444,0
44b6_95029e92,888691,2,53.0,88.0,189.0,1.9169945,4.697733,0.84126985,2.5434792,68.92444,0
44b6_95029e92,888692,2,13.0,85.0,99.0,1.9419369,10.771839,0.20634921,2.5434792,68.92444,0
44b6_95029e92,888693,2,36.0,105.0,158.0,1.902077,5.209604,0.5714286,2.5434792,68.92444,0
44b6_95029e92,888694,2,30.0,229.0,123.0,1.8833728,4.47582,0.47619048,2.5434792,68.92444,0
44b6_95029e92,888695,2,17.0,99.0,116.0,1.867892,5.146965,0.26984128,2.5434792,68.92444,0
44b6_95029e92,888696,2,3.0,164.0,70.0,1.7018578,3.0838056,0.04761905,2.5368643,68.38806,0
44b6_95029e92,888697,2,42.0,54.0,171.0,1.7224106,3.9905994,0.6666667,2.5434792,68.92444,0
44b6_95029e92,888698,2,57.0,154.0,187.0,1.631331,4.0308785,0.9047619,2.5434792,68.92444,0
44b6_95029e92,888699,2,32.0,183.0,138.0,1.6002859,4.8421035,0.50793654,2.5434792,68.92444,0
44b6_95029e92,888700,2,25.0,48.0,140.0,1.580549,4.0154357,0.3968254,2.5434792,68.92444,0
44b6_95029e92,888701,2,39.0,210.0,147.0,1.6017463,6.0523496,0.61904764,2.5434792,68.92444,0
44b6_95029e92,888702,2,36.0,4.0,163.0,1.581446,7.2784905,0.5714286,2.5434792,68.92444,0
44b6_95029e92,888703,2,56.0,215.0,174.0,1.565329,4.849625,0.8888889,2.5434792,68.92444,0
44b6_95029e92,888704,2,17.0,221.0,93.0,1.5721514,3.4903474,0.26984128,2.5434792,68.92444,0
44b6_95029e92,888705,2,47.0,169.0,169.0,1.5489198,4.265244,0.74603176,2.5434792,68.92444,0
44b6_95029e92,888706,2,43.0,116.0,170.0,1.5128988,3.7744186,0.6825397,2.5434792,68.92444,0
44b6_95029e92,888707,2,27.0,116.0,136.0,1.4629934,4.0688033,0.42857143,2.5434792,68.92444,0
44b6_95029e92,888708,2,53.0,17.0,191.0,1.3697854,4.798798,0.84126985,2.5434792,68.92444,1
44b6_95029e92,888709,2,46.0,25.0,181.0,1.3721534,5.7148433,0.73015875,2.5434792,68.92444,1
44b6_95029e92,888710,2,53.0,45.0,194.0,1.32061,1.7997241,0.84126985,2.5434792,68.92444,0
44b6_95029e92,888711,2,15.0,170.0,101.0,1.3153526,3.8186066,0.23809524,2.5434792,68.92444,0
44b6_95029e92,888712,2,6.0,30.0,91.0,1.2484014,4.4134564,0.0952381,2.5434792,68.92444,0
44b6_95029e92,888713,2,37.0,163.0,155.0,0.89076895,2.3772533,0.5873016,2.5401762,68.65625,0
44b6_95029e92,888714,2,15.0,142.0,109.0,0.75395626,2.9873805,0.23809524,2.5401762,68.65625,0
