dataset,node_id,t,z,y,x,mean_intensity,snr,z_depth_ratio,estimated_radius_um,volume_um3,local_density_r15
44b6_c8e2a523,1179423,0,7.0,164.0,45.0,1.3344315,6.9266376,0.11111111,2.5368643,68.38806,0
44b6_c8e2a523,1179424,0,4.0,41.0,65.0,1.3247032,5.128737,0.06349207,2.5368643,68.38806,0
44b6_c8e2a523,1179425,0,19.0,147.0,100.0,1.3358194,3.3658297,0.3015873,2.5401762,68.65625,1
44b6_c8e2a523,1179426,0,4.0,60.0,72.0,1.3261589,6.1873946,0.06349207,2.5302145,67.851685,0
44b6_c8e2a523,1179427,0,25.0,217.0,117.0,1.2884842,4.547665,0.3968254,2.5302145,67.851685,0
44b6_c8e2a523,1179428,0,43.0,235.0,226.0,1.2736093,7.4901233,0.6825397,2.5401762,68.65625,1
44b6_c8e2a523,1179429,0,9.0,223.0,45.0,1.2759883,6.2924623,0.14285715,2.5335438,68.11987,0
44b6_c8e2a523,1179430,0,10.0,108.0,77.0,1.2639081,7.0751157,0.15873016,2.5235295,67.31531,0
44b6_c8e2a523,1179431,0,20.0,40.0,148.0,1.186883,3.8930655,0.31746033,2.493,64.90161,0
44b6_c8e2a523,1179432,0,22.0,108.0,125.0,1.1983846,6.7304688,0.34920636,2.5434792,68.92444,1
44b6_c8e2a523,1179433,0,5.0,3.0,84.0,1.1734596,6.2949166,0.07936508,2.4895616,64.63342,0
44b6_c8e2a523,1179434,0,16.0,209.0,71.0,1.1596806,4.733083,0.25396827,2.493,64.90161,0
44b6_c8e2a523,1179435,0,8.0,40.0,85.0,1.1600473,5.8818674,0.12698413,2.5401762,68.65625,0
44b6_c8e2a523,1179436,0,6.0,27.0,93.0,1.1441402,4.2522693,0.0952381,2.4826555,64.097046,1
44b6_c8e2a523,1179437,0,35.0,35.0,235.0,1.151723,6.5324283,0.5555556,2.5401762,68.65625,1
44b6_c8e2a523,1179438,0,8.0,251.0,35.0,1.1030135,4.472411,0.12698413,2.499849,65.43799,0
44b6_c8e2a523,1179439,0,33.0,216.0,165.0,1.1119977,3.1260164,0.52380955,2.4652207,62.756104,1
44b6_c8e2a523,1179440,0,15.0,155.0,93.0,1.1146295,2.445094,0.23809524,2.472224,63.29248,2
44b6_c8e2a523,1179441,0,24.0,13.0,189.0,1.081273,8.464312,0.3809524,2.5368643,68.38806,1
44b6_c8e2a523,1179442,0,19.0,68.0,126.0,1.0775278,5.3146477,0.3015873,2.5302145,67.851685,2
44b6_c8e2a523,1179443,0,43.0,205.0,233.0,1.0836331,5.0283394,0.6825397,2.5368643,68.38806,2
44b6_c8e2a523,1179444,0,18.0,175.0,97.0,1.0654175,3.7971072,0.2857143,2.5235295,67.31531,0
44b6_c8e2a523,1179445,0,28.0,81.0,173.0,1.0691357,4.3460093,0.44444445,2.5368643,68.38806,1
44b6_c8e2a523,1179446,0,3.0,77.0,51.0,1.0399568,5.160634,0.04761905,2.5368643,68.38806,0
44b6_c8e2a523,1179447,0,18.0,102.0,100.0,1.0482668,5.2404656,0.2857143,2.4791882,63.828857,0
44b6_c8e2a523,1179448,0,30.0,155.0,160.0,1.0428756,6.7558784,0.47619048,2.5100527,66.24255,1
44b6_c8e2a523,1179449,0,15.0,119.0,92.0,1.0506405,6.9084144,0.23809524,2.5368643,68.38806,0
44b6_c8e2a523,1179450,0,46.0,161.0,250.0,1.0335221,6.271753,0.73015875,2.5401762,68.65625,0
44b6_c8e2a523,1179451,0,12.0,53.0,106.0,1.027235,4.7885947,0.1904762,2.5201738,67.04712,1
44b6_c8e2a523,1179452,0,14.0,18.0,125.0,1.0289677,6.7088637,0.22222222,2.5401762,68.65625,0
44b6_c8e2a523,1179453,0,34.0,199.0,178.0,1.0245543,3.4038632,0.53968257,2.5368643,68.38806,2
44b6_c8e2a523,1179454,0,35.0,78.0,216.0,1.0127212,3.5778115,0.5555556,2.5168092,66.77893,1
44b6_c8e2a523,1179455,0,32.0,39.0,212.0,1.019109,3.8214066,0.50793654,2.5134354,66.51074,1
44b6_c8e2a523,1179456,0,26.0,169.0,140.0,0.9928654,5.673929,0.41269842,2.418696,59.269653,0
44b6_c8e2a523,1179457,0,32.0,49.0,214.0,1.0088946,3.74839,0.50793654,2.5268764,67.583496,2
44b6_c8e2a523,1179458,0,9.0,66.0,86.0,1.0122705,3.768876,0.14285715,2.4652207,62.756104,0
44b6_c8e2a523,1179459,0,26.0,31.0,182.0,1.0142746,7.0339646,0.41269842,2.5335438,68.11987,1
44b6_c8e2a523,1179460,0,16.0,242.0,68.0,0.99849004,4.6632752,0.25396827,2.5368643,68.38806,0
44b6_c8e2a523,1179461,0,6.0,85.0,69.0,0.99340856,4.799313,0.0952381,2.5100527,66.24255,2
44b6_c8e2a523,1179462,0,19.0,199.0,99.0,0.9808856,3.650176,0.3015873,2.4617038,62.487915,0
44b6_c8e2a523,1179463,0,34.0,174.0,178.0,0.97892743,7.158855,0.53968257,2.5368643,68.38806,0
44b6_c8e2a523,1179464,0,3.0,138.0,37.0,0.96439195,3.014937,0.04761905,2.4652207,62.756104,0
44b6_c8e2a523,1179465,0,30.0,107.0,175.0,0.9855298,5.9975023,0.47619048,2.5268764,67.583496,0
44b6_c8e2a523,1179466,0,24.0,161.0,127.0,0.9815863,5.1368885,0.3809524,2.5368643,68.38806,1
44b6_c8e2a523,1179467,0,2.0,199.0,19.0,0.96357125,3.3225565,0.031746034,2.451093,61.68335,0
44b6_c8e2a523,1179468,0,42.0,219.0,218.0,0.95686907,3.6230466,0.6666667,2.5168092,66.77893,1
44b6_c8e2a523,1179469,0,36.0,65.0,233.0,0.9603725,3.08561,0.5714286,2.5368643,68.38806,1
44b6_c8e2a523,1179470,0,20.0,223.0,99.0,0.9553128,3.1703033,0.31746033,2.5201738,67.04712,1
44b6_c8e2a523,1179471,0,27.0,198.0,133.0,0.9473281,3.0403311,0.42857143,2.5401762,68.65625,0
44b6_c8e2a523,1179472,0,15.0,79.0,98.0,0.9533165,3.9240124,0.23809524,2.5100527,66.24255,0
44b6_c8e2a523,1179473,0,45.0,199.0,246.0,0.935332,2.7771351,0.71428573,2.493,64.90161,2
44b6_c8e2a523,1179474,0,30.0,65.0,183.0,0.933124,5.3269625,0.47619048,2.5268764,67.583496,1
44b6_c8e2a523,1179475,0,32.0,249.0,150.0,0.92500895,5.2359567,0.50793654,2.5235295,67.31531,0
44b6_c8e2a523,1179476,0,20.0,229.0,87.0,0.9194142,2.497864,0.31746033,2.5401762,68.65625,2
44b6_c8e2a523,1179477,0,10.0,215.0,87.0,0.9269046,3.9458349,0.15873016,2.5168092,66.77893,0
44b6_c8e2a523,1179478,0,33.0,199.0,165.0,0.9244522,2.9576094,0.52380955,2.4652207,62.756104,2
44b6_c8e2a523,1179479,0,9.0,87.0,85.0,0.91290694,3.8497853,0.14285715,2.4439676,61.146973,1
44b6_c8e2a523,1179480,0,42.0,151.0,225.0,0.9218721,5.3615627,0.6666667,2.5368643,68.38806,0
44b6_c8e2a523,1179481,0,25.0,66.0,162.0,0.9127549,4.5484276,0.3968254,2.5201738,67.04712,2
44b6_c8e2a523,1179482,0,27.0,9.0,214.0,0.89994675,2.8842826,0.42857143,2.5268764,67.583496,0
44b6_c8e2a523,1179483,0,19.0,60.0,138.0,0.9021819,3.3133118,0.3015873,2.4826555,64.097046,2
44b6_c8e2a523,1179484,0,46.0,251.0,234.0,0.8959544,4.5535054,0.73015875,2.5335438,68.11987,1
44b6_c8e2a523,1179485,0,26.0,100.0,154.0,0.9029478,5.0797477,0.41269842,2.5335438,68.11987,1
44b6_c8e2a523,1179486,0,36.0,160.0,191.0,0.89321405,3.2165446,0.5714286,2.4826555,64.097046,1
44b6_c8e2a523,1179487,0,36.0,194.0,194.0,0.88307023,2.6313128,0.5714286,2.5134354,66.51074,2
44b6_c8e2a523,1179488,0,2.0,52.0,51.0,0.9006399,5.643609,0.031746034,2.3928847,57.392334,0
44b6_c8e2a523,1179489,0,16.0,43.0,127.0,0.8953569,3.992587,0.25396827,2.5368643,68.38806,2
44b6_c8e2a523,1179490,0,19.0,89.0,128.0,0.890395,7.566802,0.3015873,2.5335438,68.11987,0
44b6_c8e2a523,1179491,0,28.0,46.0,193.0,0.87185633,4.235682,0.44444445,2.458177,62.219727,1
44b6_c8e2a523,1179492,0,5.0,101.0,54.0,0.88568294,5.855461,0.07936508,2.5032594,65.70618,0
44b6_c8e2a523,1179493,0,20.0,90.0,109.0,0.87100077,3.5153391,0.31746033,2.4546402,61.951538,0
44b6_c8e2a523,1179494,0,17.0,111.0,113.0,0.87313557,2.4301884,0.26984128,2.4687274,63.024292,2
44b6_c8e2a523,1179495,0,27.0,132.0,142.0,0.8674865,2.5205534,0.42857143,2.5268764,67.583496,3
44b6_c8e2a523,1179496,0,32.0,82.0,199.0,0.879841,4.5491962,0.50793654,2.5302145,67.851685,0
44b6_c8e2a523,1179497,0,42.0,103.0,245.0,0.8757998,8.284576,0.6666667,2.5368643,68.38806,0
44b6_c8e2a523,1179498,0,38.0,198.0,215.0,0.86052835,4.249372,0.6031746,2.4861133,64.365234,1
44b6_c8e2a523,1179499,0,31.0,239.0,197.0,0.8592763,2.1672804,0.4920635,2.5168092,66.77893,2
44b6_c8e2a523,1179500,0,34.0,241.0,166.0,0.85197055,2.9519608,0.53968257,2.4687274,63.024292,1
44b6_c8e2a523,1179501,0,34.0,122.0,186.0,0.85798633,3.1363945,0.53968257,2.4652207,62.756104,2
44b6_c8e2a523,1179502,0,9.0,129.0,71.0,0.8517045,4.2050867,0.14285715,2.4617038,62.487915,0
44b6_c8e2a523,1179503,0,30.0,189.0,149.0,0.84373605,5.8131037,0.47619048,2.4077017,58.465088,0
44b6_c8e2a523,1179504,0,36.0,101.0,210.0,0.84615326,3.7585702,0.5714286,2.4652207,62.756104,0
44b6_c8e2a523,1179505,0,19.0,2.0,160.0,0.8219253,3.7993784,0.3015873,2.3665042,55.515015,1
44b6_c8e2a523,1179506,0,39.0,204.0,191.0,0.8284375,2.1119642,0.61904764,2.5032594,65.70618,3
44b6_c8e2a523,1179507,0,19.0,17.0,147.0,0.83966494,2.5298061,0.3015873,2.4652207,62.756104,1
44b6_c8e2a523,1179508,0,43.0,180.0,231.0,0.83897513,4.711883,0.6825397,2.5335438,68.11987,0
44b6_c8e2a523,1179509,0,39.0,238.0,197.0,0.81892914,2.1408987,0.61904764,2.4439676,61.146973,1
44b6_c8e2a523,1179510,0,29.0,237.0,176.0,0.8279921,2.7529612,0.46031746,2.5335438,68.11987,3
44b6_c8e2a523,1179511,0,38.0,169.0,214.0,0.82033056,3.233922,0.6031746,2.5335438,68.11987,2
44b6_c8e2a523,1179512,0,37.0,141.0,212.0,0.8064442,2.9520292,0.5873016,2.475711,63.56067,1
44b6_c8e2a523,1179513,0,41.0,133.0,239.0,0.8048499,3.2503479,0.6507937,2.5201738,67.04712,0
44b6_c8e2a523,1179514,0,31.0,129.0,163.0,0.8184973,5.323668,0.4920635,2.4687274,63.024292,0
44b6_c8e2a523,1179515,0,6.0,127.0,51.0,0.79987997,3.2731264,0.0952381,2.4439676,61.146973,0
44b6_c8e2a523,1179516,0,39.0,183.0,198.0,0.8039184,3.0211272,0.61904764,2.5066607,65.974365,1
44b6_c8e2a523,1179517,0,13.0,173.0,75.0,0.8031716,6.4836087,0.20634921,2.4652207,62.756104,1
44b6_c8e2a523,1179518,0,25.0,214.0,160.0,0.79653126,1.3214597,0.3968254,2.451093,61.68335,1
44b6_c8e2a523,1179519,0,4.0,182.0,20.0,0.7979625,3.9234924,0.06349207,2.4617038,62.487915,0
44b6_c8e2a523,1179520,0,9.0,51.0,132.0,0.80010533,2.0705698,0.14285715,2.499849,65.43799,2
44b6_c8e2a523,1179521,0,16.0,172.0,129.0,0.8031526,3.1662898,0.25396827,2.5134354,66.51074,1
