dataset,node_id,t,z,y,x,mean_intensity,snr,z_depth_ratio,estimated_radius_um,volume_um3,local_density_r15
44b6_e31261b4,1480878,0,35.0,240.0,208.0,1.407128,3.7780855,0.5555556,2.5401762,68.65625,2
44b6_e31261b4,1480879,0,23.0,191.0,207.0,1.3166984,3.5653453,0.36507937,2.5434792,68.92444,1
44b6_e31261b4,1480880,0,40.0,246.0,252.0,1.2450548,4.618185,0.63492066,2.5401762,68.65625,0
44b6_e31261b4,1480881,0,14.0,170.0,235.0,1.2414548,3.7449539,0.22222222,2.5434792,68.92444,1
44b6_e31261b4,1480882,0,32.0,209.0,206.0,1.1402875,3.1619534,0.50793654,2.5434792,68.92444,1
44b6_e31261b4,1480883,0,26.0,214.0,194.0,1.1287469,3.1153944,0.41269842,2.5401762,68.65625,1
44b6_e31261b4,1480884,0,42.0,176.0,247.0,1.124842,5.2774625,0.6666667,2.5335438,68.11987,0
44b6_e31261b4,1480885,0,16.0,160.0,186.0,1.1148329,3.1977012,0.25396827,2.5401762,68.65625,3
44b6_e31261b4,1480886,0,17.0,192.0,215.0,1.1048404,2.0729637,0.26984128,2.5434792,68.92444,2
44b6_e31261b4,1480887,0,38.0,85.0,187.0,1.095615,2.8571239,0.6031746,2.5434792,68.92444,1
44b6_e31261b4,1480888,0,13.0,139.0,211.0,1.1076219,4.261081,0.20634921,2.5401762,68.65625,0
44b6_e31261b4,1480889,0,10.0,126.0,236.0,1.056812,2.8878624,0.15873016,2.5401762,68.65625,1
44b6_e31261b4,1480890,0,40.0,226.0,212.0,1.0522366,1.7827379,0.63492066,2.5401762,68.65625,2
44b6_e31261b4,1480891,0,21.0,22.0,74.0,1.0684632,3.7126513,0.33333334,2.5434792,68.92444,1
44b6_e31261b4,1480892,0,25.0,198.0,191.0,1.0623341,3.2896948,0.3968254,2.5434792,68.92444,0
44b6_e31261b4,1480893,0,48.0,220.0,214.0,1.0414078,2.1277933,0.7619048,2.5100527,66.24255,2
44b6_e31261b4,1480894,0,16.0,92.0,200.0,1.0144024,3.8555183,0.25396827,2.458177,62.219727,2
44b6_e31261b4,1480895,0,23.0,164.0,178.0,1.0135773,2.24835,0.36507937,2.5434792,68.92444,2
44b6_e31261b4,1480896,0,32.0,233.0,171.0,1.0168226,4.2867928,0.50793654,2.5401762,68.65625,0
44b6_e31261b4,1480897,0,28.0,83.0,186.0,1.0145818,1.984461,0.44444445,2.5368643,68.38806,1
44b6_e31261b4,1480898,0,42.0,237.0,110.0,1.0108811,2.3065155,0.6666667,2.5434792,68.92444,2
44b6_e31261b4,1480899,0,20.0,93.0,244.0,1.0022298,3.3190868,0.31746033,2.5401762,68.65625,2
44b6_e31261b4,1480900,0,40.0,133.0,212.0,0.9926429,4.0726714,0.63492066,2.5302145,67.851685,1
44b6_e31261b4,1480901,0,25.0,221.0,237.0,1.0006541,2.6192553,0.3968254,2.5434792,68.92444,2
44b6_e31261b4,1480902,0,34.0,214.0,176.0,0.99257934,2.9100406,0.53968257,2.5168092,66.77893,2
44b6_e31261b4,1480903,0,38.0,127.0,70.0,1.0011204,4.6613736,0.6031746,2.5401762,68.65625,1
