dataset,node_id,t,z,y,x,mean_intensity,snr,z_depth_ratio,estimated_radius_um,volume_um3,local_density_r15
6bba_062c8d37,1646219,0,9.0,162.0,203.0,2.0270216,14.059476,0.14285715,2.5401762,68.65625,0
6bba_062c8d37,1646220,0,35.0,48.0,232.0,1.7333345,3.129481,0.5555556,2.5401762,68.65625,0
6bba_062c8d37,1646221,0,5.0,247.0,9.0,1.7099051,3.8191018,0.07936508,2.4617038,62.487915,0
6bba_062c8d37,1646222,0,13.0,132.0,196.0,1.6778725,9.360143,0.20634921,2.5434792,68.92444,0
6bba_062c8d37,1646223,0,39.0,42.0,194.0,1.6460555,8.895037,0.61904764,2.5401762,68.65625,0
6bba_062c8d37,1646224,0,25.0,82.0,234.0,1.5249931,5.551574,0.3968254,2.5401762,68.65625,0
6bba_062c8d37,1646225,0,60.0,46.0,9.0,1.5109692,3.2437046,0.95238096,2.5401762,68.65625,0
6bba_062c8d37,1646226,0,4.0,186.0,169.0,1.4695146,2.631899,0.06349207,2.5401762,68.65625,1
6bba_062c8d37,1646227,0,52.0,53.0,30.0,1.4253523,4.562543,0.82539684,2.5302145,67.851685,0
6bba_062c8d37,1646228,0,3.0,175.0,220.0,1.2928771,3.208169,0.04761905,2.5401762,68.65625,0
6bba_062c8d37,1646229,0,48.0,40.0,103.0,1.2856644,4.226256,0.7619048,2.5434792,68.92444,0
6bba_062c8d37,1646230,0,30.0,76.0,173.0,1.284644,4.3860703,0.47619048,2.5401762,68.65625,1
6bba_062c8d37,1646231,0,44.0,36.0,149.0,1.276837,3.90042,0.6984127,2.5401762,68.65625,0
6bba_062c8d37,1646232,0,20.0,99.0,250.0,1.2657363,5.10847,0.31746033,2.5401762,68.65625,0
6bba_062c8d37,1646233,0,13.0,130.0,231.0,1.2466129,4.4470086,0.20634921,2.5401762,68.65625,0
6bba_062c8d37,1646234,0,34.0,72.0,136.0,1.2452357,3.525349,0.53968257,2.4791882,63.828857,0
6bba_062c8d37,1646235,0,28.0,78.0,203.0,1.2382666,6.078914,0.44444445,2.5401762,68.65625,1
6bba_062c8d37,1646236,0,55.0,11.0,135.0,1.2511926,3.327456,0.8730159,2.5401762,68.65625,1
6bba_062c8d37,1646237,0,46.0,97.0,7.0,1.2230924,3.3295355,0.73015875,2.5434792,68.92444,0
6bba_062c8d37,1646238,0,13.0,199.0,25.0,1.2067235,4.393004,0.20634921,2.5201738,67.04712,1
6bba_062c8d37,1646239,0,20.0,172.0,20.0,1.1822323,4.8083067,0.31746033,2.5066607,65.974365,0
6bba_062c8d37,1646240,0,18.0,132.0,142.0,1.1893506,7.408712,0.2857143,2.5401762,68.65625,0
6bba_062c8d37,1646241,0,61.0,29.0,28.0,1.160704,2.767244,0.96825397,2.4439676,61.146973,0
6bba_062c8d37,1646242,0,10.0,185.0,87.0,1.1314993,3.3913636,0.15873016,2.4861133,64.365234,0
6bba_062c8d37,1646243,0,34.0,111.0,27.0,1.0994747,4.223646,0.53968257,2.5066607,65.974365,0
6bba_062c8d37,1646244,0,19.0,111.0,210.0,1.097575,4.103769,0.3015873,2.5401762,68.65625,0
6bba_062c8d37,1646245,0,16.0,150.0,116.0,1.0143777,3.1148875,0.25396827,2.4652207,62.756104,0
6bba_062c8d37,1646246,0,44.0,79.0,23.0,1.0126604,3.9395013,0.6984127,2.4687274,63.024292,0
6bba_062c8d37,1646247,0,15.0,172.0,60.0,0.9808849,3.6784441,0.23809524,2.4652207,62.756104,0
6bba_062c8d37,1646248,0,4.0,241.0,33.0,0.9595463,3.2908554,0.06349207,2.4368005,60.610596,0
6bba_062c8d37,1646249,0,10.0,153.0,175.0,0.96150434,3.7819717,0.15873016,2.5434792,68.92444,0
6bba_062c8d37,1646250,0,11.0,210.0,22.0,0.95084333,2.6274855,0.17460318,2.5066607,65.974365,1
6bba_062c8d37,1646251,0,27.0,193.0,6.0,0.94779855,2.1944754,0.42857143,2.5434792,68.92444,0
6bba_062c8d37,1646252,0,19.0,116.0,185.0,0.9444634,4.2940354,0.3015873,2.5368643,68.38806,0
6bba_062c8d37,1646253,0,11.0,221.0,103.0,0.94019896,2.1277335,0.17460318,2.5201738,67.04712,1
6bba_062c8d37,1646254,0,45.0,23.0,190.0,0.93609214,5.9184237,0.71428573,2.5434792,68.92444,0
6bba_062c8d37,1646255,0,11.0,221.0,96.0,0.92625254,1.9907757,0.17460318,2.5368643,68.38806,1
6bba_062c8d37,1646256,0,10.0,201.0,50.0,0.8762082,4.7339005,0.15873016,2.458177,62.219727,0
6bba_062c8d37,1646257,0,22.0,124.0,117.0,0.8667253,4.400285,0.34920636,2.472224,63.29248,0
6bba_062c8d37,1646258,0,50.0,23.0,141.0,0.86211246,2.0654695,0.7936508,2.5335438,68.11987,1
6bba_062c8d37,1646259,0,47.0,11.0,227.0,0.833249,4.11528,0.74603176,2.5434792,68.92444,0
6bba_062c8d37,1646260,0,26.0,114.0,99.0,0.82980597,3.6126995,0.41269842,2.5302145,67.851685,0
6bba_062c8d37,1646261,0,29.0,131.0,67.0,0.8181909,2.8661692,0.46031746,2.472224,63.29248,0
6bba_062c8d37,1646262,0,34.0,91.0,83.0,0.81875503,3.9093966,0.53968257,2.472224,63.29248,0
6bba_062c8d37,1646263,0,51.0,40.0,72.0,0.81619143,4.6625123,0.8095238,2.5368643,68.38806,0
6bba_062c8d37,1646264,0,25.0,100.0,146.0,0.8131301,3.4127972,0.3968254,2.5335438,68.11987,0
6bba_062c8d37,1646265,0,25.0,115.0,143.0,0.815005,3.4769707,0.3968254,2.5335438,68.11987,0
6bba_062c8d37,1646266,0,11.0,190.0,177.0,0.7862245,0.81042075,0.17460318,2.3891516,57.124146,1
6bba_062c8d37,1646267,0,61.0,11.0,87.0,0.7902281,4.3514285,0.96825397,2.4687274,63.024292,0
6bba_062c8d37,1646268,0,40.0,62.0,105.0,0.77803594,4.3704457,0.63492066,2.5201738,67.04712,0
6bba_062c8d37,1646269,0,45.0,71.0,51.0,0.76590645,2.6017785,0.71428573,2.4687274,63.024292,0
6bba_062c8d37,1646270,0,6.0,188.0,123.0,0.7505164,3.3670206,0.0952381,2.5401762,68.65625,0
6bba_062c8d37,1646271,0,36.0,96.0,52.0,0.7308206,4.812065,0.5714286,2.4617038,62.487915,0
6bba_062c8d37,1646272,0,41.0,74.0,204.0,0.640306,1.7184122,0.6507937,2.5368643,68.38806,2
6bba_062c8d37,1646273,0,39.0,30.0,242.0,0.5848025,5.4859548,0.61904764,2.5401762,68.65625,0
6bba_062c8d37,1646274,0,42.0,72.0,168.0,0.5270839,0.96304494,0.6666667,2.433201,60.342407,1
6bba_062c8d37,1646275,0,44.0,61.0,208.0,0.5227448,1.897803,0.6984127,2.472224,63.29248,1
6bba_062c8d37,1646276,1,9.0,159.0,200.0,2.1217926,9.04566,0.14285715,2.5401762,68.65625,0
6bba_062c8d37,1646277,1,36.0,45.0,227.0,1.7669019,3.1494548,0.5714286,2.5302145,67.851685,0
6bba_062c8d37,1646278,1,39.0,41.0,188.0,1.6083645,8.1004715,0.61904764,2.5401762,68.65625,0
6bba_062c8d37,1646279,1,14.0,128.0,190.0,1.5853169,8.514961,0.22222222,2.5401762,68.65625,0
6bba_062c8d37,1646280,1,4.0,185.0,162.0,1.4720615,2.3937144,0.06349207,2.5368643,68.38806,1
6bba_062c8d37,1646281,1,31.0,71.0,171.0,1.387703,4.634476,0.4920635,2.5434792,68.92444,0
6bba_062c8d37,1646282,1,26.0,77.0,227.0,1.3649126,5.62724,0.41269842,2.5434792,68.92444,0
6bba_062c8d37,1646283,1,4.0,172.0,213.0,1.3458307,3.4706743,0.06349207,2.5401762,68.65625,0
6bba_062c8d37,1646284,1,35.0,69.0,127.0,1.3262591,3.4836812,0.5555556,2.4895616,64.63342,0
6bba_062c8d37,1646285,1,53.0,51.0,26.0,1.3238865,4.4316173,0.84126985,2.5401762,68.65625,0
