dataset,node_id,t,z,y,x,mean_intensity,snr,z_depth_ratio,estimated_radius_um,volume_um3,local_density_r15
6bba_07477033,1650052,0,20.0,151.0,96.0,2.484768,3.5655785,0.31746033,2.5434792,68.92444,0
6bba_07477033,1650053,0,12.0,155.0,67.0,2.273987,5.740286,0.1904762,2.5434792,68.92444,0
6bba_07477033,1650054,0,58.0,99.0,191.0,2.2285385,3.8968523,0.9206349,2.5434792,68.92444,0
6bba_07477033,1650055,0,43.0,132.0,31.0,2.0312207,4.8158255,0.6825397,2.5434792,68.92444,0
6bba_07477033,1650056,0,32.0,140.0,117.0,2.0347,4.5224557,0.50793654,2.5434792,68.92444,0
6bba_07477033,1650057,0,13.0,156.0,30.0,1.9721323,4.5209856,0.20634921,2.5434792,68.92444,0
6bba_07477033,1650058,0,56.0,115.0,78.0,1.929087,5.4292936,0.8888889,2.5434792,68.92444,0
6bba_07477033,1650059,0,30.0,145.0,40.0,1.9039843,3.7940803,0.47619048,2.5434792,68.92444,0
6bba_07477033,1650060,0,43.0,124.0,168.0,1.7659487,3.5205562,0.6825397,2.5434792,68.92444,1
6bba_07477033,1650061,0,56.0,76.0,11.0,1.668706,2.0325518,0.8888889,2.5434792,68.92444,0
6bba_07477033,1650062,0,24.0,144.0,161.0,1.603323,3.0877364,0.3809524,2.5434792,68.92444,0
6bba_07477033,1650063,0,50.0,115.0,173.0,1.6215512,2.8172565,0.7936508,2.5434792,68.92444,1
6bba_07477033,1650064,0,34.0,142.0,13.0,1.5878512,3.7652433,0.53968257,2.5434792,68.92444,0
6bba_07477033,1650065,0,33.0,129.0,208.0,1.5417385,5.7131586,0.52380955,2.5434792,68.92444,0
6bba_07477033,1650066,0,58.0,87.0,244.0,1.5162407,4.4196815,0.9206349,2.5434792,68.92444,0
6bba_07477033,1650067,0,49.0,109.0,213.0,1.5068367,4.140176,0.7777778,2.5434792,68.92444,0
6bba_07477033,1650068,0,46.0,127.0,101.0,1.4407896,3.7569249,0.73015875,2.5434792,68.92444,1
6bba_07477033,1650069,0,46.0,127.0,93.0,1.4157794,3.4367616,0.73015875,2.5434792,68.92444,1
6bba_07477033,1650070,0,20.0,131.0,247.0,1.3902816,4.413056,0.31746033,2.5434792,68.92444,0
6bba_07477033,1650071,0,56.0,116.0,32.0,1.3468751,3.732242,0.8888889,2.5434792,68.92444,1
6bba_07477033,1650072,0,16.0,144.0,208.0,1.2568848,2.856593,0.25396827,2.5434792,68.92444,0
6bba_07477033,1650073,0,7.0,149.0,176.0,1.2635326,3.8381252,0.11111111,2.5434792,68.92444,0
6bba_07477033,1650074,0,58.0,114.0,21.0,1.2583305,3.2478032,0.9206349,2.5401762,68.65625,1
6bba_07477033,1650075,0,7.0,145.0,223.0,1.2468421,2.7889009,0.11111111,2.5434792,68.92444,0
6bba_07477033,1650076,0,58.0,96.0,213.0,1.1019909,2.674315,0.9206349,2.5434792,68.92444,0
6bba_07477033,1650077,0,5.0,153.0,131.0,1.0477347,3.7043307,0.07936508,2.5434792,68.92444,0
6bba_07477033,1650078,0,46.0,60.0,238.0,0.85520756,1.753503,0.73015875,2.5434792,68.92444,1
6bba_07477033,1650079,0,44.0,58.0,251.0,0.81380105,1.8481724,0.6984127,2.5434792,68.92444,1
6bba_07477033,1650080,0,49.0,79.0,126.0,0.774983,1.8775401,0.7777778,2.5434792,68.92444,0
6bba_07477033,1650081,0,36.0,119.0,240.0,0.7796556,3.4459555,0.5714286,2.5434792,68.92444,0
6bba_07477033,1650082,0,56.0,114.0,129.0,0.67834544,2.4529812,0.8888889,2.5434792,68.92444,0
6bba_07477033,1650083,0,23.0,118.0,101.0,0.6556546,2.148672,0.36507937,2.5434792,68.92444,0
6bba_07477033,1650084,0,24.0,117.0,80.0,0.6294678,1.75924,0.3809524,2.5434792,68.92444,0
6bba_07477033,1650085,0,38.0,139.0,62.0,0.61134875,2.473372,0.6031746,2.5368643,68.38806,0
6bba_07477033,1650086,0,4.0,134.0,71.0,0.4310494,2.2945542,0.06349207,2.5434792,68.92444,0
6bba_07477033,1650087,1,43.0,132.0,27.0,2.2557924,5.228355,0.6825397,2.5434792,68.92444,0
6bba_07477033,1650088,1,59.0,98.0,189.0,2.2231262,3.8562372,0.93650794,2.5434792,68.92444,0
6bba_07477033,1650089,1,20.0,151.0,91.0,2.162819,3.3759582,0.31746033,2.5434792,68.92444,0
6bba_07477033,1650090,1,12.0,155.0,63.0,2.1867452,5.1418633,0.1904762,2.5434792,68.92444,0
6bba_07477033,1650091,1,32.0,141.0,111.0,1.9550303,4.4542327,0.50793654,2.5434792,68.92444,0
6bba_07477033,1650092,1,55.0,116.0,75.0,1.9288687,5.297044,0.8730159,2.5434792,68.92444,0
6bba_07477033,1650093,1,13.0,156.0,26.0,1.8863528,4.768592,0.20634921,2.5434792,68.92444,0
6bba_07477033,1650094,1,29.0,145.0,36.0,1.7430477,3.66204,0.46031746,2.5434792,68.92444,0
6bba_07477033,1650095,1,24.0,144.0,157.0,1.722063,3.298718,0.3809524,2.5434792,68.92444,0
6bba_07477033,1650096,1,43.0,124.0,165.0,1.706751,3.284557,0.6825397,2.5434792,68.92444,1
6bba_07477033,1650097,1,34.0,142.0,10.0,1.692086,3.8606493,0.53968257,2.5434792,68.92444,0
6bba_07477033,1650098,1,46.0,127.0,101.0,1.7055156,4.4380474,0.73015875,2.5434792,68.92444,0
6bba_07477033,1650099,1,50.0,115.0,171.0,1.6969099,2.9254248,0.7936508,2.5434792,68.92444,1
6bba_07477033,1650100,1,32.0,130.0,204.0,1.5881873,5.7929764,0.50793654,2.5434792,68.92444,0
6bba_07477033,1650101,1,56.0,76.0,7.0,1.4802296,2.0081134,0.8888889,2.5434792,68.92444,0
6bba_07477033,1650102,1,49.0,109.0,210.0,1.4339151,3.984059,0.7777778,2.5434792,68.92444,0
6bba_07477033,1650103,1,58.0,87.0,243.0,1.4403273,4.3729286,0.9206349,2.5434792,68.92444,0
6bba_07477033,1650104,1,55.0,118.0,31.0,1.4109133,4.0671926,0.8730159,2.5434792,68.92444,0
6bba_07477033,1650105,1,20.0,132.0,243.0,1.2988797,4.4541845,0.31746033,2.5434792,68.92444,0
6bba_07477033,1650106,1,16.0,145.0,202.0,1.2705415,2.9359274,0.25396827,2.5434792,68.92444,0
6bba_07477033,1650107,1,7.0,149.0,172.0,1.2587675,3.5599074,0.11111111,2.5434792,68.92444,0
6bba_07477033,1650108,1,6.0,145.0,220.0,1.1636426,3.0646746,0.0952381,2.5434792,68.92444,0
6bba_07477033,1650109,1,58.0,96.0,212.0,1.1435487,2.8829045,0.9206349,2.5434792,68.92444,0
6bba_07477033,1650110,1,5.0,153.0,130.0,1.056206,3.243177,0.07936508,2.5434792,68.92444,1
6bba_07477033,1650111,1,6.0,154.0,126.0,1.0582986,3.417133,0.0952381,2.5434792,68.92444,1
6bba_07477033,1650112,1,45.0,63.0,235.0,0.9045894,1.8400381,0.71428573,2.5434792,68.92444,0
6bba_07477033,1650113,1,37.0,119.0,237.0,0.83752555,3.6260195,0.5873016,2.5434792,68.92444,0
6bba_07477033,1650114,1,49.0,79.0,125.0,0.77800846,1.8391358,0.7777778,2.5434792,68.92444,0
6bba_07477033,1650115,1,56.0,114.0,126.0,0.67774034,2.4665124,0.8888889,2.5434792,68.92444,0
6bba_07477033,1650116,1,23.0,118.0,89.0,0.64323354,1.7293952,0.36507937,2.5434792,68.92444,1
6bba_07477033,1650117,1,22.0,119.0,98.0,0.63827515,2.1664145,0.34920636,2.5434792,68.92444,1
6bba_07477033,1650118,1,43.0,119.0,195.0,0.6209377,1.6430613,0.6825397,2.5401762,68.65625,0
6bba_07477033,1650119,1,39.0,138.0,57.0,0.57774115,2.3678274,0.61904764,2.5302145,67.851685,0
6bba_07477033,1650120,1,2.0,135.0,67.0,0.426837,2.2772088,0.031746034,2.4687274,63.024292,0
6bba_07477033,1650121,2,56.0,116.0,69.0,2.259591,5.5743437,0.8888889,2.5434792,68.92444,0
6bba_07477033,1650122,2,20.0,152.0,83.0,2.1940904,3.6318507,0.31746033,2.5434792,68.92444,0
6bba_07477033,1650123,2,60.0,101.0,176.0,2.1139731,3.42436,0.95238096,2.5401762,68.65625,1
6bba_07477033,1650124,2,43.0,133.0,20.0,2.1104622,4.684947,0.6825397,2.5434792,68.92444,0
6bba_07477033,1650125,2,61.0,99.0,186.0,2.0344286,3.0173538,0.96825397,2.458177,62.219727,1
6bba_07477033,1650126,2,11.0,157.0,18.0,2.0419443,4.882683,0.17460318,2.5434792,68.92444,0
6bba_07477033,1650127,2,33.0,141.0,108.0,2.0340025,4.3793917,0.52380955,2.5434792,68.92444,0
6bba_07477033,1650128,2,13.0,155.0,57.0,1.9838393,4.1574492,0.20634921,2.5434792,68.92444,0
6bba_07477033,1650129,2,52.0,115.0,167.0,1.8975049,3.483478,0.82539684,2.5434792,68.92444,1
6bba_07477033,1650130,2,25.0,144.0,155.0,1.8421981,3.6212964,0.3968254,2.5434792,68.92444,0
6bba_07477033,1650131,2,34.0,131.0,197.0,1.7533344,5.7962723,0.53968257,2.5434792,68.92444,0
6bba_07477033,1650132,2,47.0,128.0,85.0,1.7513341,3.8736887,0.74603176,2.5434792,68.92444,0
6bba_07477033,1650133,2,55.0,119.0,21.0,1.6731013,4.1909237,0.8730159,2.5434792,68.92444,0
6bba_07477033,1650134,2,58.0,88.0,244.0,1.6499063,4.5038633,0.9206349,2.5434792,68.92444,0
6bba_07477033,1650135,2,35.0,142.0,5.0,1.5874814,3.2896538,0.5555556,2.5434792,68.92444,0
6bba_07477033,1650136,2,46.0,124.0,158.0,1.5879687,2.5399754,0.73015875,2.5434792,68.92444,1
6bba_07477033,1650137,2,29.0,147.0,31.0,1.554395,3.715531,0.46031746,2.5434792,68.92444,0
6bba_07477033,1650138,2,51.0,108.0,212.0,1.3561277,3.1479752,0.8095238,2.5434792,68.92444,1
6bba_07477033,1650139,2,22.0,132.0,235.0,1.3381348,4.6291404,0.34920636,2.5434792,68.92444,0
6bba_07477033,1650140,2,17.0,145.0,198.0,1.3278232,3.3793073,0.26984128,2.5434792,68.92444,0
6bba_07477033,1650141,2,6.0,146.0,215.0,1.3174609,3.6215305,0.0952381,2.5434792,68.92444,0
6bba_07477033,1650142,2,7.0,150.0,167.0,1.2654318,3.6916776,0.11111111,2.5434792,68.92444,0
6bba_07477033,1650143,2,7.0,156.0,117.0,1.1748536,4.057952,0.11111111,2.5434792,68.92444,0
6bba_07477033,1650144,2,59.0,97.0,210.0,1.1446244,2.5747256,0.93650794,2.5401762,68.65625,1
6bba_07477033,1650145,2,45.0,65.0,228.0,0.9039255,1.8653449,0.71428573,2.5434792,68.92444,0
6bba_07477033,1650146,2,50.0,83.0,111.0,0.7631838,1.8145779,0.7936508,2.5434792,68.92444,1
6bba_07477033,1650147,2,49.0,82.0,120.0,0.7645956,1.690441,0.7777778,2.5434792,68.92444,1
6bba_07477033,1650148,2,37.0,120.0,233.0,0.73084515,3.2771893,0.5873016,2.5434792,68.92444,0
6bba_07477033,1650149,2,56.0,116.0,120.0,0.6881949,2.2929626,0.8888889,2.5434792,68.92444,0
6bba_07477033,1650150,2,22.0,120.0,74.0,0.60047394,1.6893498,0.34920636,2.5434792,68.92444,0
6bba_07477033,1650151,2,40.0,138.0,57.0,0.5797497,2.5158412,0.63492066,2.5235295,67.31531,0
6bba_07477033,1650152,2,38.0,138.0,132.0,0.49414662,2.3492,0.6031746,2.5434792,68.92444,0
6bba_07477033,1650153,3,34.0,141.0,107.0,2.1148071,4.374034,0.53968257,2.5434792,68.92444,0
6bba_07477033,1650154,3,43.0,134.0,17.0,2.088351,4.518436,0.6825397,2.5434792,68.92444,0
6bba_07477033,1650155,3,13.0,156.0,54.0,2.1017303,4.6862454,0.20634921,2.5434792,68.92444,0
6bba_07477033,1650156,3,56.0,117.0,69.0,2.0829728,5.825734,0.8888889,2.5434792,68.92444,0
6bba_07477033,1650157,3,25.0,145.0,149.0,2.0339355,3.7327118,0.3968254,2.5434792,68.92444,0
6bba_07477033,1650158,3,10.0,157.0,13.0,2.0306914,4.3276534,0.15873016,2.5434792,68.92444,0
6bba_07477033,1650159,3,20.0,153.0,82.0,1.9865366,3.2522807,0.31746033,2.5434792,68.92444,0
6bba_07477033,1650160,3,60.0,101.0,175.0,1.9046302,3.2711685,0.95238096,2.5401762,68.65625,1
6bba_07477033,1650161,3,34.0,131.0,197.0,1.85193,5.6858945,0.53968257,2.5434792,68.92444,0
6bba_07477033,1650162,3,60.0,99.0,186.0,1.8252819,3.0787473,0.95238096,2.5335438,68.11987,1
6bba_07477033,1650163,3,52.0,114.0,168.0,1.8033043,3.1444159,0.82539684,2.5434792,68.92444,1
6bba_07477033,1650164,3,47.0,128.0,84.0,1.7327864,3.8111546,0.74603176,2.5434792,68.92444,0
6bba_07477033,1650165,3,28.0,147.0,29.0,1.6882453,3.732161,0.44444445,2.5434792,68.92444,0
6bba_07477033,1650166,3,55.0,120.0,19.0,1.6571422,4.21723,0.8730159,2.5335438,68.11987,0
6bba_07477033,1650167,3,35.0,142.0,5.0,1.6098361,3.0832753,0.5555556,2.5434792,68.92444,0
6bba_07477033,1650168,3,58.0,88.0,243.0,1.576615,4.143267,0.9206349,2.5434792,68.92444,0
