dataset,node_id,t,z,y,x,mean_intensity,snr,z_depth_ratio,estimated_radius_um,volume_um3,local_density_r15
6bba_085bf656,1672923,0,13.0,12.0,139.0,1.8482491,3.7272146,0.20634921,2.5434792,68.92444,0
6bba_085bf656,1672924,0,45.0,11.0,8.0,1.6556506,3.8933103,0.71428573,2.5434792,68.92444,0
6bba_085bf656,1672925,0,39.0,64.0,110.0,1.5882614,5.432519,0.61904764,2.5434792,68.92444,0
6bba_085bf656,1672926,0,10.0,130.0,242.0,1.5590296,3.0694852,0.15873016,2.5434792,68.92444,0
6bba_085bf656,1672927,0,40.0,13.0,37.0,1.5152109,3.7428527,0.63492066,2.5434792,68.92444,0
6bba_085bf656,1672928,0,36.0,250.0,225.0,1.5205444,5.2762647,0.5714286,2.5434792,68.92444,0
6bba_085bf656,1672929,0,38.0,30.0,72.0,1.4515514,3.079716,0.6031746,2.5434792,68.92444,0
6bba_085bf656,1672930,0,31.0,3.0,83.0,1.3961526,2.9124863,0.4920635,2.5401762,68.65625,0
6bba_085bf656,1672931,0,25.0,86.0,176.0,1.381576,2.6196516,0.3968254,2.5434792,68.92444,0
6bba_085bf656,1672932,0,4.0,60.0,218.0,1.3708912,2.174024,0.06349207,2.5434792,68.92444,0
6bba_085bf656,1672933,0,52.0,85.0,74.0,1.3646092,2.704338,0.82539684,2.5434792,68.92444,0
6bba_085bf656,1672934,0,37.0,185.0,180.0,1.3706843,4.122124,0.5873016,2.5434792,68.92444,0
6bba_085bf656,1672935,0,28.0,245.0,252.0,1.3618273,3.8812542,0.44444445,2.5401762,68.65625,0
6bba_085bf656,1672936,0,44.0,218.0,194.0,1.3312681,3.0839915,0.6984127,2.5434792,68.92444,0
6bba_085bf656,1672937,0,48.0,200.0,100.0,1.3147728,2.1502786,0.7619048,2.5434792,68.92444,0
6bba_085bf656,1672938,0,25.0,38.0,128.0,1.3109046,2.3347456,0.3968254,2.5434792,68.92444,1
6bba_085bf656,1672939,0,24.0,59.0,152.0,1.3198191,4.3647814,0.3809524,2.5434792,68.92444,0
6bba_085bf656,1672940,0,8.0,80.0,196.0,1.3034214,3.6084325,0.12698413,2.5434792,68.92444,0
6bba_085bf656,1672941,0,35.0,207.0,207.0,1.2986225,3.592806,0.5555556,2.5434792,68.92444,0
6bba_085bf656,1672942,0,46.0,124.0,115.0,1.298697,4.63528,0.73015875,2.5434792,68.92444,0
6bba_085bf656,1672943,0,13.0,61.0,192.0,1.2671088,2.3396027,0.20634921,2.5434792,68.92444,0
6bba_085bf656,1672944,0,33.0,93.0,122.0,1.2628903,3.7686708,0.52380955,2.5434792,68.92444,0
6bba_085bf656,1672945,0,52.0,186.0,143.0,1.2683504,8.483698,0.82539684,2.5434792,68.92444,0
6bba_085bf656,1672946,0,25.0,122.0,183.0,1.2455846,3.0941925,0.3968254,2.5434792,68.92444,0
6bba_085bf656,1672947,0,26.0,183.0,219.0,1.2445097,2.806897,0.41269842,2.5434792,68.92444,1
6bba_085bf656,1672948,0,21.0,211.0,184.0,1.226934,1.8931475,0.33333334,2.5434792,68.92444,0
6bba_085bf656,1672949,0,31.0,34.0,115.0,1.2375553,2.439974,0.4920635,2.5434792,68.92444,1
