dataset,node_id,t,z,y,x,mean_intensity,snr,z_depth_ratio,estimated_radius_um,volume_um3,local_density_r15
6bba_12665c0e,1717196,0,10.0,54.0,93.0,1.5862199,4.2972465,0.15873016,2.5434792,68.92444,0
6bba_12665c0e,1717197,0,17.0,179.0,199.0,1.5648521,4.2903886,0.26984128,2.5434792,68.92444,0
6bba_12665c0e,1717198,0,46.0,48.0,209.0,1.5079683,4.244957,0.73015875,2.5434792,68.92444,0
6bba_12665c0e,1717199,0,10.0,127.0,138.0,1.5226345,4.9653277,0.15873016,2.5434792,68.92444,1
6bba_12665c0e,1717200,0,21.0,140.0,192.0,1.424672,3.301039,0.33333334,2.5434792,68.92444,0
6bba_12665c0e,1717201,0,16.0,127.0,164.0,1.4233944,3.5328937,0.25396827,2.5434792,68.92444,1
6bba_12665c0e,1717202,0,34.0,107.0,215.0,1.4085822,2.6270688,0.53968257,2.5434792,68.92444,0
6bba_12665c0e,1717203,0,2.0,181.0,166.0,1.3858209,3.2638822,0.031746034,2.4687274,63.024292,0
6bba_12665c0e,1717204,0,24.0,56.0,156.0,1.3858783,3.198882,0.3809524,2.5434792,68.92444,1
6bba_12665c0e,1717205,0,18.0,244.0,239.0,1.3324404,3.4099154,0.2857143,2.5434792,68.92444,0
6bba_12665c0e,1717206,0,8.0,165.0,148.0,1.3108679,2.2946665,0.12698413,2.5401762,68.65625,0
6bba_12665c0e,1717207,0,11.0,122.0,104.0,1.3182048,3.2082698,0.17460318,2.5434792,68.92444,0
6bba_12665c0e,1717208,0,13.0,89.0,144.0,1.3170003,4.393432,0.20634921,2.5434792,68.92444,2
6bba_12665c0e,1717209,0,46.0,110.0,251.0,1.2981726,3.981117,0.73015875,2.5434792,68.92444,0
6bba_12665c0e,1717210,0,12.0,217.0,204.0,1.28996,3.2654762,0.1904762,2.5434792,68.92444,0
6bba_12665c0e,1717211,0,23.0,135.0,172.0,1.2735196,2.3308625,0.36507937,2.5434792,68.92444,1
6bba_12665c0e,1717212,0,16.0,68.0,123.0,1.2733445,5.2638087,0.25396827,2.5434792,68.92444,0
6bba_12665c0e,1717213,0,36.0,139.0,232.0,1.252838,4.257943,0.5714286,2.5434792,68.92444,0
6bba_12665c0e,1717214,0,15.0,59.0,26.0,1.24153,2.2841222,0.23809524,2.5434792,68.92444,0
6bba_12665c0e,1717215,0,38.0,19.0,169.0,1.2483994,3.5566041,0.6031746,2.5434792,68.92444,1
6bba_12665c0e,1717216,0,7.0,145.0,159.0,1.2249727,5.6081023,0.11111111,2.5434792,68.92444,0
6bba_12665c0e,1717217,0,32.0,69.0,178.0,1.1836532,4.4362063,0.50793654,2.5434792,68.92444,1
6bba_12665c0e,1717218,0,8.0,210.0,181.0,1.182288,3.8606558,0.12698413,2.5434792,68.92444,1
6bba_12665c0e,1717219,0,30.0,45.0,149.0,1.1635702,1.8869514,0.47619048,2.5434792,68.92444,2
6bba_12665c0e,1717220,0,8.0,60.0,74.0,1.1786963,3.4142382,0.12698413,2.5434792,68.92444,0
6bba_12665c0e,1717221,0,43.0,183.0,242.0,1.1478162,3.4661524,0.6825397,2.5434792,68.92444,1
6bba_12665c0e,1717222,0,37.0,45.0,153.0,1.1317556,1.8374114,0.5873016,2.5434792,68.92444,2
6bba_12665c0e,1717223,0,33.0,106.0,156.0,1.1324856,3.707532,0.52380955,2.5434792,68.92444,0
6bba_12665c0e,1717224,0,24.0,16.0,108.0,1.1369679,2.3901148,0.3809524,2.5434792,68.92444,0
6bba_12665c0e,1717225,0,8.0,20.0,58.0,1.1197392,3.769273,0.12698413,2.5434792,68.92444,0
6bba_12665c0e,1717226,0,26.0,149.0,214.0,1.1314707,3.818324,0.41269842,2.5434792,68.92444,0
6bba_12665c0e,1717227,0,47.0,77.0,226.0,1.1189216,3.3396633,0.74603176,2.5434792,68.92444,0
6bba_12665c0e,1717228,0,7.0,88.0,124.0,1.108307,2.785372,0.11111111,2.5434792,68.92444,0
6bba_12665c0e,1717229,0,10.0,241.0,187.0,1.1055402,2.530431,0.15873016,2.5434792,68.92444,1
6bba_12665c0e,1717230,0,55.0,77.0,250.0,1.1098255,5.149081,0.8730159,2.5434792,68.92444,0
6bba_12665c0e,1717231,0,54.0,52.0,229.0,1.1058687,4.939357,0.85714287,2.5434792,68.92444,0
6bba_12665c0e,1717232,0,20.0,78.0,160.0,1.0955387,3.7500532,0.31746033,2.5434792,68.92444,0
6bba_12665c0e,1717233,0,7.0,233.0,193.0,1.0843183,2.1240392,0.11111111,2.5434792,68.92444,1
6bba_12665c0e,1717234,0,25.0,105.0,187.0,1.075244,3.0164695,0.3968254,2.5434792,68.92444,0
6bba_12665c0e,1717235,0,17.0,9.0,94.0,1.0763319,2.0511978,0.26984128,2.5434792,68.92444,0
6bba_12665c0e,1717236,0,16.0,162.0,164.0,1.0787847,3.794108,0.25396827,2.5434792,68.92444,1
6bba_12665c0e,1717237,0,32.0,37.0,164.0,1.0562414,2.42162,0.50793654,2.5434792,68.92444,1
6bba_12665c0e,1717238,0,18.0,248.0,224.0,1.0625124,2.8035688,0.2857143,2.5434792,68.92444,0
