dataset,node_id,t,z,y,x,mean_intensity,snr,z_depth_ratio,estimated_radius_um,volume_um3,local_density_r15
6bba_13f19531,1722521,0,23.0,192.0,238.0,1.3493783,3.7892354,0.36507937,2.5434792,68.92444,0
6bba_13f19531,1722522,0,38.0,6.0,75.0,1.3342083,4.9035125,0.6031746,2.5434792,68.92444,0
6bba_13f19531,1722523,0,19.0,127.0,204.0,1.2806482,4.222785,0.3015873,2.5434792,68.92444,0
6bba_13f19531,1722524,0,57.0,171.0,168.0,1.2733798,3.6981556,0.9047619,2.5434792,68.92444,0
6bba_13f19531,1722525,0,30.0,38.0,114.0,1.279635,3.6321163,0.47619048,2.5434792,68.92444,1
6bba_13f19531,1722526,0,53.0,69.0,102.0,1.2554163,4.96575,0.84126985,2.5434792,68.92444,0
6bba_13f19531,1722527,0,60.0,235.0,207.0,1.2168639,5.068896,0.95238096,2.5401762,68.65625,0
6bba_13f19531,1722528,0,29.0,74.0,151.0,1.1899438,2.6379304,0.46031746,2.5434792,68.92444,0
6bba_13f19531,1722529,0,59.0,37.0,61.0,1.1883677,3.1116164,0.93650794,2.5434792,68.92444,0
6bba_13f19531,1722530,0,37.0,243.0,250.0,1.1654646,3.6685095,0.5873016,2.5434792,68.92444,0
6bba_13f19531,1722531,0,3.0,29.0,135.0,1.1408228,3.8799672,0.04761905,2.5401762,68.65625,0
6bba_13f19531,1722532,0,5.0,59.0,165.0,1.1197431,3.8151426,0.07936508,2.5434792,68.92444,0
6bba_13f19531,1722533,0,32.0,130.0,187.0,1.094905,4.9238596,0.50793654,2.5434792,68.92444,0
6bba_13f19531,1722534,0,23.0,204.0,202.0,1.0699475,2.1766949,0.36507937,2.5434792,68.92444,0
6bba_13f19531,1722535,0,4.0,87.0,189.0,1.0870808,5.1610103,0.06349207,2.5434792,68.92444,0
6bba_13f19531,1722536,0,14.0,51.0,149.0,1.0866022,3.946523,0.22222222,2.5434792,68.92444,0
6bba_13f19531,1722537,0,25.0,30.0,120.0,1.0673581,2.1027794,0.3968254,2.5434792,68.92444,1
6bba_13f19531,1722538,0,46.0,171.0,155.0,1.033155,2.2819548,0.73015875,2.5434792,68.92444,0
6bba_13f19531,1722539,0,54.0,107.0,132.0,1.0514351,4.997379,0.85714287,2.5434792,68.92444,0
6bba_13f19531,1722540,0,39.0,86.0,138.0,1.037081,4.33818,0.61904764,2.5434792,68.92444,0
6bba_13f19531,1722541,0,29.0,105.0,170.0,1.035132,5.69137,0.46031746,2.5434792,68.92444,0
6bba_13f19531,1722542,0,33.0,120.0,136.0,1.0006543,1.9114805,0.52380955,2.5434792,68.92444,0
6bba_13f19531,1722543,0,10.0,105.0,195.0,1.007761,3.9446046,0.15873016,2.5434792,68.92444,0
6bba_13f19531,1722544,0,22.0,159.0,222.0,0.9748806,3.8354576,0.34920636,2.5434792,68.92444,0
6bba_13f19531,1722545,0,19.0,93.0,177.0,0.9734874,5.822263,0.3015873,2.5434792,68.92444,0
6bba_13f19531,1722546,0,60.0,70.0,47.0,0.9257883,1.7260133,0.95238096,2.5401762,68.65625,0
6bba_13f19531,1722547,0,53.0,4.0,31.0,0.94504684,4.04942,0.84126985,2.5434792,68.92444,0
6bba_13f19531,1722548,0,51.0,158.0,177.0,0.91674,4.100367,0.8095238,2.5434792,68.92444,0
6bba_13f19531,1722549,0,33.0,203.0,231.0,0.90689623,3.2322526,0.52380955,2.5434792,68.92444,0
6bba_13f19531,1722550,0,38.0,56.0,118.0,0.90391284,4.7285576,0.6031746,2.5434792,68.92444,0
6bba_13f19531,1722551,0,47.0,178.0,197.0,0.8949768,6.3175573,0.74603176,2.5434792,68.92444,0
6bba_13f19531,1722552,0,37.0,238.0,207.0,0.8725875,1.8788126,0.5873016,2.5434792,68.92444,0
6bba_13f19531,1722553,0,55.0,206.0,159.0,0.8599222,3.5228808,0.8730159,2.5434792,68.92444,0
6bba_13f19531,1722554,0,47.0,25.0,77.0,0.8641932,4.493217,0.74603176,2.5434792,68.92444,0
6bba_13f19531,1722555,0,44.0,58.0,68.0,0.8510565,2.4877777,0.6984127,2.5434792,68.92444,0
6bba_13f19531,1722556,0,10.0,157.0,231.0,0.8604007,3.621196,0.15873016,2.5434792,68.92444,0
6bba_13f19531,1722557,0,45.0,209.0,219.0,0.8562774,5.515144,0.71428573,2.5434792,68.92444,0
6bba_13f19531,1722558,0,35.0,170.0,209.0,0.7855912,6.290021,0.5555556,2.5434792,68.92444,0
6bba_13f19531,1722559,0,42.0,125.0,170.0,0.7702099,3.5348103,0.6666667,2.5434792,68.92444,0
6bba_13f19531,1722560,0,27.0,101.0,135.0,0.69130534,1.2102553,0.42857143,2.5434792,68.92444,0
6bba_13f19531,1722561,0,58.0,133.0,145.0,0.6987004,6.840676,0.9206349,2.5434792,68.92444,0
6bba_13f19531,1722562,0,53.0,213.0,204.0,0.66876113,3.4573817,0.84126985,2.5434792,68.92444,0
6bba_13f19531,1722563,0,13.0,126.0,164.0,0.23121846,1.6410259,0.20634921,2.5401762,68.65625,0
6bba_13f19531,1722564,0,9.0,48.0,108.0,0.22198689,0.87976825,0.14285715,2.4368005,60.610596,0
6bba_13f19531,1722565,1,55.0,166.0,167.0,1.3784592,3.3705392,0.8730159,2.5434792,68.92444,1
6bba_13f19531,1722566,1,22.0,190.0,238.0,1.3550848,3.5846236,0.34920636,2.5434792,68.92444,1
6bba_13f19531,1722567,1,60.0,157.0,155.0,1.2653778,2.9716194,0.95238096,2.5401762,68.65625,0
6bba_13f19531,1722568,1,17.0,124.0,202.0,1.245488,4.375207,0.26984128,2.5434792,68.92444,0
6bba_13f19531,1722569,1,28.0,36.0,113.0,1.239704,3.3654575,0.44444445,2.5434792,68.92444,1
6bba_13f19531,1722570,1,59.0,234.0,207.0,1.2316265,4.887535,0.93650794,2.5434792,68.92444,0
6bba_13f19531,1722571,1,58.0,35.0,60.0,1.210525,3.6128445,0.9206349,2.5434792,68.92444,0
6bba_13f19531,1722572,1,52.0,69.0,102.0,1.205121,4.2989035,0.82539684,2.5434792,68.92444,0
6bba_13f19531,1722573,1,28.0,72.0,150.0,1.1469451,2.7785287,0.44444445,2.5434792,68.92444,0
6bba_13f19531,1722574,1,36.0,241.0,251.0,1.1318524,3.4591541,0.5714286,2.5434792,68.92444,0
6bba_13f19531,1722575,1,23.0,26.0,116.0,1.1076828,2.2673557,0.36507937,2.5434792,68.92444,1
6bba_13f19531,1722576,1,13.0,49.0,147.0,1.0929561,3.9190564,0.20634921,2.5434792,68.92444,0
6bba_13f19531,1722577,1,21.0,205.0,204.0,1.057064,2.1693687,0.33333334,2.5434792,68.92444,0
6bba_13f19531,1722578,1,45.0,170.0,157.0,1.0332041,1.7626002,0.71428573,2.5434792,68.92444,1
6bba_13f19531,1722579,1,38.0,85.0,138.0,1.044666,4.3936133,0.6031746,2.5434792,68.92444,0
6bba_13f19531,1722580,1,31.0,127.0,187.0,1.0414155,4.5016036,0.4920635,2.5434792,68.92444,0
6bba_13f19531,1722581,1,53.0,105.0,132.0,1.0247606,4.623717,0.84126985,2.5434792,68.92444,0
6bba_13f19531,1722582,1,32.0,126.0,142.0,0.99898684,1.91379,0.50793654,2.5434792,68.92444,0
6bba_13f19531,1722583,1,7.0,102.0,193.0,0.9989306,2.946839,0.11111111,2.5434792,68.92444,0
6bba_13f19531,1722584,1,28.0,103.0,172.0,0.9846891,5.046148,0.44444445,2.5434792,68.92444,0
6bba_13f19531,1722585,1,21.0,156.0,220.0,0.97559124,3.9710894,0.33333334,2.5434792,68.92444,0
6bba_13f19531,1722586,1,17.0,91.0,176.0,0.98163545,6.021149,0.26984128,2.5434792,68.92444,0
6bba_13f19531,1722587,1,31.0,200.0,232.0,0.96101207,2.3610048,0.4920635,2.5434792,68.92444,1
6bba_13f19531,1722588,1,58.0,71.0,51.0,0.9399667,1.6996862,0.9206349,2.5434792,68.92444,0
6bba_13f19531,1722589,1,45.0,175.0,195.0,0.9341196,7.380329,0.71428573,2.5434792,68.92444,0
6bba_13f19531,1722590,1,50.0,155.0,177.0,0.92544377,3.3540485,0.7936508,2.5434792,68.92444,0
6bba_13f19531,1722591,1,61.0,74.0,79.0,0.9154092,4.4087505,0.96825397,2.4687274,63.024292,0
6bba_13f19531,1722592,1,37.0,240.0,210.0,0.86927336,1.9899726,0.5873016,2.5434792,68.92444,0
6bba_13f19531,1722593,1,37.0,52.0,117.0,0.8682531,4.211701,0.5873016,2.5434792,68.92444,0
6bba_13f19531,1722594,1,54.0,207.0,161.0,0.86040765,3.4919884,0.85714287,2.5434792,68.92444,0
6bba_13f19531,1722595,1,8.0,155.0,230.0,0.8643972,4.0874653,0.12698413,2.5434792,68.92444,0
6bba_13f19531,1722596,1,46.0,21.0,75.0,0.8567066,4.8584094,0.73015875,2.5434792,68.92444,0
6bba_13f19531,1722597,1,43.0,208.0,220.0,0.8318616,5.943319,0.6825397,2.5434792,68.92444,0
6bba_13f19531,1722598,1,43.0,67.0,72.0,0.79791164,2.3926659,0.6825397,2.5434792,68.92444,1
6bba_13f19531,1722599,1,40.0,124.0,171.0,0.79684913,3.8599334,0.63492066,2.5434792,68.92444,0
6bba_13f19531,1722600,1,34.0,170.0,210.0,0.77623296,6.085117,0.53968257,2.5434792,68.92444,0
6bba_13f19531,1722601,1,43.0,57.0,69.0,0.76186484,2.1328917,0.6825397,2.5434792,68.92444,1
6bba_13f19531,1722602,1,26.0,101.0,137.0,0.6896447,1.4218853,0.41269842,2.5434792,68.92444,0
6bba_13f19531,1722603,1,53.0,211.0,204.0,0.6732995,3.6883187,0.84126985,2.5434792,68.92444,0
6bba_13f19531,1722604,1,57.0,130.0,144.0,0.6767965,6.954477,0.9047619,2.5434792,68.92444,0
6bba_13f19531,1722605,1,11.0,127.0,162.0,0.23978864,1.7329974,0.17460318,2.5368643,68.38806,0
6bba_13f19531,1722606,1,8.0,49.0,107.0,0.2196579,1.2524768,0.12698413,2.4895616,64.63342,0
6bba_13f19531,1722607,2,21.0,191.0,240.0,1.3344755,3.4250855,0.33333334,2.5434792,68.92444,1
6bba_13f19531,1722608,2,54.0,164.0,170.0,1.3232034,3.3201997,0.85714287,2.5434792,68.92444,1
6bba_13f19531,1722609,2,17.0,123.0,204.0,1.209406,4.142021,0.26984128,2.5434792,68.92444,0
6bba_13f19531,1722610,2,60.0,156.0,157.0,1.2026658,2.9122233,0.95238096,2.5401762,68.65625,0
6bba_13f19531,1722611,2,28.0,32.0,111.0,1.199682,3.4298642,0.44444445,2.5434792,68.92444,1
6bba_13f19531,1722612,2,59.0,233.0,209.0,1.1806558,4.532614,0.93650794,2.5434792,68.92444,0
6bba_13f19531,1722613,2,27.0,69.0,151.0,1.1646837,2.6808393,0.42857143,2.5434792,68.92444,0
6bba_13f19531,1722614,2,52.0,64.0,100.0,1.1661401,4.171984,0.82539684,2.5434792,68.92444,0
6bba_13f19531,1722615,2,57.0,31.0,61.0,1.1625446,3.487508,0.9047619,2.5434792,68.92444,0
6bba_13f19531,1722616,2,36.0,239.0,251.0,1.1423435,3.8530102,0.5714286,2.5434792,68.92444,0
6bba_13f19531,1722617,2,12.0,49.0,150.0,1.1240915,3.3171968,0.1904762,2.5434792,68.92444,0
6bba_13f19531,1722618,2,23.0,23.0,117.0,1.0669922,2.4164405,0.36507937,2.5434792,68.92444,1
6bba_13f19531,1722619,2,61.0,37.0,45.0,1.0617137,3.439725,0.96825397,2.4687274,63.024292,0
6bba_13f19531,1722620,2,21.0,206.0,207.0,1.0347801,2.1924036,0.33333334,2.5434792,68.92444,0
6bba_13f19531,1722621,2,30.0,127.0,189.0,1.0252813,4.4594135,0.47619048,2.5434792,68.92444,0
6bba_13f19531,1722622,2,29.0,123.0,145.0,1.0046088,1.6620392,0.46031746,2.5434792,68.92444,0
6bba_13f19531,1722623,2,6.0,102.0,196.0,1.011075,3.39332,0.0952381,2.5434792,68.92444,0
6bba_13f19531,1722624,2,20.0,155.0,222.0,1.0034267,4.0286126,0.31746033,2.5434792,68.92444,0
6bba_13f19531,1722625,2,45.0,172.0,160.0,0.97374773,1.7263566,0.71428573,2.5434792,68.92444,0
6bba_13f19531,1722626,2,52.0,101.0,131.0,0.9887701,4.746822,0.82539684,2.5434792,68.92444,0
6bba_13f19531,1722627,2,38.0,81.0,137.0,0.97089803,4.239257,0.6031746,2.5434792,68.92444,0
6bba_13f19531,1722628,2,26.0,100.0,172.0,0.97171426,4.720006,0.41269842,2.5434792,68.92444,0
6bba_13f19531,1722629,2,30.0,198.0,234.0,0.9608925,2.025021,0.47619048,2.5434792,68.92444,1
6bba_13f19531,1722630,2,60.0,69.0,79.0,0.9482863,4.0048065,0.95238096,2.5401762,68.65625,0
6bba_13f19531,1722631,2,16.0,89.0,178.0,0.95269525,5.67509,0.25396827,2.5434792,68.92444,0
6bba_13f19531,1722632,2,49.0,153.0,178.0,0.9005003,2.6853116,0.7777778,2.5434792,68.92444,1
6bba_13f19531,1722633,2,36.0,49.0,117.0,0.89389324,4.460157,0.5714286,2.5434792,68.92444,0
6bba_13f19531,1722634,2,59.0,75.0,56.0,0.8721653,1.6544242,0.93650794,2.5434792,68.92444,1
6bba_13f19531,1722635,2,58.0,68.0,53.0,0.86669105,1.4587518,0.9206349,2.5434792,68.92444,1
6bba_13f19531,1722636,2,46.0,173.0,197.0,0.87332624,6.3700523,0.73015875,2.5434792,68.92444,0
6bba_13f19531,1722637,2,55.0,212.0,167.0,0.84475905,3.4733377,0.8730159,2.5434792,68.92444,0
6bba_13f19531,1722638,2,7.0,156.0,234.0,0.85056394,4.720111,0.11111111,2.5434792,68.92444,0
6bba_13f19531,1722639,2,36.0,243.0,214.0,0.82897675,1.9505619,0.5714286,2.5434792,68.92444,0
6bba_13f19531,1722640,2,41.0,67.0,76.0,0.8229537,2.3517725,0.6507937,2.5434792,68.92444,0
6bba_13f19531,1722641,2,43.0,206.0,220.0,0.8295396,6.2199087,0.6825397,2.5434792,68.92444,0
6bba_13f19531,1722642,2,45.0,20.0,75.0,0.8051379,4.7017646,0.71428573,2.5434792,68.92444,0
6bba_13f19531,1722643,2,40.0,121.0,172.0,0.76273036,3.4504848,0.63492066,2.5434792,68.92444,0
6bba_13f19531,1722644,2,34.0,171.0,212.0,0.7691966,6.3208976,0.53968257,2.5434792,68.92444,0
6bba_13f19531,1722645,2,52.0,210.0,206.0,0.6751501,3.8208277,0.82539684,2.5434792,68.92444,0
6bba_13f19531,1722646,2,56.0,127.0,146.0,0.68379766,8.8483515,0.8888889,2.5434792,68.92444,0
6bba_13f19531,1722647,2,10.0,126.0,166.0,0.27212024,2.3954592,0.15873016,2.5434792,68.92444,0
6bba_13f19531,1722648,2,7.0,52.0,109.0,0.2016099,1.6112411,0.11111111,2.493,64.90161,0
6bba_13f19531,1722649,3,20.0,183.0,239.0,1.4966191,3.9900458,0.31746033,2.5434792,68.92444,0
6bba_13f19531,1722650,3,53.0,161.0,171.0,1.2885499,3.4187567,0.84126985,2.5434792,68.92444,1
6bba_13f19531,1722651,3,14.0,118.0,203.0,1.2574496,4.5953603,0.22222222,2.5434792,68.92444,0
6bba_13f19531,1722652,3,27.0,29.0,111.0,1.2531856,3.5983908,0.42857143,2.5434792,68.92444,1
6bba_13f19531,1722653,3,58.0,230.0,209.0,1.2043118,5.010119,0.9206349,2.5434792,68.92444,0
6bba_13f19531,1722654,3,49.0,60.0,103.0,1.1840122,3.930991,0.7777778,2.5434792,68.92444,0
6bba_13f19531,1722655,3,59.0,153.0,157.0,1.1953968,3.3163807,0.93650794,2.5434792,68.92444,0
6bba_13f19531,1722656,3,25.0,63.0,149.0,1.1364049,2.4518483,0.3968254,2.5434792,68.92444,1
6bba_13f19531,1722657,3,17.0,59.0,148.0,1.1003019,2.4009798,0.26984128,2.5434792,68.92444,1
6bba_13f19531,1722658,3,29.0,125.0,190.0,1.0980293,4.582962,0.46031746,2.5434792,68.92444,0
6bba_13f19531,1722659,3,28.0,122.0,146.0,1.0766248,2.040948,0.44444445,2.5434792,68.92444,0
6bba_13f19531,1722660,3,19.0,208.0,210.0,1.0743873,2.1084554,0.3015873,2.5434792,68.92444,0
6bba_13f19531,1722661,3,35.0,237.0,251.0,1.0850965,3.62038,0.5555556,2.5434792,68.92444,0
6bba_13f19531,1722662,3,21.0,19.0,115.0,1.0755765,2.3928502,0.33333334,2.5434792,68.92444,1
6bba_13f19531,1722663,3,55.0,29.0,63.0,1.0686457,3.105473,0.8730159,2.5434792,68.92444,0
6bba_13f19531,1722664,3,10.0,43.0,148.0,1.0674002,3.187203,0.15873016,2.5434792,68.92444,0
6bba_13f19531,1722665,3,57.0,63.0,77.0,1.0403882,4.011856,0.9047619,2.5434792,68.92444,0
6bba_13f19531,1722666,3,51.0,99.0,133.0,1.0168871,4.9839354,0.8095238,2.5434792,68.92444,0
6bba_13f19531,1722667,3,19.0,152.0,222.0,1.006607,4.1972528,0.3015873,2.5434792,68.92444,0
6bba_13f19531,1722668,3,30.0,198.0,234.0,1.007937,4.177599,0.47619048,2.5434792,68.92444,0
6bba_13f19531,1722669,3,60.0,32.0,43.0,0.969082,3.3751168,0.95238096,2.5401762,68.65625,0
6bba_13f19531,1722670,3,44.0,172.0,162.0,0.9525475,1.83964,0.6984127,2.5434792,68.92444,0
6bba_13f19531,1722671,3,14.0,84.0,176.0,0.963904,5.624985,0.22222222,2.5434792,68.92444,0
6bba_13f19531,1722672,3,57.0,74.0,59.0,0.94329476,1.7842168,0.9047619,2.5434792,68.92444,0
6bba_13f19531,1722673,3,4.0,100.0,196.0,0.9519705,3.1704857,0.06349207,2.5434792,68.92444,0
6bba_13f19531,1722674,3,25.0,98.0,173.0,0.9534763,4.8381224,0.3968254,2.5434792,68.92444,0
6bba_13f19531,1722675,3,37.0,77.0,134.0,0.93088984,4.2706227,0.5873016,2.5434792,68.92444,0
6bba_13f19531,1722676,3,41.0,68.0,79.0,0.9018512,2.6370332,0.6507937,2.5434792,68.92444,0
6bba_13f19531,1722677,3,49.0,151.0,178.0,0.90849346,2.1479166,0.7777778,2.5434792,68.92444,1
6bba_13f19531,1722678,3,44.0,171.0,199.0,0.89741135,6.3544655,0.6984127,2.5434792,68.92444,0
6bba_13f19531,1722679,3,36.0,48.0,118.0,0.8761408,5.0667467,0.5714286,2.5434792,68.92444,0
6bba_13f19531,1722680,3,54.0,213.0,169.0,0.83799726,3.2904186,0.85714287,2.5434792,68.92444,0
