dataset,node_id,t,z,y,x,mean_intensity,snr,z_depth_ratio,estimated_radius_um,volume_um3,local_density_r15
6bba_1d0d8384,1731289,0,5.0,166.0,59.0,1.3993318,1.8669119,0.07936508,2.3891516,57.124146,1
6bba_1d0d8384,1731290,0,21.0,184.0,62.0,1.4099321,3.8992014,0.33333334,2.4687274,63.024292,3
6bba_1d0d8384,1731291,0,9.0,175.0,62.0,1.3706652,2.1017528,0.14285715,2.5434792,68.92444,2
6bba_1d0d8384,1731292,0,5.0,215.0,141.0,1.3351065,4.810577,0.07936508,2.5401762,68.65625,0
6bba_1d0d8384,1731293,0,5.0,235.0,73.0,1.3049772,3.5508955,0.07936508,2.4861133,64.365234,0
6bba_1d0d8384,1731294,0,12.0,223.0,53.0,1.3094434,2.4493601,0.1904762,2.5434792,68.92444,2
6bba_1d0d8384,1731295,0,7.0,197.0,14.0,1.2285248,2.7269843,0.11111111,2.4403894,60.878784,0
6bba_1d0d8384,1731296,0,11.0,167.0,44.0,1.226857,2.5279384,0.17460318,2.4652207,62.756104,1
6bba_1d0d8384,1731297,0,6.0,231.0,53.0,1.2138308,1.9558158,0.0952381,2.451093,61.68335,2
6bba_1d0d8384,1731298,0,16.0,225.0,17.0,1.207791,2.5562963,0.25396827,2.5434792,68.92444,0
6bba_1d0d8384,1731299,0,6.0,215.0,43.0,1.1739737,2.3051562,0.0952381,2.4546402,61.951538,1
6bba_1d0d8384,1731300,0,17.0,192.0,51.0,1.1725602,2.8914516,0.26984128,2.5434792,68.92444,1
6bba_1d0d8384,1731301,0,20.0,15.0,86.0,1.1742482,3.2358494,0.31746033,2.5168092,66.77893,0
6bba_1d0d8384,1731302,0,6.0,213.0,10.0,1.1353254,1.8100339,0.0952381,2.3816502,56.58777,0
6bba_1d0d8384,1731303,0,10.0,172.0,114.0,1.1372186,3.49062,0.15873016,2.5201738,67.04712,1
6bba_1d0d8384,1731304,0,14.0,186.0,37.0,1.1273926,3.273786,0.22222222,2.4403894,60.878784,2
6bba_1d0d8384,1731305,0,24.0,83.0,22.0,1.1321007,3.932901,0.3809524,2.4652207,62.756104,0
6bba_1d0d8384,1731306,0,21.0,190.0,99.0,1.134424,3.4946153,0.33333334,2.5368643,68.38806,0
6bba_1d0d8384,1731307,0,14.0,122.0,41.0,1.1033767,2.5783472,0.22222222,2.493,64.90161,0
6bba_1d0d8384,1731308,0,4.0,245.0,28.0,1.0896827,1.8460841,0.06349207,2.451093,61.68335,1
6bba_1d0d8384,1731309,0,9.0,201.0,77.0,1.0949522,2.5091293,0.14285715,2.5168092,66.77893,2
6bba_1d0d8384,1731310,0,6.0,194.0,125.0,1.0910676,3.2229238,0.0952381,2.4546402,61.951538,1
6bba_1d0d8384,1731311,0,9.0,248.0,21.0,1.0725507,1.8636214,0.14285715,2.5134354,66.51074,2
6bba_1d0d8384,1731312,0,19.0,243.0,30.0,1.0785741,2.930674,0.3015873,2.5401762,68.65625,1
6bba_1d0d8384,1731313,0,4.0,61.0,159.0,1.0750216,2.2323434,0.06349207,2.4652207,62.756104,0
6bba_1d0d8384,1731314,0,11.0,184.0,87.0,1.062651,3.112978,0.17460318,2.4687274,63.024292,0
6bba_1d0d8384,1731315,0,4.0,138.0,96.0,1.0506084,2.274362,0.06349207,2.3891516,57.124146,3
6bba_1d0d8384,1731316,0,17.0,34.0,88.0,1.0578282,2.2508705,0.26984128,2.458177,62.219727,1
6bba_1d0d8384,1731317,0,11.0,204.0,63.0,1.0530996,2.0482876,0.17460318,2.458177,62.219727,2
6bba_1d0d8384,1731318,0,7.0,247.0,82.0,1.0429457,1.6541641,0.11111111,2.4475355,61.41516,0
6bba_1d0d8384,1731319,0,10.0,140.0,47.0,1.0356112,2.1287088,0.15873016,2.4040146,58.1969,0
6bba_1d0d8384,1731320,0,34.0,159.0,17.0,1.0427697,2.6584659,0.53968257,2.5401762,68.65625,2
6bba_1d0d8384,1731321,0,3.0,242.0,53.0,1.0220668,1.1368774,0.04761905,2.3626873,55.246826,1
6bba_1d0d8384,1731322,0,6.0,223.0,98.0,1.0408888,3.972031,0.0952381,2.5434792,68.92444,0
6bba_1d0d8384,1731323,0,9.0,242.0,144.0,0.999065,2.0635302,0.14285715,2.499849,65.43799,0
6bba_1d0d8384,1731324,0,5.0,211.0,81.0,0.9751147,1.8209134,0.07936508,2.5100527,66.24255,2
6bba_1d0d8384,1731325,0,5.0,245.0,122.0,0.95417196,2.4832551,0.07936508,2.4895616,64.63342,2
6bba_1d0d8384,1731326,0,21.0,113.0,7.0,0.94786173,2.5352614,0.33333334,2.4964292,65.1698,0
6bba_1d0d8384,1731327,0,17.0,245.0,48.0,0.9458785,2.3454595,0.26984128,2.5434792,68.92444,0
6bba_1d0d8384,1731328,0,9.0,66.0,134.0,0.94435835,2.4003193,0.14285715,2.429591,60.07422,0
6bba_1d0d8384,1731329,0,9.0,94.0,109.0,0.94082624,2.3882449,0.14285715,2.3891516,57.124146,1
6bba_1d0d8384,1731330,0,10.0,238.0,123.0,0.9434445,2.0651596,0.15873016,2.5401762,68.65625,2
6bba_1d0d8384,1731331,0,23.0,189.0,20.0,0.9295907,2.6959033,0.36507937,2.4546402,61.951538,2
6bba_1d0d8384,1731332,0,6.0,84.0,202.0,0.9468087,2.352207,0.0952381,2.4687274,63.024292,1
6bba_1d0d8384,1731333,0,26.0,176.0,39.0,0.91064763,3.2733607,0.41269842,2.4687274,63.024292,2
6bba_1d0d8384,1731334,0,6.0,84.0,194.0,0.91747826,2.106465,0.0952381,2.458177,62.219727,1
6bba_1d0d8384,1731335,0,25.0,21.0,54.0,0.9112172,3.648895,0.3968254,2.4617038,62.487915,1
6bba_1d0d8384,1731336,0,13.0,65.0,109.0,0.9022763,2.7198257,0.20634921,2.4475355,61.41516,0
6bba_1d0d8384,1731337,0,30.0,187.0,10.0,0.89914984,2.189489,0.47619048,2.5434792,68.92444,1
6bba_1d0d8384,1731338,0,30.0,148.0,20.0,0.87858003,1.9404827,0.47619048,2.4652207,62.756104,1
6bba_1d0d8384,1731339,0,11.0,96.0,91.0,0.88351357,2.3211877,0.17460318,2.3891516,57.124146,1
6bba_1d0d8384,1731340,0,18.0,216.0,84.0,0.8772975,2.904482,0.2857143,2.5434792,68.92444,1
6bba_1d0d8384,1731341,0,21.0,50.0,59.0,0.87790805,2.4039748,0.33333334,2.472224,63.29248,0
6bba_1d0d8384,1731342,0,4.0,185.0,34.0,0.86387795,0.58271456,0.06349207,2.3158891,52.028564,1
6bba_1d0d8384,1731343,0,18.0,84.0,62.0,0.8697048,2.7990205,0.2857143,2.5134354,66.51074,0
6bba_1d0d8384,1731344,0,6.0,212.0,114.0,0.8716428,2.4361105,0.0952381,2.475711,63.56067,1
6bba_1d0d8384,1731345,0,14.0,186.0,117.0,0.8387804,1.4097264,0.22222222,2.3891516,57.124146,3
6bba_1d0d8384,1731346,0,29.0,178.0,62.0,0.83074915,0.8788158,0.46031746,2.4964292,65.1698,1
6bba_1d0d8384,1731347,0,6.0,14.0,169.0,0.8534169,2.6114166,0.0952381,2.5066607,65.974365,1
6bba_1d0d8384,1731348,0,20.0,221.0,32.0,0.81440395,0.9080238,0.31746033,2.4439676,61.146973,0
