dataset,node_id,t,z,y,x,mean_intensity,snr,z_depth_ratio,estimated_radius_um,volume_um3,local_density_r15
44b6_74d0c52e,0,0,42.0,159.0,33.0,0.20676509,5.2518578,0.6666667,2.5434792,68.92444,0
44b6_74d0c52e,1,0,11.0,229.0,40.0,0.18150245,3.3196733,0.17460318,2.5434792,68.92444,1
44b6_74d0c52e,2,0,12.0,230.0,40.0,0.17998277,3.3355098,0.1904762,2.5401762,68.65625,1
44b6_74d0c52e,3,0,7.0,169.0,77.0,0.23533548,4.4322085,0.11111111,2.5434792,68.92444,0
44b6_74d0c52e,4,0,13.0,229.0,117.0,0.19130644,1.6652293,0.20634921,2.5401762,68.65625,1
44b6_74d0c52e,5,0,50.0,146.0,232.0,0.42824206,2.055543,0.7936508,2.5434792,68.92444,0
44b6_74d0c52e,6,0,25.0,154.0,148.0,0.2598531,1.5168656,0.3968254,2.5401762,68.65625,2
44b6_74d0c52e,7,0,19.0,168.0,187.0,0.29490614,1.6316773,0.3015873,2.5401762,68.65625,4
44b6_74d0c52e,8,0,19.0,163.0,115.0,0.2832523,1.8328232,0.3015873,2.5268764,67.583496,2
44b6_74d0c52e,9,0,21.0,160.0,113.0,0.25920883,1.5643979,0.33333334,2.4687274,63.024292,2
44b6_74d0c52e,10,0,17.0,161.0,194.0,0.3194,2.3673687,0.26984128,2.5434792,68.92444,4
44b6_74d0c52e,11,0,15.0,230.0,22.0,0.19789578,2.6774688,0.23809524,2.5434792,68.92444,1
44b6_74d0c52e,12,0,54.0,190.0,236.0,0.5358641,1.2023052,0.85714287,2.458177,62.219727,0
44b6_74d0c52e,13,0,37.0,157.0,154.0,0.38648286,2.6627562,0.5873016,2.5434792,68.92444,3
44b6_74d0c52e,14,0,15.0,167.0,47.0,0.15902102,1.8647403,0.23809524,2.5434792,68.92444,1
44b6_74d0c52e,15,0,16.0,161.0,195.0,0.3150475,2.4731736,0.25396827,2.5401762,68.65625,3
44b6_74d0c52e,16,0,14.0,230.0,115.0,0.19151472,1.3648757,0.22222222,2.5434792,68.92444,1
44b6_74d0c52e,17,0,36.0,156.0,155.0,0.37192923,2.2495267,0.5714286,2.5401762,68.65625,3
44b6_74d0c52e,18,0,42.0,148.0,210.0,0.43773875,1.6004966,0.6666667,2.5335438,68.11987,2
44b6_74d0c52e,19,0,48.0,199.0,105.0,0.36190176,2.0065184,0.7619048,2.5434792,68.92444,0
44b6_74d0c52e,20,0,26.0,162.0,47.0,0.21434075,4.6330214,0.41269842,2.5434792,68.92444,1
