dataset,node_id,t,z,y,x,mean_intensity,snr,z_depth_ratio,estimated_radius_um,volume_um3,local_density_r15
44b6_0113de3b,0,0,54.0,99.0,190.0,0.93008,3.0625675,0.85714287,2.4964292,65.1698,1
44b6_0113de3b,1,0,22.0,86.0,93.0,0.75379646,6.8406825,0.34920636,2.5401762,68.65625,0
44b6_0113de3b,2,0,35.0,194.0,121.0,0.86740434,3.88048,0.5555556,2.5268764,67.583496,1
44b6_0113de3b,3,0,36.0,94.0,131.0,1.0393348,3.6028955,0.5714286,2.458177,62.219727,0
44b6_0113de3b,4,0,48.0,188.0,158.0,1.0426016,6.354654,0.7619048,2.499849,65.43799,0
44b6_0113de3b,5,0,54.0,127.0,186.0,0.5712468,2.251369,0.85714287,2.499849,65.43799,1
44b6_0113de3b,6,0,53.0,19.0,206.0,0.7956226,7.1693587,0.84126985,2.4687274,63.024292,1
44b6_0113de3b,7,0,29.0,217.0,129.0,0.8055285,2.4064856,0.46031746,2.5201738,67.04712,2
44b6_0113de3b,8,0,31.0,185.0,159.0,0.61626947,4.5793767,0.4920635,2.475711,63.56067,0
44b6_0113de3b,9,0,14.0,67.0,82.0,0.6735436,2.6907988,0.22222222,2.4403894,60.878784,1
44b6_0113de3b,10,0,25.0,123.0,101.0,0.71509945,3.2288845,0.3968254,2.472224,63.29248,1
44b6_0113de3b,11,0,37.0,17.0,151.0,0.84546316,2.1760674,0.5873016,2.3277657,52.83313,2
44b6_0113de3b,12,0,20.0,160.0,117.0,0.6807015,6.28657,0.31746033,2.5235295,67.31531,0
44b6_0113de3b,13,0,25.0,185.0,117.0,0.6097087,1.79388,0.3968254,2.4652207,62.756104,1
44b6_0113de3b,14,0,56.0,209.0,186.0,0.7145428,2.9731834,0.8888889,2.4546402,61.951538,1
44b6_0113de3b,15,0,26.0,234.0,99.0,0.99821657,3.6273928,0.41269842,2.5100527,66.24255,1
44b6_0113de3b,16,0,33.0,68.0,131.0,0.8893563,8.634892,0.52380955,2.5368643,68.38806,0
44b6_0113de3b,17,0,48.0,237.0,189.0,0.84077495,1.9198508,0.7619048,2.4791882,63.828857,2
44b6_0113de3b,18,0,50.0,181.0,202.0,0.7639672,2.792998,0.7936508,2.4368005,60.610596,1
44b6_0113de3b,19,0,12.0,191.0,60.0,0.850481,6.003741,0.1904762,2.5168092,66.77893,0
44b6_0113de3b,20,0,35.0,144.0,125.0,0.9663072,3.747466,0.5555556,2.4791882,63.828857,1
44b6_0113de3b,21,0,25.0,37.0,120.0,0.95415854,2.7659543,0.3968254,2.5168092,66.77893,1
44b6_0113de3b,22,0,41.0,230.0,133.0,0.84116405,4.098617,0.6507937,2.5302145,67.851685,0
44b6_0113de3b,23,0,32.0,138.0,188.0,0.41704226,1.5592009,0.50793654,2.472224,63.29248,1
44b6_0113de3b,24,0,10.0,110.0,70.0,0.79244757,4.2227774,0.15873016,2.5368643,68.38806,0
44b6_0113de3b,25,0,26.0,153.0,97.0,0.95005137,6.200449,0.41269842,2.4964292,65.1698,0
44b6_0113de3b,26,0,24.0,61.0,109.0,1.053402,3.8236947,0.3809524,2.5100527,66.24255,1
44b6_0113de3b,27,0,36.0,123.0,133.0,0.9103275,3.6118128,0.5714286,2.493,64.90161,1
44b6_0113de3b,28,0,55.0,57.0,199.0,0.9687554,2.9044182,0.8730159,2.4439676,61.146973,0
44b6_0113de3b,29,0,44.0,204.0,147.0,0.9720304,4.06282,0.6984127,2.4617038,62.487915,1
44b6_0113de3b,30,0,57.0,243.0,192.0,0.8786911,2.3810215,0.9047619,2.4475355,61.41516,1
44b6_0113de3b,31,0,54.0,207.0,211.0,0.5217764,1.6821952,0.85714287,2.458177,62.219727,1
44b6_0113de3b,32,0,50.0,126.0,206.0,0.6789721,3.158208,0.7936508,2.4895616,64.63342,1
44b6_0113de3b,33,0,14.0,214.0,67.0,0.90912515,4.449227,0.22222222,2.4861133,64.365234,0
44b6_0113de3b,34,0,19.0,21.0,105.0,0.8669612,4.2051954,0.3015873,2.4895616,64.63342,1
44b6_0113de3b,35,0,50.0,235.0,172.0,0.7505188,3.5256317,0.7936508,2.5066607,65.974365,0
44b6_0113de3b,36,0,46.0,164.0,159.0,1.0842088,5.616554,0.73015875,2.5368643,68.38806,1
44b6_0113de3b,37,0,43.0,200.0,173.0,0.61588037,1.7252201,0.6825397,2.4475355,61.41516,1
44b6_0113de3b,38,0,36.0,217.0,120.0,0.961284,3.9480882,0.5714286,2.4652207,62.756104,1
44b6_0113de3b,39,0,44.0,104.0,190.0,0.7904345,1.8823689,0.6984127,2.4546402,61.951538,1
44b6_0113de3b,40,0,13.0,141.0,73.0,1.1239734,5.304089,0.20634921,2.5235295,67.31531,1
44b6_0113de3b,41,0,21.0,223.0,111.0,0.75157535,2.875143,0.33333334,2.5066607,65.974365,0
44b6_0113de3b,42,0,53.0,161.0,211.0,0.5810717,1.1131712,0.84126985,2.4861133,64.365234,1
44b6_0113de3b,43,0,58.0,88.0,210.0,0.84174234,2.4385726,0.9206349,2.493,64.90161,1
44b6_0113de3b,44,0,12.0,143.0,97.0,0.57870734,3.6202776,0.1904762,2.4687274,63.024292,1
44b6_0113de3b,45,0,21.0,123.0,159.0,0.4193661,3.3375406,0.33333334,2.5168092,66.77893,0
44b6_0113de3b,46,0,12.0,102.0,102.0,0.77531344,5.000562,0.1904762,2.5401762,68.65625,1
44b6_0113de3b,47,0,37.0,217.0,163.0,0.7312068,3.7218206,0.5873016,2.5401762,68.65625,0
44b6_0113de3b,48,0,23.0,45.0,181.0,0.374138,3.6148853,0.36507937,2.5066607,65.974365,0
44b6_0113de3b,49,0,54.0,117.0,236.0,0.59018856,2.149219,0.85714287,2.4687274,63.024292,1
44b6_0113de3b,50,0,41.0,178.0,142.0,0.7936365,3.63782,0.6507937,2.4617038,62.487915,1
44b6_0113de3b,51,0,41.0,134.0,185.0,0.5967223,2.0341477,0.6507937,2.4652207,62.756104,3
44b6_0113de3b,52,0,9.0,186.0,96.0,0.4835387,4.073518,0.14285715,2.499849,65.43799,0
44b6_0113de3b,53,0,6.0,122.0,56.0,0.79388237,6.5454364,0.0952381,2.5368643,68.38806,0
44b6_0113de3b,54,0,8.0,37.0,77.0,0.9197903,2.6932526,0.12698413,2.475711,63.56067,1
44b6_0113de3b,55,0,20.0,180.0,83.0,1.2106167,8.007834,0.31746033,2.5368643,68.38806,0
44b6_0113de3b,56,0,36.0,123.0,157.0,0.92300045,6.1179166,0.5714286,2.5368643,68.38806,0
44b6_0113de3b,57,0,18.0,105.0,84.0,1.1185229,7.0483704,0.2857143,2.4687274,63.024292,0
44b6_0113de3b,58,0,19.0,47.0,96.0,0.90025127,3.510872,0.3015873,2.4403894,60.878784,1
44b6_0113de3b,59,0,25.0,228.0,136.0,0.53589493,2.1275606,0.3968254,2.4617038,62.487915,1
