dataset,node_id,t,z,y,x,mean_intensity,snr,z_depth_ratio,estimated_radius_um,volume_um3,local_density_r15
44b6_0b24845f,0,0,33.0,22.0,76.0,0.37301725,1.8627441,0.52380955,2.5368643,68.38806,0
44b6_0b24845f,1,0,54.0,157.0,72.0,0.5472558,1.6137658,0.85714287,2.5302145,67.851685,0
44b6_0b24845f,2,0,53.0,107.0,209.0,0.39215925,1.1259773,0.84126985,2.4964292,65.1698,0
44b6_0b24845f,3,0,52.0,79.0,110.0,0.48456553,2.3090901,0.82539684,2.5134354,66.51074,0
44b6_0b24845f,4,0,49.0,229.0,235.0,0.3007263,1.5095854,0.7777778,2.5434792,68.92444,0
44b6_0b24845f,5,0,10.0,105.0,118.0,0.53596663,2.1175754,0.15873016,2.5168092,66.77893,0
44b6_0b24845f,6,0,52.0,114.0,112.0,0.491024,2.5736194,0.82539684,2.5434792,68.92444,1
44b6_0b24845f,7,0,53.0,113.0,112.0,0.48428112,2.3801012,0.84126985,2.5434792,68.92444,1
44b6_0b24845f,8,0,53.0,20.0,22.0,0.54780805,2.8757813,0.84126985,2.5434792,68.92444,0
44b6_0b24845f,9,0,46.0,200.0,191.0,0.34481573,1.310774,0.73015875,2.5100527,66.24255,0
44b6_0b24845f,10,0,37.0,105.0,191.0,0.46147364,1.176155,0.5873016,2.475711,63.56067,0
44b6_0b24845f,11,0,7.0,11.0,77.0,0.5401816,3.118588,0.11111111,2.5401762,68.65625,1
44b6_0b24845f,12,0,46.0,31.0,58.0,0.47916606,2.0470695,0.73015875,2.472224,63.29248,0
44b6_0b24845f,13,0,15.0,117.0,144.0,0.5750997,2.5147557,0.23809524,2.5335438,68.11987,0
44b6_0b24845f,14,0,15.0,61.0,80.0,0.44482082,2.096053,0.23809524,2.5401762,68.65625,0
44b6_0b24845f,15,0,22.0,32.0,17.0,0.3734411,1.2636058,0.34920636,2.499849,65.43799,0
44b6_0b24845f,16,0,38.0,110.0,236.0,0.51009977,1.7753371,0.6031746,2.5335438,68.11987,1
44b6_0b24845f,17,0,11.0,37.0,128.0,0.44233716,2.33885,0.17460318,2.5401762,68.65625,0
44b6_0b24845f,18,0,43.0,118.0,219.0,0.5213544,1.6617113,0.6825397,2.5368643,68.38806,0
44b6_0b24845f,19,0,10.0,46.0,156.0,0.44908416,1.7285933,0.15873016,2.5434792,68.92444,0
44b6_0b24845f,20,0,40.0,84.0,162.0,0.5244234,2.892792,0.63492066,2.5100527,66.24255,1
44b6_0b24845f,21,0,19.0,31.0,99.0,0.48544085,2.4488363,0.3015873,2.5434792,68.92444,0
44b6_0b24845f,22,0,41.0,83.0,163.0,0.5352404,3.2345839,0.6507937,2.499849,65.43799,1
44b6_0b24845f,23,0,30.0,112.0,120.0,0.52402717,1.8124545,0.47619048,2.5201738,67.04712,0
44b6_0b24845f,24,0,14.0,163.0,113.0,0.6416087,2.2413435,0.22222222,2.5268764,67.583496,0
44b6_0b24845f,25,0,23.0,66.0,154.0,0.54312646,2.5932767,0.36507937,2.4895616,64.63342,0
44b6_0b24845f,26,0,52.0,228.0,121.0,0.22784308,1.2859386,0.82539684,2.5302145,67.851685,1
44b6_0b24845f,27,0,10.0,17.0,64.0,0.4830607,2.1656382,0.15873016,2.5302145,67.851685,1
44b6_0b24845f,28,0,51.0,229.0,120.0,0.2261767,1.3243521,0.8095238,2.5434792,68.92444,1
44b6_0b24845f,29,0,53.0,206.0,148.0,0.36864766,2.1621537,0.84126985,2.5401762,68.65625,0
44b6_0b24845f,30,0,19.0,106.0,31.0,0.39101475,1.1775584,0.3015873,2.5335438,68.11987,1
44b6_0b24845f,31,0,31.0,40.0,107.0,0.46431905,2.3373384,0.4920635,2.5368643,68.38806,2
44b6_0b24845f,32,0,37.0,111.0,236.0,0.51262206,1.6904708,0.5873016,2.5302145,67.851685,1
44b6_0b24845f,33,0,40.0,141.0,81.0,0.58429176,2.1863909,0.63492066,2.5401762,68.65625,0
44b6_0b24845f,34,0,14.0,109.0,229.0,0.55744874,2.355558,0.22222222,2.5368643,68.38806,0
44b6_0b24845f,35,1,52.0,147.0,81.0,0.5202733,1.232725,0.82539684,2.5368643,68.38806,0
44b6_0b24845f,36,1,9.0,112.0,120.0,0.56594086,2.9521613,0.14285715,2.5335438,68.11987,0
