dataset,node_id,t,z,y,x,mean_intensity,snr,z_depth_ratio,estimated_radius_um,volume_um3,local_density_r15
44b6_1574802b,8336,0,53.399863134770385,127.66746904719506,193.40341573937985,0.45601273,3.1312451,0.8476169,2.5401762,68.65625,0
44b6_1574802b,8337,0,47.421949154833854,128.3260835159933,223.10952282657982,0.5451354,4.6730566,0.7527293,2.5434792,68.92444,0
44b6_1574802b,8338,0,52.8060426460095,67.98003741274015,63.53408176228713,0.32685348,2.952691,0.83819115,2.5268764,67.583496,0
44b6_1574802b,8339,1,53.053313671486016,128.884508489674,191.48371433744276,0.44912958,3.2209752,0.8421161,2.5335438,68.11987,0
44b6_1574802b,8340,1,47.923504523209424,129.41578651040615,219.40738746588218,0.53434443,4.9514503,0.7606905,2.5434792,68.92444,0
44b6_1574802b,8341,1,51.65054983519173,123.364567337591,75.73395788994381,0.40170443,3.1487806,0.81985,2.5368643,68.38806,0
44b6_1574802b,8342,1,47.46557760814448,131.86212599583098,92.65238657464462,0.4744434,3.2922213,0.75342184,2.5434792,68.92444,0
44b6_1574802b,8343,2,47.38563806660029,128.63067637933085,215.2165539440344,0.47710055,4.2501025,0.752153,2.5434792,68.92444,0
44b6_1574802b,8344,2,52.647637032798485,67.24269129487487,63.37189339984222,0.30682784,3.3733926,0.8356768,2.5335438,68.11987,0
44b6_1574802b,8345,2,45.2287185804733,132.015507088968,89.86223296057923,0.4589043,3.381751,0.71791613,2.5434792,68.92444,0
44b6_1574802b,8346,3,46.773993351073685,127.84208860495582,214.14979384972,0.47782266,4.1050653,0.74244434,2.5401762,68.65625,0
44b6_1574802b,8347,3,49.26613384312609,122.9916551992055,71.15162213648986,0.38561592,2.5531397,0.7820021,2.5401762,68.65625,0
44b6_1574802b,8348,3,43.76867293171028,131.99146133140076,87.72984946307645,0.42783973,2.7821555,0.69474083,2.5235295,67.31531,0
44b6_1574802b,8349,7,47.20663683701415,129.45139863146923,167.20745287605584,0.4754868,4.210165,0.74931175,2.5401762,68.65625,0
44b6_1574802b,8350,8,46.3872639387385,129.496427155793,162.1802281702073,0.44944775,3.72072,0.7363058,2.5434792,68.92444,0
44b6_1574802b,8351,8,53.56491157623146,89.89236506666154,192.5251102346813,0.3786532,3.4754984,0.85023665,2.5434792,68.92444,0
44b6_1574802b,8352,8,29.999998152290303,142.9841949006563,219.9971685203876,0.41793734,2.1070433,0.47619045,2.5401762,68.65625,0
44b6_1574802b,8353,9,46.17925958906458,129.2253428270712,158.30774673011342,0.46008062,3.9439888,0.73300415,2.5401762,68.65625,0
44b6_1574802b,8354,9,29.24795064782094,142.298079969776,215.9946263767868,0.4436499,2.273017,0.4642532,2.5401762,68.65625,0
44b6_1574802b,8355,9,53.19805127784914,67.97169692696394,31.179678400206804,0.28549823,3.4682481,0.8444135,2.493,64.90161,0
44b6_1574802b,8356,9,52.394440402916814,125.0097027823714,190.83983748848038,0.3488623,1.6982362,0.83165777,2.5401762,68.65625,0
44b6_1574802b,8357,9,49.21106613132745,120.9057566123977,222.67184314480662,0.47966775,3.459972,0.78112805,2.5434792,68.92444,0
44b6_1574802b,8358,10,45.40253534787012,128.519988385442,154.21170757515435,0.4824955,3.2847703,0.7206752,2.5434792,68.92444,0
44b6_1574802b,8359,11,45.327119125480834,130.5757148029707,150.11313252905236,0.44237414,2.5100265,0.7194781,2.5434792,68.92444,1
44b6_1574802b,8360,11,53.85380784530455,121.51263141890327,141.82320010261896,0.4749813,2.4687512,0.8548224,2.5335438,68.11987,1
44b6_1574802b,8361,11,42.999999079106864,125.7465505270507,39.97625108686806,0.4214119,4.0143313,0.6825397,2.5368643,68.38806,0
44b6_1574802b,8362,13,41.4209641319186,127.56655866727772,36.3248624348644,0.41314209,2.7688406,0.6574756,2.5401762,68.65625,0
44b6_1574802b,8363,14,40.57089204860539,129.46321052270702,33.10362821737336,0.39519176,2.6364505,0.6439824,2.5368643,68.38806,0
44b6_1574802b,8364,14,13.72785970930719,155.7324702699148,107.9990677316303,0.41727698,2.4092236,0.21790253,2.5434792,68.92444,0
44b6_1574802b,8365,14,50.6655875692893,124.36415574127419,167.35712598055994,0.3933069,2.3970897,0.80421567,2.5368643,68.38806,0
44b6_1574802b,8366,14,52.81678924835158,124.01307137238085,61.32723948366823,0.45331684,2.100817,0.8383617,2.5066607,65.974365,0
44b6_1574802b,8367,15,49.64441036223212,126.12822269930788,166.30095437524972,0.39766786,2.3512623,0.7880065,2.5368643,68.38806,0
44b6_1574802b,8368,15,48.53593632870296,128.55142041707217,133.6771015873032,0.41883528,2.702548,0.7704117,2.475711,63.56067,0
44b6_1574802b,8369,16,36.49784420449135,131.51159159862993,237.91707282335412,0.37496206,5.2686605,0.57933086,2.5434792,68.92444,0
44b6_1574802b,8370,16,49.13889481571247,125.51352604567867,163.83815299128244,0.4120432,3.0198767,0.77998245,2.5434792,68.92444,0
44b6_1574802b,8371,16,11.421276194907923,157.57079022210786,107.67780992845378,0.42183575,2.174797,0.18129009,2.5434792,68.92444,0
44b6_1574802b,8372,17,36.699595685257925,130.14706088546293,232.36718038959745,0.4570331,4.809015,0.5825333,2.5434792,68.92444,0
44b6_1574802b,8373,17,48.72782287286115,123.9202851430861,159.55031023875395,0.38303617,3.2457802,0.77345747,2.5434792,68.92444,0
44b6_1574802b,8374,18,47.94505697347158,125.22508441973427,156.0450488249914,0.39358947,3.4657602,0.76103264,2.5434792,68.92444,0
44b6_1574802b,8375,18,37.22171579498869,129.7494640406489,231.0308608441375,0.38834944,3.880021,0.59082085,2.5434792,68.92444,0
44b6_1574802b,8376,18,37.997009477403736,128.15247297490458,27.26685153673548,0.47778812,3.4657414,0.6031271,2.5401762,68.65625,0
44b6_1574802b,8377,19,37.162669289462485,128.229866417668,226.3062095488029,0.41027978,4.2398033,0.5898836,2.5401762,68.65625,0
44b6_1574802b,8378,19,46.72652757363825,124.52773708926418,153.7033759955668,0.38116702,2.791458,0.74169093,2.5434792,68.92444,0
44b6_1574802b,8379,19,37.29394797684171,125.90454677664562,25.71458456742785,0.46761993,3.9762948,0.59196746,2.5434792,68.92444,0
44b6_1574802b,8380,20,37.01516526405059,130.30697777915515,219.83639952133976,0.4320762,4.0430613,0.5875423,2.5434792,68.92444,0
44b6_1574802b,8381,20,52.49446402181839,132.64457589791604,115.76436908629144,0.3793858,2.3068733,0.83324546,2.5401762,68.65625,0
