dataset,node_id,t,z,y,x,mean_intensity,snr,z_depth_ratio,estimated_radius_um,volume_um3,local_density_r15
44b6_2a2eff9f,114466,0,19.0,99.0,239.0,0.8436334,2.4438381,0.3015873,2.5401762,68.65625,1
44b6_2a2eff9f,114467,0,14.0,209.0,158.0,0.7974575,2.919833,0.22222222,2.5235295,67.31531,1
44b6_2a2eff9f,114468,0,8.0,217.0,221.0,0.8068734,2.7294743,0.12698413,2.5335438,68.11987,1
44b6_2a2eff9f,114469,0,27.0,221.0,159.0,0.7883926,3.1815789,0.42857143,2.5401762,68.65625,0
44b6_2a2eff9f,114470,0,33.0,96.0,196.0,0.82589674,2.616709,0.52380955,2.5434792,68.92444,1
44b6_2a2eff9f,114471,0,55.0,70.0,48.0,0.8221857,2.727054,0.8730159,2.5401762,68.65625,0
44b6_2a2eff9f,114472,0,51.0,101.0,145.0,0.82150126,2.3863611,0.8095238,2.5434792,68.92444,0
44b6_2a2eff9f,114473,0,36.0,40.0,86.0,0.8048723,2.5347276,0.5714286,2.5368643,68.38806,1
44b6_2a2eff9f,114474,0,34.0,238.0,194.0,0.7925542,2.2172883,0.53968257,2.5434792,68.92444,1
44b6_2a2eff9f,114475,0,22.0,50.0,200.0,0.80390155,3.478134,0.34920636,2.5401762,68.65625,0
44b6_2a2eff9f,114476,0,21.0,50.0,184.0,0.796783,3.0288928,0.33333334,2.5401762,68.65625,0
44b6_2a2eff9f,114477,0,10.0,36.0,186.0,0.7992446,2.5289555,0.15873016,2.5335438,68.11987,1
44b6_2a2eff9f,114478,0,23.0,185.0,243.0,0.7584748,3.2781093,0.36507937,2.5100527,66.24255,0
44b6_2a2eff9f,114479,0,22.0,51.0,95.0,0.7959566,2.3564262,0.34920636,2.5434792,68.92444,0
44b6_2a2eff9f,114480,0,53.0,124.0,29.0,0.77908874,2.2896047,0.84126985,2.5434792,68.92444,0
44b6_2a2eff9f,114481,0,42.0,235.0,188.0,0.7657427,1.9545699,0.6666667,2.5401762,68.65625,3
44b6_2a2eff9f,114482,0,31.0,233.0,209.0,0.75086594,2.4787962,0.4920635,2.5401762,68.65625,1
44b6_2a2eff9f,114483,0,44.0,55.0,77.0,0.77356315,1.8947881,0.6984127,2.5434792,68.92444,2
44b6_2a2eff9f,114484,0,19.0,201.0,123.0,0.7313249,2.0870872,0.3015873,2.5302145,67.851685,1
