dataset,node_id,t,z,y,x,mean_intensity,snr,z_depth_ratio,estimated_radius_um,volume_um3,local_density_r15
44b6_668e0cc7,20878,0,27.066139876817356,68.80570083474178,167.41419563485044,0.27218908,3.800975,0.42962125,2.4826555,64.097046,1
44b6_668e0cc7,20879,0,19.29292744215648,109.20192551546434,233.19893403392564,0.33613342,2.8785079,0.30623692,2.3891516,57.124146,0
44b6_668e0cc7,20880,0,37.18825781266459,30.478464840209156,149.53042777370575,0.30012935,3.0510836,0.59028983,2.5268764,67.583496,0
44b6_668e0cc7,20881,0,41.00000334621035,56.85739206884669,237.6501504978508,0.49357888,3.324938,0.65079373,2.458177,62.219727,0
44b6_668e0cc7,20882,0,46.928719167056975,21.98253784705774,184.6264014316396,0.48411423,3.115497,0.7449003,2.4826555,64.097046,0
44b6_668e0cc7,20883,0,13.14338505383493,68.4963579120805,171.9694209091717,0.35197556,1.9875112,0.20862515,2.475711,63.56067,1
44b6_668e0cc7,20884,0,33.00000053623931,96.59493496294618,240.7938706319083,0.3837209,2.657278,0.52380955,2.5201738,67.04712,0
44b6_668e0cc7,20885,0,9.0,88.89446084500877,197.113057582826,0.40591562,1.927738,0.14285715,2.3550162,54.71045,0
44b6_668e0cc7,20886,1,26.647765300509423,71.63439439224891,166.90344187796194,0.26189563,3.4077878,0.42298043,2.475711,63.56067,1
44b6_668e0cc7,20887,1,32.49710051295872,99.17714748535184,238.1861067865967,0.38560787,3.2448273,0.515827,2.5368643,68.38806,0
44b6_668e0cc7,20888,1,46.851436995833275,20.26253608408227,179.66762921194257,0.47995648,3.0582657,0.7436736,2.4687274,63.024292,0
44b6_668e0cc7,20889,1,18.878070761859718,33.17435105486378,222.16406069122115,0.3632262,3.6043518,0.29965192,2.4791882,63.828857,0
44b6_668e0cc7,20890,1,36.580794069506304,32.195801975173666,148.08688889936099,0.28055075,3.1826348,0.5806475,2.4687274,63.024292,0
44b6_668e0cc7,20891,1,17.660376871356632,112.87878017410544,232.4409242824591,0.32816187,2.6425939,0.28032345,2.4077017,58.465088,0
44b6_668e0cc7,20892,1,7.000000112523984,136.7962507973128,232.58205531807636,0.33433622,3.2679346,0.11111111,2.4652207,62.756104,0
44b6_668e0cc7,20893,1,13.239713893438003,71.10670648144279,170.63659613534278,0.3522996,3.1520026,0.21015419,2.5368643,68.38806,1
44b6_668e0cc7,20894,2,16.379285810968806,120.08951153899277,230.84800518458874,0.3414889,2.2252538,0.25998867,2.4826555,64.097046,0
44b6_668e0cc7,20895,2,36.00000033903157,32.736511798298814,142.87841094017222,0.27644408,3.1531072,0.5714286,2.499849,65.43799,0
44b6_668e0cc7,20896,2,49.724131008778556,57.4759814315793,233.83502515036122,0.3543112,1.477271,0.78927195,2.433201,60.342407,1
44b6_668e0cc7,20897,2,47.17820876488802,25.25438275702873,180.67740340851725,0.4455951,3.2536118,0.7488604,2.493,64.90161,0
44b6_668e0cc7,20898,2,31.628299711614112,103.21306482241815,238.51134533618813,0.40004537,2.7464237,0.5020365,2.4687274,63.024292,0
