dataset,node_id,t,z,y,x,mean_intensity,snr,z_depth_ratio,estimated_radius_um,volume_um3,local_density_r15
44b6_74d0c52e,289376,0,40.0,201.0,213.0,0.65223354,1.5239732,0.63492066,2.5434792,68.92444,1
44b6_74d0c52e,289377,0,40.0,178.0,241.0,0.6415533,1.9253569,0.63492066,2.5401762,68.65625,0
44b6_74d0c52e,289378,0,40.0,195.0,222.0,0.6403773,1.5214173,0.63492066,2.5401762,68.65625,1
44b6_74d0c52e,289379,0,32.0,203.0,240.0,0.64134926,1.6287487,0.50793654,2.5434792,68.92444,0
44b6_74d0c52e,289380,0,41.0,215.0,206.0,0.6217455,1.385616,0.6507937,2.5201738,67.04712,0
44b6_74d0c52e,289381,0,24.0,228.0,230.0,0.60013187,1.204334,0.3809524,2.5434792,68.92444,3
44b6_74d0c52e,289382,0,22.0,242.0,225.0,0.5901239,1.3631554,0.34920636,2.5335438,68.11987,2
44b6_74d0c52e,289383,0,28.0,223.0,219.0,0.58637077,0.8595733,0.44444445,2.5201738,67.04712,1
44b6_74d0c52e,289384,0,44.0,227.0,185.0,0.5814501,1.4497116,0.6984127,2.5134354,66.51074,0
44b6_74d0c52e,289385,0,22.0,246.0,217.0,0.58405346,1.4356596,0.34920636,2.5368643,68.38806,1
44b6_74d0c52e,289386,0,45.0,230.0,168.0,0.5813189,1.4107436,0.71428573,2.5268764,67.583496,2
44b6_74d0c52e,289387,0,21.0,231.0,241.0,0.57945716,1.2288507,0.33333334,2.5401762,68.65625,2
44b6_74d0c52e,289388,0,54.0,199.0,198.0,0.57114744,1.1763184,0.85714287,2.4964292,65.1698,0
44b6_74d0c52e,289389,0,30.0,232.0,204.0,0.5766091,1.2460545,0.47619048,2.5401762,68.65625,0
44b6_74d0c52e,289390,0,24.0,217.0,249.0,0.5732141,0.70870286,0.3809524,2.5235295,67.31531,0
44b6_74d0c52e,289391,0,50.0,238.0,158.0,0.5664326,1.2020662,0.7936508,2.475711,63.56067,2
44b6_74d0c52e,289392,0,41.0,244.0,165.0,0.5594732,0.80949205,0.6507937,2.4617038,62.487915,3
44b6_74d0c52e,289393,0,35.0,246.0,175.0,0.5575404,1.0139227,0.5555556,2.5368643,68.38806,1
44b6_74d0c52e,289394,0,17.0,240.0,248.0,0.5560157,1.3591206,0.26984128,2.5401762,68.65625,2
44b6_74d0c52e,289395,0,57.0,155.0,191.0,0.53423345,2.901438,0.9047619,2.5368643,68.38806,2
44b6_74d0c52e,289396,0,53.0,189.0,234.0,0.5407839,1.198853,0.84126985,2.5134354,66.51074,0
44b6_74d0c52e,289397,0,23.0,251.0,196.0,0.5368902,1.0699202,0.36507937,2.5168092,66.77893,0
44b6_74d0c52e,289398,0,57.0,153.0,249.0,0.51601565,2.1675582,0.9047619,2.5401762,68.65625,0
44b6_74d0c52e,289399,0,55.0,217.0,174.0,0.52319,0.4900399,0.8730159,2.3928847,57.392334,0
44b6_74d0c52e,289400,0,40.0,152.0,181.0,0.48365325,2.1870146,0.63492066,2.5401762,68.65625,3
44b6_74d0c52e,289401,0,28.0,248.0,250.0,0.4794988,0.02748831,0.44444445,2.057296,36.473633,1
44b6_74d0c52e,289402,0,34.0,155.0,209.0,0.45915765,2.3326435,0.53968257,2.5434792,68.92444,1
44b6_74d0c52e,289403,0,60.0,247.0,209.0,0.4707952,1.2289462,0.95238096,2.499849,65.43799,0
