dataset,node_id,t,z,y,x,mean_intensity,snr,z_depth_ratio,estimated_radius_um,volume_um3,local_density_r15
44b6_8cc6506c,340397,0,47.0,137.0,15.0,1.194273,2.0606444,0.74603176,2.5434792,68.92444,3
44b6_8cc6506c,340398,0,37.0,209.0,22.0,1.174622,2.1258414,0.5873016,2.5401762,68.65625,4
44b6_8cc6506c,340399,0,41.0,136.0,15.0,1.1700988,1.7562534,0.6507937,2.5434792,68.92444,1
44b6_8cc6506c,340400,0,50.0,129.0,4.0,1.1659096,2.4802508,0.7936508,2.5434792,68.92444,1
44b6_8cc6506c,340401,0,33.0,249.0,15.0,1.134305,2.3557456,0.52380955,2.5434792,68.92444,1
44b6_8cc6506c,340402,0,43.0,181.0,39.0,1.1581665,2.4644802,0.6825397,2.5434792,68.92444,4
44b6_8cc6506c,340403,0,38.0,186.0,2.0,1.1481129,2.2533684,0.6031746,2.4687274,63.024292,1
44b6_8cc6506c,340404,0,47.0,155.0,29.0,1.1234043,2.24882,0.74603176,2.5434792,68.92444,1
44b6_8cc6506c,340405,0,53.0,135.0,26.0,1.1052163,1.7178266,0.84126985,2.5434792,68.92444,2
44b6_8cc6506c,340406,0,40.0,203.0,13.0,1.093165,1.9258077,0.63492066,2.5201738,67.04712,3
44b6_8cc6506c,340407,0,61.0,233.0,175.0,1.1026772,2.3682861,0.96825397,2.4687274,63.024292,0
44b6_8cc6506c,340408,0,47.0,208.0,91.0,1.0865548,2.362502,0.74603176,2.5434792,68.92444,1
44b6_8cc6506c,340409,0,51.0,112.0,164.0,1.0798421,2.0842044,0.8095238,2.5434792,68.92444,0
44b6_8cc6506c,340410,0,45.0,145.0,32.0,1.0579801,1.577669,0.71428573,2.5434792,68.92444,2
44b6_8cc6506c,340411,0,58.0,173.0,105.0,1.0554322,1.8642466,0.9206349,2.5434792,68.92444,2
44b6_8cc6506c,340412,0,35.0,221.0,16.0,1.0366673,1.5684643,0.5555556,2.5368643,68.38806,2
44b6_8cc6506c,340413,0,34.0,166.0,165.0,1.0350049,1.9435991,0.53968257,2.5434792,68.92444,2
44b6_8cc6506c,340414,0,48.0,179.0,104.0,1.0452843,1.6999191,0.7619048,2.5434792,68.92444,2
44b6_8cc6506c,340415,0,57.0,112.0,140.0,1.0479997,1.5386006,0.9047619,2.5434792,68.92444,0
44b6_8cc6506c,340416,0,33.0,226.0,33.0,1.0179378,1.8367422,0.52380955,2.5401762,68.65625,2
44b6_8cc6506c,340417,0,55.0,153.0,109.0,1.0311147,1.4356179,0.8730159,2.5434792,68.92444,2
44b6_8cc6506c,340418,0,48.0,193.0,40.0,1.0341585,1.7538974,0.7619048,2.5434792,68.92444,3
44b6_8cc6506c,340419,0,48.0,180.0,52.0,1.0219749,1.4987237,0.7619048,2.5434792,68.92444,3
44b6_8cc6506c,340420,0,60.0,175.0,82.0,1.0162761,1.6588064,0.95238096,2.5368643,68.38806,1
44b6_8cc6506c,340421,0,42.0,205.0,113.0,1.0169064,1.8105584,0.6666667,2.5434792,68.92444,1
44b6_8cc6506c,340422,0,48.0,157.0,137.0,1.0032911,2.3236763,0.7619048,2.5401762,68.65625,3
44b6_8cc6506c,340423,0,47.0,200.0,99.0,1.0123101,1.1980648,0.74603176,2.5434792,68.92444,2
44b6_8cc6506c,340424,0,33.0,238.0,29.0,0.99097025,1.5581976,0.52380955,2.5401762,68.65625,3
44b6_8cc6506c,340425,0,54.0,181.0,54.0,1.009432,1.6933765,0.85714287,2.5434792,68.92444,2
44b6_8cc6506c,340426,0,42.0,179.0,17.0,0.9973781,1.8956807,0.6666667,2.5434792,68.92444,2
44b6_8cc6506c,340427,0,57.0,166.0,112.0,1.0030603,0.96667975,0.9047619,2.5401762,68.65625,3
44b6_8cc6506c,340428,0,41.0,198.0,22.0,0.97572845,1.1491574,0.6507937,2.5268764,67.583496,3
44b6_8cc6506c,340429,0,55.0,183.0,63.0,0.9839001,1.586892,0.8730159,2.5401762,68.65625,2
44b6_8cc6506c,340430,0,46.0,246.0,84.0,0.9779062,2.1393828,0.73015875,2.5434792,68.92444,1
44b6_8cc6506c,340431,0,35.0,244.0,25.0,0.9668379,1.232666,0.5555556,2.5032594,65.70618,3
44b6_8cc6506c,340432,0,54.0,162.0,117.0,0.9877356,1.1598696,0.85714287,2.5434792,68.92444,2
44b6_8cc6506c,340433,0,39.0,175.0,142.0,0.9759962,1.9420973,0.61904764,2.5434792,68.92444,3
44b6_8cc6506c,340434,0,60.0,89.0,152.0,0.9813996,1.375769,0.95238096,2.5401762,68.65625,0
44b6_8cc6506c,340435,0,49.0,202.0,110.0,0.9814243,1.1659856,0.7777778,2.5434792,68.92444,3
44b6_8cc6506c,340436,0,59.0,230.0,43.0,0.9840988,1.9589671,0.93650794,2.5434792,68.92444,0
44b6_8cc6506c,340437,0,53.0,151.0,128.0,0.9638722,1.5967561,0.84126985,2.5434792,68.92444,2
44b6_8cc6506c,340438,0,38.0,185.0,16.0,0.9601671,1.0813179,0.6031746,2.5335438,68.11987,3
44b6_8cc6506c,340439,0,58.0,121.0,17.0,0.9529655,1.5565685,0.9206349,2.5368643,68.38806,0
44b6_8cc6506c,340440,0,59.0,207.0,181.0,0.9589127,2.335128,0.93650794,2.5434792,68.92444,0
44b6_8cc6506c,340441,0,44.0,145.0,155.0,0.94960916,2.0490556,0.6984127,2.5434792,68.92444,2
44b6_8cc6506c,340442,0,42.0,128.0,101.0,0.9232387,2.6667206,0.6666667,2.5401762,68.65625,2
44b6_8cc6506c,340443,0,57.0,131.0,125.0,0.950553,1.2058125,0.9047619,2.5434792,68.92444,0
44b6_8cc6506c,340444,0,59.0,83.0,177.0,0.934568,2.0508976,0.93650794,2.5401762,68.65625,1
44b6_8cc6506c,340445,0,48.0,180.0,136.0,0.93656564,1.7722273,0.7619048,2.5434792,68.92444,3
