dataset,node_id,t,z,y,x,mean_intensity,snr,z_depth_ratio,estimated_radius_um,volume_um3,local_density_r15
44b6_8f5ab931,29079,0,14.790003610698848,93.13700239483725,116.12499429527911,0.44277254,3.8445377,0.23476197,2.5401762,68.65625,0
44b6_8f5ab931,29080,1,33.508222391696776,127.22776531404622,55.00297110787336,0.407113,3.4147928,0.5318765,2.5401762,68.65625,0
44b6_8f5ab931,29081,2,31.758027240430383,123.23507317590497,87.47783427055326,0.41840455,2.8433304,0.5040957,2.5401762,68.65625,0
44b6_8f5ab931,29082,6,15.280775568451512,99.73203433241633,88.27972885367032,0.45859438,3.1933994,0.242552,2.5434792,68.92444,0
44b6_8f5ab931,29083,9,12.348936464721499,162.56799513841545,99.42742455340286,0.16522941,2.905385,0.19601485,2.5434792,68.92444,0
44b6_8f5ab931,29084,10,54.80724152839733,197.79512112961913,84.01144895133451,0.42338657,2.712153,0.86995625,2.5134354,66.51074,0
44b6_8f5ab931,29085,11,49.38482376444747,167.64535322226868,185.34566343528357,0.40787783,2.5020738,0.7838861,2.5434792,68.92444,0
44b6_8f5ab931,29086,12,49.561894390525254,170.8833169310955,187.4203469005357,0.39795694,1.9574958,0.78669673,2.5401762,68.65625,0
44b6_8f5ab931,29087,17,20.999999642835032,124.41742565356087,66.17509556714054,0.41377965,2.9512906,0.33333334,2.5401762,68.65625,0
44b6_8f5ab931,29088,18,28.11060225587761,137.11301166559525,34.234042888974415,0.42846158,3.312765,0.4462,2.5434792,68.92444,0
44b6_8f5ab931,29089,20,27.594441112221798,135.41060046169042,38.89596863511032,0.43585637,3.4552994,0.438007,2.5434792,68.92444,0
44b6_8f5ab931,29090,22,29.021157724928297,135.31621034100868,44.18439130515965,0.45966256,4.116966,0.4606533,2.5434792,68.92444,0
44b6_8f5ab931,29091,24,31.513567626904734,136.29281203242638,50.65233752259073,0.44173047,3.8193927,0.50021535,2.5434792,68.92444,0
44b6_8f5ab931,29092,25,31.505518935698706,137.48527670978322,55.476806048940816,0.4227783,3.8396523,0.5000876,2.5401762,68.65625,0
44b6_8f5ab931,29093,27,33.01368490378051,139.41715016850776,61.71522971091935,0.42605048,4.231267,0.5240267,2.5434792,68.92444,0
44b6_8f5ab931,29094,28,33.657103477950436,138.83735942196157,65.8306738960219,0.46088645,3.9227018,0.53423977,2.5401762,68.65625,0
44b6_8f5ab931,29095,28,49.50196818319503,159.51223431626423,55.01399702154504,0.4262633,1.9304054,0.7857455,2.5401762,68.65625,0
44b6_8f5ab931,29096,34,53.00624134604071,188.98590128250382,18.983082444993528,0.29236042,3.815494,0.8413689,2.5302145,67.851685,0
44b6_8f5ab931,29097,34,36.08312979834442,133.73835753526492,89.96722124153779,0.44888473,2.888029,0.57274806,2.5434792,68.92444,0
44b6_8f5ab931,29098,35,53.684251831902266,189.55955855161469,20.895672083097413,0.27201474,3.1121132,0.852131,2.5100527,66.24255,0
44b6_8f5ab931,29099,35,36.542378551539564,132.7651082983156,96.15868917066867,0.42031744,2.727844,0.5800377,2.5401762,68.65625,0
44b6_8f5ab931,29100,36,53.51071482015345,190.00820000827088,25.483110542240457,0.25567347,2.0444255,0.84937644,2.4826555,64.097046,0
44b6_8f5ab931,29101,40,54.48444921459879,140.2302372591871,223.99161096524753,0.3852768,3.5982063,0.8648325,2.5434792,68.92444,0
44b6_8f5ab931,29102,40,16.10308844356408,117.46410652502189,59.11747440875538,0.35934815,3.1959815,0.25560457,2.5434792,68.92444,0
44b6_8f5ab931,29103,42,55.435368912229755,141.33364476076048,228.45058665523794,0.44789562,5.458221,0.87992644,2.5434792,68.92444,0
44b6_8f5ab931,29104,42,47.45448059118712,123.49561566687974,230.50370426666117,0.4511784,2.3356912,0.7532457,2.5401762,68.65625,0
44b6_8f5ab931,29105,43,47.492396551772046,122.6097649795837,233.79745141518075,0.45947093,2.4036603,0.7538476,2.5434792,68.92444,0
44b6_8f5ab931,29106,47,11.448832893054547,92.79722417300391,184.177504515953,0.43823895,2.8190002,0.1817275,2.5434792,68.92444,0
44b6_8f5ab931,29107,48,12.574823718394265,94.93178722487754,186.498956575621,0.4277962,2.7756827,0.19960037,2.5401762,68.65625,0
44b6_8f5ab931,29108,56,52.13471334664953,227.42428010757178,90.99253260751351,0.35434487,2.7185516,0.8275351,2.5434792,68.92444,0
44b6_8f5ab931,29109,57,51.66046370413985,227.39389816023757,91.02901249396908,0.37314457,3.2330143,0.8200074,2.5434792,68.92444,0
44b6_8f5ab931,29110,59,45.984221516470626,134.9930345972337,152.01602712485413,0.43827564,2.879913,0.7299083,2.5401762,68.65625,0
44b6_8f5ab931,29111,60,45.86995013825944,134.2917131729188,151.57347947990135,0.44339874,2.8444803,0.72809446,2.5434792,68.92444,0
44b6_8f5ab931,29112,61,46.36162583293265,133.35624354123715,155.23462089326057,0.45676383,2.8160424,0.7358988,2.5434792,68.92444,0
44b6_8f5ab931,29113,62,47.50410663936876,133.64420823160876,156.27764926065626,0.43790546,2.4685056,0.75403345,2.5368643,68.38806,0
44b6_8f5ab931,29114,70,48.633361453019134,197.18624289306868,23.388649609440268,0.26453683,5.060736,0.7719581,2.5434792,68.92444,0
44b6_8f5ab931,29115,80,52.34395228272765,225.64770823906332,60.998805922475455,0.32503968,1.8677579,0.8308564,2.5434792,68.92444,0
44b6_8f5ab931,29116,82,51.763694103746815,225.99334039772927,62.34815959090887,0.3350886,2.0577924,0.821646,2.5434792,68.92444,0
44b6_8f5ab931,29117,83,51.90240376409887,225.89841460058312,61.452061468720885,0.35296115,2.4643877,0.8238477,2.5434792,68.92444,0
44b6_8f5ab931,29118,84,51.517636618043156,223.78442648170326,62.92138745041462,0.38481283,2.7382073,0.81774026,2.5434792,68.92444,0
44b6_8f5ab931,29119,85,51.715209259811154,225.11924993467355,63.00307217852507,0.36134672,2.0916626,0.82087636,2.5434792,68.92444,0
44b6_8f5ab931,29120,87,52.116591268351215,227.14054879837443,63.370985688019395,0.35240835,2.0259287,0.8272475,2.5434792,68.92444,0
44b6_8f5ab931,29121,90,49.720272806689046,129.7247638043306,164.01229933561802,0.4239533,4.894854,0.7892107,2.5434792,68.92444,0
44b6_8f5ab931,29122,98,17.011449669001138,135.4897957833545,25.267051570891162,0.217664,4.9704385,0.27002302,2.5401762,68.65625,0
44b6_8f5ab931,29123,99,16.994675054410113,135.715856459535,26.153274966623144,0.2143364,4.879285,0.26975673,2.5434792,68.92444,0
