dataset,node_id,t,z,y,x,mean_intensity,snr,z_depth_ratio,estimated_radius_um,volume_um3,local_density_r15
44b6_97725144,396441,0,43.0,29.0,119.0,0.7715802,3.839463,0.6825397,2.5434792,68.92444,1
44b6_97725144,396442,0,30.0,25.0,209.0,0.7741602,3.126825,0.47619048,2.5434792,68.92444,1
44b6_97725144,396443,0,13.0,89.0,77.0,0.7197263,3.125643,0.20634921,2.5434792,68.92444,0
44b6_97725144,396444,0,17.0,116.0,168.0,0.7174754,3.2813516,0.26984128,2.5434792,68.92444,0
44b6_97725144,396445,0,56.0,43.0,223.0,0.71372783,4.6108785,0.8888889,2.5434792,68.92444,0
44b6_97725144,396446,0,27.0,15.0,136.0,0.7042192,3.9814913,0.42857143,2.5434792,68.92444,1
44b6_97725144,396447,0,50.0,7.0,130.0,0.7090727,3.723277,0.7936508,2.5434792,68.92444,0
44b6_97725144,396448,0,18.0,53.0,147.0,0.6837927,3.2817373,0.2857143,2.5434792,68.92444,0
44b6_97725144,396449,0,44.0,12.0,238.0,0.6915116,2.5978847,0.6984127,2.5434792,68.92444,0
44b6_97725144,396450,0,50.0,85.0,213.0,0.6884402,2.726334,0.7936508,2.5434792,68.92444,1
44b6_97725144,396451,0,33.0,61.0,156.0,0.6818167,3.7418725,0.52380955,2.5434792,68.92444,0
44b6_97725144,396452,0,51.0,32.0,250.0,0.68520355,1.9635615,0.8095238,2.5434792,68.92444,2
44b6_97725144,396453,0,38.0,56.0,234.0,0.66884005,3.1412523,0.6031746,2.5434792,68.92444,0
44b6_97725144,396454,0,46.0,34.0,244.0,0.6627259,1.8857489,0.73015875,2.5434792,68.92444,2
44b6_97725144,396455,0,25.0,46.0,16.0,0.65410686,4.4786534,0.3968254,2.5434792,68.92444,0
44b6_97725144,396456,0,45.0,28.0,140.0,0.6608401,2.642441,0.71428573,2.5368643,68.38806,1
44b6_97725144,396457,0,47.0,55.0,146.0,0.6450581,3.560648,0.74603176,2.5434792,68.92444,0
