dataset,node_id,t,z,y,x,mean_intensity,snr,z_depth_ratio,estimated_radius_um,volume_um3,local_density_r15
44b6_a2bb48bb,446775,0,42.0,226.0,200.0,1.2079262,3.0718234,0.6666667,2.5434792,68.92444,1
44b6_a2bb48bb,446776,0,28.0,101.0,85.0,1.1393143,3.739909,0.44444445,2.5434792,68.92444,1
44b6_a2bb48bb,446777,0,14.0,109.0,240.0,1.094946,3.0531487,0.22222222,2.5434792,68.92444,1
44b6_a2bb48bb,446778,0,27.0,115.0,207.0,1.0701555,2.5170286,0.42857143,2.5368643,68.38806,5
44b6_a2bb48bb,446779,0,24.0,159.0,104.0,1.0906154,2.9963524,0.3809524,2.5434792,68.92444,2
44b6_a2bb48bb,446780,0,27.0,175.0,249.0,1.0294783,2.6227667,0.42857143,2.5434792,68.92444,0
44b6_a2bb48bb,446781,0,32.0,104.0,208.0,1.0037713,1.9706547,0.50793654,2.5434792,68.92444,3
44b6_a2bb48bb,446782,0,38.0,213.0,215.0,1.007229,3.1941698,0.6031746,2.5434792,68.92444,0
44b6_a2bb48bb,446783,0,16.0,127.0,128.0,1.0157146,3.0928671,0.25396827,2.5434792,68.92444,1
44b6_a2bb48bb,446784,0,22.0,81.0,133.0,0.9972016,2.8096507,0.34920636,2.5434792,68.92444,1
44b6_a2bb48bb,446785,0,17.0,149.0,108.0,1.0037751,2.1568425,0.26984128,2.5434792,68.92444,1
44b6_a2bb48bb,446786,0,38.0,236.0,194.0,0.9821749,1.5317386,0.6031746,2.5434792,68.92444,1
44b6_a2bb48bb,446787,0,53.0,232.0,185.0,0.98118097,2.2874703,0.84126985,2.5434792,68.92444,0
44b6_a2bb48bb,446788,0,35.0,123.0,153.0,0.96758443,3.4998348,0.5555556,2.5434792,68.92444,0
44b6_a2bb48bb,446789,0,50.0,193.0,110.0,0.9337018,3.8831842,0.7936508,2.5434792,68.92444,0
44b6_a2bb48bb,446790,0,46.0,220.0,123.0,0.9590847,3.2629766,0.73015875,2.5434792,68.92444,2
44b6_a2bb48bb,446791,0,28.0,147.0,238.0,0.96189433,2.6256237,0.44444445,2.5434792,68.92444,3
44b6_a2bb48bb,446792,0,23.0,159.0,192.0,0.91593146,3.5116715,0.36507937,2.5401762,68.65625,2
44b6_a2bb48bb,446793,0,34.0,119.0,195.0,0.93241036,2.4124203,0.53968257,2.5434792,68.92444,2
44b6_a2bb48bb,446794,0,41.0,172.0,189.0,0.9439682,2.2514546,0.6507937,2.5434792,68.92444,3
44b6_a2bb48bb,446795,0,58.0,229.0,166.0,0.93609095,2.5233393,0.9206349,2.5434792,68.92444,0
44b6_a2bb48bb,446796,0,53.0,162.0,161.0,0.92106134,2.6599722,0.84126985,2.5434792,68.92444,1
44b6_a2bb48bb,446797,0,46.0,245.0,154.0,0.9237113,2.700115,0.73015875,2.5434792,68.92444,2
44b6_a2bb48bb,446798,0,35.0,146.0,33.0,0.9277396,2.7343886,0.5555556,2.5434792,68.92444,1
44b6_a2bb48bb,446799,0,46.0,176.0,196.0,0.93209577,2.4599564,0.73015875,2.5434792,68.92444,1
44b6_a2bb48bb,446800,0,41.0,247.0,110.0,0.9234903,2.9095416,0.6507937,2.5434792,68.92444,0
44b6_a2bb48bb,446801,0,7.0,127.0,146.0,0.9263017,1.9150468,0.11111111,2.5434792,68.92444,1
44b6_a2bb48bb,446802,0,45.0,97.0,187.0,0.8989046,3.7091107,0.71428573,2.5434792,68.92444,0
44b6_a2bb48bb,446803,0,8.0,127.0,198.0,0.9208771,3.081603,0.12698413,2.5434792,68.92444,0
44b6_a2bb48bb,446804,0,38.0,161.0,114.0,0.9099381,2.620339,0.6031746,2.5434792,68.92444,2
44b6_a2bb48bb,446805,0,29.0,116.0,234.0,0.91108215,1.4066198,0.46031746,2.5434792,68.92444,2
44b6_a2bb48bb,446806,0,24.0,107.0,214.0,0.9085144,1.4105597,0.3809524,2.5401762,68.65625,3
44b6_a2bb48bb,446807,0,53.0,250.0,164.0,0.91499805,1.6978748,0.84126985,2.5434792,68.92444,3
44b6_a2bb48bb,446808,0,43.0,147.0,79.0,0.9033486,2.918604,0.6825397,2.5434792,68.92444,0
44b6_a2bb48bb,446809,0,38.0,84.0,201.0,0.8835613,2.4593203,0.6031746,2.5434792,68.92444,2
44b6_a2bb48bb,446810,0,55.0,247.0,128.0,0.8820365,3.679844,0.8730159,2.5434792,68.92444,0
