dataset,node_id,t,z,y,x,mean_intensity,snr,z_depth_ratio,estimated_radius_um,volume_um3,local_density_r15
44b6_cf8fed6b,581982,0,61.0,70.0,221.0,0.9343015,3.4145648,0.96825397,2.4652207,62.756104,0
44b6_cf8fed6b,581983,0,61.0,27.0,201.0,0.8996623,3.4717329,0.96825397,2.4652207,62.756104,0
44b6_cf8fed6b,581984,0,52.0,13.0,224.0,0.8421812,3.5831695,0.82539684,2.5335438,68.11987,1
44b6_cf8fed6b,581985,0,56.0,25.0,250.0,0.8040766,2.1409159,0.8888889,2.493,64.90161,0
44b6_cf8fed6b,581986,0,48.0,22.0,233.0,0.769683,2.2456496,0.7619048,2.4546402,61.951538,2
44b6_cf8fed6b,581987,0,50.0,5.0,249.0,0.71849835,3.6343303,0.7936508,2.499849,65.43799,0
44b6_cf8fed6b,581988,0,49.0,43.0,235.0,0.7142279,1.8968692,0.7777778,2.4687274,63.024292,1
44b6_cf8fed6b,581989,0,60.0,28.0,229.0,0.7102702,2.5222814,0.95238096,2.5066607,65.974365,2
44b6_cf8fed6b,581990,0,43.0,18.0,202.0,0.6622263,2.218356,0.6825397,2.5368643,68.38806,0
44b6_cf8fed6b,581991,0,57.0,39.0,236.0,0.6342855,0.9557781,0.9047619,2.3277657,52.83313,2
44b6_cf8fed6b,581992,1,60.0,51.0,227.0,0.955883,3.6731887,0.95238096,2.5368643,68.38806,1
44b6_cf8fed6b,581993,1,60.0,27.0,207.0,0.8960326,3.1695356,0.95238096,2.5368643,68.38806,0
44b6_cf8fed6b,581994,1,46.0,43.0,237.0,0.83427733,2.5646489,0.73015875,2.5032594,65.70618,1
44b6_cf8fed6b,581995,1,49.0,10.0,227.0,0.851276,3.5708961,0.7777778,2.5401762,68.65625,1
44b6_cf8fed6b,581996,1,57.0,66.0,219.0,0.8063198,2.9450986,0.9047619,2.5268764,67.583496,0
44b6_cf8fed6b,581997,1,53.0,22.0,251.0,0.809729,2.147558,0.84126985,2.5032594,65.70618,0
44b6_cf8fed6b,581998,1,57.0,24.0,230.0,0.7097083,3.4269676,0.9047619,2.429591,60.07422,0
44b6_cf8fed6b,581999,1,45.0,15.0,231.0,0.699273,1.7268106,0.71428573,2.472224,63.29248,1
44b6_cf8fed6b,582000,1,61.0,8.0,201.0,0.6945166,2.3943858,0.96825397,2.4546402,61.951538,0
44b6_cf8fed6b,582001,1,40.0,19.0,202.0,0.68336266,2.4051127,0.63492066,2.5401762,68.65625,0
44b6_cf8fed6b,582002,1,54.0,39.0,233.0,0.5961948,0.6189492,0.85714287,2.2545931,48.005737,2
44b6_cf8fed6b,582003,1,61.0,45.0,203.0,0.60823804,2.6278028,0.96825397,2.4652207,62.756104,0
44b6_cf8fed6b,582004,2,61.0,67.0,244.0,1.0362293,3.2835631,0.96825397,2.458177,62.219727,0
