dataset,node_id,t,z,y,x,mean_intensity,snr,z_depth_ratio,estimated_radius_um,volume_um3,local_density_r15
44b6_db3c847b,636578,0,33.0,80.0,154.0,1.3151964,2.588396,0.52380955,2.5434792,68.92444,0
44b6_db3c847b,636579,0,58.0,66.0,130.0,1.243637,2.1353612,0.9206349,2.5434792,68.92444,0
44b6_db3c847b,636580,0,50.0,7.0,92.0,1.2028984,2.671991,0.7936508,2.5434792,68.92444,1
44b6_db3c847b,636581,0,46.0,153.0,175.0,1.1795509,4.5282745,0.73015875,2.5434792,68.92444,0
44b6_db3c847b,636582,0,29.0,60.0,169.0,1.1599214,2.7702281,0.46031746,2.5434792,68.92444,0
44b6_db3c847b,636583,0,17.0,4.0,151.0,1.1677122,3.0805361,0.26984128,2.5434792,68.92444,0
44b6_db3c847b,636584,0,7.0,76.0,170.0,1.1372595,3.83757,0.11111111,2.5434792,68.92444,0
44b6_db3c847b,636585,0,56.0,143.0,164.0,1.1097965,2.9464643,0.8888889,2.5434792,68.92444,1
44b6_db3c847b,636586,0,28.0,91.0,176.0,1.0862269,2.7038138,0.44444445,2.5434792,68.92444,3
44b6_db3c847b,636587,0,48.0,13.0,138.0,1.0959941,1.7234712,0.7619048,2.5434792,68.92444,2
44b6_db3c847b,636588,0,40.0,13.0,148.0,1.0600187,1.7936256,0.63492066,2.5401762,68.65625,2
44b6_db3c847b,636589,0,41.0,7.0,95.0,1.0674372,1.1154733,0.6507937,2.5368643,68.38806,1
44b6_db3c847b,636590,0,39.0,22.0,131.0,1.0731038,2.3644555,0.61904764,2.5401762,68.65625,1
44b6_db3c847b,636591,0,6.0,42.0,162.0,1.0584064,2.564481,0.0952381,2.5434792,68.92444,2
44b6_db3c847b,636592,0,19.0,70.0,154.0,1.0528878,1.6444247,0.3015873,2.5434792,68.92444,0
44b6_db3c847b,636593,0,53.0,26.0,97.0,1.0344813,2.6352904,0.84126985,2.5434792,68.92444,0
44b6_db3c847b,636594,0,35.0,25.0,147.0,1.0239375,1.9502233,0.5555556,2.5401762,68.65625,2
44b6_db3c847b,636595,0,30.0,6.0,114.0,1.0172341,2.3104048,0.47619048,2.5434792,68.92444,0
44b6_db3c847b,636596,0,50.0,100.0,137.0,1.022141,2.5226574,0.7936508,2.5434792,68.92444,1
44b6_db3c847b,636597,0,54.0,100.0,132.0,1.0113877,2.3166456,0.85714287,2.5401762,68.65625,1
44b6_db3c847b,636598,0,59.0,39.0,110.0,1.0147246,1.6913736,0.93650794,2.5368643,68.38806,0
44b6_db3c847b,636599,0,19.0,22.0,130.0,0.9968088,2.992275,0.3015873,2.5434792,68.92444,1
44b6_db3c847b,636600,0,52.0,70.0,155.0,0.98996156,2.0252607,0.82539684,2.5434792,68.92444,1
44b6_db3c847b,636601,0,8.0,11.0,163.0,0.9801605,1.82944,0.12698413,2.5401762,68.65625,1
44b6_db3c847b,636602,0,54.0,121.0,146.0,0.98007584,2.3189583,0.85714287,2.5434792,68.92444,0
44b6_db3c847b,636603,0,50.0,68.0,150.0,0.980317,1.450547,0.7936508,2.5434792,68.92444,2
44b6_db3c847b,636604,0,61.0,3.0,116.0,0.9827908,1.8242736,0.96825397,2.4652207,62.756104,0
44b6_db3c847b,636605,0,17.0,21.0,157.0,0.9663158,1.8008686,0.26984128,2.5201738,67.04712,2
44b6_db3c847b,636606,0,44.0,57.0,157.0,0.9688084,2.6532915,0.6984127,2.5434792,68.92444,1
44b6_db3c847b,636607,0,4.0,19.0,145.0,0.9674923,1.9171852,0.06349207,2.5434792,68.92444,0
44b6_db3c847b,636608,0,23.0,115.0,175.0,0.9518469,3.4780567,0.36507937,2.5401762,68.65625,2
44b6_db3c847b,636609,0,47.0,101.0,170.0,0.93777156,2.5262532,0.74603176,2.5401762,68.65625,1
44b6_db3c847b,636610,0,53.0,37.0,145.0,0.93601954,3.2384658,0.84126985,2.5434792,68.92444,0
44b6_db3c847b,636611,0,21.0,95.0,171.0,0.9241744,1.4152267,0.33333334,2.5434792,68.92444,2
44b6_db3c847b,636612,0,31.0,94.0,167.0,0.9258461,0.93413365,0.4920635,2.493,64.90161,3
44b6_db3c847b,636613,0,55.0,34.0,125.0,0.9340539,1.706622,0.8730159,2.5401762,68.65625,1
44b6_db3c847b,636614,0,56.0,31.0,75.0,0.9257064,1.4112804,0.8888889,2.5434792,68.92444,0
44b6_db3c847b,636615,0,20.0,184.0,200.0,0.8904589,3.3798106,0.31746033,2.5434792,68.92444,0
44b6_db3c847b,636616,0,6.0,62.0,148.0,0.90565985,2.6717138,0.0952381,2.5434792,68.92444,0
44b6_db3c847b,636617,0,18.0,42.0,132.0,0.9039713,2.695966,0.2857143,2.5434792,68.92444,1
44b6_db3c847b,636618,0,9.0,27.0,125.0,0.9162523,1.7725339,0.14285715,2.5434792,68.92444,1
44b6_db3c847b,636619,0,50.0,181.0,182.0,0.8874034,1.9899876,0.7936508,2.5434792,68.92444,2
44b6_db3c847b,636620,0,52.0,26.0,113.0,0.9073907,1.3948497,0.82539684,2.5168092,66.77893,1
44b6_db3c847b,636621,0,41.0,97.0,156.0,0.90060276,1.4451426,0.6507937,2.5335438,68.11987,1
44b6_db3c847b,636622,0,45.0,104.0,153.0,0.8957869,2.015386,0.71428573,2.5434792,68.92444,2
44b6_db3c847b,636623,0,33.0,28.0,110.0,0.89053285,2.015751,0.52380955,2.5434792,68.92444,0
44b6_db3c847b,636624,0,47.0,184.0,177.0,0.8772362,2.3063884,0.74603176,2.5434792,68.92444,2
44b6_db3c847b,636625,0,51.0,60.0,111.0,0.8739798,1.2948518,0.8095238,2.5201738,67.04712,1
44b6_db3c847b,636626,0,30.0,21.0,160.0,0.8765824,1.3483514,0.47619048,2.5434792,68.92444,2
44b6_db3c847b,636627,0,14.0,46.0,171.0,0.87606615,1.5076333,0.22222222,2.5368643,68.38806,2
44b6_db3c847b,636628,0,26.0,42.0,150.0,0.8415549,1.5050824,0.41269842,2.3891516,57.124146,1
44b6_db3c847b,636629,0,2.0,39.0,173.0,0.861745,1.0111849,0.031746034,2.4652207,62.756104,2
44b6_db3c847b,636630,0,32.0,170.0,185.0,0.8367073,3.0883677,0.50793654,2.5401762,68.65625,1
44b6_db3c847b,636631,0,34.0,45.0,140.0,0.8452388,1.3592767,0.53968257,2.5302145,67.851685,1
44b6_db3c847b,636632,0,49.0,87.0,122.0,0.84216857,1.1106391,0.7777778,2.5235295,67.31531,0
44b6_db3c847b,636633,0,57.0,62.0,97.0,0.83896923,1.6636246,0.9047619,2.5401762,68.65625,0
44b6_db3c847b,636634,0,43.0,77.0,133.0,0.8363518,1.1930442,0.6825397,2.5335438,68.11987,1
44b6_db3c847b,636635,0,54.0,107.0,159.0,0.834659,1.1571355,0.85714287,2.5401762,68.65625,2
44b6_db3c847b,636636,0,10.0,124.0,179.0,0.82057744,1.991596,0.15873016,2.5368643,68.38806,1
44b6_db3c847b,636637,0,26.0,114.0,164.0,0.82303405,1.68783,0.41269842,2.5434792,68.92444,1
44b6_db3c847b,636638,0,46.0,54.0,121.0,0.8153848,1.4038203,0.73015875,2.5434792,68.92444,3
44b6_db3c847b,636639,0,27.0,117.0,186.0,0.8015465,1.3868864,0.42857143,2.5335438,68.11987,2
44b6_db3c847b,636640,0,29.0,44.0,125.0,0.8191639,1.550187,0.46031746,2.5434792,68.92444,2
44b6_db3c847b,636641,0,42.0,212.0,192.0,0.8034128,2.5284784,0.6666667,2.5434792,68.92444,1
44b6_db3c847b,636642,0,42.0,180.0,186.0,0.7912143,1.4365115,0.6666667,2.5368643,68.38806,3
44b6_db3c847b,636643,0,17.0,120.0,188.0,0.79119736,1.4548297,0.26984128,2.5235295,67.31531,2
