dataset,node_id,t,z,y,x,mean_intensity,snr,z_depth_ratio,estimated_radius_um,volume_um3,local_density_r15
44b6_e31261b4,667946,0,35.0,240.0,208.0,1.407128,3.7780855,0.5555556,2.5401762,68.65625,1
44b6_e31261b4,667947,0,23.0,190.0,207.0,1.3109777,3.5212653,0.36507937,2.5434792,68.92444,2
44b6_e31261b4,667948,0,40.0,247.0,251.0,1.2373899,4.3532705,0.63492066,2.5434792,68.92444,0
44b6_e31261b4,667949,0,14.0,171.0,235.0,1.2330683,3.6077619,0.22222222,2.5434792,68.92444,1
44b6_e31261b4,667950,0,42.0,176.0,247.0,1.124842,5.2774625,0.6666667,2.5335438,68.11987,0
44b6_e31261b4,667951,0,32.0,209.0,206.0,1.1402875,3.1619534,0.50793654,2.5434792,68.92444,1
44b6_e31261b4,667952,0,26.0,214.0,194.0,1.1287469,3.1153944,0.41269842,2.5401762,68.65625,1
44b6_e31261b4,667953,0,16.0,160.0,185.0,1.1115849,3.0273564,0.25396827,2.5401762,68.65625,2
44b6_e31261b4,667954,0,17.0,192.0,216.0,1.103466,2.1061375,0.26984128,2.5401762,68.65625,1
44b6_e31261b4,667955,0,13.0,139.0,211.0,1.1076219,4.261081,0.20634921,2.5401762,68.65625,0
44b6_e31261b4,667956,0,16.0,92.0,200.0,1.0144024,3.8555183,0.25396827,2.458177,62.219727,2
44b6_e31261b4,667957,0,48.0,220.0,215.0,1.0412369,2.239663,0.7619048,2.4964292,65.1698,2
44b6_e31261b4,667958,0,39.0,85.0,187.0,1.0925353,2.8508084,0.61904764,2.5434792,68.92444,1
44b6_e31261b4,667959,0,20.0,22.0,74.0,1.0522864,3.6823661,0.31746033,2.5401762,68.65625,0
44b6_e31261b4,667960,0,10.0,126.0,236.0,1.056812,2.8878624,0.15873016,2.5401762,68.65625,0
44b6_e31261b4,667961,0,25.0,198.0,191.0,1.0623341,3.2896948,0.3968254,2.5434792,68.92444,0
44b6_e31261b4,667962,0,40.0,226.0,213.0,1.0520132,1.8125204,0.63492066,2.5401762,68.65625,2
44b6_e31261b4,667963,0,8.0,16.0,115.0,0.9914949,3.8658414,0.12698413,2.4791882,63.828857,0
44b6_e31261b4,667964,0,15.0,177.0,196.0,0.9907222,4.1895976,0.23809524,2.5401762,68.65625,1
44b6_e31261b4,667965,0,40.0,133.0,212.0,0.9926429,4.0726714,0.63492066,2.5302145,67.851685,0
44b6_e31261b4,667966,0,32.0,234.0,171.0,1.0172337,4.3724194,0.50793654,2.5434792,68.92444,0
44b6_e31261b4,667967,0,20.0,93.0,244.0,1.0022298,3.3190868,0.31746033,2.5401762,68.65625,0
44b6_e31261b4,667968,0,38.0,126.0,71.0,1.0006182,4.670043,0.6031746,2.5401762,68.65625,0
44b6_e31261b4,667969,0,34.0,214.0,176.0,0.99257934,2.9100406,0.53968257,2.5168092,66.77893,0
44b6_e31261b4,667970,0,35.0,156.0,170.0,0.93822885,2.4755552,0.5555556,2.4652207,62.756104,0
44b6_e31261b4,667971,0,33.0,227.0,233.0,0.96069765,2.6978605,0.52380955,2.5401762,68.65625,1
44b6_e31261b4,667972,0,48.0,195.0,166.0,0.9621299,4.675072,0.7619048,2.472224,63.29248,0
44b6_e31261b4,667973,0,29.0,207.0,234.0,0.9840963,3.600436,0.46031746,2.5401762,68.65625,0
44b6_e31261b4,667974,0,28.0,83.0,185.0,1.0118443,1.9623749,0.44444445,2.5368643,68.38806,1
44b6_e31261b4,667975,0,26.0,130.0,234.0,0.99280566,3.4853392,0.41269842,2.5401762,68.65625,0
44b6_e31261b4,667976,0,48.0,192.0,136.0,0.9520491,3.7190647,0.7619048,2.475711,63.56067,0
44b6_e31261b4,667977,0,50.0,193.0,205.0,0.9775589,3.3637016,0.7936508,2.5168092,66.77893,1
44b6_e31261b4,667978,0,25.0,222.0,237.0,1.0009272,2.63214,0.3968254,2.5434792,68.92444,1
44b6_e31261b4,667979,0,27.0,47.0,202.0,0.9565472,4.2790956,0.42857143,2.4652207,62.756104,0
44b6_e31261b4,667980,0,38.0,85.0,213.0,0.9785302,4.1526384,0.6031746,2.5434792,68.92444,0
44b6_e31261b4,667981,0,23.0,164.0,177.0,1.0125948,2.2681062,0.36507937,2.5434792,68.92444,2
44b6_e31261b4,667982,0,19.0,21.0,135.0,0.9469078,2.9115193,0.3015873,2.5335438,68.11987,2
44b6_e31261b4,667983,0,38.0,178.0,85.0,0.95618564,4.064362,0.6031746,2.5368643,68.38806,0
44b6_e31261b4,667984,0,39.0,232.0,129.0,0.9695394,2.8425846,0.61904764,2.5401762,68.65625,1
44b6_e31261b4,667985,0,31.0,189.0,147.0,0.9534178,3.696412,0.4920635,2.5368643,68.38806,0
44b6_e31261b4,667986,0,31.0,145.0,207.0,0.977247,3.1794083,0.4920635,2.5368643,68.38806,0
44b6_e31261b4,667987,0,38.0,249.0,149.0,0.97857165,2.9800355,0.6031746,2.5401762,68.65625,0
44b6_e31261b4,667988,0,41.0,236.0,108.0,0.9914838,2.1878054,0.6507937,2.5434792,68.92444,1
44b6_e31261b4,667989,0,13.0,23.0,147.0,0.9367746,2.0601003,0.20634921,2.5268764,67.583496,3
44b6_e31261b4,667990,0,54.0,172.0,125.0,0.94928384,3.167221,0.85714287,2.4791882,63.828857,0
44b6_e31261b4,667991,0,39.0,171.0,210.0,0.9472335,3.0612738,0.61904764,2.5368643,68.38806,0
44b6_e31261b4,667992,0,27.0,195.0,125.0,0.9422138,2.6373348,0.42857143,2.475711,63.56067,1
44b6_e31261b4,667993,0,38.0,157.0,79.0,0.91572154,2.518495,0.6031746,2.472224,63.29248,0
44b6_e31261b4,667994,0,17.0,136.0,134.0,0.91402984,3.4375112,0.26984128,2.5368643,68.38806,0
44b6_e31261b4,667995,0,23.0,175.0,152.0,0.9674394,3.502518,0.36507937,2.5434792,68.92444,1
44b6_e31261b4,667996,0,19.0,24.0,100.0,0.9138118,3.152455,0.3015873,2.4475355,61.41516,0
44b6_e31261b4,667997,0,52.0,223.0,205.0,0.936162,1.9060978,0.82539684,2.5335438,68.11987,3
44b6_e31261b4,667998,0,13.0,123.0,147.0,0.91247344,3.0537064,0.20634921,2.5302145,67.851685,0
44b6_e31261b4,667999,0,29.0,212.0,148.0,0.93142366,3.301868,0.46031746,2.5401762,68.65625,1
44b6_e31261b4,668000,0,13.0,39.0,151.0,0.9080332,2.1783073,0.20634921,2.5434792,68.92444,1
44b6_e31261b4,668001,0,16.0,154.0,168.0,0.88624334,2.361365,0.25396827,2.5066607,65.974365,1
44b6_e31261b4,668002,0,25.0,101.0,207.0,0.899288,3.8073864,0.3968254,2.5335438,68.11987,1
44b6_e31261b4,668003,0,32.0,156.0,191.0,0.93530095,2.7487793,0.50793654,2.5434792,68.92444,1
44b6_e31261b4,668004,0,7.0,111.0,175.0,0.93829787,2.672137,0.11111111,2.5434792,68.92444,0
44b6_e31261b4,668005,0,36.0,122.0,127.0,0.89698094,2.8428514,0.5714286,2.4964292,65.1698,0
44b6_e31261b4,668006,0,48.0,244.0,104.0,0.93528163,1.8938445,0.7619048,2.5434792,68.92444,1
