dataset,node_id,t,z,y,x,mean_intensity,snr,z_depth_ratio,estimated_radius_um,volume_um3,local_density_r15
44b6_e35b117d,675698,0,58.0,250.0,159.0,0.94134015,3.2791553,0.9206349,2.5434792,68.92444,0
44b6_e35b117d,675699,0,59.0,249.0,128.0,0.8926358,2.0954025,0.93650794,2.5434792,68.92444,0
44b6_e35b117d,675700,0,35.0,236.0,60.0,0.84455425,1.4276475,0.5555556,2.5401762,68.65625,0
44b6_e35b117d,675701,0,60.0,211.0,120.0,0.8330499,2.2498763,0.95238096,2.5401762,68.65625,1
44b6_e35b117d,675702,0,44.0,217.0,89.0,0.8204494,1.8914236,0.6984127,2.5434792,68.92444,1
44b6_e35b117d,675703,0,61.0,207.0,89.0,0.8205601,2.3395455,0.96825397,2.4687274,63.024292,0
44b6_e35b117d,675704,0,46.0,228.0,93.0,0.80856353,1.3351095,0.73015875,2.5434792,68.92444,2
44b6_e35b117d,675705,0,61.0,227.0,116.0,0.8062177,1.7707263,0.96825397,2.458177,62.219727,0
44b6_e35b117d,675706,0,59.0,201.0,118.0,0.8076909,1.5148513,0.93650794,2.5434792,68.92444,1
44b6_e35b117d,675707,0,54.0,233.0,87.0,0.8040519,1.3667332,0.85714287,2.5368643,68.38806,1
44b6_e35b117d,675708,0,44.0,223.0,12.0,0.79211473,2.398703,0.6984127,2.5434792,68.92444,0
44b6_e35b117d,675709,0,58.0,187.0,93.0,0.78511983,2.0770864,0.9206349,2.5401762,68.65625,0
44b6_e35b117d,675710,0,27.0,247.0,53.0,0.77579033,0.7829354,0.42857143,2.5434792,68.92444,0
44b6_e35b117d,675711,0,44.0,219.0,29.0,0.7682854,1.855236,0.6984127,2.5434792,68.92444,1
44b6_e35b117d,675712,0,43.0,216.0,41.0,0.7581845,1.5147755,0.6825397,2.5368643,68.38806,2
44b6_e35b117d,675713,0,39.0,223.0,49.0,0.7539381,1.1457931,0.61904764,2.5434792,68.92444,1
44b6_e35b117d,675714,0,47.0,246.0,141.0,0.74835265,0.74948955,0.74603176,2.493,64.90161,0
44b6_e35b117d,675715,0,39.0,252.0,198.0,0.7270281,2.300565,0.61904764,2.5401762,68.65625,1
44b6_e35b117d,675716,0,33.0,246.0,188.0,0.7183856,1.8641293,0.52380955,2.5401762,68.65625,1
44b6_e35b117d,675717,0,44.0,234.0,155.0,0.7202589,1.3701006,0.6984127,2.5302145,67.851685,0
44b6_e35b117d,675718,0,40.0,203.0,18.0,0.71918637,1.6475734,0.63492066,2.5434792,68.92444,0
44b6_e35b117d,675719,0,61.0,228.0,180.0,0.7066839,2.055443,0.96825397,2.4687274,63.024292,0
44b6_e35b117d,675720,0,49.0,192.0,80.0,0.6890746,1.1179543,0.7777778,2.5368643,68.38806,0
44b6_e35b117d,675721,0,50.0,243.0,31.0,0.6912285,1.1052821,0.7936508,2.5032594,65.70618,0
44b6_e35b117d,675722,0,18.0,246.0,141.0,0.6750335,1.6199808,0.2857143,2.5434792,68.92444,0
44b6_e35b117d,675723,0,60.0,153.0,58.0,0.6733984,1.7789226,0.95238096,2.5401762,68.65625,0
44b6_e35b117d,675724,0,61.0,183.0,22.0,0.66449314,1.8759725,0.96825397,2.433201,60.342407,1
44b6_e35b117d,675725,0,55.0,248.0,207.0,0.66386133,1.43899,0.8730159,2.5434792,68.92444,0
44b6_e35b117d,675726,0,8.0,204.0,135.0,0.64017546,3.199432,0.12698413,2.5434792,68.92444,0
44b6_e35b117d,675727,0,58.0,111.0,21.0,0.62956065,1.8328587,0.9206349,2.5134354,66.51074,0
44b6_e35b117d,675728,0,35.0,225.0,126.0,0.63607,1.5855926,0.5555556,2.5335438,68.11987,0
44b6_e35b117d,675729,0,37.0,193.0,96.0,0.6322823,1.4005367,0.5873016,2.5268764,67.583496,3
44b6_e35b117d,675730,0,53.0,203.0,30.0,0.63667613,0.9910688,0.84126985,2.475711,63.56067,0
44b6_e35b117d,675731,0,28.0,233.0,167.0,0.6361225,1.8010625,0.44444445,2.5434792,68.92444,1
44b6_e35b117d,675732,0,50.0,238.0,187.0,0.63301784,0.844978,0.7936508,2.4964292,65.1698,0
44b6_e35b117d,675733,0,60.0,193.0,20.0,0.6367165,1.0116856,0.95238096,2.499849,65.43799,1
44b6_e35b117d,675734,0,19.0,225.0,100.0,0.6277706,1.5549136,0.3015873,2.5368643,68.38806,0
