dataset,node_id,t,z,y,x,mean_intensity,snr,z_depth_ratio,estimated_radius_um,volume_um3,local_density_r15
6bba_05b6850b,0,0,12.0,22.0,41.0,0.81550664,2.0727637,0.1904762,2.5434792,68.92444,0
6bba_05b6850b,1,0,10.0,83.0,98.0,1.0117862,2.0883474,0.15873016,2.5434792,68.92444,0
6bba_05b6850b,2,0,16.0,195.0,204.0,0.7617875,5.046595,0.25396827,2.5235295,67.31531,0
6bba_05b6850b,3,0,17.0,94.0,128.0,0.26859042,1.8371532,0.26984128,2.5368643,68.38806,0
6bba_05b6850b,4,0,10.0,187.0,244.0,1.2533449,2.1618068,0.15873016,2.5434792,68.92444,0
6bba_05b6850b,5,0,21.0,212.0,242.0,0.91891503,4.0324407,0.33333334,2.5434792,68.92444,0
6bba_05b6850b,6,0,35.0,134.0,211.0,1.040581,1.7598556,0.5555556,2.5434792,68.92444,1
6bba_05b6850b,7,0,48.0,95.0,123.0,1.0604372,5.163128,0.7619048,2.5335438,68.11987,0
6bba_05b6850b,8,0,31.0,170.0,188.0,0.9931431,3.5054338,0.4920635,2.5434792,68.92444,0
6bba_05b6850b,9,0,47.0,147.0,190.0,1.0236033,3.3332124,0.74603176,2.5268764,67.583496,0
6bba_05b6850b,10,0,52.0,164.0,228.0,1.0044101,3.4649456,0.82539684,2.5134354,66.51074,0
6bba_05b6850b,11,0,12.0,166.0,153.0,1.1056341,3.8059194,0.1904762,2.5401762,68.65625,1
6bba_05b6850b,12,0,42.0,123.0,146.0,1.0739967,5.2029824,0.6666667,2.5434792,68.92444,0
6bba_05b6850b,13,0,34.0,140.0,153.0,1.03963,3.684933,0.53968257,2.5268764,67.583496,0
6bba_05b6850b,14,0,34.0,71.0,70.0,1.2141517,5.586252,0.53968257,2.5434792,68.92444,0
6bba_05b6850b,15,0,5.0,191.0,182.0,0.9944744,4.1650558,0.07936508,2.5268764,67.583496,0
6bba_05b6850b,16,0,56.0,106.0,155.0,1.084241,6.319026,0.8888889,2.5434792,68.92444,0
6bba_05b6850b,17,0,61.0,60.0,110.0,1.5628939,3.0348969,0.96825397,2.4687274,63.024292,0
6bba_05b6850b,18,0,28.0,56.0,47.0,1.1720852,5.345541,0.44444445,2.5302145,67.851685,0
6bba_05b6850b,19,0,57.0,121.0,177.0,1.0761298,6.8438473,0.9047619,2.5401762,68.65625,0
6bba_05b6850b,20,0,58.0,111.0,246.0,0.93342036,1.1687404,0.9206349,2.5434792,68.92444,0
6bba_05b6850b,21,0,37.0,180.0,215.0,0.5435803,2.9967399,0.5873016,2.5434792,68.92444,0
