dataset,node_id,t,z,y,x,mean_intensity,snr,z_depth_ratio,estimated_radius_um,volume_um3,local_density_r15
6bba_0e7c0d07,66728,0,26.049156660909766,242.12358231588286,33.99593466574379,0.10417974,2.3620675,0.41347867,2.5434792,68.92444,0
6bba_0e7c0d07,66729,0,8.82915603080236,222.81202376973758,223.4621086655941,0.09036786,3.0063736,0.14014533,2.5434792,68.92444,0
6bba_0e7c0d07,66730,0,3.086169281388386,168.88859567044054,158.39611843646327,0.08823859,2.5364716,0.048986815,2.5368643,68.38806,0
6bba_0e7c0d07,66731,0,7.019161248071262,168.50155893009443,99.51364740139779,0.11028089,2.008736,0.11141526,2.5401762,68.65625,0
6bba_0e7c0d07,66732,0,5.283007306325501,226.24461649273235,165.48926999460377,0.1613543,1.588783,0.08385725,2.5434792,68.92444,0
6bba_0e7c0d07,66733,0,3.3338828905574314,153.76725756458325,135.40390248833506,0.10834305,2.547705,0.052918773,2.5368643,68.38806,0
6bba_0e7c0d07,66734,1,5.273688451469882,228.8228599310014,173.1935781918319,0.152404,1.3181723,0.08370934,2.5368643,68.38806,0
6bba_0e7c0d07,66735,1,26.007436358966917,241.19457168478903,32.26512306333811,0.121051624,2.665041,0.41281646,2.5434792,68.92444,0
6bba_0e7c0d07,66736,1,8.312905275003141,219.96999514698962,225.01804686430603,0.088511355,3.074255,0.13195089,2.5434792,68.92444,0
6bba_0e7c0d07,66737,1,9.990608083114093,168.91016042223046,69.56169932761448,0.115147375,4.6125007,0.15858108,2.5401762,68.65625,0
6bba_0e7c0d07,66738,1,12.202497392828269,205.35921994822016,153.97403997659399,0.09114066,2.7725387,0.19369043,2.5434792,68.92444,0
6bba_0e7c0d07,66739,1,6.451692612723948,164.7161004791332,100.82720238951475,0.12929724,2.3388736,0.10240782,2.5368643,68.38806,0
6bba_0e7c0d07,66740,2,25.960231682456193,238.80983246899567,29.12870131162837,0.11946419,2.2088118,0.41206717,2.5401762,68.65625,0
6bba_0e7c0d07,66741,2,8.188972715980176,219.43257795240837,227.20061688478143,0.08378597,2.794832,0.1299837,2.5434792,68.92444,0
6bba_0e7c0d07,66742,2,6.558650719970947,163.3507206490312,96.96387354244416,0.1104704,1.9481134,0.10410556,2.5134354,66.51074,0
6bba_0e7c0d07,66743,2,12.063144309323665,204.14474254164628,151.83500371156003,0.08493615,3.0348825,0.19147849,2.5434792,68.92444,0
6bba_0e7c0d07,66744,2,5.0904253425727966,229.99597138713762,177.02657270392191,0.14840464,1.1017678,0.08080041,2.5401762,68.65625,0
6bba_0e7c0d07,66745,2,10.188351599970666,167.85743303847116,66.36099021892304,0.11683161,4.9476514,0.16171987,2.5401762,68.65625,0
6bba_0e7c0d07,66746,3,11.738771480528227,198.1822221572052,153.39673846175242,0.08616589,3.111597,0.18632971,2.5401762,68.65625,0
6bba_0e7c0d07,66747,3,6.889964514359033,155.89415933707255,93.50942126378881,0.11550178,1.6833369,0.10936452,2.5032594,65.70618,0
6bba_0e7c0d07,66748,3,25.858788078297984,232.0990766529682,28.504138673560952,0.097445264,2.1819022,0.41045696,2.5401762,68.65625,0
6bba_0e7c0d07,66749,3,21.406082815279152,238.28357028422403,122.88950829554173,0.07908357,2.6645458,0.33977908,2.5434792,68.92444,0
6bba_0e7c0d07,66750,3,7.848184422239871,213.9966251008387,227.75836620836571,0.08640873,2.6039834,0.124574356,2.5434792,68.92444,0
6bba_0e7c0d07,66751,3,10.092523976259063,160.31003050025546,64.56965929630573,0.114769176,3.825285,0.1601988,2.5401762,68.65625,0
6bba_0e7c0d07,66752,3,3.3989604695903473,149.99993532349433,132.8925389219441,0.102488205,2.4355104,0.05395175,2.5368643,68.38806,0
6bba_0e7c0d07,66753,4,25.926861888086307,229.84333752208894,29.399892549709925,0.092827365,2.2156153,0.4115375,2.5434792,68.92444,0
6bba_0e7c0d07,66754,4,11.866564572522686,196.94000662513528,155.1611949996223,0.08804045,2.7456944,0.18835817,2.5434792,68.92444,0
6bba_0e7c0d07,66755,4,5.799533568680107,151.61908480161117,94.17961757382896,0.12642263,1.9228238,0.09205609,2.5302145,67.851685,0
6bba_0e7c0d07,66756,4,9.869015466278341,157.9997850820861,66.89665509200255,0.11570276,3.8818188,0.15665105,2.5368643,68.38806,0
6bba_0e7c0d07,66757,4,7.2382448232514465,210.749546833491,230.1489436051863,0.09036786,2.8215945,0.11489278,2.5434792,68.92444,0
6bba_0e7c0d07,66758,4,24.836864958058964,236.66998457580198,73.82741502262898,0.08479915,2.7470322,0.39423594,2.5434792,68.92444,0
6bba_0e7c0d07,66759,4,4.122532237901225,134.10805105808262,39.99910718937444,0.12061929,2.7099316,0.06543702,2.5401762,68.65625,0
6bba_0e7c0d07,66760,4,2.1578059419538755,154.27880333315542,161.9891846636742,0.0890459,2.2619815,0.03425089,2.433201,60.342407,0
