dataset,node_id,t,z,y,x,mean_intensity,snr,z_depth_ratio,estimated_radius_um,volume_um3,local_density_r15
6bba_15403b9a,760718,0,43.0,5.0,230.0,2.1667695,4.4154215,0.6825397,2.5434792,68.92444,0
6bba_15403b9a,760719,0,47.0,6.0,25.0,1.680648,3.0533555,0.74603176,2.5434792,68.92444,0
6bba_15403b9a,760720,0,32.0,216.0,50.0,1.451676,3.449406,0.50793654,2.5434792,68.92444,0
6bba_15403b9a,760721,0,34.0,205.0,247.0,1.4432138,3.5052526,0.53968257,2.5434792,68.92444,0
6bba_15403b9a,760722,0,40.0,153.0,193.0,1.4508173,3.0410354,0.63492066,2.5434792,68.92444,0
6bba_15403b9a,760723,0,44.0,68.0,27.0,1.3652006,5.8597875,0.6984127,2.5401762,68.65625,0
6bba_15403b9a,760724,1,44.0,5.0,215.0,1.9940166,4.473364,0.6984127,2.5434792,68.92444,0
6bba_15403b9a,760725,1,28.0,224.0,148.0,1.6533915,4.4137993,0.44444445,2.5434792,68.92444,0
6bba_15403b9a,760726,1,47.0,8.0,21.0,1.6239825,3.0554345,0.74603176,2.5434792,68.92444,0
6bba_15403b9a,760727,1,39.0,155.0,36.0,1.4657704,3.7660801,0.61904764,2.5434792,68.92444,0
6bba_15403b9a,760728,1,40.0,151.0,187.0,1.500252,3.138266,0.63492066,2.5434792,68.92444,0
6bba_15403b9a,760729,1,32.0,159.0,248.0,1.4196742,3.1577113,0.50793654,2.5434792,68.92444,0
6bba_15403b9a,760730,1,33.0,208.0,243.0,1.4190755,3.2058551,0.52380955,2.5434792,68.92444,0
6bba_15403b9a,760731,1,29.0,211.0,6.0,1.3462313,4.353552,0.46031746,2.5401762,68.65625,0
6bba_15403b9a,760732,1,37.0,170.0,210.0,1.3824527,3.160484,0.5873016,2.5434792,68.92444,0
6bba_15403b9a,760733,1,27.0,234.0,8.0,1.3104899,5.1845093,0.42857143,2.5434792,68.92444,0
6bba_15403b9a,760734,1,32.0,215.0,45.0,1.3513267,3.8945947,0.50793654,2.5434792,68.92444,0
6bba_15403b9a,760735,1,28.0,242.0,50.0,1.3375826,3.2132638,0.44444445,2.5434792,68.92444,0
6bba_15403b9a,760736,1,37.0,181.0,85.0,1.3288773,3.7368097,0.5873016,2.5434792,68.92444,0
6bba_15403b9a,760737,1,35.0,194.0,20.0,1.3021349,4.5263634,0.5555556,2.5434792,68.92444,0
6bba_15403b9a,760738,1,39.0,81.0,44.0,1.2817193,2.4918454,0.61904764,2.5401762,68.65625,1
6bba_15403b9a,760739,1,32.0,201.0,144.0,1.2861426,3.8010347,0.50793654,2.5434792,68.92444,0
6bba_15403b9a,760740,1,44.0,68.0,22.0,1.2518529,5.213032,0.6984127,2.5434792,68.92444,0
6bba_15403b9a,760741,1,43.0,88.0,76.0,1.2680149,3.4293115,0.6825397,2.5401762,68.65625,0
6bba_15403b9a,760742,1,38.0,122.0,13.0,1.2339172,3.7641735,0.6031746,2.5434792,68.92444,0
