dataset,node_id,t,z,y,x,mean_intensity,snr,z_depth_ratio,estimated_radius_um,volume_um3,local_density_r15
6bba_20852818,75419,0,43.96720009714183,160.83636381033972,119.70302043079118,0.29722673,3.523711,0.69789207,2.5335438,68.11987,0
6bba_20852818,75420,0,49.94192585233569,200.98997359176434,152.1456083074658,0.28935897,3.7421749,0.79272896,2.5168092,66.77893,0
6bba_20852818,75421,0,59.09682602454791,192.23885868232702,209.77829997318807,0.14454176,1.7093446,0.93804485,2.5235295,67.31531,0
6bba_20852818,75422,0,44.870896371332044,228.8969718370921,149.24214317063667,0.3107447,2.6974123,0.71223646,2.458177,62.219727,0
6bba_20852818,75423,0,33.52160734579532,37.34006239970143,67.64073824843808,0.32009274,2.5999162,0.532089,2.499849,65.43799,0
6bba_20852818,75424,0,52.28292144850543,127.82018610321184,155.00708045639647,0.21704353,2.3036797,0.8298876,2.5434792,68.92444,0
6bba_20852818,75425,0,54.22044221673134,218.53490708495113,171.06742252868378,0.23990145,3.6816387,0.86064196,2.5335438,68.11987,0
6bba_20852818,75426,0,44.19257715694906,195.7931744960684,132.64725085047505,0.24632016,1.1908864,0.7014695,2.4895616,64.63342,0
6bba_20852818,75427,0,39.82486202539507,59.01214987698143,87.0074578243855,0.3909082,3.8070962,0.6321407,2.5066607,65.974365,0
6bba_20852818,75428,0,35.36933306013847,85.18758663958167,85.3951976100148,0.3272024,3.9174526,0.56141794,2.5368643,68.38806,0
6bba_20852818,75429,0,34.59586407479142,95.59835677887395,129.41484015764382,0.23585995,3.3545432,0.5491407,2.5235295,67.31531,0
6bba_20852818,75430,0,14.453234932422045,229.07045821661663,93.45377370144965,0.323125,3.0050502,0.22941643,2.5434792,68.92444,0
6bba_20852818,75431,0,40.73730357264125,31.570969416683177,84.85809602588465,0.3103709,3.4326453,0.6466239,2.5434792,68.92444,0
6bba_20852818,75432,0,36.0000006104214,67.37744444097032,119.7774698107619,0.243958,3.7021873,0.5714286,2.5032594,65.70618,0
6bba_20852818,75433,1,52.42245349368395,213.08998957837866,161.91279079710645,0.23367944,3.326231,0.8321025,2.5368643,68.38806,0
6bba_20852818,75434,1,29.624058290634228,197.34003782423068,105.09742137234119,0.31966102,3.3909452,0.47022313,2.5235295,67.31531,0
6bba_20852818,75435,1,13.002786890943957,225.00862700900527,89.65534205839245,0.3284836,3.0147707,0.20639344,2.5401762,68.65625,0
6bba_20852818,75436,1,47.82502780565902,196.2928403444753,144.99140763019238,0.28514272,3.0115862,0.75912744,2.4791882,63.828857,0
6bba_20852818,75437,1,27.103513595441793,237.6965087376565,118.02253469406193,0.34098658,3.6356618,0.4302145,2.5401762,68.65625,0
6bba_20852818,75438,1,41.70778770878001,159.50170213985666,114.68018180725394,0.30861747,4.150756,0.6620284,2.5401762,68.65625,0
