dataset,node_id,t,z,y,x,mean_intensity,snr,z_depth_ratio,estimated_radius_um,volume_um3,local_density_r15
6bba_23af9eeb,789838,0,56.0,219.0,192.0,1.7118298,2.580137,0.8888889,2.5434792,68.92444,0
6bba_23af9eeb,789839,0,23.0,44.0,117.0,1.6272523,4.3924184,0.36507937,2.5434792,68.92444,0
6bba_23af9eeb,789840,0,57.0,80.0,77.0,1.5254833,2.3056781,0.9047619,2.5434792,68.92444,0
6bba_23af9eeb,789841,0,39.0,176.0,137.0,1.4598688,2.3457453,0.61904764,2.5434792,68.92444,0
6bba_23af9eeb,789842,0,25.0,53.0,135.0,1.4161988,3.5055478,0.3968254,2.5434792,68.92444,0
6bba_23af9eeb,789843,0,29.0,130.0,208.0,1.2640922,3.86214,0.46031746,2.5434792,68.92444,0
6bba_23af9eeb,789844,0,5.0,188.0,182.0,1.2609671,2.8883784,0.07936508,2.5434792,68.92444,0
6bba_23af9eeb,789845,0,24.0,157.0,217.0,1.1732304,4.7036786,0.3809524,2.5434792,68.92444,0
6bba_23af9eeb,789846,0,23.0,80.0,155.0,1.1948603,3.711819,0.36507937,2.5434792,68.92444,0
6bba_23af9eeb,789847,0,43.0,98.0,216.0,1.176253,3.8330953,0.6825397,2.5434792,68.92444,0
6bba_23af9eeb,789848,0,12.0,162.0,188.0,1.1270235,3.4391775,0.1904762,2.5434792,68.92444,0
6bba_23af9eeb,789849,0,39.0,154.0,249.0,1.0909507,5.045192,0.61904764,2.5434792,68.92444,0
6bba_23af9eeb,789850,0,49.0,32.0,174.0,1.1164649,4.2032766,0.7777778,2.5434792,68.92444,0
6bba_23af9eeb,789851,0,27.0,193.0,245.0,1.1113566,4.2430778,0.42857143,2.5434792,68.92444,0
6bba_23af9eeb,789852,0,3.0,41.0,38.0,1.0908599,2.8079407,0.04761905,2.5401762,68.65625,0
6bba_23af9eeb,789853,0,14.0,234.0,232.0,1.0661341,3.8816383,0.22222222,2.5434792,68.92444,0
6bba_23af9eeb,789854,0,10.0,4.0,31.0,1.0722203,3.1779203,0.15873016,2.5434792,68.92444,0
6bba_23af9eeb,789855,0,36.0,28.0,141.0,1.0503649,4.2346563,0.5714286,2.5434792,68.92444,0
6bba_23af9eeb,789856,0,16.0,107.0,154.0,1.0714954,3.5408044,0.25396827,2.5434792,68.92444,0
