dataset,node_id,t,z,y,x,mean_intensity,snr,z_depth_ratio,estimated_radius_um,volume_um3,local_density_r15
6bba_283bf9f1,796675,0,30.0,69.0,211.0,1.4177098,3.7895234,0.47619048,2.5434792,68.92444,0
6bba_283bf9f1,796676,0,37.0,134.0,211.0,1.3199883,4.007559,0.5873016,2.5434792,68.92444,0
6bba_283bf9f1,796677,0,53.0,75.0,209.0,1.2436714,3.041325,0.84126985,2.5434792,68.92444,0
6bba_283bf9f1,796678,0,37.0,169.0,234.0,1.2460617,3.4872189,0.5873016,2.5434792,68.92444,1
6bba_283bf9f1,796679,0,37.0,121.0,236.0,1.2352544,3.0630789,0.5873016,2.5434792,68.92444,1
6bba_283bf9f1,796680,0,22.0,242.0,141.0,1.2005646,2.5840495,0.34920636,2.5401762,68.65625,2
6bba_283bf9f1,796681,0,29.0,161.0,212.0,1.2134309,4.006194,0.46031746,2.5434792,68.92444,0
6bba_283bf9f1,796682,0,30.0,192.0,193.0,1.222797,3.7386742,0.47619048,2.5434792,68.92444,0
6bba_283bf9f1,796683,0,22.0,11.0,191.0,1.1692775,4.0805397,0.34920636,2.5434792,68.92444,1
6bba_283bf9f1,796684,0,57.0,60.0,238.0,1.2046295,4.5251026,0.9047619,2.5434792,68.92444,0
6bba_283bf9f1,796685,0,22.0,100.0,205.0,1.2041231,4.108436,0.34920636,2.5434792,68.92444,2
6bba_283bf9f1,796686,0,13.0,38.0,132.0,1.172359,3.587636,0.20634921,2.5434792,68.92444,0
6bba_283bf9f1,796687,0,23.0,163.0,127.0,1.1593126,3.6635041,0.36507937,2.5434792,68.92444,0
6bba_283bf9f1,796688,0,33.0,96.0,235.0,1.1655242,3.5272055,0.52380955,2.5434792,68.92444,0
6bba_283bf9f1,796689,0,10.0,79.0,153.0,1.1596096,3.719458,0.15873016,2.5434792,68.92444,0
6bba_283bf9f1,796690,0,3.0,16.0,111.0,1.1363302,2.669943,0.04761905,2.5401762,68.65625,0
6bba_283bf9f1,796691,0,44.0,136.0,240.0,1.1391245,3.220047,0.6984127,2.5434792,68.92444,1
6bba_283bf9f1,796692,0,19.0,105.0,142.0,1.1298947,2.8555822,0.3015873,2.5434792,68.92444,1
6bba_283bf9f1,796693,0,17.0,241.0,150.0,1.1342664,2.0125768,0.26984128,2.5434792,68.92444,1
6bba_283bf9f1,796694,0,51.0,10.0,225.0,1.1110797,3.9317625,0.8095238,2.5401762,68.65625,0
6bba_283bf9f1,796695,0,24.0,205.0,164.0,1.1139129,3.628263,0.3809524,2.5434792,68.92444,0
6bba_283bf9f1,796696,0,31.0,64.0,228.0,1.1255574,3.113423,0.4920635,2.5434792,68.92444,0
6bba_283bf9f1,796697,0,12.0,124.0,154.0,1.1234835,3.060714,0.1904762,2.5434792,68.92444,0
6bba_283bf9f1,796698,0,39.0,219.0,193.0,1.1121361,3.308488,0.61904764,2.5434792,68.92444,0
6bba_283bf9f1,796699,0,39.0,9.0,252.0,1.1212292,3.1496603,0.61904764,2.5401762,68.65625,0
6bba_283bf9f1,796700,0,15.0,106.0,174.0,1.1111138,4.36951,0.23809524,2.5434792,68.92444,0
6bba_283bf9f1,796701,0,21.0,224.0,180.0,1.1078279,3.442149,0.33333334,2.5434792,68.92444,0
6bba_283bf9f1,796702,0,12.0,25.0,174.0,1.10424,2.6757092,0.1904762,2.5434792,68.92444,1
6bba_283bf9f1,796703,0,42.0,78.0,173.0,1.0853226,2.250873,0.6666667,2.5368643,68.38806,1
6bba_283bf9f1,796704,0,28.0,51.0,141.0,1.0849819,2.4949894,0.44444445,2.5434792,68.92444,1
6bba_283bf9f1,796705,0,25.0,47.0,148.0,1.0971327,2.726638,0.3968254,2.5434792,68.92444,1
6bba_283bf9f1,796706,0,31.0,142.0,178.0,1.080659,4.279305,0.4920635,2.5434792,68.92444,0
6bba_283bf9f1,796707,0,30.0,7.0,212.0,1.0729285,4.00281,0.47619048,2.5434792,68.92444,0
