dataset,node_id,t,z,y,x,mean_intensity,snr,z_depth_ratio,estimated_radius_um,volume_um3,local_density_r15
6bba_372c8cb8,818876,0,48.0,177.0,232.0,1.4297916,4.051126,0.7619048,2.5434792,68.92444,0
6bba_372c8cb8,818877,0,30.0,193.0,165.0,1.2755277,3.2930498,0.47619048,2.5434792,68.92444,2
6bba_372c8cb8,818878,0,42.0,196.0,225.0,1.253972,3.8976502,0.6666667,2.5434792,68.92444,0
6bba_372c8cb8,818879,0,45.0,146.0,54.0,1.251916,2.8080616,0.71428573,2.5434792,68.92444,0
6bba_372c8cb8,818880,0,53.0,156.0,238.0,1.2072647,2.9788413,0.84126985,2.5434792,68.92444,0
6bba_372c8cb8,818881,0,34.0,189.0,177.0,1.1971613,2.4567833,0.53968257,2.5434792,68.92444,2
6bba_372c8cb8,818882,0,59.0,70.0,163.0,1.2265726,2.269332,0.93650794,2.5434792,68.92444,0
6bba_372c8cb8,818883,0,47.0,105.0,147.0,1.1603363,2.5383701,0.74603176,2.5401762,68.65625,0
6bba_372c8cb8,818884,0,5.0,246.0,40.0,1.1177632,4.2037854,0.07936508,2.5401762,68.65625,0
6bba_372c8cb8,818885,0,35.0,181.0,171.0,1.1566222,2.5408847,0.5555556,2.5434792,68.92444,2
6bba_372c8cb8,818886,0,40.0,156.0,173.0,1.1558263,3.48443,0.63492066,2.5434792,68.92444,0
6bba_372c8cb8,818887,0,25.0,214.0,148.0,1.1387588,3.401634,0.3968254,2.5401762,68.65625,0
6bba_372c8cb8,818888,0,59.0,37.0,118.0,1.1116172,3.7321978,0.93650794,2.5434792,68.92444,0
6bba_372c8cb8,818889,0,34.0,105.0,71.0,1.0553075,3.111944,0.53968257,2.5401762,68.65625,0
6bba_372c8cb8,818890,0,38.0,251.0,156.0,1.041136,2.3793309,0.6031746,2.5434792,68.92444,0
6bba_372c8cb8,818891,0,31.0,86.0,17.0,1.0090569,2.8765426,0.4920635,2.5434792,68.92444,0
6bba_372c8cb8,818892,0,25.0,128.0,42.0,0.9917168,3.1128404,0.3968254,2.5434792,68.92444,0
6bba_372c8cb8,818893,0,46.0,142.0,191.0,0.99476033,2.7046976,0.73015875,2.5434792,68.92444,0
6bba_372c8cb8,818894,0,20.0,215.0,120.0,0.9753862,4.416137,0.31746033,2.5434792,68.92444,0
6bba_372c8cb8,818895,0,27.0,236.0,190.0,0.980331,3.3571377,0.42857143,2.5434792,68.92444,0
6bba_372c8cb8,818896,0,39.0,218.0,227.0,0.9717383,3.5464356,0.61904764,2.5434792,68.92444,0
6bba_372c8cb8,818897,0,17.0,161.0,31.0,0.95453805,2.9347332,0.26984128,2.5434792,68.92444,0
6bba_372c8cb8,818898,0,52.0,154.0,97.0,0.94533366,2.2741606,0.82539684,2.5434792,68.92444,0
6bba_372c8cb8,818899,0,16.0,247.0,126.0,0.9382885,2.9962223,0.25396827,2.5401762,68.65625,0
6bba_372c8cb8,818900,0,45.0,83.0,109.0,0.91547287,2.8543046,0.71428573,2.5434792,68.92444,0
6bba_372c8cb8,818901,0,25.0,196.0,131.0,0.8838875,3.7179053,0.3968254,2.5434792,68.92444,0
6bba_372c8cb8,818902,0,15.0,213.0,77.0,0.8810577,3.6517818,0.23809524,2.5401762,68.65625,0
6bba_372c8cb8,818903,0,50.0,67.0,114.0,0.9182069,3.365889,0.7936508,2.5434792,68.92444,0
6bba_372c8cb8,818904,0,50.0,10.0,15.0,0.87588435,3.9575677,0.7936508,2.5434792,68.92444,0
6bba_372c8cb8,818905,0,61.0,165.0,144.0,0.90660065,2.2714088,0.96825397,2.4687274,63.024292,0
6bba_372c8cb8,818906,0,17.0,230.0,18.0,0.8930477,2.070557,0.26984128,2.5434792,68.92444,0
6bba_372c8cb8,818907,0,27.0,172.0,115.0,0.8525822,4.6421037,0.42857143,2.5434792,68.92444,0
6bba_372c8cb8,818908,0,48.0,34.0,45.0,0.84062165,3.9347003,0.7619048,2.5434792,68.92444,0
6bba_372c8cb8,818909,0,23.0,158.0,76.0,0.84236085,2.778717,0.36507937,2.5434792,68.92444,0
6bba_372c8cb8,818910,1,49.0,175.0,231.0,1.415576,3.7520735,0.7777778,2.5434792,68.92444,0
6bba_372c8cb8,818911,1,30.0,194.0,163.0,1.259278,3.6159184,0.47619048,2.5434792,68.92444,1
6bba_372c8cb8,818912,1,43.0,194.0,222.0,1.2492999,3.5777833,0.6825397,2.5434792,68.92444,0
6bba_372c8cb8,818913,1,58.0,72.0,164.0,1.2108094,2.4481273,0.9206349,2.5434792,68.92444,0
6bba_372c8cb8,818914,1,34.0,189.0,175.0,1.2005366,2.3802412,0.53968257,2.5434792,68.92444,1
6bba_372c8cb8,818915,1,45.0,146.0,55.0,1.2143394,2.7085335,0.71428573,2.5434792,68.92444,0
6bba_372c8cb8,818916,1,53.0,157.0,239.0,1.1815085,2.9722254,0.84126985,2.5434792,68.92444,0
6bba_372c8cb8,818917,1,40.0,156.0,171.0,1.1814277,3.5524964,0.63492066,2.5434792,68.92444,0
6bba_372c8cb8,818918,1,26.0,213.0,150.0,1.1603658,3.32112,0.41269842,2.5401762,68.65625,0
6bba_372c8cb8,818919,1,47.0,103.0,144.0,1.1495254,2.5225773,0.74603176,2.5401762,68.65625,0
6bba_372c8cb8,818920,1,6.0,245.0,42.0,1.0594637,4.269325,0.0952381,2.5401762,68.65625,0
6bba_372c8cb8,818921,1,59.0,34.0,114.0,1.0712402,3.602,0.93650794,2.5434792,68.92444,0
6bba_372c8cb8,818922,1,31.0,85.0,15.0,1.0371493,2.8887043,0.4920635,2.5434792,68.92444,0
6bba_372c8cb8,818923,1,26.0,127.0,44.0,1.0205017,3.0431695,0.41269842,2.5434792,68.92444,0
6bba_372c8cb8,818924,1,33.0,106.0,67.0,1.0330002,2.9287102,0.52380955,2.5434792,68.92444,0
6bba_372c8cb8,818925,1,47.0,141.0,190.0,1.0262204,2.9203417,0.74603176,2.5434792,68.92444,0
6bba_372c8cb8,818926,1,39.0,249.0,157.0,1.0183425,2.3181002,0.61904764,2.5434792,68.92444,0
6bba_372c8cb8,818927,1,20.0,214.0,118.0,0.9741702,4.4551015,0.31746033,2.5434792,68.92444,0
6bba_372c8cb8,818928,1,50.0,68.0,113.0,0.9557246,3.2547252,0.7936508,2.5434792,68.92444,0
6bba_372c8cb8,818929,1,50.0,11.0,13.0,0.9154876,3.889667,0.7936508,2.5434792,68.92444,0
6bba_372c8cb8,818930,1,39.0,217.0,225.0,0.9475446,3.2511227,0.61904764,2.5434792,68.92444,0
6bba_372c8cb8,818931,1,27.0,240.0,188.0,0.9473603,3.1799324,0.42857143,2.5434792,68.92444,0
6bba_372c8cb8,818932,1,17.0,246.0,128.0,0.9215231,2.4715533,0.26984128,2.5434792,68.92444,0
6bba_372c8cb8,818933,1,18.0,158.0,30.0,0.9185238,2.9830575,0.2857143,2.5434792,68.92444,0
6bba_372c8cb8,818934,1,45.0,83.0,108.0,0.9053251,2.7884967,0.71428573,2.5434792,68.92444,0
6bba_372c8cb8,818935,1,15.0,212.0,75.0,0.8800112,3.788523,0.23809524,2.5401762,68.65625,0
