dataset,node_id,t,z,y,x,mean_intensity,snr,z_depth_ratio,estimated_radius_um,volume_um3,local_density_r15
6bba_4f99ce20,870032,0,25.0,167.0,11.0,1.9775573,3.500282,0.3968254,2.5401762,68.65625,0
6bba_4f99ce20,870033,0,18.0,239.0,30.0,1.912313,3.2285218,0.2857143,2.5434792,68.92444,0
6bba_4f99ce20,870034,0,21.0,213.0,27.0,1.3995517,3.2790432,0.33333334,2.5434792,68.92444,0
6bba_4f99ce20,870035,0,20.0,238.0,46.0,1.4370241,1.8324984,0.31746033,2.5434792,68.92444,0
6bba_4f99ce20,870036,0,39.0,59.0,30.0,1.3286002,2.9304655,0.61904764,2.5434792,68.92444,0
6bba_4f99ce20,870037,0,42.0,53.0,103.0,1.2308812,3.991831,0.6666667,2.5434792,68.92444,0
6bba_4f99ce20,870038,1,25.0,166.0,4.0,1.6570989,2.8235426,0.3968254,2.5401762,68.65625,0
6bba_4f99ce20,870039,1,17.0,238.0,18.0,1.4939883,2.9896808,0.26984128,2.5401762,68.65625,0
6bba_4f99ce20,870040,1,21.0,210.0,20.0,1.4796504,3.484599,0.33333334,2.5434792,68.92444,0
6bba_4f99ce20,870041,1,21.0,235.0,37.0,1.403867,2.1394455,0.33333334,2.5434792,68.92444,0
6bba_4f99ce20,870042,1,39.0,57.0,24.0,1.2120899,2.7337549,0.61904764,2.5434792,68.92444,0
6bba_4f99ce20,870043,1,42.0,49.0,97.0,1.1771628,4.446833,0.6666667,2.5434792,68.92444,0
6bba_4f99ce20,870044,1,46.0,16.0,50.0,1.0945654,4.0687914,0.73015875,2.5434792,68.92444,0
6bba_4f99ce20,870045,1,33.0,87.0,6.0,1.1290501,2.5894976,0.52380955,2.5434792,68.92444,0
6bba_4f99ce20,870046,1,25.0,172.0,51.0,1.1037399,2.49984,0.3968254,2.5401762,68.65625,0
6bba_4f99ce20,870047,1,21.0,233.0,79.0,1.1026057,2.6428967,0.33333334,2.5434792,68.92444,0
6bba_4f99ce20,870048,1,21.0,249.0,106.0,1.0606525,2.7662687,0.33333334,2.5368643,68.38806,0
6bba_4f99ce20,870049,1,39.0,150.0,222.0,1.0532392,2.9675355,0.61904764,2.5401762,68.65625,0
6bba_4f99ce20,870050,1,34.0,135.0,155.0,1.0581536,3.2998896,0.53968257,2.5401762,68.65625,0
6bba_4f99ce20,870051,1,47.0,20.0,90.0,1.0198333,3.6291666,0.74603176,2.5434792,68.92444,0
6bba_4f99ce20,870052,1,22.0,228.0,54.0,0.9928173,1.7734151,0.34920636,2.499849,65.43799,0
6bba_4f99ce20,870053,2,19.0,228.0,18.0,1.5986778,2.3853197,0.3015873,2.5434792,68.92444,0
6bba_4f99ce20,870054,2,43.0,43.0,81.0,1.4324968,4.819117,0.6825397,2.5401762,68.65625,0
6bba_4f99ce20,870055,2,40.0,45.0,4.0,1.3303151,3.0683942,0.63492066,2.5401762,68.65625,0
6bba_4f99ce20,870056,2,19.0,244.0,50.0,1.152922,2.603894,0.3015873,2.5434792,68.92444,0
6bba_4f99ce20,870057,2,21.0,226.0,56.0,1.1500268,2.69854,0.33333334,2.5434792,68.92444,0
6bba_4f99ce20,870058,2,20.0,213.0,31.0,1.1577075,2.351675,0.31746033,2.5401762,68.65625,0
6bba_4f99ce20,870059,2,34.0,129.0,138.0,1.0929425,3.4652398,0.53968257,2.5401762,68.65625,0
6bba_4f99ce20,870060,2,46.0,8.0,35.0,1.0448484,3.8328376,0.73015875,2.5434792,68.92444,0
6bba_4f99ce20,870061,2,24.0,210.0,113.0,1.0582274,2.4584787,0.3809524,2.5434792,68.92444,0
6bba_4f99ce20,870062,2,38.0,143.0,207.0,1.0473195,2.8641005,0.6031746,2.5401762,68.65625,0
6bba_4f99ce20,870063,2,24.0,165.0,35.0,1.0464159,2.6115386,0.3809524,2.5434792,68.92444,0
6bba_4f99ce20,870064,2,46.0,104.0,242.0,1.0460564,3.9247925,0.73015875,2.5401762,68.65625,0
6bba_4f99ce20,870065,2,20.0,239.0,85.0,1.0286666,2.3986197,0.31746033,2.5401762,68.65625,0
6bba_4f99ce20,870066,2,24.0,228.0,131.0,1.0312206,2.643217,0.3809524,2.5401762,68.65625,0
6bba_4f99ce20,870067,2,54.0,145.0,234.0,1.042737,2.0994813,0.85714287,2.5434792,68.92444,0
6bba_4f99ce20,870068,2,34.0,137.0,159.0,1.018773,2.5421307,0.53968257,2.5434792,68.92444,0
6bba_4f99ce20,870069,2,33.0,196.0,206.0,0.99730754,2.4369385,0.52380955,2.5401762,68.65625,0
6bba_4f99ce20,870070,2,47.0,14.0,74.0,0.9767459,3.354733,0.74603176,2.5434792,68.92444,0
6bba_4f99ce20,870071,3,19.0,230.0,13.0,1.7395577,2.9253492,0.3015873,2.5434792,68.92444,0
6bba_4f99ce20,870072,3,43.0,41.0,71.0,1.440786,4.2415404,0.6825397,2.5434792,68.92444,0
6bba_4f99ce20,870073,3,47.0,3.0,29.0,1.2732801,3.99467,0.74603176,2.5401762,68.65625,0
6bba_4f99ce20,870074,3,19.0,240.0,42.0,1.2501338,2.7501667,0.3015873,2.5434792,68.92444,0
6bba_4f99ce20,870075,3,34.0,122.0,129.0,1.2327161,3.9097958,0.53968257,2.5434792,68.92444,0
6bba_4f99ce20,870076,3,21.0,208.0,23.0,1.1604367,2.6577318,0.33333334,2.5434792,68.92444,0
6bba_4f99ce20,870077,3,23.0,205.0,102.0,1.1470301,2.8191102,0.36507937,2.5434792,68.92444,0
6bba_4f99ce20,870078,3,43.0,139.0,250.0,1.1042378,3.4012804,0.6825397,2.5368643,68.38806,0
6bba_4f99ce20,870079,3,34.0,133.0,152.0,1.0973408,2.7127335,0.53968257,2.5434792,68.92444,0
6bba_4f99ce20,870080,3,46.0,98.0,232.0,1.0720029,4.175366,0.73015875,2.5401762,68.65625,0
6bba_4f99ce20,870081,3,27.0,251.0,183.0,1.1001254,2.8009636,0.42857143,2.5434792,68.92444,0
6bba_4f99ce20,870082,3,24.0,225.0,120.0,1.0700296,2.5206363,0.3809524,2.5401762,68.65625,0
6bba_4f99ce20,870083,3,25.0,162.0,24.0,1.072805,2.5871477,0.3968254,2.5401762,68.65625,0
6bba_4f99ce20,870084,4,19.0,226.0,4.0,1.6550335,3.4962196,0.3015873,2.5434792,68.92444,0
6bba_4f99ce20,870085,4,42.0,39.0,69.0,1.2636049,3.7383504,0.6666667,2.5434792,68.92444,0
6bba_4f99ce20,870086,4,19.0,251.0,74.0,1.2767533,3.0760567,0.3015873,2.5434792,68.92444,0
6bba_4f99ce20,870087,4,19.0,238.0,36.0,1.2773064,2.6270058,0.3015873,2.5434792,68.92444,0
6bba_4f99ce20,870088,4,24.0,221.0,114.0,1.1895918,2.8725789,0.3809524,2.5368643,68.38806,0
6bba_4f99ce20,870089,4,44.0,137.0,245.0,1.1498331,2.8889277,0.6984127,2.5335438,68.11987,1
6bba_4f99ce20,870090,4,26.0,152.0,14.0,1.1915005,2.9556756,0.41269842,2.5434792,68.92444,0
6bba_4f99ce20,870091,4,21.0,216.0,46.0,1.1683387,2.7941077,0.33333334,2.5434792,68.92444,0
6bba_4f99ce20,870092,4,34.0,120.0,124.0,1.1307836,3.8188167,0.53968257,2.5401762,68.65625,0
6bba_4f99ce20,870093,4,21.0,203.0,13.0,1.1472697,2.5743074,0.33333334,2.5434792,68.92444,1
6bba_4f99ce20,870094,4,20.0,209.0,12.0,1.1369612,2.0104268,0.31746033,2.5368643,68.38806,1
6bba_4f99ce20,870095,4,24.0,201.0,96.0,1.1056578,2.7742732,0.3809524,2.5335438,68.11987,0
6bba_4f99ce20,870096,4,34.0,133.0,151.0,1.1241355,2.9705017,0.53968257,2.5434792,68.92444,0
6bba_4f99ce20,870097,4,44.0,130.0,248.0,1.0868202,2.5391834,0.6984127,2.5434792,68.92444,1
6bba_4f99ce20,870098,4,42.0,25.0,16.0,1.0513121,3.2377899,0.6666667,2.5401762,68.65625,0
6bba_4f99ce20,870099,4,46.0,94.0,225.0,1.0599608,3.9582973,0.73015875,2.5401762,68.65625,0
6bba_4f99ce20,870100,4,33.0,191.0,192.0,1.078614,2.4662182,0.52380955,2.5434792,68.92444,0
6bba_4f99ce20,870101,4,20.0,229.0,69.0,1.0476424,2.4995127,0.31746033,2.5401762,68.65625,0
6bba_4f99ce20,870102,4,27.0,248.0,177.0,1.066784,2.3560133,0.42857143,2.5335438,68.11987,0
6bba_4f99ce20,870103,5,42.0,37.0,60.0,1.304424,3.5228586,0.6666667,2.5401762,68.65625,0
6bba_4f99ce20,870104,5,21.0,212.0,38.0,1.2682797,3.1289916,0.33333334,2.5401762,68.65625,0
6bba_4f99ce20,870105,5,19.0,248.0,68.0,1.2511848,3.2776585,0.3015873,2.5434792,68.92444,0
6bba_4f99ce20,870106,5,43.0,137.0,240.0,1.2033857,3.3058045,0.6825397,2.5434792,68.92444,1
6bba_4f99ce20,870107,5,43.0,132.0,244.0,1.1949307,3.628207,0.6825397,2.5401762,68.65625,1
6bba_4f99ce20,870108,5,21.0,203.0,5.0,1.2267413,3.3225536,0.33333334,2.5434792,68.92444,0
6bba_4f99ce20,870109,5,26.0,149.0,8.0,1.2210155,3.2459583,0.41269842,2.5434792,68.92444,0
6bba_4f99ce20,870110,5,19.0,233.0,28.0,1.206152,2.6937487,0.3015873,2.5434792,68.92444,0
6bba_4f99ce20,870111,5,34.0,116.0,116.0,1.1543696,3.7509778,0.53968257,2.5434792,68.92444,0
6bba_4f99ce20,870112,5,34.0,131.0,146.0,1.1516588,3.350623,0.53968257,2.5434792,68.92444,0
