dataset,node_id,t,z,y,x,mean_intensity,snr,z_depth_ratio,estimated_radius_um,volume_um3,local_density_r15
6bba_55c70843,877780,0,40.0,6.0,238.0,1.2827845,5.269017,0.63492066,2.5434792,68.92444,0
6bba_55c70843,877781,0,49.0,18.0,249.0,1.0804987,4.575754,0.7777778,2.5434792,68.92444,0
6bba_55c70843,877782,0,49.0,12.0,226.0,1.0759102,4.762612,0.7777778,2.5434792,68.92444,0
6bba_55c70843,877783,0,40.0,6.0,201.0,0.98047376,3.020959,0.63492066,2.5434792,68.92444,0
6bba_55c70843,877784,0,53.0,9.0,186.0,0.9948135,2.8600988,0.84126985,2.5434792,68.92444,2
6bba_55c70843,877785,0,58.0,19.0,185.0,0.89919084,1.9005394,0.9206349,2.5434792,68.92444,1
6bba_55c70843,877786,0,47.0,9.0,174.0,0.8691733,2.1075537,0.74603176,2.5434792,68.92444,1
6bba_55c70843,877787,0,60.0,4.0,243.0,0.8755813,2.8989003,0.95238096,2.5335438,68.11987,0
6bba_55c70843,877788,0,50.0,13.0,152.0,0.82535243,2.5337389,0.7936508,2.5434792,68.92444,2
6bba_55c70843,877789,0,55.0,4.0,159.0,0.79538536,1.9690274,0.8730159,2.5401762,68.65625,1
6bba_55c70843,877790,0,59.0,5.0,144.0,0.7977506,1.7612345,0.93650794,2.5434792,68.92444,1
6bba_55c70843,877791,0,47.0,22.0,208.0,0.74283725,3.5537226,0.74603176,2.5434792,68.92444,0
6bba_55c70843,877792,1,40.0,10.0,243.0,1.2483519,4.175693,0.63492066,2.5434792,68.92444,0
6bba_55c70843,877793,1,45.0,12.0,195.0,1.0887619,3.135528,0.71428573,2.5434792,68.92444,2
6bba_55c70843,877794,1,49.0,21.0,251.0,1.058279,4.1381063,0.7777778,2.5434792,68.92444,0
6bba_55c70843,877795,1,40.0,9.0,204.0,0.97419536,1.8398371,0.63492066,2.5401762,68.65625,1
6bba_55c70843,877796,1,46.0,5.0,169.0,0.96278733,3.5336587,0.73015875,2.5434792,68.92444,1
6bba_55c70843,877797,1,48.0,15.0,228.0,0.9845415,3.584447,0.7619048,2.5434792,68.92444,0
6bba_55c70843,877798,1,58.0,22.0,189.0,0.9667604,2.1870193,0.9206349,2.5434792,68.92444,1
6bba_55c70843,877799,1,54.0,12.0,188.0,0.9185278,1.537139,0.85714287,2.5434792,68.92444,2
6bba_55c70843,877800,1,59.0,7.0,148.0,0.8694841,2.6300704,0.93650794,2.5434792,68.92444,1
6bba_55c70843,877801,1,52.0,16.0,150.0,0.8062475,1.9703016,0.82539684,2.5434792,68.92444,1
6bba_55c70843,877802,1,54.0,7.0,163.0,0.76518476,1.1980389,0.85714287,2.5434792,68.92444,1
6bba_55c70843,877803,1,48.0,24.0,211.0,0.7526106,3.725904,0.7619048,2.5434792,68.92444,0
6bba_55c70843,877804,2,41.0,12.0,249.0,1.2098485,3.9258804,0.6507937,2.5434792,68.92444,0
6bba_55c70843,877805,2,46.0,15.0,201.0,1.0908607,3.5528483,0.73015875,2.5401762,68.65625,2
6bba_55c70843,877806,2,53.0,19.0,236.0,1.0093142,2.7965517,0.84126985,2.5434792,68.92444,2
6bba_55c70843,877807,2,41.0,11.0,212.0,0.98180234,2.2463,0.6507937,2.5401762,68.65625,1
6bba_55c70843,877808,2,58.0,23.0,192.0,0.99069214,2.2509756,0.9206349,2.5434792,68.92444,1
6bba_55c70843,877809,2,47.0,7.0,170.0,0.93072474,4.157302,0.74603176,2.5434792,68.92444,1
6bba_55c70843,877810,2,58.0,10.0,151.0,0.89873326,2.9236042,0.9206349,2.5434792,68.92444,2
6bba_55c70843,877811,2,53.0,14.0,193.0,0.88952947,1.2075692,0.84126985,2.5401762,68.65625,2
6bba_55c70843,877812,2,60.0,9.0,246.0,0.8754293,2.1403832,0.95238096,2.5368643,68.38806,1
6bba_55c70843,877813,2,41.0,2.0,181.0,0.8568273,3.0138667,0.6507937,2.458177,62.219727,1
6bba_55c70843,877814,2,48.0,3.0,143.0,0.83247316,1.9808303,0.7619048,2.5401762,68.65625,1
6bba_55c70843,877815,2,61.0,23.0,244.0,0.8340684,1.1843406,0.96825397,2.4687274,63.024292,2
6bba_55c70843,877816,2,51.0,20.0,152.0,0.81521136,2.2889051,0.8095238,2.5434792,68.92444,1
6bba_55c70843,877817,2,48.0,27.0,216.0,0.7360287,3.105318,0.7619048,2.5434792,68.92444,0
6bba_55c70843,877818,2,61.0,20.0,228.0,0.7440027,0.8515965,0.96825397,2.4687274,63.024292,1
