dataset,node_id,t,z,y,x,mean_intensity,snr,z_depth_ratio,estimated_radius_um,volume_um3,local_density_r15
6bba_74686d6a,949306,0,16.0,239.0,120.0,1.8623443,5.207616,0.25396827,2.5434792,68.92444,3
6bba_74686d6a,949307,0,10.0,251.0,120.0,1.6187832,2.558847,0.15873016,2.5401762,68.65625,1
6bba_74686d6a,949308,0,9.0,245.0,102.0,1.4591364,2.6000383,0.14285715,2.5434792,68.92444,0
6bba_74686d6a,949309,0,12.0,248.0,143.0,1.3570548,3.0692408,0.1904762,2.5434792,68.92444,2
6bba_74686d6a,949310,0,10.0,234.0,166.0,1.3510053,3.4496117,0.15873016,2.5434792,68.92444,1
6bba_74686d6a,949311,0,11.0,234.0,185.0,1.3270081,2.6477864,0.17460318,2.5434792,68.92444,1
6bba_74686d6a,949312,0,13.0,200.0,156.0,1.266333,3.6296248,0.20634921,2.5434792,68.92444,1
6bba_74686d6a,949313,0,12.0,227.0,112.0,1.2283026,1.7680843,0.1904762,2.5401762,68.65625,1
6bba_74686d6a,949314,0,2.0,245.0,200.0,1.2610868,2.19441,0.031746034,2.4687274,63.024292,0
6bba_74686d6a,949315,0,8.0,227.0,188.0,1.2213959,1.7847128,0.12698413,2.5401762,68.65625,1
6bba_74686d6a,949316,0,9.0,210.0,129.0,1.1781453,2.4245071,0.14285715,2.5434792,68.92444,1
6bba_74686d6a,949317,0,11.0,205.0,202.0,1.1960711,2.7163897,0.17460318,2.5434792,68.92444,2
6bba_74686d6a,949318,0,4.0,240.0,223.0,1.1879638,2.290541,0.06349207,2.5434792,68.92444,1
6bba_74686d6a,949319,0,10.0,240.0,131.0,1.1513258,0.86129534,0.15873016,2.5201738,67.04712,2
6bba_74686d6a,949320,0,8.0,234.0,223.0,1.1754593,1.9095631,0.12698413,2.5434792,68.92444,1
6bba_74686d6a,949321,0,14.0,211.0,191.0,1.150178,2.4025412,0.22222222,2.5434792,68.92444,2
6bba_74686d6a,949322,0,15.0,207.0,162.0,1.129628,2.1866047,0.23809524,2.5434792,68.92444,1
6bba_74686d6a,949323,0,17.0,204.0,133.0,1.1462172,2.162083,0.26984128,2.5434792,68.92444,2
6bba_74686d6a,949324,0,24.0,36.0,128.0,1.0472609,4.165471,0.3809524,2.5335438,68.11987,0
6bba_74686d6a,949325,0,5.0,240.0,171.0,1.1180023,1.069231,0.07936508,2.5401762,68.65625,1
6bba_74686d6a,949326,0,10.0,238.0,147.0,1.0988107,1.4341232,0.15873016,2.5401762,68.65625,1
6bba_74686d6a,949327,0,9.0,200.0,192.0,1.0883547,1.595076,0.14285715,2.5434792,68.92444,2
6bba_74686d6a,949328,0,16.0,180.0,159.0,1.0757575,2.5925775,0.25396827,2.5434792,68.92444,0
6bba_74686d6a,949329,0,14.0,192.0,127.0,1.0726383,1.9525329,0.22222222,2.5401762,68.65625,1
6bba_74686d6a,949330,1,16.0,240.0,121.0,1.7145026,3.742409,0.25396827,2.5434792,68.92444,2
6bba_74686d6a,949331,1,11.0,251.0,120.0,1.6372043,2.6445587,0.17460318,2.5434792,68.92444,1
6bba_74686d6a,949332,1,8.0,247.0,105.0,1.5028914,2.5055797,0.12698413,2.5434792,68.92444,0
6bba_74686d6a,949333,1,13.0,248.0,143.0,1.3611395,2.8737407,0.20634921,2.5434792,68.92444,2
6bba_74686d6a,949334,1,10.0,237.0,165.0,1.363123,3.4448526,0.15873016,2.5434792,68.92444,2
6bba_74686d6a,949335,1,11.0,235.0,186.0,1.3187213,2.858496,0.17460318,2.5434792,68.92444,1
6bba_74686d6a,949336,1,14.0,198.0,157.0,1.2900856,3.5134408,0.22222222,2.5434792,68.92444,0
6bba_74686d6a,949337,1,3.0,249.0,201.0,1.2654473,2.1460981,0.04761905,2.5368643,68.38806,0
6bba_74686d6a,949338,1,10.0,240.0,132.0,1.2334609,1.356731,0.15873016,2.5401762,68.65625,2
6bba_74686d6a,949339,1,12.0,208.0,203.0,1.206221,2.5007298,0.1904762,2.5434792,68.92444,3
6bba_74686d6a,949340,1,14.0,192.0,126.0,1.177579,2.1158578,0.22222222,2.5401762,68.65625,3
6bba_74686d6a,949341,1,9.0,216.0,114.0,1.1530806,2.3315759,0.14285715,2.5401762,68.65625,1
6bba_74686d6a,949342,1,9.0,212.0,131.0,1.1523658,2.3524818,0.14285715,2.5434792,68.92444,2
6bba_74686d6a,949343,1,12.0,217.0,136.0,1.1344181,2.5888186,0.1904762,2.5368643,68.38806,1
6bba_74686d6a,949344,1,8.0,237.0,225.0,1.169747,1.9213725,0.12698413,2.5434792,68.92444,2
6bba_74686d6a,949345,1,5.0,242.0,170.0,1.1546061,1.2242434,0.07936508,2.5201738,67.04712,2
6bba_74686d6a,949346,1,17.0,201.0,132.0,1.1559429,2.1534958,0.26984128,2.5434792,68.92444,2
6bba_74686d6a,949347,1,4.0,243.0,224.0,1.148312,1.8485491,0.06349207,2.5434792,68.92444,1
6bba_74686d6a,949348,1,11.0,237.0,148.0,1.1445369,1.7101536,0.17460318,2.5434792,68.92444,1
6bba_74686d6a,949349,1,12.0,227.0,114.0,1.1223716,1.215959,0.1904762,2.5401762,68.65625,2
6bba_74686d6a,949350,1,15.0,213.0,194.0,1.1337156,2.0096505,0.23809524,2.5434792,68.92444,3
6bba_74686d6a,949351,1,9.0,251.0,168.0,1.1325306,1.7522413,0.14285715,2.5401762,68.65625,2
6bba_74686d6a,949352,1,10.0,202.0,194.0,1.1167583,1.6202134,0.15873016,2.5434792,68.92444,3
6bba_74686d6a,949353,1,12.0,218.0,163.0,1.0732757,2.9071887,0.1904762,2.5434792,68.92444,0
6bba_74686d6a,949354,1,11.0,180.0,198.0,1.0754789,3.1466851,0.17460318,2.5434792,68.92444,0
6bba_74686d6a,949355,1,4.0,247.0,17.0,1.0079803,8.260823,0.06349207,2.5434792,68.92444,0
6bba_74686d6a,949356,1,16.0,181.0,162.0,1.0640668,2.2093644,0.25396827,2.5434792,68.92444,2
6bba_74686d6a,949357,1,6.0,221.0,202.0,1.0770694,1.7583257,0.0952381,2.5434792,68.92444,2
6bba_74686d6a,949358,1,9.0,198.0,116.0,1.0657871,1.5957028,0.14285715,2.5434792,68.92444,1
6bba_74686d6a,949359,1,12.0,203.0,180.0,1.050346,2.3697007,0.1904762,2.5434792,68.92444,1
6bba_74686d6a,949360,1,5.0,226.0,224.0,1.0391505,1.4476665,0.07936508,2.5335438,68.11987,1
6bba_74686d6a,949361,1,12.0,175.0,161.0,1.0360252,2.3497324,0.1904762,2.5434792,68.92444,1
6bba_74686d6a,949362,1,5.0,179.0,115.0,1.0341004,1.5700076,0.07936508,2.5434792,68.92444,1
6bba_74686d6a,949363,1,11.0,181.0,182.0,1.0187026,2.2278032,0.17460318,2.5434792,68.92444,1
6bba_74686d6a,949364,1,15.0,222.0,180.0,1.013467,1.5008687,0.23809524,2.5401762,68.65625,1
6bba_74686d6a,949365,1,16.0,187.0,170.0,1.01032,1.7710792,0.25396827,2.5434792,68.92444,2
6bba_74686d6a,949366,1,8.0,179.0,129.0,1.0102518,1.6190215,0.12698413,2.5434792,68.92444,2
6bba_74686d6a,949367,1,10.0,232.0,103.0,0.9980567,0.6734973,0.15873016,2.5066607,65.974365,1
6bba_74686d6a,949368,2,16.0,241.0,121.0,1.6911769,3.7582786,0.25396827,2.5434792,68.92444,2
6bba_74686d6a,949369,2,11.0,253.0,121.0,1.6280079,3.1283672,0.17460318,2.4687274,63.024292,1
6bba_74686d6a,949370,2,9.0,234.0,153.0,1.4000858,2.746621,0.14285715,2.5401762,68.65625,1
6bba_74686d6a,949371,2,14.0,248.0,144.0,1.3940517,2.9891586,0.22222222,2.5434792,68.92444,0
6bba_74686d6a,949372,2,10.0,246.0,103.0,1.3936123,2.3978558,0.15873016,2.5434792,68.92444,0
6bba_74686d6a,949373,2,11.0,236.0,164.0,1.3719699,3.074497,0.17460318,2.5434792,68.92444,2
6bba_74686d6a,949374,2,12.0,236.0,186.0,1.3012626,3.098138,0.1904762,2.5434792,68.92444,1
6bba_74686d6a,949375,2,13.0,200.0,158.0,1.3076957,3.321067,0.20634921,2.5434792,68.92444,0
6bba_74686d6a,949376,2,4.0,249.0,203.0,1.2407142,2.4568527,0.06349207,2.5434792,68.92444,0
6bba_74686d6a,949377,2,10.0,217.0,116.0,1.2008119,3.0336237,0.15873016,2.5434792,68.92444,1
6bba_74686d6a,949378,2,10.0,237.0,132.0,1.2044386,1.8011552,0.15873016,2.5434792,68.92444,1
6bba_74686d6a,949379,2,12.0,210.0,200.0,1.1795872,2.4414468,0.1904762,2.5434792,68.92444,1
6bba_74686d6a,949380,2,13.0,194.0,193.0,1.1465452,2.8344004,0.20634921,2.5434792,68.92444,2
