dataset,node_id,t,z,y,x,mean_intensity,snr,z_depth_ratio,estimated_radius_um,volume_um3,local_density_r15
6bba_7b5d3b2c,1013170,0,13.0,122.0,225.0,1.7993734,3.1510851,0.20634921,2.5434792,68.92444,0
6bba_7b5d3b2c,1013171,0,24.0,103.0,190.0,1.5305107,2.5663984,0.3809524,2.5434792,68.92444,0
6bba_7b5d3b2c,1013172,0,36.0,50.0,172.0,1.5499322,2.6117606,0.5714286,2.5434792,68.92444,0
6bba_7b5d3b2c,1013173,0,16.0,151.0,185.0,1.15974,2.9021225,0.25396827,2.5434792,68.92444,0
6bba_7b5d3b2c,1013174,0,23.0,13.0,248.0,1.1464037,2.6920555,0.36507937,2.5434792,68.92444,1
6bba_7b5d3b2c,1013175,0,31.0,18.0,217.0,1.1045943,4.171896,0.4920635,2.5434792,68.92444,0
6bba_7b5d3b2c,1013176,0,24.0,21.0,246.0,1.0736308,2.2569823,0.3809524,2.5434792,68.92444,1
6bba_7b5d3b2c,1013177,0,13.0,87.0,244.0,1.0550953,4.7754307,0.20634921,2.5434792,68.92444,0
6bba_7b5d3b2c,1013178,1,15.0,118.0,224.0,1.7359731,3.0704236,0.23809524,2.5434792,68.92444,0
6bba_7b5d3b2c,1013179,1,40.0,47.0,160.0,1.6919613,2.6438377,0.63492066,2.5434792,68.92444,0
6bba_7b5d3b2c,1013180,1,19.0,55.0,248.0,1.5675539,3.2049644,0.3015873,2.5434792,68.92444,0
6bba_7b5d3b2c,1013181,1,27.0,98.0,184.0,1.468704,2.4319515,0.42857143,2.5434792,68.92444,0
6bba_7b5d3b2c,1013182,1,28.0,16.0,240.0,1.284466,3.0501635,0.44444445,2.5401762,68.65625,0
6bba_7b5d3b2c,1013183,1,17.0,149.0,182.0,1.2669982,3.234703,0.26984128,2.5434792,68.92444,0
6bba_7b5d3b2c,1013184,1,15.0,86.0,240.0,1.1635723,4.9671564,0.23809524,2.5434792,68.92444,0
6bba_7b5d3b2c,1013185,1,33.0,20.0,211.0,1.12571,4.2702236,0.52380955,2.5434792,68.92444,0
6bba_7b5d3b2c,1013186,1,25.0,58.0,216.0,1.1224339,3.048693,0.3968254,2.5434792,68.92444,0
6bba_7b5d3b2c,1013187,1,7.0,168.0,213.0,1.1002393,3.449061,0.11111111,2.5434792,68.92444,0
6bba_7b5d3b2c,1013188,2,16.0,118.0,221.0,1.6507279,2.9964473,0.25396827,2.5434792,68.92444,0
6bba_7b5d3b2c,1013189,2,40.0,44.0,160.0,1.5734044,2.5400934,0.63492066,2.5434792,68.92444,0
