dataset,node_id,t,z,y,x,mean_intensity,snr,z_depth_ratio,estimated_radius_um,volume_um3,local_density_r15
6bba_80d12824,1018242,0,21.0,146.0,16.0,2.0725577,3.0675952,0.33333334,2.5434792,68.92444,1
6bba_80d12824,1018243,0,16.0,173.0,34.0,1.9016515,6.077492,0.25396827,2.5434792,68.92444,0
6bba_80d12824,1018244,0,39.0,99.0,9.0,1.7558916,4.2083898,0.61904764,2.5401762,68.65625,0
6bba_80d12824,1018245,0,48.0,170.0,104.0,1.7505026,4.0588193,0.7619048,2.5434792,68.92444,0
6bba_80d12824,1018246,0,37.0,151.0,52.0,1.738458,5.6639953,0.5873016,2.5434792,68.92444,0
6bba_80d12824,1018247,0,14.0,196.0,55.0,1.705242,4.6202383,0.22222222,2.5401762,68.65625,0
6bba_80d12824,1018248,0,25.0,133.0,14.0,1.5840242,2.2892196,0.3968254,2.5268764,67.583496,2
6bba_80d12824,1018249,0,27.0,180.0,61.0,1.4901975,2.6428072,0.42857143,2.5434792,68.92444,1
6bba_80d12824,1018250,0,36.0,122.0,25.0,1.3652384,3.2798262,0.5714286,2.5302145,67.851685,0
6bba_80d12824,1018251,0,16.0,212.0,74.0,1.3931547,2.1567876,0.25396827,2.5434792,68.92444,2
6bba_80d12824,1018252,0,26.0,159.0,40.0,1.3845221,3.1771357,0.41269842,2.5302145,67.851685,0
6bba_80d12824,1018253,0,21.0,181.0,55.0,1.3980186,2.4258854,0.33333334,2.5434792,68.92444,1
6bba_80d12824,1018254,0,55.0,174.0,127.0,1.3538151,4.4370213,0.8730159,2.5434792,68.92444,0
6bba_80d12824,1018255,0,11.0,216.0,68.0,1.3379914,2.1783955,0.17460318,2.5434792,68.92444,1
6bba_80d12824,1018256,0,54.0,149.0,96.0,1.2711647,3.8057745,0.85714287,2.5401762,68.65625,0
6bba_80d12824,1018257,0,21.0,206.0,77.0,1.2828556,2.0470612,0.33333334,2.5201738,67.04712,1
6bba_80d12824,1018258,0,39.0,129.0,44.0,1.2316157,4.9759707,0.61904764,2.5368643,68.38806,0
6bba_80d12824,1018259,0,30.0,123.0,9.0,1.284946,1.7653408,0.47619048,2.5434792,68.92444,1
6bba_80d12824,1018260,0,45.0,190.0,119.0,1.2140826,3.8571942,0.71428573,2.5368643,68.38806,1
6bba_80d12824,1018261,0,38.0,199.0,110.0,1.2481396,3.4950042,0.6031746,2.5434792,68.92444,1
6bba_80d12824,1018262,0,42.0,158.0,73.0,1.2455308,3.254697,0.6666667,2.5401762,68.65625,0
6bba_80d12824,1018263,0,30.0,148.0,30.0,1.219252,1.3348517,0.47619048,2.5268764,67.583496,0
6bba_80d12824,1018264,0,30.0,222.0,122.0,1.1959797,2.7554307,0.47619048,2.5335438,68.11987,0
6bba_80d12824,1018265,0,6.0,248.0,103.0,1.2040427,3.5836644,0.0952381,2.5401762,68.65625,0
6bba_80d12824,1018266,1,19.0,145.0,7.0,2.0276783,2.8763478,0.3015873,2.5401762,68.65625,0
6bba_80d12824,1018267,1,47.0,164.0,94.0,1.764181,3.8201625,0.74603176,2.5434792,68.92444,0
6bba_80d12824,1018268,1,37.0,98.0,2.0,1.6990535,4.3754554,0.5873016,2.4687274,63.024292,0
6bba_80d12824,1018269,1,13.0,172.0,26.0,1.6873691,6.028964,0.20634921,2.5434792,68.92444,0
6bba_80d12824,1018270,1,35.0,149.0,42.0,1.6448373,4.9926677,0.5555556,2.5434792,68.92444,0
