dataset,node_id,t,z,y,x,mean_intensity,snr,z_depth_ratio,estimated_radius_um,volume_um3,local_density_r15
6bba_9e23430b,1044205,0,48.0,154.0,208.0,0.40157047,3.6925004,0.7619048,2.5434792,68.92444,0
6bba_9e23430b,1044206,0,25.0,133.0,250.0,0.40279594,3.3737257,0.3968254,2.5434792,68.92444,0
6bba_9e23430b,1044207,0,48.0,196.0,158.0,0.38653508,4.3666162,0.7619048,2.5434792,68.92444,0
6bba_9e23430b,1044208,0,60.0,29.0,198.0,0.40072954,2.2525573,0.95238096,2.5401762,68.65625,0
6bba_9e23430b,1044209,0,33.0,181.0,198.0,0.36565924,4.8157496,0.52380955,2.5434792,68.92444,0
6bba_9e23430b,1044210,0,59.0,118.0,225.0,0.36215845,3.8160555,0.93650794,2.5434792,68.92444,0
6bba_9e23430b,1044211,0,44.0,122.0,243.0,0.33399227,3.526328,0.6984127,2.5434792,68.92444,0
6bba_9e23430b,1044212,0,19.0,222.0,162.0,0.3141994,4.51054,0.3015873,2.5434792,68.92444,0
6bba_9e23430b,1044213,0,57.0,218.0,46.0,0.29953086,2.050528,0.9047619,2.5434792,68.92444,1
6bba_9e23430b,1044214,0,58.0,167.0,176.0,0.28171477,4.1054235,0.9206349,2.5434792,68.92444,0
6bba_9e23430b,1044215,0,54.0,225.0,45.0,0.29028916,1.9205363,0.85714287,2.5434792,68.92444,1
6bba_9e23430b,1044216,0,45.0,175.0,117.0,0.2892627,2.4876757,0.71428573,2.5434792,68.92444,0
6bba_9e23430b,1044217,0,45.0,61.0,207.0,0.28285828,2.109926,0.71428573,2.5434792,68.92444,0
6bba_9e23430b,1044218,0,31.0,224.0,149.0,0.26923183,4.5866346,0.4920635,2.5434792,68.92444,0
6bba_9e23430b,1044219,0,22.0,162.0,227.0,0.27013138,4.2477913,0.34920636,2.5434792,68.92444,0
6bba_9e23430b,1044220,0,12.0,155.0,239.0,0.2566415,3.3119485,0.1904762,2.5335438,68.11987,0
6bba_9e23430b,1044221,0,19.0,84.0,219.0,0.27476788,2.3759983,0.3015873,2.5434792,68.92444,0
6bba_9e23430b,1044222,0,5.0,240.0,143.0,0.264047,3.1181698,0.07936508,2.5434792,68.92444,0
6bba_9e23430b,1044223,1,45.0,159.0,208.0,0.39486945,3.711045,0.71428573,2.5434792,68.92444,0
6bba_9e23430b,1044224,1,47.0,199.0,159.0,0.38671267,4.433867,0.74603176,2.5434792,68.92444,0
6bba_9e23430b,1044225,1,24.0,135.0,251.0,0.37027818,3.2585747,0.3809524,2.5434792,68.92444,0
6bba_9e23430b,1044226,1,59.0,31.0,199.0,0.3899949,2.2891865,0.93650794,2.5434792,68.92444,0
6bba_9e23430b,1044227,1,57.0,122.0,226.0,0.37172803,3.9531047,0.9047619,2.5434792,68.92444,0
6bba_9e23430b,1044228,1,30.0,186.0,196.0,0.3557111,4.4084253,0.47619048,2.5434792,68.92444,0
6bba_9e23430b,1044229,1,42.0,127.0,242.0,0.33568996,3.5476067,0.6666667,2.5434792,68.92444,0
6bba_9e23430b,1044230,1,17.0,222.0,165.0,0.30455765,4.6444836,0.26984128,2.5434792,68.92444,0
6bba_9e23430b,1044231,1,53.0,226.0,46.0,0.3066573,2.2663536,0.84126985,2.5434792,68.92444,0
6bba_9e23430b,1044232,1,43.0,175.0,116.0,0.30282676,2.617227,0.6825397,2.5434792,68.92444,0
6bba_9e23430b,1044233,1,20.0,164.0,227.0,0.27679145,4.541483,0.31746033,2.5434792,68.92444,0
6bba_9e23430b,1044234,1,28.0,227.0,148.0,0.27258235,4.892279,0.44444445,2.5434792,68.92444,0
6bba_9e23430b,1044235,1,9.0,157.0,239.0,0.26718092,3.7088575,0.14285715,2.5335438,68.11987,0
6bba_9e23430b,1044236,1,43.0,61.0,208.0,0.28487992,2.2063236,0.6825397,2.5434792,68.92444,0
6bba_9e23430b,1044237,1,57.0,168.0,179.0,0.26881224,3.8998582,0.9047619,2.5434792,68.92444,0
6bba_9e23430b,1044238,1,18.0,84.0,218.0,0.27716613,2.319109,0.2857143,2.5434792,68.92444,0
6bba_9e23430b,1044239,1,2.0,241.0,144.0,0.2687979,3.0413682,0.031746034,2.4687274,63.024292,0
6bba_9e23430b,1044240,1,36.0,219.0,81.0,0.2715481,2.56279,0.5714286,2.5434792,68.92444,0
6bba_9e23430b,1044241,2,39.0,165.0,202.0,0.38987,3.9685194,0.61904764,2.5434792,68.92444,0
6bba_9e23430b,1044242,2,54.0,131.0,218.0,0.37253395,3.9571028,0.85714287,2.5434792,68.92444,0
6bba_9e23430b,1044243,2,23.0,141.0,245.0,0.34930474,2.995211,0.36507937,2.5434792,68.92444,0
6bba_9e23430b,1044244,2,44.0,203.0,155.0,0.3521947,4.2265353,0.6984127,2.5434792,68.92444,0
6bba_9e23430b,1044245,2,25.0,191.0,189.0,0.3546476,6.003646,0.3968254,2.5434792,68.92444,0
6bba_9e23430b,1044246,2,55.0,49.0,192.0,0.3708343,1.9925932,0.8730159,2.5434792,68.92444,1
6bba_9e23430b,1044247,2,57.0,37.0,197.0,0.37330082,2.1118796,0.9047619,2.5434792,68.92444,1
6bba_9e23430b,1044248,2,25.0,227.0,147.0,0.3199677,5.632913,0.3968254,2.5434792,68.92444,0
6bba_9e23430b,1044249,2,52.0,178.0,170.0,0.31908762,4.291546,0.82539684,2.5434792,68.92444,0
6bba_9e23430b,1044250,2,37.0,135.0,234.0,0.31594586,3.4186854,0.5873016,2.5434792,68.92444,0
6bba_9e23430b,1044251,2,61.0,207.0,119.0,0.30730915,4.10641,0.96825397,2.4687274,63.024292,0
6bba_9e23430b,1044252,2,41.0,175.0,117.0,0.30786914,2.6266167,0.6507937,2.5434792,68.92444,0
6bba_9e23430b,1044253,2,51.0,229.0,45.0,0.302376,2.6127553,0.8095238,2.5434792,68.92444,0
6bba_9e23430b,1044254,2,35.0,221.0,80.0,0.29045308,2.7136214,0.5555556,2.5434792,68.92444,0
6bba_9e23430b,1044255,2,11.0,223.0,161.0,0.26897228,4.0796165,0.17460318,2.5434792,68.92444,0
