dataset,node_id,t,z,y,x,mean_intensity,snr,z_depth_ratio,estimated_radius_um,volume_um3,local_density_r15
6bba_a90a0b9c,1048864,0,55.0,3.0,90.0,1.0028026,2.4304256,0.8730159,2.5401762,68.65625,0
6bba_a90a0b9c,1048865,0,54.0,2.0,68.0,0.9589633,3.0820124,0.85714287,2.4687274,63.024292,0
6bba_a90a0b9c,1048866,0,7.0,47.0,38.0,0.91194904,2.4353392,0.11111111,2.5401762,68.65625,1
6bba_a90a0b9c,1048867,0,46.0,14.0,74.0,0.8855617,3.1066208,0.73015875,2.5434792,68.92444,0
6bba_a90a0b9c,1048868,0,2.0,63.0,43.0,0.890331,2.4882677,0.031746034,2.4687274,63.024292,1
6bba_a90a0b9c,1048869,0,8.0,11.0,21.0,0.8567639,1.2422843,0.12698413,2.5268764,67.583496,1
6bba_a90a0b9c,1048870,0,45.0,10.0,53.0,0.83321786,1.9720988,0.71428573,2.5434792,68.92444,0
6bba_a90a0b9c,1048871,0,13.0,31.0,27.0,0.8342748,1.7932917,0.20634921,2.5434792,68.92444,1
6bba_a90a0b9c,1048872,0,21.0,17.0,57.0,0.8154665,1.8972212,0.33333334,2.5268764,67.583496,1
6bba_a90a0b9c,1048873,0,8.0,7.0,8.0,0.82383937,0.7909577,0.12698413,2.499849,65.43799,1
6bba_a90a0b9c,1048874,0,23.0,7.0,63.0,0.8090775,1.4719405,0.36507937,2.5401762,68.65625,2
6bba_a90a0b9c,1048875,0,24.0,8.0,73.0,0.80373305,2.0474958,0.3809524,2.5434792,68.92444,1
6bba_a90a0b9c,1048876,0,9.0,61.0,43.0,0.79576886,1.069254,0.14285715,2.5401762,68.65625,3
6bba_a90a0b9c,1048877,0,44.0,2.0,13.0,0.7661438,2.3478441,0.6984127,2.4687274,63.024292,1
6bba_a90a0b9c,1048878,0,35.0,17.0,10.0,0.74415505,2.1204152,0.5555556,2.5401762,68.65625,1
6bba_a90a0b9c,1048879,0,7.0,37.0,24.0,0.7463439,0.8033131,0.11111111,2.493,64.90161,1
6bba_a90a0b9c,1048880,0,58.0,13.0,21.0,0.70400065,1.9841844,0.9206349,2.5201738,67.04712,1
6bba_a90a0b9c,1048881,0,2.0,66.0,63.0,0.7293566,2.8210282,0.031746034,2.4687274,63.024292,0
6bba_a90a0b9c,1048882,0,57.0,2.0,12.0,0.65622026,1.5043821,0.9047619,2.4223385,59.53784,2
6bba_a90a0b9c,1048883,0,7.0,56.0,9.0,0.6775509,1.2700907,0.11111111,2.475711,63.56067,2
6bba_a90a0b9c,1048884,0,41.0,14.0,34.0,0.6838083,1.5239006,0.6507937,2.5434792,68.92444,1
6bba_a90a0b9c,1048885,0,6.0,91.0,4.0,0.64413595,2.151463,0.0952381,2.5168092,66.77893,0
6bba_a90a0b9c,1048886,0,13.0,56.0,70.0,0.6541185,1.927077,0.20634921,2.5401762,68.65625,0
