dataset,node_id,t,z,y,x,mean_intensity,snr,z_depth_ratio,estimated_radius_um,volume_um3,local_density_r15
6bba_df673a83,1153159,0,57.0,62.0,98.0,1.6427593,3.9979932,0.9047619,2.5434792,68.92444,1
6bba_df673a83,1153160,0,50.0,40.0,233.0,1.6013796,4.3945556,0.7936508,2.5434792,68.92444,0
6bba_df673a83,1153161,0,42.0,85.0,146.0,1.5041319,4.9660716,0.6666667,2.5434792,68.92444,0
6bba_df673a83,1153162,0,57.0,34.0,216.0,1.4672287,4.1387467,0.9047619,2.5434792,68.92444,0
6bba_df673a83,1153163,0,35.0,95.0,108.0,1.4905512,3.6309166,0.5555556,2.5434792,68.92444,1
6bba_df673a83,1153164,0,56.0,67.0,47.0,1.4664519,3.336795,0.8888889,2.5434792,68.92444,1
6bba_df673a83,1153165,0,25.0,121.0,100.0,1.4584924,4.3282113,0.3968254,2.5434792,68.92444,1
6bba_df673a83,1153166,0,58.0,24.0,240.0,1.3592376,5.663213,0.9206349,2.5434792,68.92444,0
6bba_df673a83,1153167,0,32.0,109.0,180.0,1.354855,2.5719707,0.50793654,2.5434792,68.92444,1
6bba_df673a83,1153168,0,24.0,129.0,18.0,1.3402851,2.5699944,0.3809524,2.5434792,68.92444,1
6bba_df673a83,1153169,0,42.0,92.0,103.0,1.3394511,2.306096,0.6666667,2.5434792,68.92444,1
6bba_df673a83,1153170,0,25.0,115.0,187.0,1.3198406,2.3358548,0.3968254,2.5434792,68.92444,1
6bba_df673a83,1153171,0,32.0,105.0,80.0,1.3249179,3.8428495,0.50793654,2.5434792,68.92444,0
6bba_df673a83,1153172,0,50.0,66.0,158.0,1.318802,3.3674932,0.7936508,2.5434792,68.92444,0
6bba_df673a83,1153173,0,49.0,65.0,121.0,1.2939546,3.4979026,0.7777778,2.5434792,68.92444,2
6bba_df673a83,1153174,0,50.0,51.0,143.0,1.2935336,4.185096,0.7936508,2.5434792,68.92444,1
6bba_df673a83,1153175,0,37.0,58.0,101.0,1.2943186,4.125727,0.5873016,2.5434792,68.92444,0
6bba_df673a83,1153176,0,32.0,105.0,133.0,1.2750103,5.021797,0.50793654,2.5434792,68.92444,0
6bba_df673a83,1153177,0,42.0,80.0,190.0,1.2786938,2.2616897,0.6666667,2.5434792,68.92444,1
6bba_df673a83,1153178,0,49.0,72.0,87.0,1.2314273,3.3582327,0.7777778,2.5434792,68.92444,1
6bba_df673a83,1153179,0,49.0,71.0,94.0,1.2176135,2.1226583,0.7777778,2.5434792,68.92444,2
6bba_df673a83,1153180,0,60.0,40.0,184.0,1.2518871,3.1770332,0.95238096,2.5401762,68.65625,1
6bba_df673a83,1153181,0,19.0,142.0,29.0,1.2213745,3.4731443,0.3015873,2.5434792,68.92444,0
6bba_df673a83,1153182,0,50.0,79.0,53.0,1.215921,3.125495,0.7936508,2.5434792,68.92444,1
6bba_df673a83,1153183,0,38.0,75.0,198.0,1.1929786,1.981342,0.6031746,2.5434792,68.92444,1
6bba_df673a83,1153184,0,59.0,45.0,110.0,1.1739813,2.4764504,0.93650794,2.5401762,68.65625,0
6bba_df673a83,1153185,0,57.0,58.0,12.0,1.1761848,3.6192942,0.9047619,2.5434792,68.92444,0
6bba_df673a83,1153186,0,61.0,30.0,128.0,1.1792841,4.969524,0.96825397,2.4687274,63.024292,0
6bba_df673a83,1153187,0,7.0,124.0,96.0,1.1750809,4.0016217,0.11111111,2.5434792,68.92444,0
6bba_df673a83,1153188,0,56.0,56.0,210.0,1.149976,3.5189018,0.8888889,2.5434792,68.92444,0
6bba_df673a83,1153189,0,60.0,49.0,197.0,1.1606044,2.248115,0.95238096,2.5368643,68.38806,1
6bba_df673a83,1153190,0,8.0,117.0,142.0,1.1335745,3.5934112,0.12698413,2.5434792,68.92444,0
6bba_df673a83,1153191,0,34.0,120.0,23.0,1.1098963,2.0884004,0.53968257,2.5368643,68.38806,1
6bba_df673a83,1153192,0,7.0,133.0,229.0,1.1154765,3.98112,0.11111111,2.5434792,68.92444,0
6bba_df673a83,1153193,0,57.0,66.0,133.0,1.096009,2.6150033,0.9047619,2.5434792,68.92444,1
6bba_df673a83,1153194,0,31.0,104.0,160.0,1.118559,3.0815713,0.4920635,2.5434792,68.92444,0
6bba_df673a83,1153195,0,39.0,88.0,249.0,1.0689867,2.8841217,0.61904764,2.5434792,68.92444,0
6bba_df673a83,1153196,0,51.0,73.0,2.0,1.065113,3.3115015,0.8095238,2.4652207,62.756104,0
6bba_df673a83,1153197,0,8.0,137.0,167.0,1.078651,4.002345,0.12698413,2.5434792,68.92444,0
6bba_df673a83,1153198,0,57.0,51.0,158.0,1.0726333,2.5994925,0.9047619,2.5434792,68.92444,0
6bba_df673a83,1153199,0,27.0,131.0,73.0,1.080327,3.6033742,0.42857143,2.5434792,68.92444,0
6bba_df673a83,1153200,0,41.0,95.0,174.0,1.0639051,3.168129,0.6507937,2.5434792,68.92444,0
6bba_df673a83,1153201,0,27.0,133.0,101.0,1.069236,1.6041348,0.42857143,2.5434792,68.92444,1
6bba_df673a83,1153202,0,38.0,55.0,68.0,1.0503327,3.7284048,0.6031746,2.5434792,68.92444,0
6bba_df673a83,1153203,0,10.0,140.0,5.0,1.050668,3.0508459,0.15873016,2.5434792,68.92444,0
6bba_df673a83,1153204,0,25.0,102.0,224.0,1.0563505,4.1811028,0.3968254,2.5434792,68.92444,0
6bba_df673a83,1153205,0,39.0,106.0,46.0,1.0547478,2.764014,0.61904764,2.5434792,68.92444,1
6bba_df673a83,1153206,0,3.0,155.0,163.0,1.0444717,3.588154,0.04761905,2.5401762,68.65625,0
6bba_df673a83,1153207,0,50.0,53.0,121.0,1.038465,1.6519665,0.7936508,2.5368643,68.38806,2
6bba_df673a83,1153208,0,57.0,40.0,197.0,1.0317811,1.4969276,0.9047619,2.5335438,68.11987,2
6bba_df673a83,1153209,0,32.0,107.0,240.0,1.0509336,4.2980847,0.50793654,2.5434792,68.92444,0
6bba_df673a83,1153210,0,15.0,103.0,169.0,1.0275578,3.4663336,0.23809524,2.5434792,68.92444,0
6bba_df673a83,1153211,0,39.0,111.0,50.0,1.0430149,2.6218889,0.61904764,2.5434792,68.92444,1
