dataset,node_id,t,z,y,x,mean_intensity,snr,z_depth_ratio,estimated_radius_um,volume_um3,local_density_r15
6bba_e5e44988,1159298,0,48.0,237.0,102.0,0.7345714,3.7842903,0.7619048,2.5401762,68.65625,0
6bba_e5e44988,1159299,0,59.0,252.0,3.0,0.6399498,1.8934444,0.93650794,2.5100527,66.24255,1
6bba_e5e44988,1159300,0,36.0,235.0,168.0,0.6031434,6.8164225,0.5714286,2.5434792,68.92444,0
6bba_e5e44988,1159301,0,39.0,245.0,142.0,0.6313341,2.9151297,0.61904764,2.5401762,68.65625,0
6bba_e5e44988,1159302,0,59.0,245.0,4.0,0.62046146,1.9189222,0.93650794,2.5434792,68.92444,1
6bba_e5e44988,1159303,0,57.0,192.0,71.0,0.6139146,2.3598843,0.9047619,2.5401762,68.65625,0
6bba_e5e44988,1159304,0,48.0,102.0,153.0,0.59722906,3.6564581,0.7619048,2.5401762,68.65625,0
6bba_e5e44988,1159305,0,56.0,233.0,58.0,0.59479576,3.3320312,0.8888889,2.5401762,68.65625,0
6bba_e5e44988,1159306,0,42.0,203.0,150.0,0.586564,3.4515462,0.6666667,2.5434792,68.92444,0
6bba_e5e44988,1159307,0,61.0,153.0,61.0,0.58377665,3.21606,0.96825397,2.4687274,63.024292,0
6bba_e5e44988,1159308,0,41.0,25.0,201.0,0.57523274,2.9240286,0.6507937,2.5434792,68.92444,0
6bba_e5e44988,1159309,0,54.0,97.0,119.0,0.56575537,2.8573606,0.85714287,2.5434792,68.92444,0
6bba_e5e44988,1159310,0,38.0,153.0,180.0,0.57938963,2.157659,0.6031746,2.5434792,68.92444,0
6bba_e5e44988,1159311,0,53.0,209.0,85.0,0.5601017,3.0575364,0.84126985,2.5434792,68.92444,1
6bba_e5e44988,1159312,0,36.0,5.0,226.0,0.531829,2.6287525,0.5714286,2.5401762,68.65625,0
6bba_e5e44988,1159313,0,54.0,134.0,118.0,0.5186823,3.2884705,0.85714287,2.5434792,68.92444,1
6bba_e5e44988,1159314,0,35.0,10.0,201.0,0.536879,1.4641292,0.5555556,2.5434792,68.92444,0
6bba_e5e44988,1159315,0,48.0,190.0,121.0,0.5046135,4.3990006,0.7619048,2.5401762,68.65625,0
6bba_e5e44988,1159316,0,53.0,140.0,117.0,0.5077855,3.0999699,0.84126985,2.5401762,68.65625,1
6bba_e5e44988,1159317,0,30.0,44.0,253.0,0.4997351,3.1315606,0.47619048,2.4652207,62.756104,0
6bba_e5e44988,1159318,0,21.0,232.0,231.0,0.49633345,2.3687165,0.33333334,2.5434792,68.92444,2
6bba_e5e44988,1159319,0,33.0,184.0,205.0,0.49395323,2.7298357,0.52380955,2.5401762,68.65625,0
6bba_e5e44988,1159320,0,45.0,162.0,151.0,0.50038415,3.3416386,0.71428573,2.5434792,68.92444,0
6bba_e5e44988,1159321,0,22.0,225.0,235.0,0.49776736,2.3042808,0.34920636,2.5434792,68.92444,2
6bba_e5e44988,1159322,0,47.0,135.0,153.0,0.48527247,3.9195256,0.74603176,2.5268764,67.583496,0
6bba_e5e44988,1159323,0,14.0,232.0,235.0,0.4831047,2.1788995,0.22222222,2.5434792,68.92444,2
6bba_e5e44988,1159324,0,32.0,217.0,196.0,0.48871002,3.054965,0.50793654,2.5434792,68.92444,1
