dataset,node_id,t,z,y,x,mean_intensity,snr,z_depth_ratio,estimated_radius_um,volume_um3,local_density_r15
6bba_ebdf3b34,1161347,0,9.0,23.0,58.0,1.2083472,3.8518522,0.14285715,2.4826555,64.097046,1
6bba_ebdf3b34,1161348,0,3.0,150.0,186.0,1.1630929,3.0054142,0.04761905,2.5335438,68.11987,1
6bba_ebdf3b34,1161349,0,9.0,181.0,230.0,1.065443,2.602875,0.14285715,2.4403894,60.878784,1
6bba_ebdf3b34,1161350,0,19.0,132.0,73.0,1.0255692,2.2610867,0.3015873,2.5201738,67.04712,0
6bba_ebdf3b34,1161351,0,3.0,32.0,91.0,0.94636405,3.073264,0.04761905,2.5100527,66.24255,0
6bba_ebdf3b34,1161352,0,14.0,186.0,128.0,0.94443506,2.2897263,0.22222222,2.3928847,57.392334,1
6bba_ebdf3b34,1161353,0,39.0,204.0,52.0,0.94842833,2.5104983,0.61904764,2.5335438,68.11987,0
6bba_ebdf3b34,1161354,0,6.0,61.0,250.0,0.92448324,5.0903554,0.0952381,2.5401762,68.65625,0
6bba_ebdf3b34,1161355,0,10.0,132.0,104.0,0.9136969,2.4569378,0.15873016,2.4652207,62.756104,0
6bba_ebdf3b34,1161356,0,4.0,210.0,165.0,0.9305726,2.086095,0.06349207,2.499849,65.43799,2
6bba_ebdf3b34,1161357,0,16.0,200.0,98.0,0.91293985,2.492291,0.25396827,2.5368643,68.38806,1
6bba_ebdf3b34,1161358,0,5.0,249.0,206.0,0.93162376,1.4740705,0.07936508,2.493,64.90161,1
6bba_ebdf3b34,1161359,0,23.0,28.0,12.0,0.8896479,2.8094769,0.36507937,2.4826555,64.097046,0
6bba_ebdf3b34,1161360,0,11.0,199.0,135.0,0.90433556,2.0123777,0.17460318,2.4546402,61.951538,2
6bba_ebdf3b34,1161361,0,7.0,79.0,91.0,0.8938906,2.9997847,0.11111111,2.5368643,68.38806,0
6bba_ebdf3b34,1161362,0,10.0,225.0,201.0,0.8955741,2.364536,0.15873016,2.472224,63.29248,0
6bba_ebdf3b34,1161363,0,37.0,221.0,73.0,0.89383715,2.2017326,0.5873016,2.5401762,68.65625,2
6bba_ebdf3b34,1161364,0,10.0,238.0,185.0,0.89681804,1.8833402,0.15873016,2.499849,65.43799,4
6bba_ebdf3b34,1161365,0,8.0,246.0,193.0,0.89368284,1.590729,0.12698413,2.472224,63.29248,2
6bba_ebdf3b34,1161366,0,9.0,48.0,60.0,0.87216043,3.1114385,0.14285715,2.4826555,64.097046,0
6bba_ebdf3b34,1161367,0,5.0,206.0,174.0,0.88419676,1.5532205,0.07936508,2.4403894,60.878784,3
6bba_ebdf3b34,1161368,0,10.0,11.0,41.0,0.87085104,2.483581,0.15873016,2.5032594,65.70618,1
6bba_ebdf3b34,1161369,0,12.0,243.0,230.0,0.8738795,2.3469026,0.1904762,2.4652207,62.756104,1
6bba_ebdf3b34,1161370,0,14.0,35.0,43.0,0.8646251,3.1339366,0.22222222,2.4826555,64.097046,0
6bba_ebdf3b34,1161371,0,5.0,202.0,225.0,0.8577489,2.2345839,0.07936508,2.4368005,60.610596,1
6bba_ebdf3b34,1161372,0,36.0,219.0,95.0,0.87555104,2.6280286,0.5714286,2.5302145,67.851685,0
6bba_ebdf3b34,1161373,0,19.0,23.0,69.0,0.86227655,2.539595,0.3015873,2.4895616,64.63342,1
6bba_ebdf3b34,1161374,0,3.0,82.0,201.0,0.8374109,4.062507,0.04761905,2.458177,62.219727,0
6bba_ebdf3b34,1161375,0,19.0,213.0,188.0,0.86255276,2.2621055,0.3015873,2.5302145,67.851685,3
6bba_ebdf3b34,1161376,0,2.0,91.0,130.0,0.8629264,2.904073,0.031746034,2.4652207,62.756104,0
6bba_ebdf3b34,1161377,0,17.0,189.0,106.0,0.875842,2.60009,0.26984128,2.5401762,68.65625,1
6bba_ebdf3b34,1161378,0,14.0,213.0,223.0,0.8488804,4.7733545,0.22222222,2.5401762,68.65625,1
6bba_ebdf3b34,1161379,0,7.0,119.0,137.0,0.8515169,3.252899,0.11111111,2.5401762,68.65625,0
6bba_ebdf3b34,1161380,0,33.0,87.0,4.0,0.871712,2.1191492,0.52380955,2.5134354,66.51074,0
6bba_ebdf3b34,1161381,0,5.0,152.0,126.0,0.8453651,3.0016458,0.07936508,2.4687274,63.024292,0
6bba_ebdf3b34,1161382,0,28.0,125.0,7.0,0.8431829,2.365142,0.44444445,2.4964292,65.1698,1
6bba_ebdf3b34,1161383,0,39.0,199.0,20.0,0.87268597,2.7684164,0.61904764,2.5434792,68.92444,0
6bba_ebdf3b34,1161384,0,15.0,210.0,176.0,0.84985125,1.7383903,0.23809524,2.4546402,61.951538,3
6bba_ebdf3b34,1161385,0,12.0,194.0,151.0,0.8706017,1.7470403,0.1904762,2.5368643,68.38806,1
6bba_ebdf3b34,1161386,0,9.0,209.0,140.0,0.82657427,1.8559463,0.14285715,2.3741014,56.05139,1
6bba_ebdf3b34,1161387,0,5.0,141.0,176.0,0.817881,1.4833864,0.07936508,2.4439676,61.146973,2
6bba_ebdf3b34,1161388,0,5.0,215.0,252.0,0.8425525,2.07359,0.07936508,2.4403894,60.878784,0
6bba_ebdf3b34,1161389,0,5.0,127.0,213.0,0.80272716,2.4559367,0.07936508,2.3928847,57.392334,0
6bba_ebdf3b34,1161390,0,27.0,222.0,80.0,0.83951616,1.673507,0.42857143,2.5032594,65.70618,2
6bba_ebdf3b34,1161391,0,8.0,132.0,195.0,0.821141,3.01243,0.12698413,2.4652207,62.756104,0
6bba_ebdf3b34,1161392,0,28.0,231.0,112.0,0.82176447,2.8616838,0.44444445,2.5368643,68.38806,1
6bba_ebdf3b34,1161393,0,24.0,221.0,197.0,0.8368322,2.6089897,0.3809524,2.5368643,68.38806,1
6bba_ebdf3b34,1161394,0,23.0,86.0,22.0,0.8310931,2.4396036,0.36507937,2.493,64.90161,0
6bba_ebdf3b34,1161395,0,12.0,230.0,182.0,0.83763975,1.6367043,0.1904762,2.475711,63.56067,3
6bba_ebdf3b34,1161396,0,13.0,184.0,191.0,0.84044546,2.836373,0.20634921,2.5401762,68.65625,0
6bba_ebdf3b34,1161397,0,15.0,165.0,88.0,0.8054052,2.9136682,0.23809524,2.418696,59.269653,0
6bba_ebdf3b34,1161398,0,28.0,181.0,59.0,0.7797738,3.370319,0.44444445,2.458177,62.219727,0
6bba_ebdf3b34,1161399,0,28.0,235.0,76.0,0.8079883,2.455444,0.44444445,2.458177,62.219727,1
6bba_ebdf3b34,1161400,0,15.0,71.0,212.0,0.841069,3.5278335,0.23809524,2.5368643,68.38806,0
6bba_ebdf3b34,1161401,0,6.0,177.0,136.0,0.7996721,1.8945328,0.0952381,2.3891516,57.124146,1
6bba_ebdf3b34,1161402,0,11.0,62.0,72.0,0.81258726,2.8028686,0.17460318,2.4791882,63.828857,0
6bba_ebdf3b34,1161403,0,16.0,178.0,239.0,0.80518264,1.6596891,0.25396827,2.4617038,62.487915,1
6bba_ebdf3b34,1161404,0,20.0,88.0,45.0,0.80898285,3.54406,0.31746033,2.5032594,65.70618,0
6bba_ebdf3b34,1161405,0,12.0,112.0,80.0,0.7915786,3.4565601,0.1904762,2.5235295,67.31531,0
6bba_ebdf3b34,1161406,0,3.0,188.0,155.0,0.79567945,1.2110295,0.04761905,2.2419267,47.20117,1
6bba_ebdf3b34,1161407,0,4.0,127.0,241.0,0.77865154,2.7423472,0.06349207,2.4223385,59.53784,0
6bba_ebdf3b34,1161408,0,7.0,189.0,252.0,0.8093366,1.4021779,0.11111111,2.5302145,67.851685,0
6bba_ebdf3b34,1161409,0,4.0,133.0,177.0,0.81609964,1.6572095,0.06349207,2.5201738,67.04712,1
6bba_ebdf3b34,1161410,0,5.0,59.0,224.0,0.79685444,2.8812199,0.07936508,2.4861133,64.365234,0
6bba_ebdf3b34,1161411,0,23.0,127.0,50.0,0.8281537,2.521158,0.36507937,2.5401762,68.65625,0
6bba_ebdf3b34,1161412,0,33.0,243.0,237.0,0.80449677,2.4770079,0.52380955,2.4403894,60.878784,1
6bba_ebdf3b34,1161413,0,23.0,173.0,126.0,0.8302143,2.1127548,0.36507937,2.5401762,68.65625,1
6bba_ebdf3b34,1161414,0,8.0,133.0,227.0,0.8108296,2.1492112,0.12698413,2.5401762,68.65625,0
6bba_ebdf3b34,1161415,0,4.0,74.0,177.0,0.7837583,3.4223838,0.06349207,2.5201738,67.04712,0
6bba_ebdf3b34,1161416,0,10.0,240.0,171.0,0.7971039,1.8877034,0.15873016,2.5235295,67.31531,3
6bba_ebdf3b34,1161417,0,26.0,197.0,244.0,0.78722596,4.945511,0.41269842,2.5235295,67.31531,0
6bba_ebdf3b34,1161418,0,16.0,12.0,36.0,0.79290575,1.9211926,0.25396827,2.499849,65.43799,1
6bba_ebdf3b34,1161419,0,33.0,247.0,251.0,0.7971128,2.4009976,0.52380955,2.4687274,63.024292,1
6bba_ebdf3b34,1161420,0,19.0,239.0,177.0,0.80076766,1.5442784,0.3015873,2.493,64.90161,3
6bba_ebdf3b34,1161421,0,26.0,152.0,42.0,0.7498165,5.0700893,0.41269842,2.5335438,68.11987,0
6bba_ebdf3b34,1161422,0,34.0,223.0,62.0,0.80336845,2.3892248,0.53968257,2.5401762,68.65625,1
6bba_ebdf3b34,1161423,0,15.0,234.0,227.0,0.81231403,2.4256816,0.23809524,2.5401762,68.65625,1
6bba_ebdf3b34,1161424,0,17.0,171.0,120.0,0.7676187,1.5423305,0.26984128,2.4150422,59.001465,1
6bba_ebdf3b34,1161425,0,23.0,237.0,117.0,0.7825468,2.5091233,0.36507937,2.4791882,63.828857,1
6bba_ebdf3b34,1161426,0,5.0,13.0,69.0,0.77660584,1.6100001,0.07936508,2.4546402,61.951538,0
6bba_ebdf3b34,1161427,0,19.0,204.0,176.0,0.8079853,2.3999922,0.3015873,2.5401762,68.65625,3
6bba_ebdf3b34,1161428,0,12.0,203.0,121.0,0.7977571,1.963709,0.1904762,2.5066607,65.974365,1
6bba_ebdf3b34,1161429,0,14.0,214.0,158.0,0.78600574,1.570562,0.22222222,2.451093,61.68335,1
