dataset,source_id,target_id
6bba_1d0d8384,1,354
6bba_1d0d8384,2,347
6bba_1d0d8384,3,353
6bba_1d0d8384,4,350
6bba_1d0d8384,5,374
6bba_1d0d8384,6,365
6bba_1d0d8384,7,369
6bba_1d0d8384,8,358
6bba_1d0d8384,9,370
6bba_1d0d8384,10,349
6bba_1d0d8384,11,351
6bba_1d0d8384,12,443
6bba_1d0d8384,13,360
6bba_1d0d8384,14,362
6bba_1d0d8384,16,388
6bba_1d0d8384,18,437
6bba_1d0d8384,20,361
6bba_1d0d8384,21,371
6bba_1d0d8384,22,419
6bba_1d0d8384,25,366
6bba_1d0d8384,26,386
6bba_1d0d8384,27,355
6bba_1d0d8384,29,396
6bba_1d0d8384,30,394
6bba_1d0d8384,31,382
6bba_1d0d8384,32,363
6bba_1d0d8384,33,367
6bba_1d0d8384,34,385
6bba_1d0d8384,35,381
6bba_1d0d8384,36,387
6bba_1d0d8384,37,372
6bba_1d0d8384,38,390
6bba_1d0d8384,39,400
6bba_1d0d8384,41,392
6bba_1d0d8384,43,409
6bba_1d0d8384,44,410
6bba_1d0d8384,45,404
6bba_1d0d8384,46,411
6bba_1d0d8384,48,395
6bba_1d0d8384,49,432
6bba_1d0d8384,51,413
6bba_1d0d8384,53,368
6bba_1d0d8384,54,428
6bba_1d0d8384,56,427
6bba_1d0d8384,57,373
6bba_1d0d8384,59,397
6bba_1d0d8384,61,414
6bba_1d0d8384,63,408
6bba_1d0d8384,65,431
6bba_1d0d8384,68,415
6bba_1d0d8384,69,405
6bba_1d0d8384,70,424
6bba_1d0d8384,71,407
6bba_1d0d8384,74,435
6bba_1d0d8384,75,422
6bba_1d0d8384,76,433
6bba_1d0d8384,77,417
6bba_1d0d8384,78,406
6bba_1d0d8384,79,430
6bba_1d0d8384,80,438
6bba_1d0d8384,81,418
6bba_1d0d8384,82,442
6bba_1d0d8384,83,348
6bba_1d0d8384,84,402
6bba_1d0d8384,86,434
6bba_1d0d8384,88,412
6bba_1d0d8384,90,445
6bba_1d0d8384,94,472
6bba_1d0d8384,95,446
6bba_1d0d8384,97,441
6bba_1d0d8384,98,565
6bba_1d0d8384,99,452
6bba_1d0d8384,100,462
6bba_1d0d8384,102,474
6bba_1d0d8384,104,450
6bba_1d0d8384,105,444
6bba_1d0d8384,107,476
6bba_1d0d8384,112,483
6bba_1d0d8384,113,455
6bba_1d0d8384,114,475
6bba_1d0d8384,117,458
6bba_1d0d8384,118,461
6bba_1d0d8384,119,469
6bba_1d0d8384,122,421
6bba_1d0d8384,123,542
6bba_1d0d8384,125,468
6bba_1d0d8384,128,494
6bba_1d0d8384,129,403
6bba_1d0d8384,131,449
6bba_1d0d8384,132,482
6bba_1d0d8384,134,477
6bba_1d0d8384,138,513
6bba_1d0d8384,139,526
6bba_1d0d8384,140,460
6bba_1d0d8384,143,484
6bba_1d0d8384,145,501
6bba_1d0d8384,147,522
6bba_1d0d8384,150,459
6bba_1d0d8384,152,467
6bba_1d0d8384,153,541
6bba_1d0d8384,157,480
6bba_1d0d8384,159,540
6bba_1d0d8384,162,504
6bba_1d0d8384,164,624
6bba_1d0d8384,165,521
6bba_1d0d8384,167,508
6bba_1d0d8384,168,496
6bba_1d0d8384,171,517
6bba_1d0d8384,172,562
6bba_1d0d8384,173,633
6bba_1d0d8384,177,569
6bba_1d0d8384,178,533
6bba_1d0d8384,180,456
6bba_1d0d8384,182,564
6bba_1d0d8384,184,557
6bba_1d0d8384,185,555
6bba_1d0d8384,189,559
6bba_1d0d8384,190,518
6bba_1d0d8384,191,539
6bba_1d0d8384,194,546
6bba_1d0d8384,198,543
6bba_1d0d8384,205,576
6bba_1d0d8384,206,534
6bba_1d0d8384,207,580
6bba_1d0d8384,208,608
6bba_1d0d8384,210,570
6bba_1d0d8384,211,464
6bba_1d0d8384,212,527
6bba_1d0d8384,214,654
6bba_1d0d8384,217,551
6bba_1d0d8384,218,588
6bba_1d0d8384,219,585
6bba_1d0d8384,221,516
6bba_1d0d8384,222,604
6bba_1d0d8384,224,572
6bba_1d0d8384,225,556
6bba_1d0d8384,226,621
6bba_1d0d8384,228,492
6bba_1d0d8384,232,623
6bba_1d0d8384,234,625
6bba_1d0d8384,235,525
6bba_1d0d8384,239,466
6bba_1d0d8384,242,594
6bba_1d0d8384,244,552
6bba_1d0d8384,248,638
6bba_1d0d8384,250,605
6bba_1d0d8384,251,587
6bba_1d0d8384,252,531
6bba_1d0d8384,255,586
6bba_1d0d8384,256,558
6bba_1d0d8384,257,592
6bba_1d0d8384,259,609
6bba_1d0d8384,260,581
6bba_1d0d8384,261,648
6bba_1d0d8384,266,573
6bba_1d0d8384,267,589
6bba_1d0d8384,269,615
6bba_1d0d8384,270,554
6bba_1d0d8384,271,629
6bba_1d0d8384,272,641
6bba_1d0d8384,279,600
6bba_1d0d8384,281,646
6bba_1d0d8384,282,512
6bba_1d0d8384,283,610
6bba_1d0d8384,284,612
6bba_1d0d8384,285,619
6bba_1d0d8384,288,672
6bba_1d0d8384,289,622
6bba_1d0d8384,290,650
6bba_1d0d8384,291,617
6bba_1d0d8384,293,644
6bba_1d0d8384,294,651
6bba_1d0d8384,299,662
6bba_1d0d8384,303,677
6bba_1d0d8384,304,671
6bba_1d0d8384,305,620
6bba_1d0d8384,307,642
6bba_1d0d8384,308,667
6bba_1d0d8384,311,637
6bba_1d0d8384,312,682
6bba_1d0d8384,313,657
6bba_1d0d8384,318,688
6bba_1d0d8384,319,652
6bba_1d0d8384,322,686
6bba_1d0d8384,329,647
6bba_1d0d8384,339,660
6bba_1d0d8384,344,447
6bba_1d0d8384,347,701
6bba_1d0d8384,348,705
6bba_1d0d8384,349,698
6bba_1d0d8384,350,703
6bba_1d0d8384,351,692
6bba_1d0d8384,353,742
6bba_1d0d8384,354,721
6bba_1d0d8384,355,709
6bba_1d0d8384,356,697
6bba_1d0d8384,357,699
6bba_1d0d8384,358,693
6bba_1d0d8384,359,754
6bba_1d0d8384,360,696
6bba_1d0d8384,361,694
6bba_1d0d8384,362,714
6bba_1d0d8384,363,710
6bba_1d0d8384,365,695
6bba_1d0d8384,366,729
6bba_1d0d8384,367,707
6bba_1d0d8384,368,736
6bba_1d0d8384,369,719
6bba_1d0d8384,370,745
6bba_1d0d8384,371,702
6bba_1d0d8384,373,706
6bba_1d0d8384,374,711
6bba_1d0d8384,375,716
6bba_1d0d8384,376,723
6bba_1d0d8384,380,718
6bba_1d0d8384,381,720
6bba_1d0d8384,382,713
6bba_1d0d8384,385,708
6bba_1d0d8384,386,731
6bba_1d0d8384,387,728
6bba_1d0d8384,388,722
6bba_1d0d8384,389,747
6bba_1d0d8384,390,755
6bba_1d0d8384,392,753
6bba_1d0d8384,393,773
6bba_1d0d8384,394,730
6bba_1d0d8384,395,772
6bba_1d0d8384,396,758
6bba_1d0d8384,397,744
6bba_1d0d8384,401,725
6bba_1d0d8384,402,743
6bba_1d0d8384,403,814
6bba_1d0d8384,404,752
6bba_1d0d8384,405,762
6bba_1d0d8384,406,757
6bba_1d0d8384,407,738
6bba_1d0d8384,408,766
6bba_1d0d8384,409,770
6bba_1d0d8384,411,768
6bba_1d0d8384,412,749
6bba_1d0d8384,413,764
6bba_1d0d8384,415,763
6bba_1d0d8384,418,774
6bba_1d0d8384,419,712
6bba_1d0d8384,420,820
6bba_1d0d8384,421,775
6bba_1d0d8384,422,782
6bba_1d0d8384,423,826
6bba_1d0d8384,424,786
6bba_1d0d8384,427,903
6bba_1d0d8384,428,760
6bba_1d0d8384,429,750
6bba_1d0d8384,430,801
6bba_1d0d8384,431,806
6bba_1d0d8384,433,796
6bba_1d0d8384,434,800
6bba_1d0d8384,439,765
6bba_1d0d8384,441,794
6bba_1d0d8384,442,827
6bba_1d0d8384,443,700
6bba_1d0d8384,444,779
6bba_1d0d8384,445,824
6bba_1d0d8384,447,717
6bba_1d0d8384,449,761
6bba_1d0d8384,450,739
6bba_1d0d8384,455,834
6bba_1d0d8384,456,804
6bba_1d0d8384,458,829
6bba_1d0d8384,459,803
6bba_1d0d8384,461,797
6bba_1d0d8384,462,839
6bba_1d0d8384,463,811
6bba_1d0d8384,467,833
6bba_1d0d8384,468,808
6bba_1d0d8384,469,818
6bba_1d0d8384,470,798
6bba_1d0d8384,471,816
6bba_1d0d8384,472,810
6bba_1d0d8384,473,823
6bba_1d0d8384,475,792
6bba_1d0d8384,476,817
6bba_1d0d8384,477,843
6bba_1d0d8384,479,855
6bba_1d0d8384,480,795
6bba_1d0d8384,481,821
6bba_1d0d8384,482,830
6bba_1d0d8384,483,842
6bba_1d0d8384,484,756
6bba_1d0d8384,485,872
6bba_1d0d8384,486,802
6bba_1d0d8384,491,867
6bba_1d0d8384,492,869
6bba_1d0d8384,494,849
6bba_1d0d8384,495,781
6bba_1d0d8384,496,871
6bba_1d0d8384,497,857
6bba_1d0d8384,499,853
6bba_1d0d8384,500,832
6bba_1d0d8384,501,858
6bba_1d0d8384,503,885
6bba_1d0d8384,504,844
6bba_1d0d8384,505,879
6bba_1d0d8384,506,831
6bba_1d0d8384,507,840
6bba_1d0d8384,508,918
6bba_1d0d8384,509,856
6bba_1d0d8384,510,870
6bba_1d0d8384,512,892
6bba_1d0d8384,513,854
6bba_1d0d8384,517,864
6bba_1d0d8384,518,897
6bba_1d0d8384,519,901
6bba_1d0d8384,521,841
6bba_1d0d8384,522,893
6bba_1d0d8384,523,876
6bba_1d0d8384,526,812
6bba_1d0d8384,527,863
6bba_1d0d8384,528,898
6bba_1d0d8384,529,908
6bba_1d0d8384,530,880
6bba_1d0d8384,531,895
6bba_1d0d8384,533,886
6bba_1d0d8384,534,990
6bba_1d0d8384,535,902
6bba_1d0d8384,536,896
6bba_1d0d8384,537,874
6bba_1d0d8384,538,891
6bba_1d0d8384,539,887
6bba_1d0d8384,541,878
6bba_1d0d8384,542,726
6bba_1d0d8384,546,852
6bba_1d0d8384,549,865
6bba_1d0d8384,550,851
6bba_1d0d8384,551,907
6bba_1d0d8384,552,866
6bba_1d0d8384,553,910
6bba_1d0d8384,555,888
6bba_1d0d8384,556,917
6bba_1d0d8384,557,899
6bba_1d0d8384,558,922
6bba_1d0d8384,559,861
6bba_1d0d8384,561,1021
6bba_1d0d8384,564,927
6bba_1d0d8384,565,836
6bba_1d0d8384,569,904
6bba_1d0d8384,570,939
6bba_1d0d8384,576,916
6bba_1d0d8384,577,929
6bba_1d0d8384,579,915
6bba_1d0d8384,580,926
6bba_1d0d8384,581,971
6bba_1d0d8384,585,881
6bba_1d0d8384,586,930
6bba_1d0d8384,588,889
6bba_1d0d8384,589,957
6bba_1d0d8384,590,938
6bba_1d0d8384,592,945
6bba_1d0d8384,594,947
6bba_1d0d8384,598,1000
6bba_1d0d8384,601,963
6bba_1d0d8384,603,965
6bba_1d0d8384,605,955
6bba_1d0d8384,606,868
6bba_1d0d8384,609,974
6bba_1d0d8384,610,980
6bba_1d0d8384,611,966
6bba_1d0d8384,614,999
6bba_1d0d8384,615,948
6bba_1d0d8384,617,979
6bba_1d0d8384,618,950
6bba_1d0d8384,619,942
6bba_1d0d8384,622,983
6bba_1d0d8384,623,969
6bba_1d0d8384,624,1009
6bba_1d0d8384,625,970
6bba_1d0d8384,626,973
6bba_1d0d8384,628,977
6bba_1d0d8384,630,981
6bba_1d0d8384,632,937
6bba_1d0d8384,636,986
6bba_1d0d8384,637,933
6bba_1d0d8384,638,972
6bba_1d0d8384,641,961
6bba_1d0d8384,644,1023
6bba_1d0d8384,648,988
6bba_1d0d8384,649,996
6bba_1d0d8384,652,989
6bba_1d0d8384,655,1010
6bba_1d0d8384,656,1032
6bba_1d0d8384,657,978
6bba_1d0d8384,662,1015
6bba_1d0d8384,663,919
6bba_1d0d8384,666,998
6bba_1d0d8384,671,1003
6bba_1d0d8384,672,1031
6bba_1d0d8384,674,1013
6bba_1d0d8384,676,1020
6bba_1d0d8384,682,984
6bba_1d0d8384,692,1040
6bba_1d0d8384,693,1061
6bba_1d0d8384,694,1046
6bba_1d0d8384,695,1041
6bba_1d0d8384,696,1055
6bba_1d0d8384,697,1042
6bba_1d0d8384,700,1047
6bba_1d0d8384,701,1048
6bba_1d0d8384,703,1049
6bba_1d0d8384,705,1065
6bba_1d0d8384,707,1079
6bba_1d0d8384,708,1069
6bba_1d0d8384,709,1044
6bba_1d0d8384,710,1063
6bba_1d0d8384,711,1074
6bba_1d0d8384,713,1075
6bba_1d0d8384,715,1228
6bba_1d0d8384,716,1073
6bba_1d0d8384,717,1081
6bba_1d0d8384,718,1051
6bba_1d0d8384,719,1071
6bba_1d0d8384,720,1072
6bba_1d0d8384,721,1043
6bba_1d0d8384,726,1088
6bba_1d0d8384,728,1080
6bba_1d0d8384,729,1052
6bba_1d0d8384,730,1089
6bba_1d0d8384,732,1093
6bba_1d0d8384,734,1173
6bba_1d0d8384,739,1118
6bba_1d0d8384,743,1126
6bba_1d0d8384,744,1098
6bba_1d0d8384,745,1133
6bba_1d0d8384,747,1077
6bba_1d0d8384,748,1058
6bba_1d0d8384,749,1109
6bba_1d0d8384,751,1268
6bba_1d0d8384,755,1082
6bba_1d0d8384,757,1114
6bba_1d0d8384,758,1100
