dataset,source_id,target_id
6bba_268e1230,0,34
6bba_268e1230,1,43
6bba_268e1230,3,36
6bba_268e1230,4,35
6bba_268e1230,5,37
6bba_268e1230,6,40
6bba_268e1230,7,42
6bba_268e1230,8,49
6bba_268e1230,9,44
6bba_268e1230,10,50
6bba_268e1230,12,52
6bba_268e1230,16,39
6bba_268e1230,18,51
6bba_268e1230,24,56
6bba_268e1230,27,57
6bba_268e1230,28,59
6bba_268e1230,29,54
6bba_268e1230,34,65
6bba_268e1230,35,86
6bba_268e1230,36,67
6bba_268e1230,37,69
6bba_268e1230,38,66
6bba_268e1230,40,68
6bba_268e1230,42,72
6bba_268e1230,43,75
6bba_268e1230,46,73
6bba_268e1230,47,74
6bba_268e1230,51,77
6bba_268e1230,55,87
6bba_268e1230,56,88
6bba_268e1230,59,83
6bba_268e1230,65,97
6bba_268e1230,66,98
6bba_268e1230,67,100
6bba_268e1230,69,99
6bba_268e1230,70,106
6bba_268e1230,71,105
6bba_268e1230,72,102
6bba_268e1230,73,107
6bba_268e1230,75,113
6bba_268e1230,77,103
6bba_268e1230,78,116
6bba_268e1230,80,114
6bba_268e1230,83,104
6bba_268e1230,85,112
6bba_268e1230,86,126
6bba_268e1230,90,123
6bba_268e1230,93,115
6bba_268e1230,97,129
6bba_268e1230,98,131
6bba_268e1230,99,132
6bba_268e1230,100,148
6bba_268e1230,101,135
6bba_268e1230,102,133
6bba_268e1230,103,130
6bba_268e1230,104,134
6bba_268e1230,105,144
6bba_268e1230,106,150
6bba_268e1230,107,140
6bba_268e1230,110,141
6bba_268e1230,112,137
6bba_268e1230,115,138
6bba_268e1230,116,147
6bba_268e1230,118,154
6bba_268e1230,120,139
6bba_268e1230,122,146
6bba_268e1230,123,152
6bba_268e1230,129,158
6bba_268e1230,130,168
6bba_268e1230,131,160
6bba_268e1230,132,161
6bba_268e1230,133,162
6bba_268e1230,134,159
6bba_268e1230,135,164
6bba_268e1230,136,169
6bba_268e1230,140,167
6bba_268e1230,142,173
6bba_268e1230,143,174
6bba_268e1230,145,171
6bba_268e1230,147,175
6bba_268e1230,149,172
6bba_268e1230,153,177
6bba_268e1230,154,183
6bba_268e1230,155,178
6bba_268e1230,157,184
6bba_268e1230,158,185
6bba_268e1230,159,187
6bba_268e1230,160,186
6bba_268e1230,161,188
6bba_268e1230,162,191
6bba_268e1230,163,190
6bba_268e1230,164,189
6bba_268e1230,166,195
6bba_268e1230,167,193
6bba_268e1230,168,206
6bba_268e1230,169,201
6bba_268e1230,170,199
6bba_268e1230,171,198
6bba_268e1230,172,192
6bba_268e1230,173,197
6bba_268e1230,174,200
6bba_268e1230,175,202
6bba_268e1230,177,205
6bba_268e1230,178,207
6bba_268e1230,179,209
6bba_268e1230,185,214
6bba_268e1230,187,212
6bba_268e1230,188,215
6bba_268e1230,189,217
6bba_268e1230,191,219
6bba_268e1230,192,221
6bba_268e1230,193,222
6bba_268e1230,194,220
6bba_268e1230,195,223
6bba_268e1230,196,218
6bba_268e1230,197,224
6bba_268e1230,198,225
6bba_268e1230,199,228
6bba_268e1230,200,226
6bba_268e1230,201,230
6bba_268e1230,202,227
6bba_268e1230,203,229
6bba_268e1230,205,232
6bba_268e1230,207,231
6bba_268e1230,212,235
6bba_268e1230,213,236
6bba_268e1230,214,237
6bba_268e1230,215,239
6bba_268e1230,217,243
6bba_268e1230,219,240
6bba_268e1230,221,244
6bba_268e1230,222,245
6bba_268e1230,223,242
6bba_268e1230,224,246
6bba_268e1230,225,247
6bba_268e1230,226,251
6bba_268e1230,227,249
6bba_268e1230,228,252
6bba_268e1230,229,250
6bba_268e1230,231,248
6bba_268e1230,232,254
6bba_268e1230,236,261
6bba_268e1230,237,262
6bba_268e1230,238,263
6bba_268e1230,239,267
6bba_268e1230,241,268
6bba_268e1230,242,266
6bba_268e1230,243,269
6bba_268e1230,244,270
6bba_268e1230,245,271
6bba_268e1230,247,273
6bba_268e1230,248,275
6bba_268e1230,249,274
6bba_268e1230,250,278
6bba_268e1230,251,277
6bba_268e1230,252,276
6bba_268e1230,253,279
6bba_268e1230,254,280
6bba_268e1230,256,284
6bba_268e1230,259,286
6bba_268e1230,260,287
6bba_268e1230,261,290
6bba_268e1230,262,288
6bba_268e1230,263,296
6bba_268e1230,264,291
6bba_268e1230,265,289
6bba_268e1230,266,294
6bba_268e1230,267,295
6bba_268e1230,268,292
6bba_268e1230,269,293
6bba_268e1230,271,299
6bba_268e1230,272,300
6bba_268e1230,273,302
6bba_268e1230,274,301
6bba_268e1230,275,298
6bba_268e1230,276,305
6bba_268e1230,277,303
6bba_268e1230,278,304
6bba_268e1230,279,308
6bba_268e1230,280,306
6bba_268e1230,284,309
6bba_268e1230,288,317
6bba_268e1230,289,316
6bba_268e1230,291,318
6bba_268e1230,292,319
6bba_268e1230,293,323
6bba_268e1230,295,322
6bba_268e1230,297,325
6bba_268e1230,298,321
6bba_268e1230,299,327
6bba_268e1230,300,326
6bba_268e1230,301,328
6bba_268e1230,302,330
6bba_268e1230,303,329
6bba_268e1230,304,337
6bba_268e1230,305,339
6bba_268e1230,306,334
6bba_268e1230,307,331
6bba_268e1230,308,338
6bba_268e1230,309,340
6bba_268e1230,310,341
6bba_268e1230,311,342
6bba_268e1230,315,345
6bba_268e1230,316,357
6bba_268e1230,317,362
6bba_268e1230,318,347
6bba_268e1230,319,348
6bba_268e1230,321,349
6bba_268e1230,322,350
6bba_268e1230,323,354
6bba_268e1230,325,353
6bba_268e1230,326,352
6bba_268e1230,327,356
6bba_268e1230,328,351
6bba_268e1230,329,355
6bba_268e1230,330,359
6bba_268e1230,331,363
6bba_268e1230,334,360
6bba_268e1230,335,361
6bba_268e1230,336,365
6bba_268e1230,338,366
6bba_268e1230,340,367
6bba_268e1230,341,369
6bba_268e1230,342,373
6bba_268e1230,344,377
6bba_268e1230,345,378
6bba_268e1230,346,381
6bba_268e1230,347,379
6bba_268e1230,349,408
6bba_268e1230,351,385
6bba_268e1230,353,383
6bba_268e1230,354,388
6bba_268e1230,355,390
6bba_268e1230,356,393
6bba_268e1230,357,403
6bba_268e1230,360,389
6bba_268e1230,361,391
6bba_268e1230,363,380
6bba_268e1230,364,396
6bba_268e1230,365,395
6bba_268e1230,367,401
6bba_268e1230,368,406
6bba_268e1230,369,405
6bba_268e1230,370,407
6bba_268e1230,373,409
6bba_268e1230,377,410
6bba_268e1230,378,414
6bba_268e1230,379,413
6bba_268e1230,381,416
6bba_268e1230,382,420
6bba_268e1230,383,419
6bba_268e1230,385,417
6bba_268e1230,387,422
6bba_268e1230,388,423
6bba_268e1230,389,424
6bba_268e1230,392,431
6bba_268e1230,394,428
6bba_268e1230,395,429
6bba_268e1230,396,430
6bba_268e1230,397,432
6bba_268e1230,398,426
6bba_268e1230,400,433
6bba_268e1230,401,435
6bba_268e1230,402,436
6bba_268e1230,403,439
6bba_268e1230,404,434
6bba_268e1230,414,441
6bba_268e1230,415,442
6bba_268e1230,417,444
6bba_268e1230,418,446
6bba_268e1230,419,448
6bba_268e1230,420,447
6bba_268e1230,421,454
6bba_268e1230,422,452
6bba_268e1230,423,455
6bba_268e1230,424,449
6bba_268e1230,425,453
6bba_268e1230,426,451
6bba_268e1230,427,456
6bba_268e1230,428,457
6bba_268e1230,431,460
6bba_268e1230,434,459
6bba_268e1230,435,464
6bba_268e1230,437,462
6bba_268e1230,441,468
6bba_268e1230,442,472
6bba_268e1230,443,470
6bba_268e1230,444,471
6bba_268e1230,446,477
6bba_268e1230,447,478
6bba_268e1230,448,479
6bba_268e1230,449,475
6bba_268e1230,452,482
6bba_268e1230,453,483
6bba_268e1230,454,485
