dataset,source_id,target_id
6bba_2819ca14,0,87
6bba_2819ca14,1,86
6bba_2819ca14,2,92
6bba_2819ca14,3,94
6bba_2819ca14,4,126
6bba_2819ca14,5,114
6bba_2819ca14,6,89
6bba_2819ca14,7,128
6bba_2819ca14,8,99
6bba_2819ca14,9,97
6bba_2819ca14,10,88
6bba_2819ca14,11,91
6bba_2819ca14,12,93
6bba_2819ca14,13,112
6bba_2819ca14,16,133
6bba_2819ca14,17,110
6bba_2819ca14,19,95
6bba_2819ca14,20,98
6bba_2819ca14,21,107
6bba_2819ca14,22,106
6bba_2819ca14,23,109
6bba_2819ca14,24,100
6bba_2819ca14,25,113
6bba_2819ca14,26,105
6bba_2819ca14,27,136
6bba_2819ca14,28,135
6bba_2819ca14,29,96
6bba_2819ca14,30,90
6bba_2819ca14,32,115
6bba_2819ca14,33,119
6bba_2819ca14,34,142
6bba_2819ca14,35,129
6bba_2819ca14,36,122
6bba_2819ca14,37,125
6bba_2819ca14,38,123
6bba_2819ca14,39,104
6bba_2819ca14,40,121
6bba_2819ca14,41,147
6bba_2819ca14,43,117
6bba_2819ca14,45,127
6bba_2819ca14,46,134
6bba_2819ca14,47,101
6bba_2819ca14,48,137
6bba_2819ca14,50,131
6bba_2819ca14,51,153
6bba_2819ca14,52,132
6bba_2819ca14,54,152
6bba_2819ca14,55,138
6bba_2819ca14,56,159
6bba_2819ca14,58,148
6bba_2819ca14,59,151
6bba_2819ca14,60,144
6bba_2819ca14,62,120
6bba_2819ca14,63,150
6bba_2819ca14,65,141
6bba_2819ca14,66,140
6bba_2819ca14,67,155
6bba_2819ca14,69,157
6bba_2819ca14,70,146
6bba_2819ca14,72,116
6bba_2819ca14,73,124
6bba_2819ca14,74,143
6bba_2819ca14,86,167
6bba_2819ca14,87,166
6bba_2819ca14,89,169
6bba_2819ca14,90,182
6bba_2819ca14,91,168
6bba_2819ca14,92,175
6bba_2819ca14,93,170
6bba_2819ca14,94,204
6bba_2819ca14,95,173
6bba_2819ca14,96,189
6bba_2819ca14,97,177
6bba_2819ca14,98,171
6bba_2819ca14,99,179
6bba_2819ca14,100,186
6bba_2819ca14,101,174
6bba_2819ca14,102,185
6bba_2819ca14,103,217
6bba_2819ca14,104,183
6bba_2819ca14,105,187
6bba_2819ca14,106,180
6bba_2819ca14,107,172
6bba_2819ca14,108,191
6bba_2819ca14,109,197
6bba_2819ca14,110,198
6bba_2819ca14,111,203
6bba_2819ca14,112,238
6bba_2819ca14,113,178
6bba_2819ca14,114,192
6bba_2819ca14,115,214
6bba_2819ca14,116,202
6bba_2819ca14,117,205
6bba_2819ca14,118,184
6bba_2819ca14,119,211
6bba_2819ca14,120,219
6bba_2819ca14,121,181
6bba_2819ca14,122,206
6bba_2819ca14,123,208
6bba_2819ca14,124,235
6bba_2819ca14,125,207
6bba_2819ca14,128,222
6bba_2819ca14,129,194
6bba_2819ca14,131,212
6bba_2819ca14,132,232
6bba_2819ca14,133,188
6bba_2819ca14,134,201
6bba_2819ca14,135,200
6bba_2819ca14,136,193
6bba_2819ca14,137,199
6bba_2819ca14,138,215
6bba_2819ca14,140,228
6bba_2819ca14,141,221
6bba_2819ca14,142,218
6bba_2819ca14,143,190
6bba_2819ca14,144,216
6bba_2819ca14,146,229
6bba_2819ca14,147,196
6bba_2819ca14,148,220
6bba_2819ca14,150,209
6bba_2819ca14,151,210
6bba_2819ca14,152,225
6bba_2819ca14,153,234
6bba_2819ca14,154,230
6bba_2819ca14,155,231
6bba_2819ca14,166,246
6bba_2819ca14,167,249
6bba_2819ca14,168,252
6bba_2819ca14,169,248
6bba_2819ca14,170,250
6bba_2819ca14,171,254
6bba_2819ca14,172,253
6bba_2819ca14,173,264
6bba_2819ca14,174,259
6bba_2819ca14,175,262
6bba_2819ca14,177,287
6bba_2819ca14,180,260
6bba_2819ca14,181,263
6bba_2819ca14,182,271
6bba_2819ca14,183,290
6bba_2819ca14,184,257
6bba_2819ca14,185,275
6bba_2819ca14,186,267
6bba_2819ca14,187,256
6bba_2819ca14,188,278
6bba_2819ca14,190,296
6bba_2819ca14,191,258
6bba_2819ca14,192,247
6bba_2819ca14,193,280
6bba_2819ca14,194,279
6bba_2819ca14,195,281
6bba_2819ca14,196,319
6bba_2819ca14,197,282
6bba_2819ca14,198,273
6bba_2819ca14,200,294
6bba_2819ca14,201,269
6bba_2819ca14,202,295
6bba_2819ca14,204,261
6bba_2819ca14,205,293
6bba_2819ca14,206,285
6bba_2819ca14,207,266
6bba_2819ca14,208,283
6bba_2819ca14,209,292
6bba_2819ca14,210,321
6bba_2819ca14,211,274
6bba_2819ca14,215,272
6bba_2819ca14,216,299
6bba_2819ca14,218,289
6bba_2819ca14,219,313
6bba_2819ca14,220,288
6bba_2819ca14,221,305
6bba_2819ca14,222,304
6bba_2819ca14,223,298
6bba_2819ca14,224,303
6bba_2819ca14,225,297
6bba_2819ca14,226,317
6bba_2819ca14,228,300
6bba_2819ca14,230,325
6bba_2819ca14,231,302
6bba_2819ca14,232,301
6bba_2819ca14,234,316
6bba_2819ca14,235,308
6bba_2819ca14,237,309
6bba_2819ca14,240,326
6bba_2819ca14,246,330
6bba_2819ca14,247,336
6bba_2819ca14,248,331
6bba_2819ca14,249,350
6bba_2819ca14,250,333
6bba_2819ca14,251,334
6bba_2819ca14,252,344
6bba_2819ca14,253,332
6bba_2819ca14,254,335
6bba_2819ca14,255,338
6bba_2819ca14,256,337
6bba_2819ca14,257,345
6bba_2819ca14,258,343
6bba_2819ca14,259,359
6bba_2819ca14,260,339
6bba_2819ca14,261,348
6bba_2819ca14,262,342
6bba_2819ca14,263,346
6bba_2819ca14,264,349
6bba_2819ca14,265,358
6bba_2819ca14,266,340
6bba_2819ca14,267,354
6bba_2819ca14,269,362
6bba_2819ca14,270,353
6bba_2819ca14,271,357
6bba_2819ca14,272,368
6bba_2819ca14,273,363
6bba_2819ca14,274,373
6bba_2819ca14,275,355
6bba_2819ca14,276,352
6bba_2819ca14,277,360
6bba_2819ca14,278,347
6bba_2819ca14,279,364
6bba_2819ca14,280,356
6bba_2819ca14,281,366
6bba_2819ca14,282,383
6bba_2819ca14,283,365
6bba_2819ca14,285,377
6bba_2819ca14,287,367
6bba_2819ca14,288,374
6bba_2819ca14,289,361
6bba_2819ca14,290,393
6bba_2819ca14,291,384
6bba_2819ca14,292,369
6bba_2819ca14,293,351
6bba_2819ca14,295,370
6bba_2819ca14,296,386
6bba_2819ca14,297,376
6bba_2819ca14,298,378
6bba_2819ca14,299,375
6bba_2819ca14,300,392
6bba_2819ca14,301,391
6bba_2819ca14,302,387
6bba_2819ca14,303,371
6bba_2819ca14,304,388
6bba_2819ca14,305,379
6bba_2819ca14,308,381
6bba_2819ca14,312,390
6bba_2819ca14,313,372
6bba_2819ca14,315,394
6bba_2819ca14,316,389
6bba_2819ca14,317,400
6bba_2819ca14,321,404
6bba_2819ca14,322,402
6bba_2819ca14,325,399
6bba_2819ca14,328,407
6bba_2819ca14,330,409
6bba_2819ca14,331,410
6bba_2819ca14,332,411
6bba_2819ca14,333,412
6bba_2819ca14,334,415
6bba_2819ca14,335,420
6bba_2819ca14,336,425
6bba_2819ca14,337,419
6bba_2819ca14,338,428
6bba_2819ca14,339,417
6bba_2819ca14,340,424
6bba_2819ca14,341,418
6bba_2819ca14,342,414
6bba_2819ca14,343,432
