dataset,source_id,target_id
6bba_f20478e9,5,105
6bba_f20478e9,6,80
6bba_f20478e9,9,109
6bba_f20478e9,14,85
6bba_f20478e9,15,77
6bba_f20478e9,16,111
6bba_f20478e9,19,121
6bba_f20478e9,20,83
6bba_f20478e9,22,101
6bba_f20478e9,23,95
6bba_f20478e9,30,84
6bba_f20478e9,32,99
6bba_f20478e9,35,93
6bba_f20478e9,38,103
6bba_f20478e9,42,108
6bba_f20478e9,44,133
6bba_f20478e9,49,115
6bba_f20478e9,51,134
6bba_f20478e9,55,148
6bba_f20478e9,58,122
6bba_f20478e9,59,145
6bba_f20478e9,71,149
6bba_f20478e9,75,153
6bba_f20478e9,76,154
6bba_f20478e9,77,155
6bba_f20478e9,78,156
6bba_f20478e9,79,157
6bba_f20478e9,80,158
6bba_f20478e9,81,159
6bba_f20478e9,82,160
6bba_f20478e9,83,161
6bba_f20478e9,84,162
6bba_f20478e9,85,163
6bba_f20478e9,86,164
6bba_f20478e9,87,165
6bba_f20478e9,88,166
6bba_f20478e9,89,167
6bba_f20478e9,90,168
6bba_f20478e9,91,169
6bba_f20478e9,92,170
6bba_f20478e9,93,171
6bba_f20478e9,94,172
6bba_f20478e9,95,173
6bba_f20478e9,96,174
6bba_f20478e9,97,175
6bba_f20478e9,98,176
6bba_f20478e9,99,177
6bba_f20478e9,100,178
6bba_f20478e9,101,179
6bba_f20478e9,102,180
6bba_f20478e9,103,181
6bba_f20478e9,104,182
6bba_f20478e9,105,183
6bba_f20478e9,106,184
6bba_f20478e9,107,185
6bba_f20478e9,108,186
6bba_f20478e9,109,187
6bba_f20478e9,110,188
6bba_f20478e9,111,189
6bba_f20478e9,112,190
6bba_f20478e9,113,191
6bba_f20478e9,114,192
6bba_f20478e9,115,193
6bba_f20478e9,116,194
6bba_f20478e9,117,195
6bba_f20478e9,118,196
6bba_f20478e9,119,197
6bba_f20478e9,120,198
6bba_f20478e9,121,199
6bba_f20478e9,122,200
6bba_f20478e9,123,201
6bba_f20478e9,124,202
6bba_f20478e9,125,203
6bba_f20478e9,126,204
6bba_f20478e9,127,205
6bba_f20478e9,128,206
6bba_f20478e9,129,207
6bba_f20478e9,130,208
6bba_f20478e9,131,209
6bba_f20478e9,132,210
6bba_f20478e9,133,211
6bba_f20478e9,134,212
6bba_f20478e9,135,213
6bba_f20478e9,136,214
6bba_f20478e9,137,215
6bba_f20478e9,138,216
6bba_f20478e9,139,217
6bba_f20478e9,140,218
6bba_f20478e9,141,219
6bba_f20478e9,142,220
6bba_f20478e9,143,221
6bba_f20478e9,144,222
6bba_f20478e9,145,223
6bba_f20478e9,146,224
6bba_f20478e9,147,225
6bba_f20478e9,148,226
6bba_f20478e9,150,228
6bba_f20478e9,151,227
6bba_f20478e9,152,230
6bba_f20478e9,156,241
6bba_f20478e9,157,237
6bba_f20478e9,158,235
6bba_f20478e9,159,236
6bba_f20478e9,161,249
6bba_f20478e9,163,238
6bba_f20478e9,164,243
6bba_f20478e9,167,276
6bba_f20478e9,171,248
6bba_f20478e9,176,253
6bba_f20478e9,179,256
6bba_f20478e9,180,263
6bba_f20478e9,181,258
6bba_f20478e9,183,254
6bba_f20478e9,185,264
6bba_f20478e9,189,288
6bba_f20478e9,195,272
6bba_f20478e9,197,285
6bba_f20478e9,198,278
6bba_f20478e9,199,271
6bba_f20478e9,201,306
6bba_f20478e9,204,279
6bba_f20478e9,205,283
6bba_f20478e9,207,244
6bba_f20478e9,209,295
6bba_f20478e9,210,286
6bba_f20478e9,212,289
6bba_f20478e9,218,294
6bba_f20478e9,227,303
6bba_f20478e9,231,308
6bba_f20478e9,232,312
6bba_f20478e9,233,309
6bba_f20478e9,234,310
6bba_f20478e9,235,313
6bba_f20478e9,236,314
6bba_f20478e9,237,316
6bba_f20478e9,238,315
6bba_f20478e9,239,311
6bba_f20478e9,240,307
6bba_f20478e9,241,317
6bba_f20478e9,242,321
6bba_f20478e9,243,318
6bba_f20478e9,244,324
6bba_f20478e9,245,322
6bba_f20478e9,246,323
6bba_f20478e9,247,330
6bba_f20478e9,248,325
6bba_f20478e9,249,319
6bba_f20478e9,250,320
6bba_f20478e9,251,326
6bba_f20478e9,252,327
6bba_f20478e9,253,333
6bba_f20478e9,254,329
6bba_f20478e9,255,335
6bba_f20478e9,256,332
6bba_f20478e9,257,338
6bba_f20478e9,258,334
6bba_f20478e9,259,337
6bba_f20478e9,260,339
6bba_f20478e9,261,340
6bba_f20478e9,262,328
6bba_f20478e9,263,341
6bba_f20478e9,264,336
6bba_f20478e9,265,344
6bba_f20478e9,266,342
6bba_f20478e9,267,350
6bba_f20478e9,268,346
6bba_f20478e9,269,345
6bba_f20478e9,271,353
6bba_f20478e9,272,347
6bba_f20478e9,273,349
6bba_f20478e9,274,351
6bba_f20478e9,277,355
6bba_f20478e9,278,356
6bba_f20478e9,279,352
6bba_f20478e9,280,360
6bba_f20478e9,281,359
6bba_f20478e9,282,357
6bba_f20478e9,283,361
6bba_f20478e9,284,354
6bba_f20478e9,286,362
6bba_f20478e9,287,364
6bba_f20478e9,289,363
6bba_f20478e9,292,343
6bba_f20478e9,294,367
6bba_f20478e9,300,376
6bba_f20478e9,301,381
6bba_f20478e9,312,389
6bba_f20478e9,316,391
6bba_f20478e9,317,448
6bba_f20478e9,325,398
6bba_f20478e9,327,402
6bba_f20478e9,329,404
6bba_f20478e9,332,407
6bba_f20478e9,335,409
6bba_f20478e9,339,405
6bba_f20478e9,340,410
6bba_f20478e9,343,392
6bba_f20478e9,347,425
6bba_f20478e9,351,428
6bba_f20478e9,352,449
6bba_f20478e9,356,429
6bba_f20478e9,357,433
6bba_f20478e9,363,442
6bba_f20478e9,364,437
6bba_f20478e9,366,436
6bba_f20478e9,367,426
6bba_f20478e9,369,443
6bba_f20478e9,370,416
6bba_f20478e9,371,431
6bba_f20478e9,372,382
6bba_f20478e9,373,454
6bba_f20478e9,382,471
6bba_f20478e9,383,460
6bba_f20478e9,384,459
6bba_f20478e9,385,461
6bba_f20478e9,386,463
6bba_f20478e9,387,465
6bba_f20478e9,388,464
6bba_f20478e9,389,467
6bba_f20478e9,390,474
6bba_f20478e9,391,466
6bba_f20478e9,392,462
6bba_f20478e9,393,475
6bba_f20478e9,394,486
6bba_f20478e9,395,469
6bba_f20478e9,396,472
6bba_f20478e9,397,468
6bba_f20478e9,398,476
6bba_f20478e9,399,478
6bba_f20478e9,400,470
6bba_f20478e9,401,482
6bba_f20478e9,402,479
6bba_f20478e9,403,489
6bba_f20478e9,404,480
6bba_f20478e9,405,483
6bba_f20478e9,406,492
6bba_f20478e9,407,487
6bba_f20478e9,408,477
