dataset,node_id,t,z,y,x,mean_intensity,snr,z_depth_ratio,estimated_radius_um,volume_um3,local_density_r15
44b6_0db75fae,0,0,0.0,111.0,103.0,0.44790092,4.304054,0.0,2.1350024,40.76465,1
44b6_0db75fae,1,0,53.0,43.0,52.0,0.6107866,4.6162825,0.84126985,2.5401762,68.65625,1
44b6_0db75fae,2,0,48.0,68.0,11.0,0.5519042,3.5907862,0.7619048,2.5401762,68.65625,1
44b6_0db75fae,3,0,30.0,67.0,45.0,0.5624277,3.3247607,0.47619048,2.5434792,68.92444,1
44b6_0db75fae,4,0,7.0,112.0,33.0,0.46611705,3.8585806,0.11111111,2.5401762,68.65625,1
44b6_0db75fae,5,0,8.0,74.0,94.0,0.52787673,3.4753122,0.12698413,2.5434792,68.92444,0
44b6_0db75fae,6,0,21.0,67.0,62.0,0.5619345,3.5379565,0.33333334,2.5434792,68.92444,1
44b6_0db75fae,7,0,13.0,70.0,111.0,0.5739378,4.5927196,0.20634921,2.5434792,68.92444,0
44b6_0db75fae,8,0,23.0,71.0,84.0,0.6091386,2.6331165,0.36507937,2.5434792,68.92444,1
44b6_0db75fae,9,0,14.0,92.0,33.0,0.4592797,3.5953615,0.22222222,2.5401762,68.65625,1
44b6_0db75fae,10,0,5.0,108.0,80.0,0.42836004,3.4079878,0.07936508,2.5134354,66.51074,1
44b6_0db75fae,11,0,0.0,71.0,158.0,0.5518974,5.1066256,0.0,2.1396742,41.032837,0
44b6_0db75fae,12,0,29.0,29.0,137.0,0.67134583,2.043221,0.46031746,2.5434792,68.92444,1
44b6_0db75fae,13,0,48.0,35.0,73.0,0.49617812,2.8955822,0.7619048,2.5434792,68.92444,1
44b6_0db75fae,14,0,11.0,61.0,200.0,0.5884438,3.1082747,0.17460318,2.5434792,68.92444,0
44b6_0db75fae,15,0,0.0,109.0,76.0,0.47034708,2.8805053,0.0,2.1396742,41.032837,1
44b6_0db75fae,16,0,40.0,59.0,50.0,0.48252812,2.4347794,0.63492066,2.5368643,68.38806,2
44b6_0db75fae,17,0,26.0,48.0,89.0,0.5258673,2.900252,0.41269842,2.5434792,68.92444,0
44b6_0db75fae,18,0,7.0,116.0,0.0,0.46962383,2.5936155,0.11111111,2.125597,40.22827,1
44b6_0db75fae,19,0,53.0,26.0,101.0,0.5661165,2.5348225,0.84126985,2.5434792,68.92444,0
44b6_0db75fae,20,0,11.0,54.0,165.0,0.52564543,3.4902532,0.17460318,2.5401762,68.65625,0
44b6_0db75fae,21,0,0.0,95.0,132.0,0.43063828,3.261541,0.0,2.1350024,40.76465,1
44b6_0db75fae,22,0,23.0,82.0,31.0,0.42757323,3.5303485,0.36507937,2.5401762,68.65625,1
44b6_0db75fae,23,0,38.0,31.0,112.0,0.5842695,3.0350676,0.6031746,2.5434792,68.92444,0
44b6_0db75fae,24,0,12.0,88.0,90.0,0.44704807,2.4331753,0.1904762,2.5434792,68.92444,2
44b6_0db75fae,25,0,4.0,52.0,182.0,0.48673493,3.019339,0.06349207,2.5401762,68.65625,0
44b6_0db75fae,26,0,60.0,14.0,117.0,0.5567454,2.3245764,0.95238096,2.5401762,68.65625,0
44b6_0db75fae,27,0,38.0,56.0,75.0,0.5195949,3.7020123,0.6031746,2.5434792,68.92444,2
44b6_0db75fae,28,0,8.0,32.0,255.0,0.5632773,1.7051938,0.12698413,2.1396742,41.032837,2
44b6_0db75fae,29,0,15.0,51.0,136.0,0.5051894,2.0753233,0.23809524,2.5434792,68.92444,1
44b6_0db75fae,30,0,63.0,32.0,87.0,0.47018054,2.9060578,1.0,2.1396742,41.032837,0
44b6_0db75fae,31,0,50.0,13.0,140.0,0.55727494,2.9108171,0.7936508,2.5434792,68.92444,1
44b6_0db75fae,32,0,15.0,19.0,247.0,0.56735355,2.2832792,0.23809524,2.5401762,68.65625,1
44b6_0db75fae,33,0,22.0,12.0,233.0,0.5513183,2.051122,0.34920636,2.5302145,67.851685,1
44b6_0db75fae,34,0,31.0,16.0,177.0,0.55753714,2.0496283,0.4920635,2.5434792,68.92444,0
44b6_0db75fae,35,0,21.0,33.0,182.0,0.53570324,1.5484431,0.33333334,2.5401762,68.65625,1
44b6_0db75fae,36,0,56.0,102.0,20.0,0.4166582,2.944429,0.8888889,2.5368643,68.38806,3
44b6_0db75fae,37,0,10.0,66.0,238.0,0.5922683,1.5138122,0.15873016,2.5401762,68.65625,2
44b6_0db75fae,38,0,49.0,60.0,34.0,0.44489112,2.7602408,0.7777778,2.5368643,68.38806,1
44b6_0db75fae,39,0,41.0,36.0,85.0,0.46934658,2.1119394,0.6507937,2.5401762,68.65625,1
44b6_0db75fae,40,0,0.0,65.0,239.0,0.6579236,1.8033348,0.0,2.1396742,41.032837,1
44b6_0db75fae,41,0,27.0,54.0,118.0,0.5657277,2.9268506,0.42857143,2.5401762,68.65625,1
44b6_0db75fae,42,0,37.0,8.0,201.0,0.55080414,2.3046234,0.5873016,2.5401762,68.65625,0
44b6_0db75fae,43,0,59.0,73.0,12.0,0.44241452,1.7450981,0.93650794,2.475711,63.56067,2
44b6_0db75fae,44,0,0.0,140.0,27.0,0.3398298,1.9503047,0.0,2.125597,40.22827,1
44b6_0db75fae,45,0,0.0,88.0,233.0,0.39623582,3.182228,0.0,2.1350024,40.76465,0
44b6_0db75fae,46,0,9.0,41.0,205.0,0.4906351,2.3491397,0.14285715,2.5434792,68.92444,1
