dataset,node_id,t,z,y,x,mean_intensity,snr,z_depth_ratio,estimated_radius_um,volume_um3,local_density_r15
44b6_74d0c52e,0,0,63.0,157.0,16.0,0.22595479,4.1809444,1.0,2.1396742,41.032837,0
44b6_74d0c52e,1,0,34.0,145.0,188.0,0.29357952,1.7111708,0.53968257,2.5401762,68.65625,2
44b6_74d0c52e,2,0,63.0,151.0,214.0,0.40847403,2.3565488,1.0,2.1396742,41.032837,0
44b6_74d0c52e,3,0,34.0,155.0,209.0,0.31915504,2.3324764,0.53968257,2.5434792,68.92444,2
44b6_74d0c52e,4,0,31.0,153.0,255.0,0.32762474,1.8803551,0.4920635,2.1350024,40.76465,1
44b6_74d0c52e,5,0,52.0,144.0,138.0,0.27484167,2.9799404,0.82539684,2.5434792,68.92444,0
44b6_74d0c52e,6,0,49.0,145.0,234.0,0.3001605,2.1624162,0.7777778,2.5434792,68.92444,0
44b6_74d0c52e,7,0,57.0,159.0,46.0,0.22825967,3.0863736,0.9047619,2.5401762,68.65625,0
44b6_74d0c52e,8,0,40.0,151.0,181.0,0.33415604,2.1318655,0.63492066,2.5434792,68.92444,2
44b6_74d0c52e,9,0,40.0,148.0,212.0,0.3129536,1.8082627,0.63492066,2.5235295,67.31531,2
44b6_74d0c52e,10,0,47.0,151.0,121.0,0.26024666,2.575724,0.74603176,2.5401762,68.65625,1
44b6_74d0c52e,11,0,0.0,180.0,226.0,0.31191456,1.9953713,0.0,2.1396742,41.032837,1
44b6_74d0c52e,12,0,63.0,153.0,245.0,0.36658737,1.8866984,1.0,2.1350024,40.76465,1
44b6_74d0c52e,13,0,57.0,154.0,189.0,0.3668751,2.5325897,0.9047619,2.5401762,68.65625,3
44b6_74d0c52e,14,0,6.0,168.0,77.0,0.16801311,4.53053,0.0952381,2.5434792,68.92444,0
44b6_74d0c52e,15,0,34.0,157.0,187.0,0.30332774,1.5179175,0.53968257,2.5434792,68.92444,2
44b6_74d0c52e,16,0,63.0,148.0,76.0,0.21797265,4.0837173,1.0,2.1396742,41.032837,0
44b6_74d0c52e,17,0,56.0,153.0,248.0,0.35014746,2.013078,0.8888889,2.493,64.90161,2
44b6_74d0c52e,18,0,16.0,160.0,195.0,0.22155271,2.4854996,0.25396827,2.5434792,68.92444,0
44b6_74d0c52e,19,0,30.0,166.0,75.0,0.19043373,2.4313788,0.47619048,2.5401762,68.65625,0
44b6_74d0c52e,20,0,38.0,157.0,153.0,0.27372825,2.8587718,0.6031746,2.5434792,68.92444,2
44b6_74d0c52e,21,0,34.0,155.0,90.0,0.19118111,2.8178537,0.53968257,2.5434792,68.92444,0
44b6_74d0c52e,22,0,0.0,198.0,241.0,0.35981023,2.2831619,0.0,2.1396742,41.032837,1
44b6_74d0c52e,23,0,40.0,172.0,246.0,0.43237683,2.020401,0.63492066,2.5434792,68.92444,1
44b6_74d0c52e,24,0,47.0,199.0,105.0,0.25274938,1.962698,0.74603176,2.5434792,68.92444,0
44b6_74d0c52e,25,0,19.0,161.0,114.0,0.19292244,1.8304266,0.3015873,2.5434792,68.92444,1
44b6_74d0c52e,26,0,11.0,164.0,115.0,0.2033127,1.7539749,0.17460318,2.5434792,68.92444,2
44b6_74d0c52e,27,0,53.0,144.0,200.0,0.30428994,1.261479,0.84126985,2.5066607,65.974365,2
44b6_74d0c52e,28,0,26.0,161.0,47.0,0.15028743,4.617382,0.41269842,2.5434792,68.92444,1
44b6_74d0c52e,29,0,63.0,206.0,232.0,0.38807535,1.9923108,1.0,2.1350024,40.76465,0
44b6_74d0c52e,30,0,63.0,144.0,173.0,0.2982377,2.0024137,1.0,2.1396742,41.032837,0
44b6_74d0c52e,31,0,42.0,158.0,33.0,0.14547893,5.2432814,0.6666667,2.5434792,68.92444,0
44b6_74d0c52e,32,0,8.0,170.0,120.0,0.2036134,1.6719553,0.12698413,2.5434792,68.92444,2
44b6_74d0c52e,33,0,15.0,170.0,14.0,0.14049271,3.461041,0.23809524,2.5434792,68.92444,0
44b6_74d0c52e,34,0,44.0,255.0,126.0,0.38417378,1.2422539,0.6984127,2.1396742,41.032837,1
44b6_74d0c52e,35,0,24.0,167.0,0.0,0.13179445,4.4313555,0.3809524,2.1396742,41.032837,1
44b6_74d0c52e,36,0,63.0,155.0,154.0,0.2956597,2.6214387,1.0,2.1350024,40.76465,1
44b6_74d0c52e,37,0,5.0,185.0,238.0,0.31488436,1.6649693,0.07936508,2.5401762,68.65625,3
44b6_74d0c52e,38,0,0.0,181.0,14.0,0.14989682,2.6164181,0.0,2.1396742,41.032837,0
44b6_74d0c52e,39,0,63.0,175.0,108.0,0.25159645,2.2516057,1.0,2.1350024,40.76465,0
44b6_74d0c52e,40,0,25.0,153.0,148.0,0.18044777,1.5752465,0.3968254,2.5401762,68.65625,1
44b6_74d0c52e,41,0,6.0,168.0,206.0,0.2111713,2.5853584,0.0952381,2.5434792,68.92444,0
44b6_74d0c52e,42,0,3.0,242.0,57.0,0.17996162,3.2495878,0.04761905,2.5401762,68.65625,0
44b6_74d0c52e,43,0,31.0,159.0,128.0,0.18476488,1.6123041,0.4920635,2.475711,63.56067,2
44b6_74d0c52e,44,0,12.0,175.0,130.0,0.20254412,1.8619543,0.1904762,2.5434792,68.92444,1
44b6_74d0c52e,45,0,0.0,236.0,78.0,0.16620898,2.8722377,0.0,2.1396742,41.032837,0
44b6_74d0c52e,46,0,38.0,151.0,122.0,0.20805234,1.0164796,0.6031746,2.5401762,68.65625,2
44b6_74d0c52e,47,0,54.0,152.0,99.0,0.19881785,2.029797,0.85714287,2.5434792,68.92444,0
44b6_74d0c52e,48,0,0.0,255.0,0.0,0.15702371,3.4253209,0.0,1.5121043,14.482178,0
44b6_74d0c52e,49,0,17.0,157.0,171.0,0.17528382,1.4669206,0.26984128,2.5201738,67.04712,2
44b6_74d0c52e,50,0,27.0,191.0,255.0,0.39674842,1.0569595,0.42857143,2.13031,40.49646,0
44b6_74d0c52e,51,0,3.0,182.0,146.0,0.19400628,2.026736,0.04761905,2.5401762,68.65625,0
44b6_74d0c52e,52,0,41.0,193.0,206.0,0.41403556,1.0142587,0.6507937,2.5335438,68.11987,1
44b6_74d0c52e,53,0,48.0,162.0,0.0,0.1382098,3.5455263,0.7619048,2.1396742,41.032837,1
44b6_74d0c52e,54,0,16.0,156.0,134.0,0.1696079,2.046395,0.25396827,2.5401762,68.65625,0
44b6_74d0c52e,55,0,25.0,152.0,176.0,0.20607503,1.2303265,0.3968254,2.5401762,68.65625,1
44b6_74d0c52e,56,0,10.0,163.0,246.0,0.19861779,1.6695784,0.15873016,2.5368643,68.38806,0
44b6_74d0c52e,57,0,0.0,203.0,52.0,0.13335922,3.7465012,0.0,2.1396742,41.032837,0
44b6_74d0c52e,58,0,14.0,166.0,48.0,0.11282223,2.0881186,0.22222222,2.5434792,68.92444,1
44b6_74d0c52e,59,0,59.0,173.0,211.0,0.39215225,1.4382267,0.93650794,2.5434792,68.92444,1
44b6_74d0c52e,60,0,18.0,158.0,225.0,0.19182315,0.9598422,0.2857143,2.4652207,62.756104,1
44b6_74d0c52e,61,0,27.0,220.0,0.0,0.13843913,5.091904,0.42857143,2.1396742,41.032837,1
44b6_74d0c52e,62,0,46.0,157.0,221.0,0.29353714,1.5640373,0.73015875,2.472224,63.29248,1
44b6_74d0c52e,63,0,63.0,152.0,123.0,0.234188,2.378048,1.0,2.1396742,41.032837,0
44b6_74d0c52e,64,0,15.0,255.0,207.0,0.37532672,0.8355307,0.23809524,2.1017118,38.88733,1
44b6_74d0c52e,65,0,17.0,255.0,198.0,0.3649277,0.787641,0.26984128,2.13031,40.49646,1
44b6_74d0c52e,66,0,13.0,234.0,21.0,0.13440661,2.2799504,0.20634921,2.5434792,68.92444,0
44b6_74d0c52e,67,0,63.0,182.0,56.0,0.17905255,2.302411,1.0,2.13031,40.49646,0
44b6_74d0c52e,68,0,63.0,255.0,255.0,0.35389918,1.9410722,1.0,1.5121043,14.482178,0
44b6_74d0c52e,69,0,47.0,156.0,198.0,0.29044583,0.79019696,0.74603176,2.4895616,64.63342,3
44b6_74d0c52e,70,0,21.0,221.0,229.0,0.38888147,0.65859026,0.33333334,2.5032594,65.70618,0
44b6_74d0c52e,71,0,33.0,203.0,34.0,0.14417367,2.6330402,0.52380955,2.5335438,68.11987,0
44b6_74d0c52e,72,0,25.0,209.0,163.0,0.20855607,1.2073851,0.3968254,2.4895616,64.63342,0
44b6_74d0c52e,73,0,38.0,163.0,0.0,0.10680323,1.330037,0.6031746,2.1396742,41.032837,2
44b6_74d0c52e,74,0,0.0,212.0,171.0,0.15524063,2.398066,0.0,2.1396742,41.032837,0
44b6_74d0c52e,75,0,19.0,220.0,86.0,0.14842723,2.047402,0.3015873,2.5434792,68.92444,0
44b6_74d0c52e,76,0,63.0,169.0,225.0,0.37657714,1.5396737,1.0,2.1396742,41.032837,0
44b6_74d0c52e,77,0,28.0,230.0,198.0,0.3842901,0.95226693,0.44444445,2.493,64.90161,0
44b6_74d0c52e,78,0,27.0,163.0,160.0,0.17792082,0.90792054,0.42857143,2.499849,65.43799,1
44b6_74d0c52e,79,0,20.0,215.0,255.0,0.38749117,0.80704355,0.31746033,2.0723133,37.2782,1
44b6_74d0c52e,80,0,42.0,154.0,255.0,0.2771659,0.6017087,0.6666667,2.0623262,36.74182,1
44b6_74d0c52e,81,0,53.0,196.0,198.0,0.39679006,1.2429311,0.84126985,2.5368643,68.38806,1
44b6_74d0c52e,82,0,56.0,200.0,42.0,0.17263447,1.942405,0.8888889,2.5434792,68.92444,0
44b6_74d0c52e,83,0,46.0,226.0,167.0,0.39929467,1.2887893,0.73015875,2.5401762,68.65625,0
44b6_74d0c52e,84,0,27.0,161.0,221.0,0.24704523,1.5070168,0.42857143,2.5434792,68.92444,1
44b6_74d0c52e,85,0,43.0,212.0,0.0,0.14340237,2.1296751,0.6825397,2.1396742,41.032837,0
44b6_74d0c52e,86,0,8.0,191.0,207.0,0.20819594,1.9211534,0.12698413,2.5434792,68.92444,0
44b6_74d0c52e,87,0,53.0,190.0,234.0,0.3753887,1.1741185,0.84126985,2.4964292,65.1698,0
44b6_74d0c52e,88,0,46.0,216.0,76.0,0.19690587,2.0610542,0.73015875,2.5401762,68.65625,0
44b6_74d0c52e,89,0,11.0,230.0,41.0,0.12744367,3.5558221,0.17460318,2.5434792,68.92444,0
44b6_74d0c52e,90,0,52.0,136.0,163.0,0.18887426,0.9006252,0.82539684,2.4964292,65.1698,0
44b6_74d0c52e,91,0,1.0,239.0,104.0,0.1519345,3.240249,0.015873017,2.3316977,53.10132,0
44b6_74d0c52e,92,0,25.0,215.0,71.0,0.14623572,1.7927015,0.3968254,2.5368643,68.38806,1
44b6_74d0c52e,93,0,55.0,182.0,217.0,0.37473312,1.1521491,0.8730159,2.4861133,64.365234,1
44b6_74d0c52e,94,0,63.0,173.0,141.0,0.25936106,2.0232265,1.0,2.120863,39.960083,0
44b6_74d0c52e,95,0,34.0,255.0,159.0,0.3664164,0.6358149,0.53968257,2.0968692,38.61914,1
44b6_74d0c52e,96,0,27.0,203.0,19.0,0.11914312,1.8393247,0.42857143,2.5434792,68.92444,0
44b6_74d0c52e,97,0,58.0,255.0,128.0,0.37856603,1.1720834,0.9206349,2.1065323,39.155518,1
44b6_74d0c52e,98,0,63.0,220.0,142.0,0.346254,1.4303955,1.0,2.1350024,40.76465,0
44b6_74d0c52e,99,0,41.0,161.0,134.0,0.20752093,1.18784,0.6507937,2.42597,59.80603,1
44b6_74d0c52e,100,0,48.0,208.0,183.0,0.38531226,1.0598317,0.7619048,2.5268764,67.583496,2
44b6_74d0c52e,101,0,33.0,241.0,174.0,0.37507385,0.73397493,0.52380955,2.475711,63.56067,1
44b6_74d0c52e,102,0,7.0,164.0,171.0,0.1415149,1.3773886,0.11111111,2.5235295,67.31531,1
44b6_74d0c52e,103,0,63.0,195.0,180.0,0.35022876,1.0684183,1.0,2.1350024,40.76465,1
44b6_74d0c52e,104,0,22.0,238.0,218.0,0.39969128,0.89860934,0.34920636,2.5302145,67.851685,0
44b6_74d0c52e,105,0,43.0,229.0,207.0,0.40684667,1.1051753,0.6825397,2.5201738,67.04712,0
44b6_74d0c52e,106,0,29.0,255.0,171.0,0.3561706,0.49848083,0.46031746,2.0420563,35.669067,2
44b6_74d0c52e,107,0,35.0,206.0,55.0,0.14957653,1.6627911,0.5555556,2.5368643,68.38806,1
44b6_74d0c52e,108,0,63.0,196.0,169.0,0.32850453,1.1210766,1.0,2.1113307,39.423706,1
44b6_74d0c52e,109,0,20.0,239.0,234.0,0.4009877,1.1535326,0.31746033,2.5201738,67.04712,0
44b6_74d0c52e,110,0,63.0,171.0,159.0,0.26328146,1.5992705,1.0,2.0822053,37.814575,1
44b6_74d0c52e,111,0,54.0,161.0,160.0,0.25894848,1.2990721,0.85714287,2.5401762,68.65625,2
44b6_74d0c52e,112,0,44.0,175.0,155.0,0.23887709,1.2622457,0.6984127,2.5201738,67.04712,1
44b6_74d0c52e,113,0,34.0,201.0,125.0,0.17252795,1.2075531,0.53968257,2.5401762,68.65625,0
44b6_74d0c52e,114,0,0.0,178.0,107.0,0.11976146,1.0123092,0.0,2.0822053,37.814575,0
44b6_74d0c52e,115,0,25.0,179.0,208.0,0.19613202,0.95671636,0.3968254,2.4652207,62.756104,0
44b6_74d0c52e,116,0,4.0,179.0,185.0,0.16536611,1.9072913,0.06349207,2.5434792,68.92444,1
44b6_74d0c52e,117,0,53.0,141.0,252.0,0.20590463,0.5159443,0.84126985,2.4077017,58.465088,1
44b6_74d0c52e,118,0,30.0,209.0,63.0,0.1432821,1.2631329,0.47619048,2.5368643,68.38806,2
44b6_74d0c52e,119,0,1.0,243.0,245.0,0.35830626,1.5955588,0.015873017,2.3158891,52.028564,0
44b6_74d0c52e,120,0,40.0,174.0,162.0,0.22500652,0.9189207,0.63492066,2.4687274,63.024292,1
44b6_74d0c52e,121,0,63.0,255.0,224.0,0.3295656,1.5354427,1.0,1.7794183,23.600586,0
44b6_74d0c52e,122,0,34.0,224.0,44.0,0.1371207,1.8742269,0.53968257,2.5302145,67.851685,0
44b6_74d0c52e,123,0,0.0,223.0,190.0,0.19238047,1.3696461,0.0,2.13031,40.49646,0
44b6_74d0c52e,124,0,50.0,244.0,145.0,0.39420897,1.1046016,0.7936508,2.5100527,66.24255,0
44b6_74d0c52e,125,0,7.0,255.0,125.0,0.13737747,2.3128476,0.11111111,2.1161075,39.691895,0
44b6_74d0c52e,126,0,49.0,198.0,70.0,0.16242665,1.6165452,0.7777778,2.5401762,68.65625,0
44b6_74d0c52e,127,0,63.0,214.0,87.0,0.204278,2.1214283,1.0,2.1350024,40.76465,0
44b6_74d0c52e,128,0,63.0,238.0,222.0,0.33124956,1.5590303,1.0,2.1396742,41.032837,0
44b6_74d0c52e,129,0,0.0,255.0,211.0,0.30468577,0.6310586,0.0,1.7658345,23.064209,0
44b6_74d0c52e,130,0,26.0,153.0,204.0,0.19441776,0.34175104,0.41269842,2.3472948,54.174072,1
44b6_74d0c52e,131,0,47.0,192.0,142.0,0.21766286,1.224072,0.74603176,2.493,64.90161,0
44b6_74d0c52e,132,0,22.0,219.0,135.0,0.14785111,1.3847971,0.34920636,2.5066607,65.974365,0
44b6_74d0c52e,133,0,57.0,237.0,253.0,0.31213656,1.4172179,0.9047619,2.4617038,62.487915,0
44b6_74d0c52e,134,0,11.0,223.0,255.0,0.3336991,0.3966292,0.17460318,1.9677329,31.914429,1
44b6_74d0c52e,135,0,0.0,171.0,255.0,0.20438196,0.5338247,0.0,1.6565452,19.041382,0
44b6_74d0c52e,136,0,16.0,227.0,0.0,0.09656438,1.5915145,0.25396827,2.13031,40.49646,1
44b6_74d0c52e,137,0,12.0,228.0,117.0,0.13079862,1.6450305,0.1904762,2.5302145,67.851685,0
44b6_74d0c52e,138,0,32.0,214.0,244.0,0.42992225,1.5133349,0.50793654,2.5401762,68.65625,0
44b6_74d0c52e,139,0,8.0,255.0,96.0,0.12579328,1.924024,0.12698413,2.125597,40.22827,0
44b6_74d0c52e,140,0,49.0,197.0,0.0,0.11608524,1.9153827,0.7777778,2.1396742,41.032837,0
44b6_74d0c52e,141,0,27.0,236.0,35.0,0.10617766,1.8353868,0.42857143,2.5302145,67.851685,0
44b6_74d0c52e,142,0,61.0,148.0,198.0,0.2998661,0.2655935,0.96825397,2.1942115,44.2511,2
44b6_74d0c52e,143,0,11.0,255.0,155.0,0.16169453,0.86543185,0.17460318,2.13031,40.49646,0
44b6_74d0c52e,144,0,46.0,221.0,21.0,0.12571001,1.852438,0.73015875,2.5401762,68.65625,0
44b6_74d0c52e,145,0,0.0,255.0,195.0,0.24803054,0.7115217,0.0,1.7794183,23.600586,0
44b6_74d0c52e,146,0,57.0,216.0,178.0,0.35912362,0.3656843,0.9047619,2.2753932,49.34668,2
44b6_74d0c52e,147,0,54.0,171.0,245.0,0.31233743,0.4214186,0.85714287,2.2836077,49.883057,1
44b6_74d0c52e,148,0,16.0,176.0,240.0,0.20425543,0.3654716,0.25396827,2.3356164,53.369507,1
44b6_74d0c52e,149,0,55.0,219.0,255.0,0.2959869,1.532934,0.8730159,2.0822053,37.814575,0
44b6_74d0c52e,150,0,0.0,179.0,195.0,0.17752433,1.1699558,0.0,2.13031,40.49646,1
44b6_74d0c52e,151,0,28.0,173.0,231.0,0.26478502,0.46976212,0.44444445,2.400316,57.92871,0
44b6_74d0c52e,152,0,63.0,255.0,92.0,0.24459855,1.2736001,1.0,1.7927979,24.136963,0
