dataset,node_id,t,z,y,x,mean_intensity,snr,z_depth_ratio,estimated_radius_um,volume_um3,local_density_r15
44b6_8cc6506c,0,0,39.0,135.0,17.0,0.68055904,1.5158482,0.61904764,2.4791882,63.828857,0
44b6_8cc6506c,1,0,15.0,255.0,0.0,0.34178925,1.7015651,0.23809524,1.7794183,23.600586,1
44b6_8cc6506c,2,0,49.0,127.0,32.0,0.6423704,2.1956582,0.7777778,2.5401762,68.65625,1
44b6_8cc6506c,3,0,46.0,110.0,107.0,0.58641255,4.779058,0.73015875,2.5434792,68.92444,1
44b6_8cc6506c,4,0,63.0,74.0,218.0,0.6054243,2.2642183,1.0,2.1396742,41.032837,0
44b6_8cc6506c,5,0,63.0,81.0,246.0,0.5978321,2.659098,1.0,2.1396742,41.032837,0
44b6_8cc6506c,6,0,37.0,158.0,82.0,0.5677698,2.8052425,0.5873016,2.5434792,68.92444,1
44b6_8cc6506c,7,0,53.0,106.0,85.0,0.589954,3.3063257,0.84126985,2.5434792,68.92444,1
44b6_8cc6506c,8,0,34.0,166.0,167.0,0.6598974,1.902392,0.53968257,2.5401762,68.65625,0
44b6_8cc6506c,9,0,42.0,128.0,102.0,0.5921283,2.7968736,0.6666667,2.5401762,68.65625,5
44b6_8cc6506c,10,0,54.0,100.0,11.0,0.6321897,1.4991957,0.85714287,2.5434792,68.92444,0
44b6_8cc6506c,11,0,40.0,114.0,59.0,0.5218761,2.0753262,0.63492066,2.5434792,68.92444,4
44b6_8cc6506c,12,0,32.0,225.0,34.0,0.6250309,1.7063719,0.50793654,2.5032594,65.70618,3
44b6_8cc6506c,13,0,42.0,107.0,157.0,0.55336636,1.1017175,0.6666667,2.4617038,62.487915,2
44b6_8cc6506c,14,0,15.0,255.0,34.0,0.38752517,2.552527,0.23809524,2.1396742,41.032837,2
44b6_8cc6506c,15,0,44.0,149.0,31.0,0.67599356,1.4593273,0.6984127,2.5401762,68.65625,2
44b6_8cc6506c,16,0,40.0,135.0,89.0,0.56837326,2.3223672,0.63492066,2.5434792,68.92444,3
44b6_8cc6506c,17,0,56.0,81.0,84.0,0.5363707,3.5420923,0.8888889,2.5434792,68.92444,2
44b6_8cc6506c,18,0,36.0,171.0,32.0,0.5738005,1.4048682,0.5714286,2.499849,65.43799,2
44b6_8cc6506c,19,0,32.0,238.0,30.0,0.6185328,1.507597,0.50793654,2.5168092,66.77893,2
44b6_8cc6506c,20,0,34.0,175.0,0.0,0.6128518,1.3954716,0.53968257,2.1113307,39.423706,3
