dataset,node_id,t,z,y,x,mean_intensity,snr,z_depth_ratio,estimated_radius_um,volume_um3,local_density_r15
44b6_d754aa59,0,0,10.0,129.0,118.0,0.33140963,6.092839,0.15873016,2.5434792,68.92444,0
44b6_d754aa59,1,0,7.0,18.0,100.0,0.31803843,3.7215905,0.11111111,2.5434792,68.92444,0
44b6_d754aa59,2,0,22.0,137.0,146.0,0.33967787,5.253799,0.34920636,2.5434792,68.92444,0
44b6_d754aa59,3,0,10.0,64.0,117.0,0.28221104,5.380821,0.15873016,2.5434792,68.92444,0
44b6_d754aa59,4,0,0.0,138.0,96.0,0.28960997,5.059573,0.0,2.1396742,41.032837,0
44b6_d754aa59,5,0,17.0,227.0,129.0,0.32791588,5.418868,0.26984128,2.5434792,68.92444,0
44b6_d754aa59,6,0,29.0,229.0,154.0,0.34562427,5.1914854,0.46031746,2.5434792,68.92444,0
44b6_d754aa59,7,0,21.0,104.0,143.0,0.28651047,6.84662,0.33333334,2.5434792,68.92444,0
44b6_d754aa59,8,0,28.0,82.0,155.0,0.2774166,5.4987383,0.44444445,2.5434792,68.92444,0
44b6_d754aa59,9,0,19.0,48.0,134.0,0.24196655,5.164969,0.3015873,2.5434792,68.92444,0
44b6_d754aa59,10,0,63.0,16.0,201.0,0.45539114,6.568553,1.0,2.1396742,41.032837,2
44b6_d754aa59,11,0,38.0,94.0,173.0,0.2828192,5.9459534,0.6031746,2.5434792,68.92444,0
44b6_d754aa59,12,0,30.0,26.0,154.0,0.33761135,5.2286005,0.47619048,2.5434792,68.92444,0
44b6_d754aa59,13,0,4.0,176.0,103.0,0.3147334,2.9607275,0.06349207,2.5434792,68.92444,0
44b6_d754aa59,14,0,42.0,53.0,176.0,0.28581578,4.610626,0.6666667,2.5434792,68.92444,0
44b6_d754aa59,15,0,24.0,255.0,142.0,0.21721493,10.760322,0.3809524,2.1396742,41.032837,0
44b6_d754aa59,16,0,34.0,197.0,167.0,0.2882707,4.8693924,0.53968257,2.5434792,68.92444,0
44b6_d754aa59,17,0,38.0,243.0,171.0,0.31339937,4.676954,0.6031746,2.5434792,68.92444,1
44b6_d754aa59,18,0,53.0,234.0,189.0,0.38500315,5.3752837,0.84126985,2.5434792,68.92444,0
44b6_d754aa59,19,0,23.0,184.0,149.0,0.27873728,5.7333965,0.36507937,2.5434792,68.92444,0
44b6_d754aa59,20,0,16.0,180.0,134.0,0.23805994,3.5158331,0.25396827,2.5434792,68.92444,0
44b6_d754aa59,21,0,47.0,141.0,190.0,0.343873,4.022958,0.74603176,2.5434792,68.92444,1
44b6_d754aa59,22,0,50.0,23.0,184.0,0.3385813,5.9439225,0.7936508,2.5434792,68.92444,2
44b6_d754aa59,23,0,63.0,52.0,200.0,0.3574302,3.893141,1.0,2.1396742,41.032837,0
44b6_d754aa59,24,0,48.0,176.0,190.0,0.25615674,4.708987,0.7619048,2.5434792,68.92444,0
44b6_d754aa59,25,0,4.0,92.0,105.0,0.27808025,4.329041,0.06349207,2.5434792,68.92444,0
44b6_d754aa59,26,0,37.0,130.0,169.0,0.40461156,2.26254,0.5873016,2.5434792,68.92444,0
44b6_d754aa59,27,0,53.0,95.0,193.0,0.3330655,4.6196213,0.84126985,2.5434792,68.92444,1
44b6_d754aa59,28,0,63.0,153.0,212.0,0.23208019,2.6479886,1.0,2.1396742,41.032837,0
44b6_d754aa59,29,0,40.0,19.0,165.0,0.38386223,5.3395495,0.63492066,2.5401762,68.65625,1
44b6_d754aa59,30,0,63.0,111.0,209.0,0.3415098,4.617242,1.0,2.1396742,41.032837,1
44b6_d754aa59,31,0,51.0,208.0,195.0,0.25817445,5.527626,0.8095238,2.5401762,68.65625,1
44b6_d754aa59,32,0,0.0,80.0,92.0,0.23738205,3.8082252,0.0,2.1350024,40.76465,0
44b6_d754aa59,33,0,56.0,188.0,201.0,0.3269237,3.751975,0.8888889,2.5434792,68.92444,1
44b6_d754aa59,34,0,4.0,225.0,102.0,0.21732172,3.7637813,0.06349207,2.5434792,68.92444,0
44b6_d754aa59,35,0,34.0,0.0,166.0,0.33806098,4.65046,0.53968257,2.1396742,41.032837,0
44b6_d754aa59,36,0,53.0,122.0,199.0,0.26551262,3.8530319,0.84126985,2.5434792,68.92444,0
44b6_d754aa59,37,0,60.0,196.0,209.0,0.28939006,2.4951005,0.95238096,2.5401762,68.65625,1
44b6_d754aa59,38,0,51.0,59.0,188.0,0.25912222,3.9897692,0.8095238,2.5434792,68.92444,0
44b6_d754aa59,39,0,48.0,255.0,189.0,0.23233746,3.0013769,0.7619048,2.1396742,41.032837,0
44b6_d754aa59,40,0,63.0,234.0,205.0,0.21936624,2.2977362,1.0,2.1396742,41.032837,0
44b6_d754aa59,41,0,0.0,219.0,79.0,0.14898457,2.2560956,0.0,2.0420563,35.669067,0
44b6_d754aa59,42,0,54.0,0.0,193.0,0.20118266,2.2608213,0.85714287,2.1396742,41.032837,0
44b6_d754aa59,43,0,0.0,174.0,83.0,0.15821987,2.1083221,0.0,2.0522413,36.205444,0
44b6_d754aa59,44,0,0.0,255.0,90.0,0.11073011,4.205307,0.0,1.7309273,21.723267,0
44b6_d754aa59,45,0,0.0,32.0,86.0,0.13451824,3.2144592,0.0,2.092004,38.350952,1
44b6_d754aa59,46,0,0.0,0.0,69.0,0.101226784,3.2572162,0.0,1.7589635,22.79602,0
44b6_d754aa59,47,0,10.0,96.0,130.0,0.12832254,4.0904636,0.15873016,2.5434792,68.92444,0
44b6_d754aa59,48,0,40.0,199.0,181.0,0.15151568,2.105776,0.63492066,2.5434792,68.92444,0
44b6_d754aa59,49,0,56.0,100.0,208.0,0.16996323,0.69584334,0.8888889,2.418696,59.269653,1
44b6_d754aa59,50,0,29.0,0.0,135.0,0.11601028,2.9412487,0.46031746,2.1396742,41.032837,1
44b6_d754aa59,51,0,0.0,145.0,61.0,0.08679799,1.6065692,0.0,2.1350024,40.76465,0
44b6_d754aa59,52,0,39.0,96.0,188.0,0.12222959,0.63240904,0.61904764,2.4150422,59.001465,1
44b6_d754aa59,53,0,49.0,148.0,202.0,0.12767442,0.57160276,0.7777778,2.400316,57.92871,1
44b6_d754aa59,54,0,30.0,0.0,111.0,0.1007386,1.5106553,0.47619048,2.1396742,41.032837,0
44b6_d754aa59,55,0,55.0,212.0,207.0,0.1214283,0.58837837,0.8730159,2.3741014,56.05139,1
44b6_d754aa59,56,0,9.0,207.0,122.0,0.108993806,1.6551286,0.14285715,2.5302145,67.851685,0
44b6_d754aa59,57,0,37.0,158.0,138.0,0.09019114,1.7043477,0.5873016,2.5201738,67.04712,0
44b6_d754aa59,58,0,38.0,0.0,182.0,0.10526865,0.47863638,0.6031746,1.8752661,27.623413,0
44b6_d754aa59,59,0,39.0,23.0,179.0,0.13676389,0.1985235,0.61904764,2.2876928,50.151245,2
44b6_d754aa59,60,0,51.0,24.0,197.0,0.12670664,0.16221632,0.8095238,2.233402,46.664795,5
44b6_d754aa59,61,0,8.0,51.0,74.0,0.08729005,1.5052575,0.12698413,2.5302145,67.851685,0
44b6_d754aa59,62,0,17.0,255.0,118.0,0.07787584,2.8771803,0.26984128,2.125597,40.22827,0
44b6_d754aa59,63,0,7.0,76.0,78.0,0.09562262,0.8401456,0.11111111,2.5134354,66.51074,0
44b6_d754aa59,64,0,54.0,27.0,202.0,0.11412565,0.27094105,0.85714287,2.2958198,50.687622,4
44b6_d754aa59,65,0,0.0,101.0,77.0,0.07287973,1.3339862,0.0,2.0317688,35.13269,0
44b6_d754aa59,66,0,7.0,28.0,69.0,0.086710714,1.2995437,0.11111111,2.5302145,67.851685,1
44b6_d754aa59,67,0,6.0,197.0,69.0,0.08775174,0.96257603,0.0952381,2.5201738,67.04712,0
44b6_d754aa59,68,0,30.0,236.0,170.0,0.117905706,0.07944273,0.47619048,2.224812,46.128418,1
44b6_d754aa59,69,0,17.0,255.0,86.0,0.06385318,1.3821836,0.26984128,2.1065323,39.155518,0
44b6_d754aa59,70,0,12.0,28.0,83.0,0.089023605,0.70419985,0.1904762,2.4617038,62.487915,2
44b6_d754aa59,71,0,51.0,31.0,197.0,0.11512671,0.46016514,0.8095238,2.3665042,55.515015,3
44b6_d754aa59,72,0,63.0,177.0,218.0,0.10002647,0.8223136,1.0,2.0822053,37.814575,0
44b6_d754aa59,73,0,18.0,0.0,138.0,0.08226421,0.99986285,0.2857143,2.092004,38.350952,1
44b6_d754aa59,74,0,54.0,33.0,203.0,0.097644724,0.44049,0.85714287,2.307903,51.492188,3
44b6_d754aa59,75,1,0.0,148.0,98.0,0.32591376,5.8147717,0.0,2.1396742,41.032837,0
44b6_d754aa59,76,1,7.0,32.0,103.0,0.31328174,4.0180426,0.11111111,2.5434792,68.92444,0
44b6_d754aa59,77,1,11.0,141.0,120.0,0.30153534,5.790884,0.17460318,2.5434792,68.92444,0
44b6_d754aa59,78,1,11.0,78.0,118.0,0.30654064,5.421771,0.17460318,2.5434792,68.92444,0
44b6_d754aa59,79,1,28.0,94.0,158.0,0.3010692,5.777691,0.44444445,2.5434792,68.92444,0
44b6_d754aa59,80,1,29.0,239.0,154.0,0.33440617,4.899756,0.46031746,2.5434792,68.92444,0
44b6_d754aa59,81,1,22.0,152.0,146.0,0.40789664,7.135964,0.34920636,2.5434792,68.92444,0
44b6_d754aa59,82,1,25.0,0.0,142.0,0.3800805,5.050319,0.3968254,2.1396742,41.032837,0
44b6_d754aa59,83,1,21.0,118.0,144.0,0.2971027,7.235391,0.33333334,2.5434792,68.92444,0
