dataset,node_id,t,z,y,x,mean_intensity,snr,z_depth_ratio,estimated_radius_um,volume_um3,local_density_r15
6bba_07477033,0,0,12.0,155.0,68.0,0.53748316,5.8507185,0.1904762,2.5434792,68.92444,1
6bba_07477033,1,0,55.0,115.0,78.0,0.45423043,5.477416,0.8730159,2.5434792,68.92444,0
6bba_07477033,2,0,12.0,155.0,28.0,0.45081615,4.2034817,0.1904762,2.5434792,68.92444,1
6bba_07477033,3,0,33.0,128.0,210.0,0.36305767,5.990894,0.52380955,2.5434792,68.92444,0
6bba_07477033,4,0,32.0,139.0,118.0,0.46285376,4.2818685,0.50793654,2.5434792,68.92444,0
6bba_07477033,5,0,44.0,131.0,33.0,0.4636891,4.308856,0.6984127,2.5434792,68.92444,1
6bba_07477033,6,0,44.0,122.0,168.0,0.38568684,2.7492986,0.6984127,2.5434792,68.92444,1
6bba_07477033,7,0,57.0,99.0,188.0,0.4862927,3.5546162,0.9047619,2.5434792,68.92444,0
6bba_07477033,8,0,7.0,149.0,177.0,0.30093682,3.8665829,0.11111111,2.5434792,68.92444,0
6bba_07477033,9,0,29.0,145.0,42.0,0.43443036,3.7409136,0.46031746,2.5434792,68.92444,0
6bba_07477033,10,0,49.0,116.0,171.0,0.3746816,2.3166082,0.7777778,2.5434792,68.92444,1
6bba_07477033,11,0,34.0,141.0,12.0,0.37493768,3.8831925,0.53968257,2.5434792,68.92444,0
6bba_07477033,12,0,21.0,144.0,161.0,0.3523499,2.6972797,0.33333334,2.5434792,68.92444,1
6bba_07477033,13,0,23.0,149.0,0.0,0.3269397,3.7356517,0.36507937,2.13031,40.49646,0
6bba_07477033,14,0,46.0,127.0,98.0,0.33449242,3.3284428,0.73015875,2.5434792,68.92444,1
6bba_07477033,15,0,56.0,116.0,36.0,0.30286163,4.1204796,0.8888889,2.5434792,68.92444,0
6bba_07477033,16,0,57.0,87.0,245.0,0.353398,4.441451,0.9047619,2.5434792,68.92444,0
6bba_07477033,17,0,16.0,144.0,205.0,0.29426387,2.7833152,0.25396827,2.5434792,68.92444,0
6bba_07477033,18,0,22.0,131.0,243.0,0.30761757,3.9931536,0.34920636,2.5434792,68.92444,0
6bba_07477033,19,0,48.0,108.0,216.0,0.3377964,3.6127017,0.7619048,2.5434792,68.92444,1
6bba_07477033,20,0,0.0,159.0,27.0,0.24497063,1.4393744,0.0,2.1161075,39.691895,1
6bba_07477033,21,0,25.0,150.0,85.0,0.38536766,1.8704226,0.3968254,2.5434792,68.92444,1
6bba_07477033,22,0,19.0,151.0,102.0,0.5201044,3.0571773,0.3015873,2.5434792,68.92444,0
6bba_07477033,23,0,7.0,145.0,226.0,0.294916,2.9608932,0.11111111,2.5434792,68.92444,0
6bba_07477033,24,0,63.0,103.0,53.0,0.21773145,5.506726,1.0,2.1350024,40.76465,0
6bba_07477033,25,0,45.0,128.0,88.0,0.31432202,3.7766855,0.71428573,2.5401762,68.65625,1
6bba_07477033,26,0,31.0,138.0,163.0,0.2676176,1.3241924,0.4920635,2.5401762,68.65625,1
